0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23341 44312	1	 * 	298.45	DCR|5VULN|3DMG	14679VULN|248DMG|3AART|4BPWR|5LIT|aRCR
14	23341 45331	1	   	279.51	DCR|4VULN|2DMG|1DUR	1468VULN|24DMG|3AART|4BPWR|5LIT|7RCR|9DUR|aRMIN
15	23363 52121	9	 * 	279.23	DCR|5VULN|2DUR|2ASPD	14568VULN|2RCVC|36ASPD|6BPWR|7aDUR|9RCR
16	23363 52122	10	   	279.23	DCR|5VULN|2DUR|2ASPD	14568VULN|2RCVC|36ASPD|6BPWR|7aDUR|9RCR
17	63621 22141	7	 * 	278.95	DCR|3VULN|3DUR|3TLV|1DMG	1RPLT|29aDUR|3AART|4DMG|59aVULN|6RCR|7RMIN|89aTLV|9aBPWR
18	23363 52123	10	   	278.29	DCR|5VULN|2ASPD|1DUR|1CDMG	14568VULN|2RCVC|36ASPD|6BPWR|7DUR|9RCR|aCDMG
19	23341 45322	1	   	276.81	DCR|4VULN|2DMG|1CDMG	1468VULN|24DMG|3AART|4BPWR|5LIT|7RCR|9ERES|aCDMG
20	23342 32443	1	   	275.22	DCR|3VULN|3DMG|1DUR|1ASPD	146VULN|24aDMG|3AART|4BPWR|5ZMB|7DUR|8RCR|9ASPD
21	23363 52124	9	   	274.30	DCR|5VULN|2ASPD|1DUR	14568VULN|2RCVC|36ASPD|6BPWR|7DUR|9RCR|aAART
22	23342 32441	1	 * 	274.15	DCR|3VULN|2DMG|2DUR|1ASPD	146VULN|24DMG|3AART|4BPWR|5ZMB|7aDUR|8RCR|9ASPD
23	15152 32324	2	 * 	272.95	DCR|5VULN|2CDMG|1DUR	1DUST|24CDMG|3479aVULN|4BPWR|5AART|6DUR|8RCR
24	25611 31215	8	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	167aVULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8RCR|9BEXP
25	25611 31215	9	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	167aVULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8RCR|9LHND
26	25611 31225	8	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	167aVULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8RCR|9LWND
27	25611 31234	9	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	167aVULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8RCR|9ZMB
28	25611 31311	7	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	1678VULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|9BEXP|aRCR
29	25611 33225	8	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	169aVULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|7LWND|8RCR
30	25611 33311	6	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD	1678VULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|9BEXP|aRCR
31	25611 31235	8	   	272.69	DCR|4VULN|2DUR|1CDMG|1ASPD	167aVULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8RCR|9DUST
32	23322 23364	1	   	272.42	DCR|3VULN|3DMG|1TLV	18aVULN|26aDMG|3AART|4LIT|5TLV|7aERES|9RCR|aBPWR
33	25613 12351	6	   	271.78	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	178VULN|2CDMG|3ASPD|4DUR|5TLV|6AART|9DMG|aRCR
34	25642 12321	6	   	271.78	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	178VULN|2CDMG|3ASPD|4DMG|5DUR|6AART|9TLV|aRCR
35	23342 32424	1	   	271.20	DCR|4VULN|2DMG|1DUR	146aVULN|24DMG|3AART|4BPWR|5ZMB|7DUR|8RCR|9RPLT
36	23342 33326	1	   	271.20	DCR|4VULN|2DMG|1TLV	1468VULN|24DMG|3AART|4BPWR|5ZMB|7RPLT|9TLV|aRCR
37	23363 23123	10	   	270.58	DCR|5VULN|1TLV|1DUR|1ASPD	14578VULN|2RCVC|3ASPD|6TLV|9DUR|aRCR
38	25611 31631	8	   	270.21	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8DMG|9CGEN|aRCR
39	21541 11131	4	   	269.95	DCR|4VULN|2DMG|1DUR	1579VULN|2FEWX|39BEXP|4DUR|6LIT|89DMG|9BPWR|aRCR
40	21551 11131	3	   	269.95	DCR|4VULN|2DMG|1DUR	1579VULN|2FEWX|39BEXP|4DUR|6LIT|89DMG|9BPWR|aRCR
41	21131 11131	2	   	269.85	DCR|4VULN|2DMG|1DUR	1579VULN|29FEWX|3LEGI|4DUR|6LIT|89DMG|9BPWR|aRCR
42	26651 11131	1	   	269.85	DCR|4VULN|2DMG|1DUR	1579VULN|2DUST|39FEWX|4DUR|6LIT|89DMG|9BPWR|aRCR
43	24114 32224	4	   	269.81	DCR|4VULN|2DMG|2LIT	136aVULN|2aERES|4CGEN|56DMG|6aBPWR|7aLIT|8RCR|9AART
44	24124 32224	4	   	269.81	DCR|4VULN|2DMG|2LIT	136aVULN|2aERES|4MLV|56DMG|6aBPWR|7aLIT|8RCR|9AART
45	11641 11131	4	   	269.75	DCR|4VULN|2DMG|1DUR	19DUST|2FEWX|3579VULN|4DUR|6LIT|89DMG|9BPWR|aRCR
46	11651 11131	3	   	269.75	DCR|4VULN|2DMG|1DUR	19DUST|2FEWX|3579VULN|4DUR|6LIT|89DMG|9BPWR|aRCR
47	21451 11131	2	   	269.75	DCR|4VULN|2DMG|1DUR	1579VULN|2FEWX|39DUST|4DUR|6LIT|89DMG|9BPWR|aRCR
48	26131 11131	1	   	269.65	DCR|4VULN|2DMG|1DUR	1579VULN|29DUST|3LEGI|4DUR|6LIT|89DMG|9BPWR|aRCR
