0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42315 31622	5	 * 	270.68	DCR|5VULN|1TLV|1DUR|1ASPD	15BEXP|23456VULN|5BPWR|7RCR|8ASPD|9TLV|aDUR
120	22315 33486	10	   	251.63	DCR|5VULN|1TLV	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8TLV|aLIT
121	22315 33488	9	   	251.63	DCR|5VULN|1TLV	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8TLV|aLIT
122	42315 32253	5	   	251.63	DCR|5VULN|1TLV|1NUKE	15BEXP|23456VULN|5BPWR|7TLV|8LIT|9RCR|aNUKE
123	21328 72214	7	 * 	251.60	DCR|4VULN|3DUR	19FEWX|257DUR|3589VULN|4MBVNT|59BPWR|69ERES|aRCR
124	41328 14382	6	   	251.60	DCR|4VULN|3DUR	1BEXP|256DUR|3589VULN|4MBVNT|5BPWR|7RCR|aCGEN
125	41328 14383	6	   	251.60	DCR|4VULN|3DUR	1BEXP|256DUR|3589VULN|4MBVNT|5BPWR|7RCR|aZMB
126	41328 72214	7	   	251.60	DCR|4VULN|3DUR	19BEXP|257DUR|3589VULN|4MBVNT|59BPWR|69ERES|aRCR
127	41328 14381	6	   	251.50	DCR|4VULN|3DUR	1BEXP|256DUR|3589VULN|4MBVNT|5BPWR|7RCR|aLEGI
128	41328 14384	6	   	251.50	DCR|4VULN|3DUR	1BEXP|256DUR|3589VULN|4MBVNT|5BPWR|7RCR|aDUST
129	21633 33551	4	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2DUR|3AART|46VULN|5CDMG|79DMG|8RCR|aTLV
130	21633 33551	3	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2DUR|3AART|46VULN|5CDMG|79DMG|8RCR|aTLV
131	22613 33551	4	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|26VULN|3AART|4DUR|5CDMG|79DMG|8RCR|aTLV
132	22312 51631	7	 * 	251.07	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG	1aFEWX|234VULN|5aLIT|6TLV|7CDMG|8aASPD|9RCR|aBPWR
133	22312 52631	6	   	251.07	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG	1aFEWX|234VULN|5aLIT|6TLV|7CDMG|8aASPD|9RCR|aBPWR
134	42312 51631	7	   	251.07	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG	1aBEXP|234VULN|5aLIT|6TLV|7CDMG|8aASPD|9RCR|aBPWR
135	42312 52631	6	   	251.07	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG	1aBEXP|234VULN|5aLIT|6TLV|7CDMG|8aASPD|9RCR|aBPWR
136	21328 17118	9	   	250.92	DCR|3VULN|3DUR|1CDMG	1FEWX|256DUR|357VULN|4MBVNT|5BPWR|8CDMG|9RCR|aLIT
137	34444 62313	7	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1ERES|2MBVNT|369VULN|4DUR|5CDMG|7RCR|8TLV|aDMG
138	31313 52416	10	   	250.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|2LIT|38DMG|49VULN|5DUR|6TLV|7CDMG|aRCR
139	22561 52231	5	 * 	249.59	DCR|3VULN|2ASPD|2TLV|1CDMG|1AART	1aFEWX|25aVULN|35ASPD|4AART|5aBPWR|6DLOT|7CDMG|8aTLV|9RCR
140	22312 41316	10	   	249.56	DCR|4VULN|1DMG|1CDMG	1FEWX|2349VULN|5LIT|6DMG|7CDMG|8LWND|aRCR
141	22312 41516	10	   	249.56	DCR|4VULN|1DMG|1CDMG	1FEWX|2349VULN|5LIT|6DMG|7CDMG|8LHND|aRCR
142	22315 33135	8	   	249.56	DCR|4VULN|1DMG|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aCDMG
143	22315 33165	9	   	249.56	DCR|4VULN|1DMG|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aCDMG
144	22315 33168	8	   	249.56	DCR|4VULN|1DMG|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9CDMG|aDMG
145	22315 33248	8	   	249.56	DCR|4VULN|1DMG|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9LIT|aDMG
146	42312 41316	10	   	249.56	DCR|4VULN|1DMG|1CDMG	1BEXP|2349VULN|5LIT|6DMG|7CDMG|8LWND|aRCR
147	42315 33135	8	   	249.56	DCR|4VULN|1DMG|1CDMG	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aCDMG
148	51313 55333	6	   	249.48	DCR|3VULN|2TLV|1DMG|1DUR	1ZMB|2LIT|3DMG|47aVULN|5DUR|69TLV|8RCR
149	21314 13453	7	   	249.48	DCR|3VULN|3DUR|1ASPD|1AART|1SELL	1FEWX|256DUR|367VULN|4SELL|6BPWR|8ASPD|9AART|aRCR
150	21314 13553	8	   	249.48	DCR|3VULN|3DUR|1ASPD|1AART|1SELL	1FEWX|256DUR|367VULN|4SELL|6BPWR|8ASPD|9AART|aRCR
151	41314 11353	8	   	249.48	DCR|3VULN|3DUR|1ASPD|1AART|1SELL	1BEXP|256DUR|368VULN|4SELL|6BPWR|7ASPD|9AART|aRCR
152	22321 42426	10	   	249.48	DCR|4VULN|2DUR|1ASPD	1aFEWX|237aVULN|4ERES|5DMSP|6ASPD|8RCR|9aDUR|aBPWR
153	22323 42426	10	   	249.48	DCR|4VULN|2DUR|1ASPD	15aFEWX|237aVULN|4ERES|6ASPD|8RCR|9aDUR|aBPWR
154	22312 12231	6	   	249.46	DCR|4VULN|1DMG|1CDMG	1FEWX|2347VULN|5LIT|6DLOT|8DMG|9RCR|aCDMG
155	22312 15231	7	   	249.46	DCR|4VULN|1DMG|1CDMG	1FEWX|2347VULN|5LIT|6DLOT|8DMG|9RCR|aCDMG
156	42312 12231	6	   	249.46	DCR|4VULN|1DMG|1CDMG	1BEXP|2347VULN|5LIT|6DLOT|8DMG|9RCR|aCDMG
157	42312 15231	7	   	249.46	DCR|4VULN|1DMG|1CDMG	1BEXP|2347VULN|5LIT|6DLOT|8DMG|9RCR|aCDMG
158	22315 33571	10	   	249.38	DCR|4VULN|2DUR|1ASPD	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|89DUR|aASPD
159	34441 48331	4	 * 	249.35	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	1ERES|2MBVNT|3aVULN|4DUR|5CGEN|6RCR|7aASPD|8TLV|9aDMG|aBPWR
160	34441 48331	5	   	249.35	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	1ERES|2MBVNT|3aVULN|4DUR|5CGEN|6RCR|7aASPD|8TLV|9aDMG|aBPWR
161	34444 62514	8	   	249.25	DCR|3VULN|2DUR|1DMG|1CDMG	1ERES|2MBVNT|369VULN|4aDUR|5CDMG|7RCR|8DMG
162	32123 42362	8	   	249.18	DCR|4VULN|2DUR|1ASPD	13ERES|2aDUR|4578VULN|6ASPD|9RCR
163	41323 26174	6	   	249.12	DCR|3VULN|3DUR|1DMG	19BEXP|289DUR|359VULN|4MBVNT|6RMIN|7RCR|9BPWR|aDMG
164	21328 14342	6	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aRCVC
165	21328 14343	6	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLHND
166	21328 14345	6	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aCGEN
167	21328 14346	6	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aMLV
168	21328 14348	6	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLWND
169	21328 54342	5	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aRCVC
170	21328 54343	5	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLHND
171	21328 54345	5	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aCGEN
172	21328 54346	5	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aMLV
173	21328 54348	5	   	249.02	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLWND
174	41323 46174	5	   	249.02	DCR|3VULN|3DUR|1DMG|1NUKE	19BEXP|289DUR|359VULN|4MBVNT|6NUKE|7RCR|9BPWR|aDMG
175	41328 14374	6	   	249.02	DCR|3VULN|3DUR|1DMG	1BEXP|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9RMIN|aDMG
176	21328 14313	6	 * 	248.92	DCR|3VULN|3DUR|2TLV	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9aTLV
177	21328 14341	6	   	248.92	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLEGI
178	21328 14344	6	   	248.92	DCR|3VULN|3DUR|1DMG|1NUKE	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aNUKE
179	21328 17112	10	 * 	248.92	DCR|3VULN|3DUR|2CDMG	1FEWX|256DUR|357VULN|4MBVNT|5BPWR|8aCDMG|9RCR
180	21328 54313	5	   	248.92	DCR|3VULN|3DUR|2TLV	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9aTLV
