0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35163 15321	2	 * 	280.66	DCR|3VULN|3DUR|2DMG|1CDMG	139CGEN|235DUR|359BPWR|459VULN|6MLV|7CDMG|89DMG|aRCR
43	33163 53226	10	   	255.67	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG|1AART	1CGEN|26LIT|356VULN|4AART|6BPWR|7RCR|8DUR|9CDMG|aTLV
44	33136 43224	9	   	255.43	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1CGEN|2LIT|36aVULN|4DMG|5DUR|7TLV|8RCR|9AART
45	22312 12565	5	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1LHND|2AART|3CDMG|4DUR|5LIT|6789VULN|aRCR
46	53131 63143	10	   	255.35	DCR|5VULN|1DMG	1ERES|2LIT|3678aVULN|4BELT|5DMG|9RCR
47	23231 15333	1	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|269aVULN|3FEWX|4ASPD|5TLV|7DMG|8RCR
48	23235 15333	1	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|259aVULN|3FEWX|4ASPD|6TLV|7DMG|8RCR
49	23431 15333	1	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|269aVULN|3DUST|4ASPD|5TLV|7DMG|8RCR
50	23435 15333	1	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|259aVULN|3DUST|4ASPD|6TLV|7DMG|8RCR
51	33163 53223	9	   	254.00	DCR|3VULN|2DUR|2LIT|1CDMG|1AART	1CGEN|26LIT|356VULN|4AART|6BPWR|7RCR|8aDUR|9CDMG
52	35163 35221	2	   	253.81	DCR|3VULN|3DUR|1CDMG|1ASPD	139CGEN|235DUR|359BPWR|459VULN|6ASPD|7CDMG|89ERES|aRCR
53	43625 22113	7	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1FEWX|2DMG|3BEXP|4DUR|567aVULN|8AART|9RCR
54	43623 24333	7	   	253.48	DCR|3VULN|2DMG|2DUR	15FEWX|26DMG|3BEXP|45DUR|5BPWR|79aVULN|8RCR
55	13814 13163	4	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|2MBVNT|3RMIN|4DMSP|58DMG|68aVULN|78DUR|8BPWR|9RCR
56	13884 13163	4	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|2MBVNT|3RMIN|4RCVC|58DMG|68aVULN|78DUR|8BPWR|9RCR
57	43623 62313	7	   	253.48	DCR|3VULN|2DMG|2DUR	15FEWX|29DMG|3BEXP|45DUR|5BPWR|67aVULN|8RCR
58	43621 24333	7	   	253.38	DCR|3VULN|2DMG|2DUR	1FEWX|26DMG|3BEXP|45DUR|79aVULN|8RCR
59	43621 62313	7	   	253.38	DCR|3VULN|2DMG|2DUR	1FEWX|29DMG|3BEXP|45DUR|67aVULN|8RCR
60	13111 13133	5	 * 	252.95	DCR|2VULN|3DUR|3ASPD|1DMG	1RPLT|2MBVNT|348ASPD|5DMG|68VULN|789DUR|8BPWR|aRCR
61	13111 73133	6	   	252.95	DCR|2VULN|3DUR|3ASPD|1DMG	1RPLT|2MBVNT|348ASPD|5DMG|68VULN|789DUR|8BPWR|aRCR
62	13171 13133	5	   	252.95	DCR|2VULN|3DUR|3ASPD|1DMG	1RPLT|2MBVNT|348ASPD|48BPWR|5DMG|68VULN|789DUR|aRCR
63	13171 73133	6	   	252.95	DCR|2VULN|3DUR|3ASPD|1DMG	1RPLT|2MBVNT|348ASPD|48BPWR|5DMG|68VULN|789DUR|aRCR
64	33216 25213	3	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1CGEN|2aLIT|3AART|4DUR|5TLV|6aDMG|7ZMB|8RCR|9aVULN|aBPWR
65	33233 25213	3	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1CGEN|2aLIT|3AART|4TLV|5DUR|6aDMG|7ZMB|8RCR|9aVULN|aBPWR
66	33521 22615	4	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1CGEN|2LIT|3ASPD|4578VULN|6AART|9TLV|aRCR
67	33523 22615	5	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1CGEN|2LIT|3ASPD|4578VULN|6AART|9TLV|aRCR
68	33523 22615	6	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1CGEN|2LIT|3ASPD|4578VULN|6AART|9TLV|aRCR
69	33531 22615	3	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1CGEN|2LIT|3ASPD|4578VULN|6AART|9TLV|aRCR
70	33531 22615	2	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1CGEN|2LIT|3ASPD|4578VULN|6AART|9TLV|aRCR
71	25322 52123	7	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	19LHND|2RMIN|3MLV|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
72	25322 52223	8	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	19LHND|2RMIN|3MLV|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
73	45322 52123	7	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	19FEWX|2RMIN|3MLV|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
74	45322 52223	8	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	19FEWX|2RMIN|3MLV|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
75	32261 63113	2	   	252.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17CGEN|2FEWX|37DUR|4aVULN|5TLV|67DMG|7BPWR|8AART|9RCR
76	32261 63113	1	   	252.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17CGEN|2FEWX|37DUR|4aVULN|5TLV|67DMG|7BPWR|8AART|9RCR
77	25222 52123	7	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19LHND|2RMIN|3ERES|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
78	25222 52223	8	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19LHND|2RMIN|3ERES|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
79	45222 52123	7	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19FEWX|2RMIN|3ERES|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
80	45222 52223	8	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19FEWX|2RMIN|3ERES|49DMG|5CDMG|6RCR|7DUR|89aVULN|9BPWR
81	33136 43242	9	   	252.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1CGEN|29LIT|36aVULN|4DMG|5DUR|7TLV|8RCR
82	33133 43362	8	 * 	252.27	DCR|3VULN|2DMG|2ASPD	1aCGEN|2LIT|35aVULN|48DMG|6MLV|7RCR|9aASPD|aBPWR
83	33523 43332	8	   	252.27	DCR|3VULN|2DMG|2ASPD	1aCGEN|2LIT|3aASPD|459VULN|6MLV|7RCR|8aDMG|aBPWR
84	33163 53321	9	   	252.22	DCR|4VULN|1DMG|2LIT|1AART	19CGEN|26LIT|3569VULN|4AART|69BPWR|7RCR|89ERES|aDMG
85	53163 53321	9	   	252.22	DCR|4VULN|1DMG|2LIT|1AART	19ERES|26LIT|3569VULN|4AART|69BPWR|7RCR|89CGEN|aDMG
86	13427 78134	10	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|2MBVNT|3aCGEN|49aVULN|5DMG|6RCR|7TLV|8aDUR|aBPWR
87	33133 51633	4	   	252.06	DCR|4VULN|1DMG|1TLV	1CGEN|2LIT|3689VULN|4DMG|5TLV|7TBNT|aRCR
88	13584 21434	8	   	252.06	DCR|4VULN|1DMG|1DUR	1RPLT|2MBVNT|3DUR|469aVULN|5LIT|7DMG|8RCR
89	13584 23834	8	   	252.06	DCR|4VULN|1DMG|1DUR	1RPLT|2MBVNT|3DUR|469aVULN|5LIT|7RCR|8DMG
90	53325 26223	1	   	251.81	DCR|4VULN|1DMG|1TLV|1SELL	1ERES|2456VULN|3TLV|7RCR|8SELL|9DMG|aLIT
91	53325 25313	1	   	251.53	DCR|5VULN|1TLV	1ERES|2456aVULN|3TLV|7LIT|8RCVC|9RCR
92	53325 26121	1	   	251.53	DCR|5VULN|1TLV	1ERES|2456aVULN|3TLV|7RCR|8FEWX|9LIT
93	33163 53222	9	 * 	250.94	DCR|3VULN|3LIT|2CDMG|1DUR|1AART	1aCGEN|26aLIT|356VULN|4AART|6aBPWR|7RCR|8DUR|9aCDMG
94	14225 21621	2	   	250.90	DCR|2VULN|3DMG|2LIT|1CDMG|1ASPD	1RPLT|2aLIT|3ERES|4aVULN|5CDMG|6ASPD|79aDMG|8RCR|aBPWR
