0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21232 13316	10	 * 	278.58	DCR|3VULN|3DUR|3TLV|3CDMG	148DUR|279VULN|389CDMG|5RCVC|689TLV|89BPWR|aRCR
49	21311 52434	2	   	256.98	DCR|3VULN|2DUR|1TLV|3CDMG	17DUR|267VULN|3TBNT|467CDMG|5BBNT|67BPWR|8DUST|9RCR|aTLV
50	24251 52311	7	 * 	256.48	DCR|2VULN|3TLV|2DUR|1DMG|1CDMG	17DUR|257TLV|3LWND|4DMG|67VULN|7BPWR|8CDMG|9RCR|aASPD
51	21362 11215	2	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|27aVULN|3TBNT|4MLV|5CDMG|6RCVC|8aDMG|9RCR|aBPWR
52	21362 61215	2	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|27aVULN|3TBNT|48MLV|5CDMG|6aDMG|9RCR|aBPWR
53	21234 34315	2	   	255.97	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|24aVULN|3CDMG|56ERES|7BBNT|8aDMG|9RCR|aBPWR
54	21234 34315	3	   	255.97	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|24aVULN|3CDMG|56ERES|7BBNT|8aDMG|9RCR|aBPWR
55	21147 54331	3	   	255.75	DCR|3VULN|3DUR|2DMG	189DUR|258VULN|3RMIN|4MBVNT|68DMG|7RPLT|8BPWR|aRCR
56	21154 34351	3	   	255.75	DCR|3VULN|3DUR|2DMG	148DUR|289VULN|3RMIN|58DMG|6MBVNT|7RPLT|8BPWR|aRCR
57	22154 22623	3	   	255.75	DCR|3VULN|3DUR|2DMG	148DUR|2LWND|3RMIN|58DMG|6RCR|78aVULN|8BPWR|9ERES
58	33435 31261	7	   	254.85	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	16LIT|28DUR|35VULN|4CDMG|7DMG|9RCR|aTLV
59	33435 32261	6	   	254.85	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	16LIT|28DUR|35VULN|4CDMG|7DMG|9RCR|aTLV
60	21236 31561	8	   	254.85	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	14DUR|28VULN|3CDMG|56LIT|7DMG|9RCR|aTLV
61	11263 53412	8	 * 	254.71	DCR|3VULN|3CDMG|1TLV|1DMG	1FEWX|256VULN|356CDMG|4RCVC|56BPWR|7DMG|8TLV|9LIT|aRCR
62	21223 55413	8	   	254.66	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	17DUR|279VULN|37CDMG|4AART|5DMSP|6RCVC|7BPWR|8RCR|aDMG
63	21225 22261	2	 * 	254.61	DCR|2VULN|2DUR|1TLV|2CDMG|1DMG	18DUR|25VULN|36CDMG|4LIT|7DMG|9RCR|aTLV
64	21225 22261	3	   	254.61	DCR|2VULN|2DUR|1TLV|2CDMG|1DMG	18DUR|25VULN|36CDMG|4LIT|7DMG|9RCR|aTLV
65	21233 22261	3	   	254.61	DCR|2VULN|2DUR|1TLV|2CDMG|1DMG	18DUR|24VULN|36CDMG|5LIT|7DMG|9RCR|aTLV
66	21233 22261	2	   	254.61	DCR|2VULN|2DUR|1TLV|2CDMG|1DMG	18DUR|24VULN|36CDMG|5LIT|7DMG|9RCR|aTLV
67	33435 22261	5	   	254.61	DCR|2VULN|2DUR|1TLV|2CDMG|1DMG	1LIT|28DUR|35VULN|46CDMG|7DMG|9RCR|aTLV
68	33435 22261	4	   	254.61	DCR|2VULN|2DUR|1TLV|2CDMG|1DMG	1LIT|28DUR|35VULN|46CDMG|7DMG|9RCR|aTLV
69	21232 55113	6	   	254.56	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	14DUR|269VULN|36CDMG|5RCVC|6BPWR|7RCR|8AART|aDMG
70	11224 63146	7	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aFEWX|26aVULN|3CDMG|4AART|5MBVNT|7TLV|8RCR|9aDUR|aBPWR
71	11225 34146	5	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aFEWX|25aVULN|3CDMG|4AART|6TLV|7MBVNT|8RCR|9aDUR|aBPWR
72	11236 34146	2	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aFEWX|24aVULN|3CDMG|5AART|6TLV|7MBVNT|8RCR|9aDUR|aBPWR
73	11236 34146	3	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aFEWX|24aVULN|3CDMG|5AART|6TLV|7MBVNT|8RCR|9aDUR|aBPWR
74	21224 63116	7	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|26aVULN|3CDMG|4AART|5MBVNT|7TLV|8RCR|9aLWND|aBPWR
75	21224 63136	7	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|26aVULN|3CDMG|4AART|5MBVNT|7TLV|8RCR|9aBEXP|aBPWR
76	21225 24116	5	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|25aVULN|3CDMG|4AART|6TLV|7MBVNT|8RCR|9aLWND|aBPWR
77	21225 24136	5	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|25aVULN|3CDMG|4AART|6TLV|7MBVNT|8RCR|9aBEXP|aBPWR
78	21236 24116	3	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|24aVULN|3CDMG|5AART|6TLV|7MBVNT|8RCR|9aLWND|aBPWR
79	21236 24116	2	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|24aVULN|3CDMG|5AART|6TLV|7MBVNT|8RCR|9aLWND|aBPWR
80	21236 24136	2	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|24aVULN|3CDMG|5AART|6TLV|7MBVNT|8RCR|9aBEXP|aBPWR
81	21236 24136	3	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1aDUR|24aVULN|3CDMG|5AART|6TLV|7MBVNT|8RCR|9aBEXP|aBPWR
82	33252 32353	10	   	254.05	DCR|4VULN|1TLV|1DUR	1LIT|2DUR|3FEWX|489aVULN|5ASPD|6RCR|7TLV
83	33412 32353	10	   	254.05	DCR|4VULN|1TLV|1DUR	1LIT|2DUR|389aVULN|4FEWX|5ASPD|6RCR|7TLV
84	36352 32353	10	   	254.05	DCR|4VULN|1TLV|1DUR	1LIT|2FEWX|3DUR|489aVULN|5ASPD|6RCR|7TLV
85	21232 52331	9	   	253.96	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|267VULN|367CDMG|5RCVC|67BPWR|8LWND|9RCR|aAART
86	21232 52431	9	   	253.96	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|267VULN|367CDMG|5RCVC|67BPWR|8LHND|9RCR|aAART
87	33462 32353	10	   	253.95	DCR|4VULN|1TLV|1DUR	1LIT|2DUR|389aVULN|4DUST|5ASPD|6RCR|7TLV
88	21322 75328	2	   	253.91	DCR|3VULN|2TLV|2DUR|2LIT	17DUR|28aVULN|3TBNT|47LIT|5MBVNT|67TLV|7BPWR|9RCR
89	21232 14316	10	   	253.89	DCR|2VULN|3DUR|3TLV|3CDMG	148DUR|29VULN|389CDMG|57RCVC|689TLV|89BPWR|aRCR
90	21421 33642	10	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	135DUR|28aVULN|4TLV|6AART|7ZMB|9RCR
91	33653 22251	1	 * 	253.76	ACR|3VULN|2DUR|1TLV|1DMG|2CDMG|2LIT	19LIT|239VULN|4RCR|56CDMG|7DMG|89DUR|9BPWR|aTLV
92	21143 13145	5	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DUR|27VULN|3RMIN|4CGEN|5DUST|67DMG|7BPWR|8AART|9RCR|aTLV
93	21311 11356	2	   	253.69	DCR|2VULN|3DUR|3TLV|3CDMG	189DUR|29VULN|3TBNT|489CDMG|5BBNT|678TLV|89BPWR|aRCR
94	21311 13316	2	   	253.69	DCR|2VULN|3DUR|3TLV|3CDMG	189DUR|27VULN|3TBNT|489CDMG|5BBNT|689TLV|89BPWR|aRCR
95	24253 22236	4	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	158DUR|2TLV|3LWND|4DMG|6RCR|7aVULN|9CDMG
96	21362 51612	2	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	18DUR|278VULN|3TBNT|4MLV|5CDMG|68TLV|8BPWR|9RCR|aBEXP
97	21362 51613	2	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	18DUR|278VULN|3TBNT|4MLV|5CDMG|68TLV|8BPWR|9RCR|aCGEN
98	11411 36143	7	   	252.71	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1FEWX|28VULN|3DUR|4BEXP|58DMG|6TLV|78LIT|8BPWR|9ASPD|aRCR
99	11432 26143	7	   	252.71	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1FEWX|28VULN|3DUR|4LHND|58LIT|6TLV|78DMG|8BPWR|9ASPD|aRCR
100	21231 36346	5	   	252.70	DCR|4VULN|3DUR|1CDMG	148DUR|289aVULN|3CDMG|5FEWX|68DUST|7RCR|8BPWR
101	21232 52433	10	   	252.61	DCR|3VULN|3DUR|3CDMG	147DUR|267VULN|367CDMG|5RCVC|67BPWR|8LHND|9RCR|aASPD
102	23264 52231	10	   	252.58	DCR|3VULN|3DUR|2TLV	157DUR|279ZMB|3LWND|45TLV|57BPWR|678VULN|aRCR
103	21422 53421	6	   	252.51	DCR|3VULN|3DUR|1TLV	139DUR|28aVULN|4TLV|5LIT|6RCR|7RMIN
104	21426 13131	9	   	252.51	DCR|3VULN|3DUR|1TLV	137DUR|25aVULN|4TLV|6LIT|8RMIN|9RCR
105	21421 31323	5	   	252.48	DCR|3VULN|3DUR|2TLV	135DUR|29aVULN|49TLV|69LHND|7BELT|8RCR|9BPWR
106	21421 66323	6	   	252.48	DCR|3VULN|3DUR|2TLV	135DUR|29aVULN|49TLV|6BELT|79BEXP|8RCR|9BPWR
107	21421 66323	7	   	252.48	DCR|3VULN|3DUR|2TLV	135DUR|29aVULN|49TLV|6BELT|79BEXP|8RCR|9BPWR
108	21422 13263	4	   	252.48	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8LWND|9RCR
109	21422 13532	4	   	252.48	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8RCR|9CGEN
110	21425 51323	6	   	252.48	DCR|3VULN|3DUR|2TLV	136DUR|29aVULN|49TLV|59LWND|7BELT|8RCR|9BPWR
111	21426 31323	4	   	252.48	DCR|3VULN|3DUR|2TLV	135DUR|29aVULN|49TLV|69LHND|7BELT|8RCR|9BPWR
112	21441 13263	5	   	252.48	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47LHND|57TLV|7BPWR|8LWND|9RCR
113	21441 13532	5	   	252.48	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47LHND|57TLV|7BPWR|8RCR|9CGEN
114	21441 51323	6	   	252.48	DCR|3VULN|3DUR|2TLV	136DUR|29aVULN|49LHND|59TLV|7BELT|8RCR|9BPWR
115	21462 13263	3	   	252.48	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8LWND|9RCR
116	21462 13532	3	   	252.48	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8RCR|9CGEN
117	21466 31323	3	   	252.48	DCR|3VULN|3DUR|2TLV	135DUR|29aVULN|49TLV|69LHND|7BELT|8RCR|9BPWR
118	22421 51323	6	   	252.48	DCR|3VULN|3DUR|2TLV	136DUR|29LWND|49aVULN|59TLV|7BELT|8RCR|9BPWR
119	21316 54311	10	   	252.47	DCR|5VULN|2DUR	18DUR|24568VULN|368ERES|68BPWR|7RPLT|9RCR|aASPD
120	21422 42421	6	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|28aVULN|4TLV|5LIT|6ERES|7RCR
121	21422 43131	9	   	252.41	DCR|3VULN|3DUR|1TLV	137DUR|28aVULN|4TLV|5LIT|6ERES|9RCR
122	21422 51421	6	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|28aVULN|4TLV|5LIT|6RCR|7ERES
123	21422 52421	7	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|28aVULN|4TLV|5LIT|6RCR|7ERES
124	21422 54121	8	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|27aVULN|4TLV|5LIT|6RCR|8ERES
125	21422 54321	7	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|27aVULN|4TLV|5LIT|6RCR|8ERES
126	21423 25521	4	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|26aVULN|4TLV|5ERES|7RCR|8LIT
127	21426 12321	6	   	252.41	DCR|3VULN|3DUR|1TLV	139DUR|25aVULN|4TLV|6LIT|7RCR|8ERES
128	21422 13463	4	   	252.38	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8DUST|9RCR
129	21422 13513	4	   	252.38	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8RCR|9LEGI
130	21441 13513	5	   	252.38	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47LHND|57TLV|7BPWR|8RCR|9LEGI
131	21462 13513	3	   	252.38	DCR|3VULN|3DUR|2TLV	137DUR|26aVULN|47TLV|57LHND|7BPWR|8RCR|9LEGI
132	21432 23111	2	   	252.38	DCR|3VULN|3DUR|3TLV	189DUR|289VULN|3LEGI|4MBVNT|5LHND|6LWND|789TLV|89BPWR|aRCR
133	21421 63323	6	   	252.28	DCR|3VULN|3DUR|2TLV	135DUR|29aVULN|49TLV|6BELT|79DUST|8RCR|9BPWR
134	21432 13111	2	   	252.28	DCR|3VULN|3DUR|3TLV	189DUR|289VULN|3LEGI|4MBVNT|5LHND|6DUST|789TLV|89BPWR|aRCR
135	21422 54322	8	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	13DUR|27VULN|4TLV|5LIT|6RCR|8MLV|9aDMG
136	21426 12422	6	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	13DUR|25VULN|4TLV|6LIT|7RCR|8MLV|9aDMG
137	24365 21213	7	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|28TLV|34CGEN|5RPLT|69DMG|78VULN|8BPWR|aRCR
138	24365 22213	6	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|28TLV|34CGEN|5RPLT|69DMG|78VULN|8BPWR|aRCR
139	21155 21315	3	   	252.13	DCR|3VULN|3DUR|2TLV|1SELL	14aDUR|27aVULN|3RMIN|5TBNT|6SELL|8aTLV|9RCR|aBPWR
140	21351 24213	7	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|28VULN|3ERES|49DMG|58TLV|6RPLT|7DMSP|8BPWR|aRCR
141	21355 21211	4	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	15DUR|26aVULN|3ERES|45DMG|5BPWR|7AART|8RPLT|9RCR
142	21451 23242	3	   	252.02	DCR|4VULN|2DUR|1TLV	13DUR|248aVULN|5LHND|6RCR|7CGEN|9TLV
143	21326 34623	5	   	252.02	DCR|4VULN|2DUR|1TLV	18DUR|2578VULN|38ERES|4RCVC|6DMSP|8BPWR|9RCR|aTLV
144	21351 11213	7	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|28VULN|36ERES|49DMG|58TLV|7RPLT|8BPWR|aRCR
145	21311 52111	2	   	251.92	DCR|4VULN|2DUR|3CDMG	17DUR|2678VULN|3TBNT|467CDMG|5BBNT|67BPWR|9RCR|aCGEN
146	21311 52113	2	   	251.92	DCR|4VULN|2DUR|3CDMG	17DUR|2678VULN|3TBNT|467CDMG|5BBNT|67BPWR|9RCR|aLHND
147	21311 52115	2	   	251.92	DCR|4VULN|2DUR|3CDMG	17DUR|2678VULN|3TBNT|467CDMG|5BBNT|67BPWR|9RCR|aBEXP
148	21311 52116	2	   	251.92	DCR|4VULN|2DUR|3CDMG	17DUR|2678VULN|3TBNT|467CDMG|5BBNT|67BPWR|9RCR|aMLV
149	21316 53123	8	   	251.92	DCR|4VULN|2DUR|1TLV	17DUR|2456VULN|36ERES|6BPWR|8RCVC|9RCR|aTLV
150	21311 55123	8	   	251.92	DCR|4VULN|2DUR|1TLV	15DUR|2467VULN|36ERES|6BPWR|8RCVC|9RCR|aTLV
151	21316 34423	5	   	251.92	DCR|4VULN|2DUR|1TLV	18DUR|2457VULN|3ERES|6DMSP|9RCR|aTLV
152	21316 24423	5	   	251.82	DCR|4VULN|2DUR|1TLV	18DUR|2457VULN|36ERES|9RCR|aTLV
153	21316 34423	6	   	251.82	DCR|4VULN|2DUR|1TLV	18DUR|2457VULN|36ERES|9RCR|aTLV
154	21316 35423	7	   	251.82	DCR|4VULN|2DUR|1TLV	18DUR|2457VULN|36ERES|9RCR|aTLV
155	11225 33641	8	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1FEWX|258VULN|3CDMG|4AART|6RCR|7TLV|9DMG|aLIT
156	21343 34175	3	   	251.35	DCR|2VULN|3DMG|2DUR|1AART	18DUR|28VULN|3ERES|4MBVNT|5LIT|6RCR|78aDMG|8BPWR|9AART
157	11313 25264	5	   	251.33	DCR|4VULN|2TLV|1CDMG	19FEWX|2469VULN|3ERES|5ASPD|7RCR|89TLV|9BPWR|aCDMG
158	36353 21113	8	   	251.24	DCR|2VULN|2TLV|2DUR|1DMG	1LIT|2FEWX|39DUR|49VULN|5LHND|69TLV|7ASPD|8DMG|9BPWR|aRCR
159	33412 36336	8	   	251.20	DCR|3VULN|2DMG|1DUR|2LIT	1aLIT|2DUR|38aVULN|4FEWX|5ASPD|6RCR|7aDMG|9DMSP|aBPWR
160	21232 11336	3	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|246aVULN|3CDMG|5RPLT|7LHND|8TLV|9RCR
161	21232 11336	2	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|246aVULN|3CDMG|5RPLT|7LHND|8TLV|9RCR
162	21232 14336	3	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|246aVULN|3CDMG|5RPLT|7LWND|8TLV|9RCR
163	21232 14336	2	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|246aVULN|3CDMG|5RPLT|7LWND|8TLV|9RCR
164	21424 23222	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|28aVULN|4TLV|5DMG|6RCR|7CGEN|9ZMB
165	21464 23222	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|28aVULN|4TLV|5DMG|6RCR|7CGEN|9ZMB
166	21224 48446	8	   	251.00	DCR|2VULN|3DUR|2TLV|1CDMG|1AART	17aDUR|2aVULN|3CDMG|4AART|5MBVNT|6BEXP|8RCR|9aTLV|aBPWR
167	11314 25152	4	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|246VULN|3ERES|5DMG|7RCR|8aDUR|9TLV
168	21123 24363	6	 * 	250.94	DCR|3VULN|2DUR|1TLV|3LIT|1NUKE	17DUR|267VULN|3RMIN|4NUKE|57aLIT|7BPWR|8TLV|9RCR
169	21334 25223	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|256VULN|3TBNT|4FEWX|7TLV|8RCR|9DMG
170	21343 25223	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|246VULN|3TBNT|5LHND|7TLV|8RCR|9DMG
