0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14631 23353	6	 * 	273.85	DCR|4VULN|3LIT|1TLV|1DUR|1CDMG	19BEXP|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aCDMG
57	22235 23433	2	   	261.61	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9DMG|aERES
58	22235 23434	2	   	261.61	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9DMG|aTBNT
59	12334 21335	7	   	261.46	DCR|4VULN|3DUR|1AART	149BEXP|2DLOT|39aDUR|5AART|679aVULN|8RCR|9aBPWR
60	22213 15662	2	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1ASPD|2AART|359aVULN|4FEWX|6RCR|7DUR|8TLV
61	22223 15662	2	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1ASPD|2AART|359aVULN|4LHND|6RCR|7DUR|8TLV
62	14633 23351	5	   	260.69	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19BEXP|279VULN|35DUR|4TLV|69LIT|8RCR|9BPWR|aCDMG
63	14631 23321	6	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1BEXP|267VULN|39DUR|4TLV|56LIT|6BPWR|8RCR|aCDMG
64	14631 53321	5	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1BEXP|267VULN|39DUR|4TLV|56LIT|6BPWR|8RCR|aCDMG
65	54231 23321	6	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LHND|267VULN|39DUR|4TLV|56LIT|6BPWR|8RCR|aCDMG
66	54231 53321	5	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1LHND|267VULN|39DUR|4TLV|56LIT|6BPWR|8RCR|aCDMG
67	24241 36323	10	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|34DUR|568VULN|7CDMG|9DMG|aRCR
68	24241 32313	6	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|34DUR|567VULN|8DMG|9RCR|aCDMG
69	24241 36213	6	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CGEN|34DUR|568VULN|7DMG|9RCR|aCDMG
70	26423 32351	9	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|26DUR|3CDMG|4FEWX|59aVULN|7RCR|8DMG
71	26423 32621	8	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|26DUR|3CDMG|4FEWX|58aVULN|7RCR|9DMG
72	26641 32313	6	   	260.35	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|24DUR|3ERES|567VULN|8DMG|9RCR|aCDMG
73	24121 23441	8	 * 	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	19ASPD|26CGEN|359VULN|4RCVC|79DMG|8RCR|9BPWR|aDUR
74	14631 23352	6	   	260.20	DCR|4VULN|3LIT|1TLV|1DUR	19BEXP|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aZMB
75	54231 23351	6	   	260.20	DCR|4VULN|3LIT|1DUR|1TLV	19LHND|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aDMSP
76	14631 23325	6	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	1BEXP|267VULN|39aDUR|4TLV|56LIT|6BPWR|8RCR
77	31241 23214	8	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	12LWND|346DUR|569VULN|6BPWR|7DMG|8RCR|aASPD
78	31241 23233	9	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	12LWND|346DUR|56aVULN|6BPWR|7DMG|8RCR|9ASPD
79	14631 23351	6	   	260.10	DCR|4VULN|3LIT|1TLV|1DUR	19BEXP|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aLEGI
80	54231 23352	6	   	260.10	DCR|4VULN|3LIT|1DUR|1TLV	19LHND|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aERES
81	54231 23353	6	   	260.10	DCR|4VULN|3LIT|1DUR|1TLV	19LHND|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aDUST
82	31241 25423	6	   	260.01	DCR|4VULN|3DUR	12LWND|346DUR|5678VULN|6BPWR|9LIT|aRCR
83	42642 21213	8	   	260.01	DCR|4VULN|3DUR	19CGEN|249DUR|3ERES|5LIT|6789VULN|9BPWR|aRCR
84	22213 14553	2	 * 	258.68	DCR|4VULN|2ASPD|1DMG|1AART	17ASPD|2AART|357aVULN|47FEWX|6RCR|7BPWR|8CGEN|9DMG
85	16221 61335	7	   	258.64	DCR|4VULN|2DUR|3LIT	129BEXP|3aDUR|4RCVC|579aVULN|69aLIT|8RCR|9aBPWR
86	16222 21335	7	   	258.64	DCR|4VULN|2DUR|3LIT	129BEXP|3aDUR|4RCVC|59aLIT|679aVULN|8RCR|9aBPWR
87	24324 32241	7	 * 	258.44	DCR|4VULN|3ASPD|2CDMG	139ASPD|2CGEN|4RPLT|5789VULN|69CDMG|9BPWR|aRCR
88	43521 61333	5	   	258.28	DCR|5VULN|1DUR|2LIT	1CGEN|2469aVULN|34LIT|4BPWR|5FEWX|7DUR|8RCR
89	43523 31333	5	   	258.28	DCR|5VULN|1DUR|2LIT	1CGEN|2469aVULN|34LIT|4BPWR|5LHND|7DUR|8RCR
90	22235 23424	2	   	257.89	DCR|3VULN|3ASPD|1TLV|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9CGEN|aTLV
91	22562 14233	5	   	257.68	DCR|2VULN|3DUR|2ASPD|1TLV|1AART	17ASPD|2AART|357DUR|47VULN|6RCR|7BPWR|8RCVC|9LIT|aTLV
92	22562 14333	5	   	257.68	DCR|2VULN|3DUR|2ASPD|1TLV|1AART	17ASPD|2AART|357DUR|47VULN|6RCR|7BPWR|8DMSP|9LIT|aTLV
93	23116 31253	8	 * 	257.50	ACR|3VULN|2DMG|3ASPD|3LIT|1DUR	189ASPD|2ZMB|389VULN|4RCR|5aDMG|6DUR|789LIT|89BPWR
94	31241 23263	10	   	257.43	DCR|3VULN|3DUR|1DMG	12LWND|346DUR|56aVULN|6BPWR|7DMG|8RCR|9LIT
95	23241 22331	10	 * 	257.08	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	16ASPD|2ZMB|347DUR|56VULN|6BPWR|8CDMG|9RCR|aDMG
96	31143 14533	3	   	256.97	DCR|3VULN|2DMG|1TLV|1AART	127LWND|378VULN|47DMG|5AART|6RCR|7BPWR|9LIT|aTLV
97	31153 14533	4	   	256.97	DCR|3VULN|2DMG|1TLV|1AART	127LWND|378VULN|47DMG|5AART|6RCR|7BPWR|9LIT|aTLV
98	34333 14533	2	   	256.97	DCR|3VULN|2DMG|1TLV|1AART	147LWND|278VULN|37DMG|5AART|6RCR|7BPWR|9LIT|aTLV
99	14633 33353	10	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1BEXP|29VULN|35DUR|4TLV|69CGEN|7CDMG|89DMG|9BPWR|aRCR
100	23313 66241	5	 * 	256.23	DCR|2VULN|2DMG|3ASPD|1TLV|1CDMG|1SELL	139ASPD|2ZMB|49DMG|5CDMG|6SELL|7TLV|89VULN|9BPWR|aRCR
101	22565 13211	7	   	256.23	DCR|3VULN|3ASPD|2DUR|1AART	156ASPD|2AART|37DUR|47aVULN|7BPWR|8RPLT|9RCR
102	23241 53211	8	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1ASPD|2ZMB|347DUR|59aVULN|6TLV|8RCR
103	26413 33125	10	 * 	256.10	DCR|1VULN|2DMG|2DUR|2TLV|1CDMG|1ASPD|1AART	1ASPD|2aDUR|3CDMG|4LIT|5aTLV|6VULN|7RCR|8aDMG|9AART|aBPWR
104	24151 42211	7	   	256.09	DCR|4VULN|2DMG|1ASPD	1ASPD|2CGEN|3678VULN|4aDMG|5DUST|9RCR
105	12235 63351	2	   	255.39	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19BEXP|2DLOT|3AART|4TLV|59DUR|679VULN|8RCR|9BPWR|aCDMG
106	52235 33351	2	   	255.39	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19LHND|2DLOT|3AART|4TLV|59DUR|679VULN|8RCR|9BPWR|aCDMG
107	21635 23236	1	   	255.29	DCR|3VULN|3ASPD|1DUR|1CDMG|1AART	146ASPD|256VULN|3AART|6BPWR|7DUR|8RPLT|9CDMG|aRCR
108	22235 23236	2	   	255.29	DCR|3VULN|3ASPD|1DUR|1CDMG|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RPLT|9CDMG|aRCR
109	22363 21142	10	   	255.12	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG|1AART	1aASPD|2AART|3ERES|4aDMG|56LIT|7CDMG|8aVULN|9RCR|aBPWR
110	54233 23353	5	   	255.09	DCR|4VULN|1DUR|1TLV|2LIT	19LHND|279aVULN|3DUR|4TLV|5RCVC|69LIT|8RCR|9BPWR
111	45121 52311	5	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2TLV|357VULN|4RCVC|6DUR|8aDMG|9RCR
112	45221 32311	6	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2TLV|3DUR|4RCVC|567VULN|8aDMG|9RCR
113	45221 36211	6	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2TLV|3DUR|4RCVC|568VULN|7aDMG|9RCR
114	14631 22353	6	 * 	254.92	DCR|3VULN|3LIT|2TLV|1DUR|1CDMG	19BEXP|269VULN|3DUR|47TLV|569LIT|69BPWR|8RCR|aCDMG
115	21623 14262	1	   	254.86	DCR|4VULN|2ASPD|1TLV|1AART	17ASPD|257aVULN|3AART|47LHND|6RCR|7BPWR|8LWND|9TLV
116	22223 14262	2	   	254.86	DCR|4VULN|2ASPD|1TLV|1AART	17ASPD|2AART|357aVULN|47LHND|6RCR|7BPWR|8LWND|9TLV
117	43332 26253	5	   	254.86	DCR|4VULN|2ASPD|1TLV|1AART	19CGEN|289aVULN|3LHND|4TLV|5AART|6RCR|79ASPD|9BPWR
118	31241 23222	8	   	254.86	DCR|2VULN|3DUR|2DMG|2LIT	12aLWND|346DUR|56VULN|6aBPWR|7aDMG|8RCR|9aLIT
119	31241 23262	9	   	254.86	DCR|2VULN|3DUR|2DMG|2LIT	12aLWND|346DUR|56VULN|6aBPWR|7aDMG|8RCR|9aLIT
120	43236 42211	7	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1CGEN|2678VULN|3LWND|4TLV|5ASPD|9RCR|aDMG
121	43336 42211	7	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1CGEN|2678VULN|3LHND|4TLV|5ASPD|9RCR|aDMG
122	42232 61234	7	   	254.82	DCR|4VULN|2DUR|1TLV	18CGEN|28DUR|3LWND|4TLV|5BELT|678aVULN|8BPWR|9RCR
123	42232 62234	6	   	254.82	DCR|4VULN|2DUR|1TLV	18CGEN|28DUR|3LWND|4TLV|5BELT|678aVULN|8BPWR|9RCR
124	21613 14162	1	   	254.76	DCR|4VULN|2ASPD|1TLV|1AART	17ASPD|257aVULN|3AART|47FEWX|6RCR|7BPWR|8LEGI|9TLV
125	22213 14162	2	   	254.76	DCR|4VULN|2ASPD|1TLV|1AART	17ASPD|2AART|357aVULN|47FEWX|6RCR|7BPWR|8LEGI|9TLV
126	45331 42211	7	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1CGEN|2TLV|3ASPD|4678VULN|5DUST|9RCR|aDMG
127	14525 23321	2	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|257VULN|3TLV|49DUR|6LIT|8RCR|aCDMG
128	14635 23321	4	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|257VULN|39DUR|4TLV|6LIT|8RCR|aCDMG
129	54235 23321	4	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1LHND|257VULN|39DUR|4TLV|6LIT|8RCR|aCDMG
130	43426 21331	4	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	1CGEN|258aVULN|3CDMG|4FEWX|6TLV|7RCR|9DUR
131	43436 21331	3	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	1CGEN|258aVULN|3CDMG|4FEWX|6TLV|7RCR|9DUR
132	43521 21353	6	   	253.53	DCR|4VULN|2DUR|2LIT	19CGEN|249aVULN|34LIT|49BPWR|56FEWX|79DUR|8RCR
133	43523 31352	5	   	253.53	DCR|4VULN|2DUR|2LIT	19CGEN|2469VULN|34LIT|49BPWR|5LHND|79DUR|8RCR|aRCVC
134	45241 31213	9	   	253.51	DCR|3VULN|3DUR|1TLV	1CGEN|2TLV|349DUR|568VULN|7LIT|aRCR
135	45242 21213	9	   	253.51	DCR|3VULN|3DUR|1TLV	1CGEN|2TLV|349DUR|5LIT|678VULN|aRCR
136	43332 25243	5	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|289aVULN|3LHND|4TLV|5AART|6RCR|7DMG
137	16142 26211	6	   	253.48	DCR|3VULN|2DMG|2DUR	12BEXP|368VULN|46DUR|5RCVC|6BPWR|7aDMG|9RCR
138	16221 26211	6	   	253.48	DCR|3VULN|2DMG|2DUR	12BEXP|36DUR|4RCVC|568VULN|6BPWR|7aDMG|9RCR
139	31146 22311	6	   	253.48	DCR|3VULN|2DMG|2DUR	12LWND|367VULN|46DUR|5DMSP|6BPWR|8aDMG|9RCR
140	31146 26211	6	   	253.48	DCR|3VULN|2DMG|2DUR	12LWND|368VULN|46DUR|5DMSP|6BPWR|7aDMG|9RCR
141	31221 22311	6	   	253.48	DCR|3VULN|2DMG|2DUR	12LWND|36DUR|4RCVC|567VULN|6BPWR|8aDMG|9RCR
142	31221 26211	6	   	253.48	DCR|3VULN|2DMG|2DUR	12LWND|36DUR|4RCVC|568VULN|6BPWR|7aDMG|9RCR
143	54141 22311	6	   	253.48	DCR|3VULN|2DMG|2DUR	135LHND|267VULN|46DUR|6BPWR|8aDMG|9RCR
144	43522 12253	3	   	253.43	DCR|4VULN|2DUR|2LIT	19CGEN|249aVULN|35LIT|6RCR|7LHND|89DUR|9BPWR
145	43522 13253	3	   	253.43	DCR|4VULN|2DUR|2LIT	19CGEN|249aVULN|35LIT|6RCR|7LWND|89DUR|9BPWR
146	43521 61323	5	   	253.33	DCR|4VULN|2DUR|2LIT	1CGEN|246aVULN|34LIT|4BPWR|5FEWX|79DUR|8RCR
147	43523 31323	5	   	253.33	DCR|4VULN|2DUR|2LIT	1CGEN|246aVULN|34LIT|4BPWR|5LHND|79DUR|8RCR
148	42641 32311	6	   	253.28	DCR|3VULN|2DMG|2DUR	1CGEN|24DUR|3ERES|567VULN|8aDMG|9RCR
149	26413 33125	9	   	253.17	DCR|2VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD|1AART	1ASPD|2DUR|3CDMG|4LIT|5TLV|6aVULN|7RCR|8DMG|9AART
150	24241 32513	6	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1ASPD|2CGEN|34DUR|567VULN|8TLV|9RCR|aAART
151	24241 52213	7	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1ASPD|2CGEN|34DUR|578VULN|6TLV|9RCR|aAART
152	45143 32213	7	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1CGEN|2TLV|378VULN|46DUR|5ASPD|9RCR|aAART
153	43521 61331	5	   	252.40	DCR|4VULN|1DUR|2LIT|1CDMG	1CGEN|2469VULN|34LIT|4BPWR|5FEWX|7DUR|8RCR|aCDMG
154	43523 31331	5	   	252.40	DCR|4VULN|1DUR|2LIT|1CDMG	1CGEN|2469VULN|34LIT|4BPWR|5LHND|7DUR|8RCR|aCDMG
155	22223 14155	2	   	252.28	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	17ASPD|2AART|357VULN|47LHND|6RCR|7BPWR|8DMSP|9TLV|aDMG
156	43526 22122	6	   	252.22	DCR|4VULN|1DMG|2LIT|1AART	1CGEN|2479VULN|34LIT|4BPWR|5AART|6DMG|8RCR|aLHND
157	43526 22123	6	   	252.22	DCR|4VULN|1DMG|2LIT|1AART	1CGEN|2479VULN|34LIT|4BPWR|5AART|6DMG|8RCR|aLWND
158	31251 13333	5	   	252.15	DCR|3VULN|2DUR|3LIT|1TLV	129LWND|35DUR|459LIT|59BPWR|679VULN|8RCR|aTLV
159	31251 21333	7	   	252.15	DCR|3VULN|2DUR|3LIT|1TLV	129LWND|35DUR|459LIT|59BPWR|679VULN|8RCR|aTLV
160	31251 23333	6	   	252.15	DCR|3VULN|2DUR|3LIT|1TLV	129LWND|35DUR|459LIT|59BPWR|679VULN|8RCR|aTLV
161	43526 22121	6	   	252.12	DCR|4VULN|1DMG|2LIT|1AART	1CGEN|2479VULN|34LIT|4BPWR|5AART|6DMG|8RCR|aBBNT
162	45241 32312	6	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|2TLV|34DUR|567VULN|8DMG|9RCR|aDUST
163	16241 25212	6	   	251.90	DCR|4VULN|3DUR	129BEXP|346DUR|5679VULN|69BPWR|89LHND|aRCR
164	31241 25212	6	   	251.90	DCR|4VULN|3DUR	129LWND|346DUR|5679VULN|69BPWR|89LHND|aRCR
165	16241 21813	6	   	251.70	DCR|4VULN|3DUR	129BEXP|346DUR|5689VULN|69BPWR|7MBVNT|aRCR
166	16241 25312	6	   	251.70	DCR|4VULN|3DUR	129BEXP|346DUR|5679VULN|69BPWR|89DUST|aRCR
167	31241 21413	6	   	251.70	DCR|4VULN|3DUR	129LWND|346DUR|5689VULN|69BPWR|7MBVNT|aRCR
168	31241 25312	6	   	251.70	DCR|4VULN|3DUR	129LWND|346DUR|5679VULN|69BPWR|89DUST|aRCR
169	16221 22526	10	   	251.70	DCR|4VULN|3DUR	12BEXP|367DUR|4RCVC|5689VULN|6BPWR|aRCR
170	16221 26326	10	   	251.70	DCR|4VULN|3DUR	12BEXP|368DUR|4RCVC|5679VULN|6BPWR|aRCR
171	16241 26211	8	   	251.70	DCR|4VULN|3DUR	12BEXP|346DUR|569aVULN|6BPWR|7ZMB|8RCR
172	31221 21453	6	   	251.70	DCR|4VULN|3DUR	12LWND|367DUR|4RCVC|568aVULN|6BPWR|9RCR
173	31241 26211	8	   	251.70	DCR|4VULN|3DUR	12LWND|346DUR|569aVULN|6BPWR|7ZMB|8RCR
