0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51336 51123	6	 * 	280.01	DCR|3VULN|3DMG|3DUR	17aVULN|27aDUR|3FEWX|4ASPD|567DMG|7aBPWR|8aLHND|9RCR
43	36212 36216	2	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9CDMG|aMBVNT
44	51236 32341	5	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|26DUR|39LHND|4ASPD|56DMG|69BPWR|7TBNT|89TLV|aRCR
45	51336 32341	4	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|26DUR|39FEWX|4ASPD|56DMG|69BPWR|7TBNT|89TLV|aRCR
46	51336 32341	5	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|26DUR|39FEWX|4ASPD|56DMG|69BPWR|7TBNT|89TLV|aRCR
47	51533 22513	9	 * 	260.51	DCR|5VULN|2DUR|2ASPD	1358aVULN|2aDUR|4aASPD|6RCR|7RCVC|9RPLT|aBPWR
48	51533 31214	9	   	260.51	DCR|5VULN|2DUR|2ASPD	13579VULN|26DUR|49ASPD|89CGEN|9BPWR|aRCR
49	51533 21343	8	   	260.51	DCR|5VULN|2DUR|2ASPD	1359aVULN|28DUR|49ASPD|6RCR|79CGEN|9BPWR
50	51532 34222	10	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	13aVULN|267DUR|45ASPD|8RCR|9TLV
51	43111 52623	10	   	260.28	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1aDMG|2RCVC|3DMSP|4aDUR|56ASPD|7TLV|8aVULN|9RCR|aBPWR
52	51533 24332	6	   	260.23	DCR|4VULN|2DUR|1TLV	1358VULN|29DUR|4ASPD|6RCR|7TBNT|aTLV
53	51533 26332	6	   	260.23	DCR|4VULN|2DUR|1TLV	1358VULN|29DUR|4ASPD|6RCR|7BBNT|aTLV
54	51212 26513	3	 * 	260.20	DCR|4VULN|2TLV|2DUR	158aVULN|28DUR|3LHND|4LEGI|6BEXP|78TLV|8BPWR|9RCR
55	51312 26513	2	   	260.20	DCR|4VULN|2TLV|2DUR	158aVULN|28DUR|3LHND|4LEGI|6BEXP|78TLV|8BPWR|9RCR
56	51611 43123	9	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1679VULN|2DUR|3CGEN|4CDMG|5LIT|8RCR|aTLV
57	56533 21223	9	 * 	259.32	DCR|4VULN|1TLV|1DMG|1AART	1359VULN|23FEWX|3BPWR|4ASPD|6TLV|7AART|8RCR|aDMG
58	53111 43123	9	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1679VULN|2ERES|3DUR|4CDMG|5LIT|8RCR|aTLV
59	53111 43124	10	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1679VULN|2ERES|3DUR|4CDMG|5LIT|8RCR|aTLV
60	56633 21223	9	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1359VULN|2FEWX|4ASPD|6TLV|7AART|8RCR|aDMG
61	31242 24523	10	 * 	259.22	DCR|3VULN|3TLV|2DUR|1DMG	15aTLV|2RMIN|3DMG|4RCVC|68aVULN|7aDUR|9RCR|aBPWR
62	51523 12341	6	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	139VULN|29DUR|4DUST|5RMIN|6DMG|7TBNT|89TLV|9BPWR|aRCR
63	51436 31323	2	 * 	258.71	ACR|5VULN|2DMG|3ASPD|1DUR	1678aVULN|2DUR|37DMG|4RCR|567ASPD|67BPWR|9ERES
64	41223 24523	10	   	258.27	DCR|3VULN|3DMG|2DUR	13aDMG|2RMIN|45MLV|68aVULN|7aDUR|9RCR|aBPWR
65	52332 31523	1	 * 	257.69	DCR|5VULN|3DUR	15678VULN|29LWND|37LHND|467DUR|67BPWR|aRCR
66	52332 31543	1	   	257.69	DCR|5VULN|3DUR	15678VULN|2LWND|379LHND|467DUR|67BPWR|aRCR
67	56533 21222	10	 * 	257.60	DCR|5VULN|1TLV|1AART	1359aVULN|23FEWX|3BPWR|4ASPD|6TLV|7AART|8RCR
68	56633 21222	10	   	257.50	DCR|5VULN|1TLV|1AART	1359aVULN|2FEWX|4ASPD|6TLV|7AART|8RCR
69	42631 41131	1	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|2RCVC|3TLV|49VULN|569DUR|78RMIN|9BPWR|aRCR
70	43431 41131	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|2RCVC|3TLV|49VULN|569DUR|78RMIN|9BPWR|aRCR
71	43631 41131	2	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|2RCVC|3TLV|49VULN|569DUR|78RMIN|9BPWR|aRCR
72	51541 12232	4	   	257.25	DCR|3VULN|2DUR|1TLV|1AART	137VULN|28DUR|4AART|5LIT|6ASPD|9TLV|aRCR
73	51541 12232	3	   	257.25	DCR|3VULN|2DUR|1TLV|1AART	137VULN|28DUR|4AART|5LIT|6ASPD|9TLV|aRCR
74	51541 23232	5	   	257.25	DCR|3VULN|2DUR|1TLV|1AART	137VULN|25DUR|4AART|6LIT|8ASPD|9TLV|aRCR
75	51542 23232	3	   	257.25	DCR|3VULN|2DUR|1TLV|1AART	137VULN|25DUR|4AART|6LIT|8ASPD|9TLV|aRCR
76	51542 23232	4	   	257.25	DCR|3VULN|2DUR|1TLV|1AART	137VULN|25DUR|4AART|6LIT|8ASPD|9TLV|aRCR
77	52533 22411	9	   	257.17	DCR|5VULN|3ASPD|3LIT	1359aVULN|2BEXP|49aASPD|6RCR|7RCVC|89aLIT|9aBPWR
78	51131 11136	6	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|257DUR|3DUST|4ERES|67DMG|7BPWR|8BELT|9TLV|aRCR
79	51533 22412	9	   	257.03	DCR|4VULN|2DUR|2ASPD|2LIT	1359VULN|2aDUR|49ASPD|6RCR|7RCVC|89LIT|9BPWR
80	36212 36253	2	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9LWND|aLIT
81	36212 36336	2	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RMIN|9ASPD|aRCR
82	56533 21223	10	   	255.51	DCR|4VULN|1TLV|1DUR|1AART	1359VULN|23FEWX|3BPWR|4ASPD|6TLV|7AART|8RCR|aDUR
83	56633 21223	10	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1359VULN|2FEWX|4ASPD|6TLV|7AART|8RCR|aDUR
84	51252 32341	5	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	169VULN|29DUR|3LHND|4RMIN|56ASPD|69BPWR|7TBNT|89TLV|aRCR
85	31463 32523	10	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	1aTLV|2RMIN|34ASPD|58aVULN|6aDUR|7RCVC|9RCR|aBPWR
86	51152 32341	5	   	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	169VULN|29DUR|3DUST|4RMIN|56ASPD|69BPWR|7TBNT|89TLV|aRCR
87	36212 36241	2	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	17TLV|29AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|aFEWX
88	36212 36242	2	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	17TLV|29AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|aLHND
89	36212 36243	2	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	17TLV|29AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|aBEXP
90	36212 36252	2	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	17TLV|2aAART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9LWND
91	51532 22413	9	 * 	255.02	DCR|3VULN|1TLV|3ASPD|1DUR|2LIT	139VULN|2DUR|459ASPD|6RCR|7RCVC|89LIT|9BPWR|aTLV
92	52541 33233	5	   	254.66	DCR|2VULN|3DMG|1TLV|1DUR|1AART	13VULN|2BEXP|4AART|5DUR|67aDMG|8RCR|9TLV
93	52542 33233	3	   	254.66	DCR|2VULN|3DMG|1TLV|1DUR|1AART	13VULN|2BEXP|4AART|5DUR|67aDMG|8RCR|9TLV
94	52542 33233	4	   	254.66	DCR|2VULN|3DMG|1TLV|1DUR|1AART	13VULN|2BEXP|4AART|5DUR|67aDMG|8RCR|9TLV
95	43131 51523	10	   	254.38	DCR|3VULN|2DMG|2TLV	1aDMG|2RCVC|3DMSP|4aTLV|5BEXP|6ASPD|78aVULN|9RCR|aBPWR
96	56533 21212	8	   	254.31	DCR|4VULN|1TLV|2LIT|1AART	135aVULN|23aFEWX|3aBPWR|4ASPD|6TLV|7AART|8RCR|9aLIT
97	31211 34251	10	   	254.28	DCR|3VULN|2DMG|2TLV	18TLV|27RMIN|38DMG|4ERES|5LIT|689VULN|8BPWR|aRCR
98	31243 35251	10	   	254.28	DCR|3VULN|2DMG|2TLV	18TLV|2RMIN|38DMG|4RCVC|5ERES|6LIT|789VULN|8BPWR|aRCR
99	35211 36251	10	   	254.28	DCR|3VULN|2DMG|2TLV	18TLV|2ZMB|38DMG|4ERES|5LIT|689VULN|7RCVC|8BPWR|aRCR
100	56633 21212	8	   	254.21	DCR|4VULN|1TLV|2LIT|1AART	135aVULN|2aFEWX|4ASPD|6TLV|7AART|8RCR|9aLIT|aBPWR
101	53126 34231	3	   	254.19	DCR|3VULN|2TLV|1DMG|1DUR|1AART	16aVULN|2ERES|3DUR|4AART|56TLV|6BPWR|7DMG|8RCR|9BEXP
102	43112 61224	9	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDMG|2RCVC|3DMSP|4aDUR|5TLV|6LWND|7AART|8RCR|9aVULN|aBPWR
103	43112 11224	9	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDMG|2RCVC|3DMSP|4aDUR|5TLV|6DUST|7AART|8RCR|9aVULN|aBPWR
104	46112 11224	9	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDMG|23DMSP|4aDUR|5TLV|6DUST|7AART|8RCR|9aVULN|aBPWR
105	51533 24213	6	   	253.69	DCR|4VULN|1TLV|2ASPD|1DUR	1359VULN|2DUR|49ASPD|6RCR|7TBNT|89LHND|9BPWR|aTLV
106	51533 26213	6	   	253.69	DCR|4VULN|1TLV|2ASPD|1DUR	1359VULN|2DUR|49ASPD|6RCR|7BBNT|89LHND|9BPWR|aTLV
107	51311 44233	5	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	15VULN|24DUR|3FEWX|6AART|7aDMG|8RCR|9TLV
108	52541 33231	5	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	13VULN|2BEXP|4AART|5aDUR|67DMG|8RCR|9TLV
109	52542 33231	4	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	13VULN|2BEXP|4AART|5aDUR|67DMG|8RCR|9TLV
110	52542 33231	3	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	13VULN|2BEXP|4AART|5aDUR|67DMG|8RCR|9TLV
111	54126 21112	1	   	253.31	DCR|2VULN|3DMG|1TLV|1DUR	17VULN|2TLV|3LIT|456DMG|8LHND|9DUR|aRCR
112	41262 35212	8	   	253.31	DCR|2VULN|3DMG|1TLV|1DUR	138DMG|2RMIN|48ERES|5TLV|6LIT|78VULN|8BPWR|9DUR|aRCR
113	41262 35222	9	   	253.31	DCR|2VULN|3DMG|1TLV|1DUR	138DMG|2RMIN|48ERES|5TLV|6LIT|78VULN|8BPWR|9DUR|aRCR
114	51611 43121	9	   	253.26	DCR|4VULN|1DMG|1DUR|1CDMG	1679VULN|2DUR|3CGEN|4CDMG|5LIT|8RCR|aDMG
115	41222 22663	8	 * 	253.18	DCR|2VULN|3DMG|3TLV|1DUR	138DMG|2RMIN|4MLV|578TLV|68VULN|8BPWR|9DUR|aRCR
116	41231 51343	3	   	253.18	DCR|2VULN|3DMG|2TLV|1DUR	139DMG|2RMIN|49VULN|5DUR|6TBNT|7FEWX|89TLV|9BPWR|aRCR
117	41231 53343	3	   	253.18	DCR|2VULN|3DMG|2TLV|1DUR	139DMG|2RMIN|49VULN|5DUR|6TBNT|7LHND|89TLV|9BPWR|aRCR
118	41231 62343	3	   	253.18	DCR|2VULN|3DMG|2TLV|1DUR	139DMG|2RMIN|49VULN|5DUR|6FEWX|7TBNT|89TLV|9BPWR|aRCR
119	53111 43121	9	   	253.16	DCR|4VULN|1DMG|1DUR|1CDMG	1679VULN|2ERES|3DUR|4CDMG|5LIT|8RCR|aDMG
120	53111 43123	10	   	253.16	DCR|4VULN|1DMG|1DUR|1CDMG	1679VULN|2ERES|3DUR|4CDMG|5LIT|8RCR|aDMG
121	51533 21111	10	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	135VULN|2DUR|4ASPD|6RCR|7CGEN|8LIT|9DMG|aTLV
122	51533 23111	10	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	135VULN|2DUR|4ASPD|6RCR|7MLV|8LIT|9DMG|aTLV
123	51533 25133	10	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	135VULN|2DUR|4ASPD|6RCR|7LHND|8DMG|9TLV|aLIT
124	51533 26111	10	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	135VULN|2DUR|4ASPD|6RCR|7ZMB|8LIT|9DMG|aTLV
125	54412 31312	4	   	253.00	DCR|4VULN|3DUR|1CDMG	1567VULN|2LHND|37FEWX|467DUR|67BPWR|8CDMG|9BEXP|aRCR
126	56212 31312	4	   	253.00	DCR|4VULN|3DUR|1CDMG	1567VULN|2FEWX|37LHND|467DUR|67BPWR|8CDMG|9BEXP|aRCR
127	56212 31352	4	   	253.00	DCR|4VULN|3DUR|1CDMG	1567VULN|29FEWX|37LHND|467DUR|67BPWR|8CDMG|aRCR
128	44131 11432	5	   	252.96	DCR|3DMG|1VULN|2TLV|2DUR|2LIT	158DMG|28LHND|36DUR|45LIT|58BPWR|78TLV|9VULN|aRCR
129	51236 13341	5	   	252.94	DCR|3VULN|2TLV|1DMG|1DUR	179VULN|2DUR|39LHND|4ASPD|5DMG|6TBNT|89TLV|9BPWR|aRCR
130	51336 13341	5	   	252.94	DCR|3VULN|2TLV|1DMG|1DUR	179VULN|2DUR|39FEWX|4ASPD|5DMG|6TBNT|89TLV|9BPWR|aRCR
131	51336 13341	4	   	252.94	DCR|3VULN|2TLV|1DMG|1DUR	179VULN|2DUR|39FEWX|4ASPD|5DMG|6TBNT|89TLV|9BPWR|aRCR
132	51611 42123	9	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	169VULN|27DUR|3CGEN|4CDMG|5LIT|8RCR|aTLV
133	53111 42123	9	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	169VULN|2ERES|37DUR|4CDMG|5LIT|8RCR|aTLV
134	53111 42124	10	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	169VULN|2ERES|37DUR|4CDMG|5LIT|8RCR|aTLV
135	54112 31362	4	   	252.80	DCR|4VULN|3DUR|1CDMG	1567VULN|29LHND|37DUST|467DUR|67BPWR|8CDMG|aRCR
136	43532 32322	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
137	43532 32322	8	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
138	43532 33322	6	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
139	43532 43322	5	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
140	43533 43322	4	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5LWND|6TLV|78aVULN|9RCR|aBPWR
141	43534 32322	8	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5TLV|6LHND|78aVULN|9RCR|aBPWR
142	43534 32322	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5TLV|6LHND|78aVULN|9RCR|aBPWR
143	43534 33322	5	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5TLV|6LWND|78aVULN|9RCR|aBPWR
144	43534 33322	6	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2RCVC|3aLIT|4DLOT|5TLV|6LHND|78aVULN|9RCR|aBPWR
145	46532 32322	8	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2DMSP|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
146	46532 32322	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2DMSP|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
147	46532 33322	6	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2DMSP|3aLIT|4DLOT|5LHND|6TLV|78aVULN|9RCR|aBPWR
148	51533 34221	10	   	252.51	DCR|3VULN|3DUR|1TLV	135VULN|267DUR|4ASPD|8RCR|9TLV|aBEXP
149	51533 34223	9	   	252.51	DCR|3VULN|3DUR|1TLV	135VULN|267DUR|4ASPD|8RCR|9TLV|aLWND
150	31636 31531	8	   	252.48	DCR|3VULN|3DUR|2TLV	19TLV|2RMIN|3RCVC|4ZMB|569DUR|789VULN|9BPWR|aRCR
151	43112 51223	10	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1aDMG|2RCVC|38DMSP|4aDUR|5TLV|6ASPD|7aVULN|9RCR|aBPWR
152	51533 34223	10	   	252.41	DCR|3VULN|3DUR|1TLV	135VULN|267DUR|4ASPD|8RCR|9TLV|aERES
153	51533 34233	8	   	252.41	DCR|3VULN|3DUR|1TLV	135VULN|267DUR|4ASPD|8RCR|9TBNT|aTLV
154	33416 21631	7	 * 	252.38	DCR|3VULN|3DUR|3TLV	139TLV|2RCVC|459DUR|679VULN|8RCR|9BPWR|aBEXP
155	33416 21631	6	   	252.38	DCR|3VULN|3DUR|3TLV	139TLV|2RCVC|459DUR|679VULN|8RCR|9BPWR|aBEXP
156	33416 21632	6	   	252.38	DCR|3VULN|3DUR|3TLV	139TLV|2RCVC|459DUR|679VULN|8RCR|9BPWR|aMLV
157	33416 21632	7	   	252.38	DCR|3VULN|3DUR|3TLV	139TLV|2RCVC|459DUR|679VULN|8RCR|9BPWR|aMLV
158	33416 21633	6	   	252.38	DCR|3VULN|3DUR|3TLV	139TLV|2RCVC|459DUR|679VULN|8RCR|9BPWR|aZMB
159	33416 21633	7	   	252.38	DCR|3VULN|3DUR|3TLV	139TLV|2RCVC|459DUR|679VULN|8RCR|9BPWR|aZMB
160	31261 14341	3	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19TLV|2RMIN|39DMG|4LWND|56DUR|7TBNT|89VULN|9BPWR|aRCR
161	31261 16341	3	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19TLV|2RMIN|39DMG|4LWND|56DUR|7BBNT|89VULN|9BPWR|aRCR
162	33412 13354	9	 * 	252.11	DCR|2VULN|2DMG|3TLV|2DUR	135TLV|2RCVC|4aDUR|6aDMG|7RPLT|8aVULN|9RCR|aBPWR
163	33412 13356	10	   	252.11	DCR|2VULN|2DMG|3TLV|2DUR	135TLV|2RCVC|4aDUR|6aDMG|7RPLT|8aVULN|9RCR|aBPWR
164	51512 41312	3	   	252.02	DCR|4VULN|2DUR|1TLV	1357VULN|25DUR|4RCVC|5BPWR|6CGEN|8TBNT|9RCR|aTLV
165	53114 33263	6	   	251.92	DCR|4VULN|2DUR|3CDMG	168aVULN|27ERES|38DUR|468CDMG|5RMIN|68BPWR|9RCR
166	41235 33322	3	   	251.90	DCR|3VULN|3DMG|1DUR	135DMG|2RMIN|456VULN|56BPWR|7DUR|8LWND|9LIT|aRCR
167	51336 51121	6	   	251.55	DCR|2VULN|3DMG|2DUR|1AART	17VULN|27DUR|3FEWX|4ASPD|567DMG|7BPWR|8LHND|9RCR|aAART
