0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14363 26332	2	 * 	276.85	DCR|4VULN|3DUR|2DMG|1SELL	157LWND|279aVULN|3SELL|47aDUR|6RCR|7aBPWR|8aDMG
51	21534 11231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1RCVC|2aDMG|3aDUR|4ASPD|5LWND|6TBNT|79aVULN|8RCR|aBPWR
52	21536 11231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1RCVC|2aDMG|3aDUR|4ASPD|5FEWX|6TBNT|79aVULN|8RCR|aBPWR
53	21536 51231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1RCVC|2aDMG|3aDUR|4ASPD|5FEWX|6BBNT|79aVULN|8RCR|aBPWR
54	34321 23231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1aFEWX|29aVULN|37DUR|4ASPD|5BBNT|6aDMG|8RCR|aBPWR
55	21522 66222	9	   	250.83	DCR|3VULN|2DMG|2DUR	1RCVC|24DMG|34DUR|4BPWR|59aVULN|6ASPD|7CGEN|8RCR
56	21522 54222	9	   	250.73	DCR|3VULN|2DMG|2DUR	1RCVC|24DMG|34DUR|4BPWR|59aVULN|6ERES|7ASPD|8RCR
57	21522 16161	8	   	250.73	DCR|3VULN|2DMG|2DUR	1RCVC|24DMG|34DUR|4BPWR|578VULN|6LIT|9RCR|aLEGI
58	21522 16163	8	   	250.73	DCR|3VULN|2DMG|2DUR	1RCVC|24DMG|34DUR|4BPWR|578VULN|6LIT|9RCR|aTBNT
59	21522 16261	7	   	250.73	DCR|3VULN|2DMG|2DUR	1RCVC|24DMG|34DUR|4BPWR|578VULN|6LIT|9RCR|aLEGI
60	21522 16263	7	   	250.73	DCR|3VULN|2DMG|2DUR	1RCVC|24DMG|34DUR|4BPWR|578VULN|6LIT|9RCR|aTBNT
61	43131 62122	4	   	250.68	DCR|2VULN|3DMG|3TLV|1CDMG	149TLV|2RMIN|34MLV|49BPWR|579DMG|6RCR|89VULN|aCDMG
62	43331 62122	4	   	250.68	DCR|2VULN|3DMG|3TLV|1CDMG	149TLV|2RMIN|34CGEN|49BPWR|579DMG|6RCR|89VULN|aCDMG
63	41261 62122	4	   	250.48	DCR|2VULN|3DMG|3TLV|1CDMG	139TLV|2ERES|4RMIN|579DMG|6RCR|89VULN|9BPWR|aCDMG
64	21251 53232	10	   	249.93	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|27aDMG|37CGEN|4aASPD|5BEXP|67DUR|7aBPWR|8RCR|9aVULN
65	21532 43232	10	   	249.93	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|27aDMG|37DUR|4aASPD|5CGEN|67BEXP|7aBPWR|8RCR|9aVULN
66	21531 43232	10	   	249.83	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|27aDMG|37DUR|4aASPD|5ERES|67BEXP|7aBPWR|8RCR|9aVULN
67	21535 43232	10	   	249.83	DCR|2VULN|3DMG|2DUR|2ASPD	1RCVC|27aDMG|37DUR|4aASPD|5DUST|67CGEN|7aBPWR|8RCR|9aVULN
68	14323 26352	2	 * 	248.65	DCR|4VULN|3DMG|1SELL	157LWND|279aVULN|3SELL|479aLHND|6RCR|79aBPWR|89aDMG
69	32613 32244	4	 * 	248.49	DCR|4VULN|3DMG	178FEWX|2ERES|3RMIN|4DLOT|578aVULN|678DMG|78BPWR|9RCR
70	43226 23133	9	   	248.07	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|2RMIN|39VULN|4CDMG|5MBVNT|6LEGI|7DMG|89DUR|9BPWR|aRCR
71	42523 35113	7	   	248.07	DCR|2VULN|3TLV|2DUR|1DMG|1CDMG	124TLV|34DUR|4BPWR|58VULN|6DMG|7RPLT|9CDMG|aRCR
72	14511 33611	9	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1LWND|28aVULN|3LIT|4AART|5CDMG|6TLV|7RCR|9DUR
73	14511 33613	10	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1LWND|28aVULN|3LIT|4AART|5CDMG|6TLV|7RCR|9DUR
74	46311 13151	2	   	247.91	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1TLV|238VULN|4CDMG|5ASPD|6TBNT|7DUR|9AART|aRCR
75	21533 31231	6	   	247.88	DCR|2VULN|3DUR|1TLV|1DMG	1RCVC|2DMG|356DUR|4ASPD|79VULN|8RCR|aTLV
76	21534 52231	7	   	247.88	DCR|2VULN|3DUR|1TLV|1DMG	1RCVC|2DMG|367DUR|4ASPD|59VULN|8RCR|aTLV
77	14162 26131	9	   	247.85	DCR|2VULN|3DUR|2TLV|1DMG	19LWND|25VULN|39TLV|4RPLT|689DUR|7RCR|9BPWR|aDMG
78	42521 12325	5	 * 	247.75	DCR|2VULN|3DUR|3TLV|2CDMG	124TLV|34aDUR|4aBPWR|5aCDMG|6LWND|7RCR|8BEXP|9aVULN
79	42211 63423	4	   	247.75	DCR|2VULN|3DUR|3TLV|1DMG	129TLV|3CGEN|4RCVC|59VULN|6RCR|789DUR|9BPWR|aDMG
80	42212 63423	5	   	247.75	DCR|2VULN|3DUR|3TLV|1DMG	129TLV|3CGEN|4RCVC|59VULN|6RCR|789DUR|9BPWR|aDMG
81	42232 63423	5	   	247.75	DCR|2VULN|3DUR|3TLV|1DMG	129TLV|35CGEN|49VULN|6RCR|789DUR|9BPWR|aDMG
82	41211 63423	4	   	247.65	DCR|2VULN|3DUR|3TLV|1DMG	139TLV|2ERES|4RCVC|59VULN|6RCR|789DUR|9BPWR|aDMG
83	41212 63423	5	   	247.65	DCR|2VULN|3DUR|3TLV|1DMG	139TLV|2ERES|4RCVC|59VULN|6RCR|789DUR|9BPWR|aDMG
84	42523 23151	6	   	247.65	DCR|2VULN|3DUR|3TLV|1DMG	124TLV|347DUR|4BPWR|56VULN|8BEXP|9RCR|aDMG
85	42523 24233	6	   	247.65	DCR|2VULN|3DUR|3TLV|1DMG	124TLV|348DUR|4BPWR|56VULN|7ZMB|9RCR|aDMG
86	46162 11133	9	   	247.56	DCR|3VULN|2TLV|2DUR	19TLV|259VULN|3LWND|4RPLT|6ASPD|7RMIN|89DUR|9BPWR|aRCR
87	46323 41132	8	   	247.56	DCR|3VULN|2TLV|2DUR	17TLV|278VULN|3LIT|4ZMB|57DUR|6BELT|7BPWR|9RCR|aRCVC
88	41332 63423	5	   	247.55	DCR|2VULN|3DUR|3TLV|1DMG	159TLV|24ERES|39VULN|6RCR|789DUR|9BPWR|aDMG
89	41231 63423	5	   	247.55	DCR|2VULN|3DUR|3TLV|1DMG	139TLV|25ERES|49VULN|6RCR|789DUR|9BPWR|aDMG
90	21522 43332	10	   	247.33	DCR|2VULN|3DMG|2DUR|1CDMG	1RCVC|247DMG|34DUR|47BPWR|57VULN|67BEXP|8RPLT|9RCR|aCDMG
91	42523 43131	9	   	247.26	DCR|3VULN|3TLV|2DUR	124TLV|34DUR|4BPWR|579VULN|6ERES|8ASPD|aRCR
92	42333 63325	1	   	247.19	DCR|2VULN|2DMG|2TLV|1DUR|1AART	19TLV|2DUR|39VULN|4BEXP|5ERES|69DMG|7AART|8BELT|9BPWR|aRCR
