0	Index      	 *	Score 	Summary	Detail	
1	51338 51422	 * 	180.07	DCR|3VULN|2AART|3CDMG	1MLV|25aCDMG|3MBVNT|458VULN|5BPWR|6RCR|79AART
33	11335 54172	   	168.32	DCR|2VULN|2DMG|1AART|1ZMB	18DUST|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9ZMB|aRCR
34	31333 13444	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2FEWX|3AART|4aVULN|5RPLT|6DMG|7RCR|8ASPD|9CDMG
35	31333 13614	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2FEWX|3AART|4aVULN|5RPLT|6DMG|7RCR|8CDMG|9ASPD
36	51337 51421	   	167.61	DCR|3VULN|2AART|1CDMG	1MLV|2CDMG|3MBVNT|458VULN|6RCR|79AART|aRCVC
37	51337 51424	   	167.61	DCR|3VULN|2AART|1CDMG	1MLV|2CDMG|3MBVNT|458VULN|6RCR|79AART|aCGEN
38	51337 51423	   	167.51	DCR|3VULN|2AART|1CDMG	1MLV|2CDMG|3MBVNT|458VULN|6RCR|79AART|aERES
39	31333 13661	 * 	166.99	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|2FEWX|3AART|4aVULN|5RPLT|6DMG|7RCR|89CDMG
40	31333 13665	   	166.99	DCR|2DMG|1AART|1VULN|2CDMG	1BEXP|2FEWX|3AART|4VULN|5RPLT|6aDMG|7RCR|89CDMG
41	31335 54141	   	166.85	DCR|2VULN|2DMG|1AART|1DUR	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR|aDUR
42	31331 33323	   	166.78	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1BEXP|2FEWX|3AART|4VULN|5DUST|6aDMG|7FLTHEA|8ZMB|9RCR
43	11343 22155	 * 	166.68	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1DUST|2FEWX|3AART|46ASPD|5ZMB|7DMG|8aVULN|9RCR
44	33546 22131	 * 	166.12	DCR|3VULN|3DMG	14BEXP|2RPLT|345DMG|4BPWR|6CANHEL|79aVULN|8RCR
45	55612 31223	   	166.10	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB|1DUR	1MLV|2aVULN|3ZMB|4TLV|5AART|6CDMG|7FLTHEA|8DUR|9RCR
46	51523 32323	   	165.98	DCR|2VULN|2DMG|2CDMG|1ZMB	16MLV|2aCDMG|3CGEN|4FEWX|5aDMG|7ZMB|8RCR|9aVULN|aBPWR
47	51553 32323	   	165.98	DCR|2VULN|2DMG|2CDMG|1ZMB	16MLV|2aCDMG|3CGEN|4LWND|5aDMG|7ZMB|8RCR|9aVULN|aBPWR
48	51338 53431	   	165.97	DCR|2VULN|3CDMG|1DMG|1ZMB|1DUR	1MLV|257CDMG|3MBVNT|45VULN|5BPWR|6RCR|8DUR|9DMG|aZMB
49	66221 31412	 * 	165.92	DCR|2VULN|2DMG|2CDMG|1FLTHEA	1LEGI|27CDMG|3FLTHEA|47DUST|57DMG|6DMSP|7BPWR|8aVULN|9RCR
50	51513 32323	   	165.88	DCR|2VULN|2DMG|2CDMG|1ZMB	16MLV|2aCDMG|3CGEN|4DUST|5aDMG|7ZMB|8RCR|9aVULN|aBPWR
51	14134 32343	   	165.33	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1DUST|2DMSP|35DMG|4VULN|6SELL|7ZMB|8RCR|9AART|aCDMG
52	51337 54213	   	165.33	DCR|4VULN|1DMG|1CDMG	1MLV|2CDMG|3MBVNT|457aVULN|6RCR|8CGEN|9DMG
53	51337 54221	   	165.33	DCR|4VULN|1DMG|1CDMG	1MLV|2CDMG|3MBVNT|4579VULN|6RCR|8CGEN|aDMG
54	51337 54441	   	165.33	DCR|4VULN|1DMG|1CDMG	1MLV|2CDMG|3MBVNT|4578VULN|6RCR|9CGEN|aDMG
55	51338 54412	 * 	165.33	DCR|4VULN|2CDMG|1FLTHEA	1MLV|25CDMG|3MBVNT|4578VULN|5BPWR|6RCR|9RPLT|aFLTHEA
56	55631 31322	 * 	164.79	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1ASPD	1MLV|249VULN|3ZMB|5RCR|6DUST|7ASPD|8DMG|aFLTHEA
57	51338 54212	   	164.58	DCR|3VULN|1DMG|2CDMG|1DUR	1MLV|25CDMG|3MBVNT|457VULN|5BPWR|6RCR|8CGEN|9DMG|aDUR
58	51338 54422	 * 	164.51	DCR|5VULN|2CDMG	1MLV|25CDMG|3MBVNT|45789VULN|5BPWR|6RCR|aBEXP
59	51338 54423	   	164.51	DCR|5VULN|2CDMG	1MLV|25CDMG|3MBVNT|45789VULN|5BPWR|6RCR|aBELT
60	51338 54424	   	164.51	DCR|5VULN|2CDMG	1MLV|25CDMG|3MBVNT|45789VULN|5BPWR|6RCR|aRCVC
61	31335 54112	   	164.45	DCR|2VULN|2DMG|1AART|1ASPD	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9ASPD|aRCR
62	51338 51322	   	164.41	DCR|2VULN|2AART|3CDMG	18MLV|25aCDMG|3MBVNT|45VULN|5BPWR|6RCR|79AART
63	51338 54421	   	164.41	DCR|5VULN|2CDMG	1MLV|25CDMG|3MBVNT|45789VULN|5BPWR|6RCR|aDUST
64	51338 54433	   	164.41	DCR|5VULN|2CDMG	1MLV|25CDMG|3MBVNT|4578aVULN|5BPWR|6RCR|9DUST
65	51332 47263	 * 	164.40	DCR|3VULN|1AART|1CDMG|2DUR	1aMLV|2CDMG|3MBVNT|49aVULN|5aDUR|6AART|7RPLT|8RCR|aBPWR
66	11335 54112	   	164.25	DCR|2VULN|2DMG|1AART|1ASPD	18DUST|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9ASPD|aRCR
67	34134 13332	   	164.21	DCR|2VULN|2DMG|1AART	19BEXP|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aLHND
68	34134 13333	   	164.21	DCR|2VULN|2DMG|1AART	19BEXP|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aRCVC
69	34134 13335	   	164.21	DCR|2VULN|2DMG|1AART	19BEXP|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aFEWX
70	31343 32155	 * 	164.12	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	16BEXP|2FEWX|3AART|4ASPD|56ZMB|6BPWR|7DMG|8aVULN|9RCR
71	34134 13334	   	164.11	DCR|2VULN|2DMG|1AART	19BEXP|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aTLV
72	51382 37423	   	164.11	DCR|2VULN|2DMG|2CDMG|1ASPD	1MLV|26CDMG|3MBVNT|46DMG|5RCVC|6BPWR|7RCR|8ASPD|9aVULN
73	14134 13332	   	164.01	DCR|2VULN|2DMG|1AART	19DUST|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aLHND
74	14134 13333	   	164.01	DCR|2VULN|2DMG|1AART	19DUST|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aRCVC
75	14134 13335	   	164.01	DCR|2VULN|2DMG|1AART	19DUST|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aFEWX
76	34134 13352	   	164.01	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|35DMG|49VULN|6RCR|7LIT|8AART|aLHND
77	34134 13353	   	164.01	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|35DMG|49VULN|6RCR|7LIT|8AART|aRCVC
78	14134 13334	   	163.91	DCR|2VULN|2DMG|1AART	19DUST|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aTLV
79	14134 13352	   	163.91	DCR|2VULN|2DMG|1AART	1DUST|2DMSP|35DMG|49VULN|6RCR|7LIT|8AART|aLHND
80	14134 13353	   	163.91	DCR|2VULN|2DMG|1AART	1DUST|2DMSP|35DMG|49VULN|6RCR|7LIT|8AART|aRCVC
81	31331 33322	   	162.84	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1BEXP|2FEWX|3AART|4VULN|5DUST|6DMG|7FLTHEA|8ZMB|9RCR|aCDMG
82	34134 11235	   	162.81	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|35DMG|49VULN|6RCR|7RPLT|8LIT|aAART
83	11334 35523	   	162.71	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1DUST|2FEWX|3AART|4VULN|5DUR|6aDMG|7CGEN|8FLTHEA|9RCR
84	14134 11235	   	162.71	DCR|2VULN|2DMG|1AART	1DUST|2DMSP|35DMG|49VULN|6RCR|7RPLT|8LIT|aAART
85	31333 13353	   	162.68	DCR|3VULN|1AART|1DMG	1BEXP|2FEWX|3AART|49aVULN|5RPLT|6DMG|7RCR|8CGEN
86	51338 51441	   	162.58	DCR|3VULN|1AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9RPLT|aFEWX
87	51338 51443	   	162.58	DCR|3VULN|1AART|2CDMG	1aMLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9RPLT
88	51338 51444	   	162.58	DCR|3VULN|1AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9RPLT|aCGEN
89	51338 51411	   	162.48	DCR|3VULN|1AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9NUKE|aRMIN
90	51338 51412	   	162.48	DCR|3VULN|1AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9NUKE|aBEXP
91	51338 51414	   	162.48	DCR|3VULN|1AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9NUKE|aLIT
92	51338 51442	   	162.48	DCR|3VULN|1AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9RPLT|aERES
93	43234 37447	 * 	162.47	DCR|4VULN|1AART|2ZMB	18VENICY|2LHND|3MBVNT|4678VULN|58ZMB|8BPWR|9RCR|aAART
94	51337 51413	   	162.38	DCR|3VULN|1AART|2CDMG	1MLV|2aCDMG|3MBVNT|458VULN|6RCR|7AART|9NUKE
95	33563 12352	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2RPLT|3DMG|468VULN|5ZMB|7DUR|9RCR|aCDMG
96	14144 13331	   	161.98	DCR|3DMG|1AART|1VULN	1DUST|2DMSP|359DMG|4LWND|6RCR|7LIT|8AART|aVULN
97	51338 53343	 * 	161.68	DCR|2VULN|3CDMG|1DMG|1FLTHEA	1MLV|257CDMG|3MBVNT|45VULN|5BPWR|6RCR|8FLTHEA|9LSRICY|aDMG
98	34132 61224	   	161.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2DMSP|3DMG|4aVULN|5AART|6CDMG|7CANSTR|8DUR|9RCR
99	52424 32323	   	161.42	DCR|3DMG|2VULN|1ZMB|1SELL	1aMLV|2LWND|35aDMG|4CGEN|6SELL|7ZMB|8RCR|9aVULN|aBPWR
100	14132 61224	   	161.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMSP|3DMG|4aVULN|5AART|6CDMG|7CANSTR|8DUR|9RCR
101	62651 22221	   	161.38	DCR|3VULN|1AART|1DMG	1LEGI|2LIT|3BELT|4BEXP|57aVULN|6RCR|8DMG|9AART
102	66131 33326	   	161.34	DCR|3VULN|1DMG|2CDMG|1ZMB	1LEGI|2aCDMG|3FEWX|4aSNIHEL|5DMG|6ZMB|78aVULN|9RCR|aBPWR
103	52414 32323	   	161.32	DCR|3DMG|2VULN|1ZMB|1SELL	1aMLV|2LWND|35aDMG|4TLV|6SELL|7ZMB|8RCR|9aVULN|aBPWR
104	14134 32321	   	161.12	DCR|3DMG|2VULN|1ZMB|1SELL	1DUST|2DMSP|35aDMG|49VULN|6SELL|7ZMB|8RCR
105	51382 31323	   	161.01	DCR|2VULN|2DMG|3CDMG	1aMLV|26aCDMG|3MBVNT|46DMG|5RCVC|6aBPWR|7LHND|8RCR|9aVULN
106	51382 33323	   	161.01	DCR|2VULN|2DMG|3CDMG	1aMLV|26aCDMG|3MBVNT|46DMG|5RCVC|6aBPWR|7LWND|8RCR|9aVULN
107	31333 13425	   	160.78	DCR|2VULN|1AART|1DMG|2ASPD	19BEXP|29FEWX|3AART|4aVULN|5RPLT|6DMG|7RCR|89ASPD|9BPWR
108	55431 11223	 * 	160.70	ACR|3VULN|1DMG|2ASPD|1CDMG	1MLV|24aVULN|3DMG|5RCR|6LWND|7aASPD|8CDMG|9aCGEN|aBPWR
109	31333 13351	   	160.68	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|49VULN|5RPLT|6DMG|7RCR|8CGEN|aCDMG
110	31333 13624	   	160.68	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|4aVULN|5RPLT|6DMG|7RCR|8CDMG|9RMIN
111	31333 13656	   	160.68	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|49VULN|5RPLT|6DMG|7RCR|8CDMG|aLWND
112	62136 43132	 * 	160.62	DCR|3DMG|2AART|2ZMB	1LEGI|27LIT|37ZMB|479DMG|56AART|7BPWR|8MLV|aRCR
113	31333 13634	   	160.58	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|4aVULN|5RPLT|6DMG|7RCR|8CDMG|9ERES
114	31333 13652	   	160.58	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|49VULN|5RPLT|6DMG|7RCR|8CDMG|aERES
115	31333 13653	   	160.58	DCR|2VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|49VULN|5RPLT|6DMG|7RCR|8CDMG|aLSRHEA
116	31343 12155	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	16BEXP|2FEWX|3AART|4ASPD|5ZMB|7DMG|8aVULN|9RCR
117	31335 54143	   	159.91	DCR|2VULN|2DMG|1AART	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR|aLHND
118	31335 54147	   	159.91	DCR|2VULN|2DMG|1AART	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR|aCGEN
119	31335 54148	   	159.91	DCR|2VULN|2DMG|1AART	18BEXP|2aFEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR
120	51338 51123	   	159.90	DCR|2VULN|3CDMG|1AART|1ASPD	1MLV|25aCDMG|3MBVNT|45VULN|5BPWR|6RCR|7AART|8FEWX|9ASPD
121	51338 51223	   	159.90	DCR|2VULN|3CDMG|1AART|1ASPD	1MLV|25aCDMG|3MBVNT|45VULN|5BPWR|6RCR|7AART|8LWND|9ASPD
122	44232 34347	 * 	159.85	DCR|4VULN|1AART|2DUR	1VENICY|26DUR|3MBVNT|4567VULN|6BPWR|8CGEN|9RCR|aAART
123	31335 54142	   	159.81	DCR|2VULN|2DMG|1AART	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR|aLEGI
124	31335 54146	   	159.81	DCR|2VULN|2DMG|1AART	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR|aDUST
125	51312 37127	 * 	159.77	DCR|3ZMB|3CDMG|1AART|1DMG	18MLV|268CDMG|3MBVNT|4RCVC|568ZMB|68BPWR|7RCR|9DMG|aAART
126	44232 34247	   	159.75	DCR|4VULN|1AART|2DUR	1VENICY|26DUR|3MBVNT|4567VULN|6BPWR|8ERES|9RCR|aAART
127	11331 66263	 * 	159.28	DCR|2VULN|1AART|2CDMG|2ZMB	157DUST|2FEWX|3AART|47VULN|67ZMB|7BPWR|8RCR|9aCDMG
128	34132 31361	   	159.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2DMSP|3DMG|49VULN|5AART|6DUR|7CDMG|8MLV|aRCR
129	14132 31361	   	159.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMSP|3DMG|49VULN|5AART|6DUR|7CDMG|8MLV|aRCR
130	34132 31461	   	159.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2DMSP|3DMG|49VULN|5AART|6DUR|7CDMG|8TLV|aRCR
131	14132 31461	   	159.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMSP|3DMG|49VULN|5AART|6DUR|7CDMG|8TLV|aRCR
132	51337 54412	   	158.92	DCR|4VULN|1CDMG|1FLTHEA	1MLV|2CDMG|3MBVNT|4578VULN|6RCR|9RPLT|aFLTHEA
133	51332 47261	   	158.91	DCR|3VULN|1AART|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|49aVULN|5DUR|6AART|7RPLT|8RCR
134	43532 51321	 * 	158.83	ACR|3VULN|1AART|1ZMB|1DUR|1SELL	1VENICY|2LHND|3RCR|458VULN|6DUR|7SELL|9ZMB|aAART
135	14132 22522	   	158.78	DCR|3VULN|1AART|1DMG	1DUST|2DMSP|3DMG|49aVULN|5AART|6CANSTR|7BASHEA|8RCR
136	14132 23522	   	158.78	DCR|3VULN|1AART|1DMG	1DUST|2DMSP|3DMG|49aVULN|5AART|6CANSTR|7LSRREG|8RCR
137	11334 35522	   	158.78	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|2FEWX|3AART|4VULN|5DUR|6DMG|7CGEN|8FLTHEA|9RCR|aCDMG
138	43532 31523	   	158.68	ACR|3VULN|1DMG|1CDMG|1DUR	1VENICY|26LHND|3RCR|456VULN|6BPWR|7LIT|8DMG|9DUR|aCDMG
139	51338 54414	   	158.62	DCR|4VULN|2CDMG|1ASPD	1MLV|25CDMG|3MBVNT|4578VULN|5BPWR|6RCR|9RPLT|aASPD
140	51338 53123	   	158.60	DCR|2VULN|3CDMG|1AART|1DUR	1MLV|257CDMG|3MBVNT|45VULN|5BPWR|6RCR|8NUKE|9AART|aDUR
141	51338 53223	   	158.60	DCR|2VULN|3CDMG|1AART|1DUR	1MLV|257CDMG|3MBVNT|45VULN|5BPWR|6RCR|8ERES|9AART|aDUR
142	51338 54432	   	158.52	DCR|4VULN|2CDMG|1DUR	1MLV|25CDMG|3MBVNT|4578VULN|5BPWR|6RCR|9DUST|aDUR
143	31333 13313	 * 	158.47	DCR|2AART|2VULN|1DMG	1BEXP|2FEWX|39AART|4aVULN|5RPLT|6DMG|7RCR|8CGEN
144	51382 37213	 * 	158.38	DCR|3DMG|1AART|2CDMG	1MLV|26CDMG|3MBVNT|469DMG|5RCVC|6BPWR|7RCR|8BEXP|aAART
145	51338 51321	   	158.37	DCR|2VULN|2AART|2CDMG	18MLV|25CDMG|3MBVNT|45VULN|5BPWR|6RCR|79AART|aRCVC
146	51338 51324	   	158.37	DCR|2VULN|2AART|2CDMG	18MLV|25CDMG|3MBVNT|45VULN|5BPWR|6RCR|79AART|aCGEN
147	51337 51322	   	158.27	DCR|2VULN|2AART|2CDMG	18MLV|2aCDMG|3MBVNT|45VULN|6RCR|79AART
148	51338 51323	   	158.27	DCR|2VULN|2AART|2CDMG	18MLV|25CDMG|3MBVNT|45VULN|5BPWR|6RCR|79AART|aERES
149	15431 22612	 * 	158.23	ACR|2VULN|2DMG|1AART	1DUST|24TLV|34DMG|4BPWR|5RCR|6BEXP|7CGEN|89VULN|aAART
150	35431 32612	   	158.23	ACR|2VULN|2DMG|1AART	1BEXP|24TLV|34DMG|4BPWR|5RCR|6DUST|7CGEN|89VULN|aAART
151	51337 54212	   	158.17	DCR|3VULN|1DMG|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|457VULN|6RCR|8CGEN|9DMG|aDUR
152	14134 11522	 * 	158.17	DCR|3DMG|1VULN|1CDMG|1DUR	1DUST|2DMSP|35aDMG|4VULN|6RCR|7RPLT|8DUR|9CDMG
153	15431 23612	   	158.13	ACR|2VULN|2DMG|1AART	1DUST|24TLV|34DMG|4BPWR|5RCR|6BEXP|7ERES|89VULN|aAART
154	35431 33612	   	158.13	ACR|2VULN|2DMG|1AART	1BEXP|24TLV|34DMG|4BPWR|5RCR|6DUST|7ERES|89VULN|aAART
155	51337 54422	   	158.09	DCR|5VULN|1CDMG	1MLV|2CDMG|3MBVNT|45789VULN|6RCR|aBEXP
156	51337 54423	   	158.09	DCR|5VULN|1CDMG	1MLV|2CDMG|3MBVNT|45789VULN|6RCR|aBELT
157	51337 54424	   	158.09	DCR|5VULN|1CDMG	1MLV|2CDMG|3MBVNT|45789VULN|6RCR|aRCVC
158	34133 52332	   	158.07	DCR|2VULN|2AART|1DMG	179BEXP|2DMSP|3DMG|49VULN|59LIT|6RCR|8aAART|9BPWR
159	31333 13352	   	158.03	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2FEWX|3AART|49VULN|5RPLT|6DMG|7RCR|8CGEN|aZMB
160	51337 54421	   	157.99	DCR|5VULN|1CDMG	1MLV|2CDMG|3MBVNT|45789VULN|6RCR|aDUST
161	51337 54433	   	157.99	DCR|5VULN|1CDMG	1MLV|2CDMG|3MBVNT|4578aVULN|6RCR|9DUST
162	66131 21411	   	157.89	DCR|2DMG|1AART|1VULN|2CDMG	1LEGI|27CDMG|36FEWX|47SNIHEL|57DMG|7BPWR|8VULN|9RCR|aAART
163	35431 31216	 * 	157.82	ACR|3DMG|2VULN|1ASPD	1aBEXP|24TLV|34aDMG|4aBPWR|5RCR|6DUST|7ASPD|8BELT|9aVULN
164	31334 31345	   	157.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|29FEWX|3AART|4VULN|5DUR|68DMG|7ZMB|aRCR
165	15431 21216	   	157.72	ACR|3DMG|2VULN|1ASPD	1aDUST|24TLV|34aDMG|4aBPWR|5RCR|6BEXP|7ASPD|8BELT|9aVULN
166	11334 31345	   	157.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|29FEWX|3AART|4VULN|5DUR|68DMG|7ZMB|aRCR
