0	Index      	 *	Score 	Summary	Detail	
1	11116 43513	 * 	192.27	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9DUR|aFLTHEA
18	11116 43512	   	178.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9DUR|aLHND
19	11116 43511	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9DUR|aERES
20	13631 21431	   	178.29	ACR|3VULN|2DMG|1AART	178VULN|2MGNLIT|3AART|4BELT|5RCR|6LSRICY|9aDMG
21	15381 44345	 * 	178.26	DCR|2VULN|2DMG|1AART|1FLTHEA	1aVULN|2aCGEN|3MBVNT|4FLTHEA|5LHND|6RCR|7AART|8aDMG|9DLOT|aBPWR
22	13623 23321	   	178.19	ACR|3VULN|2DMG|1AART	178VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|aBEXP
23	13623 23322	   	178.19	ACR|3VULN|2DMG|1AART	178VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|aLIT
24	13623 23323	   	178.19	ACR|3VULN|2DMG|1AART	178VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|aLHND
25	13623 23324	   	178.19	ACR|3VULN|2DMG|1AART	178VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|aFEWX
26	11116 63533	   	178.13	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	18VULN|2MLV|3ZMB|4CDMG|5DMG|6BEXP|7AART|9RCR|aFLTHEA
27	33116 43512	 * 	178.12	DCR|3DMG|2AART|1CDMG|1ZMB	1FEWX|2CGEN|3ZMB|4CDMG|57aDMG|6RCR|89AART
28	13623 23326	   	178.09	ACR|3VULN|2DMG|1AART	178VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|aERES
29	11116 43161	 * 	177.99	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1aVULN|28MLV|3ZMB|49CDMG|5DMG|6RCR|7AART
30	11116 43163	 * 	177.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|28MLV|3ZMB|49CDMG|5aDMG|6RCR|7AART
31	11116 44323	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7DUR|8LWND|9AART
32	11116 45123	   	177.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7LHND|8DUR|9AART
33	51116 42323	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|2DUR|3ZMB|4CDMG|5DMG|6RCR|7aVULN|8LWND|9AART
34	11116 41123	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7LEGI|8DUR|9AART
35	12316 35136	 * 	177.27	DCR|3VULN|3DMG|1CDMG	13aVULN|2LEGI|4CDMG|568DMG|7LWND|9RCR
36	12316 36136	   	177.27	DCR|3VULN|3DMG|1CDMG	13aVULN|2LEGI|4CDMG|568DMG|7LHND|9RCR
37	11413 42333	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|25MLV|3aDMG|4CDMG|6RCR|8ERES|9AART
38	11413 43131	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|25MLV|38DMG|4CDMG|6RCR|7NUKE|9AART
39	13265 33421	 * 	176.58	DCR|4VULN|1AART|2CDMG	189aVULN|2MGNLIT|38ERES|4LEGI|58CDMG|6RCR|7AART|8BPWR
40	13143 52252	   	176.42	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	168VULN|28MGNLIT|3ZMB|4RCR|56TLV|68BPWR|78DUR|9AART|aCDMG
41	13143 62252	   	176.42	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	168VULN|28MGNLIT|3ZMB|4RCR|5TLV|78DUR|8BPWR|9AART|aCDMG
42	12121 14146	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	15aVULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|9DUR
43	13665 23322	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	189VULN|2MGNLIT|3AART|4LWND|5DMG|6ERES|7RCR|aCDMG
44	13623 24325	   	176.18	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|7RCVC|aCDMG
45	63625 23322	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2BASICY|3AART|489VULN|5DMG|6ERES|7RCR|aCDMG
46	12316 23113	 * 	175.72	DCR|4VULN|2DMG|1CDMG	137aVULN|2LEGI|4CDMG|58DMG|6RCVC|9RCR
47	12316 33313	   	175.72	DCR|4VULN|2DMG|1CDMG	137aVULN|2LEGI|4CDMG|56DMG|8RCVC|9RCR
48	51116 43132	 * 	175.58	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	1MLV|2DUR|3ZMB|49CDMG|578DMG|6RCR|aVULN
49	13623 22266	 * 	175.55	ACR|3VULN|1AART|1DMG|2ZMB	18aVULN|2MGNLIT|3AART|4aTLV|5RCR|6DMG|7CGEN|9aZMB|aBPWR
50	53222 41316	 * 	175.55	ACR|3DMG|1AART|1VULN|1CDMG	1MLV|267DMG|3LIT|4RCR|5AART|8CDMG|9CGEN|aVULN
51	53222 41361	   	175.55	ACR|3DMG|1AART|1VULN|1CDMG	1MLV|267DMG|3LIT|4RCR|5AART|8CDMG|9VULN|aRMIN
52	53222 41362	   	175.55	ACR|3DMG|1AART|1VULN|1CDMG	1MLV|267DMG|3LIT|4RCR|5AART|8CDMG|9VULN|aBEXP
53	53222 41363	   	175.55	ACR|3DMG|1AART|1VULN|1CDMG	1MLV|267DMG|3LIT|4RCR|5AART|8CDMG|9VULN|aRCVC
54	13623 21266	   	175.45	ACR|3VULN|1AART|1DMG|2ZMB	18aVULN|2MGNLIT|3AART|4aTLV|5RCR|6DMG|7ERES|9aZMB|aBPWR
55	14316 23116	 * 	175.36	DCR|3VULN|2DMG|1CDMG|1FLTHEA	137VULN|2LWND|4CDMG|58DMG|6RCVC|9RCR|aFLTHEA
56	14316 33316	   	175.36	DCR|3VULN|2DMG|1CDMG|1FLTHEA	137VULN|2LWND|4CDMG|56DMG|8RCVC|9RCR|aFLTHEA
57	12316 23116	   	175.26	DCR|3VULN|2DMG|1CDMG|1FLTHEA	137VULN|2LEGI|4CDMG|58DMG|6RCVC|9RCR|aFLTHEA
58	12316 33316	   	175.26	DCR|3VULN|2DMG|1CDMG|1FLTHEA	137VULN|2LEGI|4CDMG|56DMG|8RCVC|9RCR|aFLTHEA
59	11413 42331	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|25MLV|3DMG|4CDMG|6RCR|8ERES|9AART
60	11413 43133	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|25MLV|38aDMG|4CDMG|6RCR|7NUKE|9AART
61	13225 23522	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	189VULN|2MGNLIT|3ERES|4LHND|5AART|6DMG|7RCR|aCDMG
62	13235 53322	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	189VULN|2MGNLIT|3ERES|4LWND|5AART|6DMG|7RCR|aCDMG
63	53222 32152	   	174.84	ACR|2VULN|2DMG|1AART|1ZMB	1MLV|27DMG|3LIT|4RCR|5AART|6LHND|8ZMB|9aVULN
64	13631 21433	   	174.80	ACR|4VULN|1AART|1DMG	178aVULN|2MGNLIT|3AART|4BELT|5RCR|6LSRICY|9DMG
65	53222 52152	   	174.74	ACR|2VULN|2DMG|1AART|1ZMB	1MLV|27DMG|3LIT|4RCR|5AART|6LEGI|8ZMB|9aVULN
66	11116 43113	   	174.68	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1VULN|28MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9DUR|aFLTHEA
67	13631 61343	 * 	174.50	ACR|5VULN|1AART|1ASPD	1689aVULN|2MGNLIT|3AART|4BELT|5RCR|7ASPD
68	13623 23341	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	178VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|9DUR|aASPD
69	13631 21416	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2MGNLIT|3AART|4BELT|5RCR|6LSRICY|9CDMG|aDMG
70	13623 23122	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	179VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|8BEXP|aCDMG
71	13623 23312	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|9FEWX|aCDMG
72	13623 23622	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	179VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|8LWND|aCDMG
73	13623 22321	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|7CGEN|8CDMG
74	11381 44357	 * 	174.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1VULN|2MLV|3MBVNT|4FLTHEA|5LHND|6RCR|7AART|8aDMG|9CDMG
75	13623 21321	   	174.15	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|7ERES|8CDMG
76	13623 25522	   	174.15	ACR|3VULN|1AART|1DMG|1CDMG	189VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|7DUST|aCDMG
77	13623 43222	 * 	174.15	ACR|3VULN|1AART|1DMG|2ASPD	17aVULN|2MGNLIT|3AART|4TLV|5RCR|68ASPD|9DMG
78	53222 41351	 * 	173.87	ACR|3DMG|2AART|1CDMG|1DUR	1MLV|267DMG|3LIT|4RCR|59AART|8CDMG|aDUR
79	53222 41352	   	173.87	ACR|3DMG|2AART|1CDMG|1ASPD	1MLV|267DMG|3LIT|4RCR|59AART|8CDMG|aASPD
80	53531 14213	   	173.16	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	18MLV|28DMG|3ASPD|4ZMB|58VULN|6DMSP|7AART|8BPWR|9RCVC|aRCR
81	53222 52241	   	173.00	ACR|3DMG|1AART|1VULN|1ZMB	18MLV|278DMG|38LIT|4RCR|5AART|6LEGI|8BPWR|9ZMB|aVULN
82	13623 23415	   	172.93	ACR|3VULN|1AART|1DMG|2DUR	17aVULN|2MGNLIT|3AART|4aTLV|5RCR|6DMG|8CGEN|9aDUR|aBPWR
83	13623 22215	   	172.93	ACR|3VULN|1AART|1DMG|2DUR	18aVULN|2MGNLIT|3AART|4aTLV|5RCR|6DMG|7CGEN|9aDUR|aBPWR
84	53222 41141	   	172.90	ACR|3DMG|1AART|1VULN|1ZMB	1MLV|267DMG|3LIT|4RCR|5AART|8LHND|9ZMB|aVULN
85	53222 41241	   	172.90	ACR|3DMG|1AART|1VULN|1ZMB	1MLV|267DMG|3LIT|4RCR|5AART|8LWND|9ZMB|aVULN
86	53222 32131	   	172.90	ACR|3DMG|1AART|1VULN|1ZMB	1MLV|279DMG|3LIT|4RCR|5AART|6LHND|8ZMB|aVULN
87	53222 43131	   	172.90	ACR|3DMG|1AART|1VULN|1ZMB	1MLV|269DMG|3LIT|4RCR|5AART|7BEXP|8ZMB|aVULN
88	13623 21215	   	172.83	ACR|3VULN|1AART|1DMG|2DUR	18aVULN|2MGNLIT|3AART|4aTLV|5RCR|6DMG|7ERES|9aDUR|aBPWR
89	13623 23515	   	172.83	ACR|3VULN|1AART|1DMG|2DUR	17aVULN|2MGNLIT|3AART|4aTLV|5RCR|6DMG|8ERES|9aDUR|aBPWR
90	13623 23343	   	172.83	ACR|3VULN|1AART|1DMG|2DUR	178VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|9aDUR
91	15432 34232	   	172.65	DCR|2VULN|2DMG|1AART|2DUR	18VULN|2CGEN|38DMG|4CANSTR|5DUST|68DUR|7RCR|8BPWR|9MLV|aAART
92	15323 81262	   	172.58	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|24CGEN|3MBVNT|5RCR|68DMG|78LSRREG|8BPWR|9AART|aCDMG
93	11381 41242	 * 	172.53	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	18VULN|28MLV|3MBVNT|4FLTHEA|5LHND|6RCR|78ASPD|8BPWR|9DMG|aAART
94	11382 41242	   	172.53	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	18VULN|28MLV|3MBVNT|4FLTHEA|5BEXP|6RCR|78ASPD|8BPWR|9DMG|aAART
95	11384 41242	   	172.53	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	18VULN|28MLV|3MBVNT|4FLTHEA|5FEWX|6RCR|78ASPD|8BPWR|9DMG|aAART
96	15381 41242	   	172.53	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	18VULN|28CGEN|3MBVNT|4FLTHEA|5LHND|6RCR|78ASPD|8BPWR|9DMG|aAART
97	15382 41242	   	172.53	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	18VULN|28CGEN|3MBVNT|4FLTHEA|5BEXP|6RCR|78ASPD|8BPWR|9DMG|aAART
98	15384 41242	   	172.53	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA	18VULN|28CGEN|3MBVNT|4FLTHEA|5FEWX|6RCR|78ASPD|8BPWR|9DMG|aAART
99	13631 21434	 * 	172.15	ACR|3VULN|2AART|1DMG	178VULN|2MGNLIT|3aAART|4BELT|5RCR|6LSRICY|9DMG
100	12126 13146	 * 	172.12	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1aVULN|2LEGI|3ZMB|4CGEN|5DMG|67AART|8RCR|9DUR
101	13622 14121	   	171.71	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	19aVULN|2MGNLIT|3AART|4TLV|5CDMG|6ASPD|7ZMB|8RCR
102	11116 43135	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|28MLV|3ZMB|4CDMG|5aDMG|6RCR|7AART|9RMIN
103	11116 43522	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9FEWX|aLHND
104	11116 43532	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9RMIN|aCGEN
105	11413 41135	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|3aDMG|4CDMG|6RCR|7AART|8RMIN|9ZMB
106	15116 43233	 * 	171.59	DCR|1AART|1DMG|1VULN|2ZMB|1CDMG|1FLTHEA	1VULN|2CGEN|39ZMB|4CDMG|5DMG|6RCR|7AART|8LWND|aFLTHEA
107	11116 43143	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|28MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9ERES
108	11116 43521	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9FEWX|aERES
109	11116 43533	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9RMIN|aERES
110	11116 43613	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7AART|8FEWX|9DUST
111	11116 43623	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7AART|8FEWX|9LEGI
112	13146 25112	   	171.10	ACR|3VULN|1AART|1DMG|1ZMB	167VULN|2MGNLIT|3ZMB|4RCR|5MGNSTR|8AART|9LIT|aDMG
113	33116 43534	   	170.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2CGEN|3ZMB|4CDMG|57DMG|6RCR|8AART|9MBVNT|aVULN
114	53222 42153	   	170.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MLV|26DMG|3LIT|4RCR|5AART|7FEWX|8ZMB|9VULN|aCDMG
115	53222 43153	   	170.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MLV|26DMG|3LIT|4RCR|5AART|7BEXP|8ZMB|9VULN|aCDMG
116	32133 34166	 * 	170.81	DCR|3VULN|2AART|1ZMB|1DUR	1FEWX|2LHND|3ZMB|4DUR|58AART|69aVULN|7RCR
117	53222 22652	   	170.77	ACR|2VULN|2DMG|1AART|1ASPD	1MLV|28DMG|3LIT|4RCR|5AART|6ASPD|7LWND|9aVULN
118	11113 43132	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|3ZMB|4CDMG|6RCR|78DMG|9AART|aLWND
119	11113 43136	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|3ZMB|4CDMG|6RCR|78DMG|9AART|aCGEN
120	11413 45132	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|38DMG|4CDMG|6RCR|7ZMB|9AART|aLWND
121	11113 42333	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|25MLV|3ZMB|4CDMG|6RCR|8ERES|9AART|aDMG
122	11113 43135	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|3ZMB|4CDMG|6RCR|78DMG|9AART|aTLV
123	11116 41623	   	170.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7LEGI|8DUST|9AART
124	12314 43153	 * 	170.22	DCR|2VULN|2AART|1DMG|1CDMG	13VULN|2LEGI|4CDMG|5LWND|69AART|7RCR|8FEWX|aDMG
125	12314 43325	   	170.12	DCR|2VULN|2AART|1DMG|1CDMG	13VULN|2LEGI|4CDMG|5LWND|69AART|7RCR|8ERES|aDMG
126	13623 23132	 * 	170.04	ACR|2AART|2VULN|1DMG|1CDMG	17VULN|2MGNLIT|39AART|4TLV|5RCR|6DMG|8BEXP|aCDMG
127	13623 14322	   	170.04	ACR|2AART|2VULN|1DMG|1CDMG	19VULN|2MGNLIT|37AART|4TLV|5RCR|6LWND|8DMG|aCDMG
128	13623 25532	   	169.94	ACR|2AART|2VULN|1DMG|1CDMG	18VULN|2MGNLIT|39AART|4TLV|5RCR|6DMG|7DUST|aCDMG
129	11416 43313	 * 	169.89	DCR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1DUR	1VULN|2MLV|3DMG|48CDMG|5NUKE|6RCR|7AART|9DUR|aFLTHEA
130	13143 52251	   	169.71	ACR|3VULN|1AART|2DUR|1ZMB|1ASPD	168VULN|28MGNLIT|3ZMB|4RCR|56TLV|68BPWR|78DUR|9AART|aASPD
131	13143 62251	   	169.71	ACR|3VULN|1AART|2DUR|1ZMB|1ASPD	168VULN|28MGNLIT|3ZMB|4RCR|5TLV|78DUR|8BPWR|9AART|aASPD
132	11321 15834	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	15aVULN|2MLV|3MBVNT|4CGEN|6AART|7DMG|8CDMG|9RCR
133	13623 23462	   	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|8CGEN|9ZMB|aCDMG
134	13623 22262	   	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|7CGEN|9ZMB|aCDMG
135	13621 23415	   	169.52	DCR|2AART|2VULN|1DMG|1CDMG	15VULN|2MGNLIT|37AART|46TLV|8RCR|9DMG|aCDMG
136	13665 23321	   	169.52	DCR|3VULN|1AART|1DMG|1ASPD	189VULN|2MGNLIT|3AART|4LWND|5DMG|6ERES|7RCR|aASPD
137	13665 23323	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	189VULN|2MGNLIT|3AART|4LWND|5DMG|6ERES|7RCR|aDUR
138	13623 21262	   	169.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|7ERES|9ZMB|aCDMG
139	13623 23562	   	169.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|8ERES|9ZMB|aCDMG
140	14121 14123	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	15aVULN|2LWND|3ZMB|4CGEN|6AART|7DMG|8RCR|9LHND
141	14121 14161	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LWND|3ZMB|4CGEN|6AART|7DMG|8RCR|aBEXP
142	13623 23231	   	169.47	ACR|2VULN|2DMG|1AART|1ASPD	17VULN|2MGNLIT|3AART|4TLV|5RCR|6aDMG|8ASPD|9MLV
143	63625 23321	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	1LWND|2BASICY|3AART|489VULN|5DMG|6ERES|7RCR|aASPD
144	63625 23323	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2BASICY|3AART|489VULN|5DMG|6ERES|7RCR|aDUR
145	11156 13152	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	17aVULN|2MLV|3ZMB|4BEXP|5DMG|6AART|8RCR|9ERES
146	11161 14161	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2MLV|3ZMB|4LEGI|6AART|7DMG|8RCR|aBEXP
147	12121 14161	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|aBEXP
148	12121 14164	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|aMLV
149	12121 14165	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|aLHND
150	12121 14166	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|aBELT
151	14121 14162	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LWND|3ZMB|4CGEN|6AART|7DMG|8RCR|aERES
152	14121 14163	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LWND|3ZMB|4CGEN|6AART|7DMG|8RCR|aTLV
153	11161 14162	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2MLV|3ZMB|4LEGI|6AART|7DMG|8RCR|aERES
154	11161 14163	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2MLV|3ZMB|4LEGI|6AART|7DMG|8RCR|aTLV
155	12121 14162	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|aERES
156	12121 14163	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LEGI|3ZMB|4CGEN|6AART|7DMG|8RCR|aTLV
157	14316 25113	   	169.26	DCR|2VULN|2DMG|1AART|1CDMG	13VULN|27LWND|4CDMG|58DMG|6RCVC|9RCR|aAART
158	14316 35313	   	169.26	DCR|2VULN|2DMG|1AART|1CDMG	13VULN|27LWND|4CDMG|56DMG|8RCVC|9RCR|aAART
159	15432 34223	 * 	168.91	DCR|3VULN|2DMG|3DUR	189VULN|2CGEN|38DMG|4CANSTR|5DUST|68aDUR|7RCR|8BPWR
160	53222 21631	   	168.84	ACR|3DMG|1AART|1VULN|1ASPD	1MLV|289DMG|3LIT|4RCR|5AART|6ASPD|7BEXP|aVULN
161	55222 21631	   	168.84	ACR|3DMG|1AART|1VULN|1ASPD	1MLV|2ASPD|3LIT|4RCR|5AART|689DMG|7BEXP|aVULN
162	55222 32631	   	168.84	ACR|3DMG|1AART|1VULN|1ASPD	1MLV|2ASPD|3LIT|4RCR|5AART|6LHND|789DMG|aVULN
163	13623 22615	   	168.73	ACR|2AART|2VULN|1DMG|2DUR	1aVULN|2MGNLIT|38AART|4aTLV|5RCR|6DMG|7CGEN|9aDUR|aBPWR
