0	Index      	 *	Score 	Summary	Detail	
1	12614 53541	 * 	196.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	17VULN|2CDMG|37DUR|4MBVNT|5BELT|679DMG|7BPWR|8AART|aRCR
57	12244 12523	   	181.58	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|29CDMG|3RMIN|4AART|5LIT|6aDMG|79SNIHEL|8RCR|9BPWR
58	12344 12242	   	181.50	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|78DMG|8BPWR|9AART|aDUST
59	12125 22332	   	181.48	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9CGEN|aRCR
60	13425 41312	   	181.15	DCR|3DMG|2VULN|1CDMG|2DUR	12VULN|3LHND|4CDMG|57DUR|6RCR|89aDMG
61	13525 41312	   	181.15	DCR|3DMG|2VULN|1CDMG|2DUR	12VULN|3BEXP|4CDMG|57DUR|6RCR|89aDMG
62	14322 46452	 * 	180.52	DCR|4VULN|2DMG|1CDMG	1469VULN|2aDMG|3LWND|5MBVNT|7RCR|8CDMG
63	53522 32116	   	180.51	DCR|3VULN|2DMG|1AART|1DUR	1DUR|246VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|9BASHEA|aAART
64	12644 12223	   	180.39	ACR|3DMG|2VULN|2CDMG|1DUR	18VULN|28CDMG|3DUR|4RCR|5RMIN|6LIT|789DMG|8BPWR|aRPLT
65	12644 12221	   	180.29	ACR|3DMG|2VULN|2CDMG|1DUR	18VULN|28CDMG|3DUR|4RCR|5RMIN|6LIT|789DMG|8BPWR|aAIRHEA
66	12644 12222	   	180.29	ACR|3DMG|2VULN|2CDMG|1DUR	18VULN|28CDMG|3DUR|4RCR|5RMIN|6LIT|789DMG|8BPWR|aERES
67	12241 22134	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4AART|6LWND|8RCR|9DMG|aDUR
68	12241 32131	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aCGEN
69	12241 32132	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aBELT
70	12241 32136	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aRPLT
71	12241 32165	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|39RMIN|4AART|6DUR|8RCR|aDMG
72	12241 62134	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4AART|6FEWX|8RCR|9DMG|aDUR
73	12643 11281	   	180.19	ACR|3VULN|2DMG|2CDMG|1DUR	189VULN|29CDMG|3DUR|4RCR|5VENICY|69DMG|7MBVNT|9BPWR|aCGEN
74	12643 11282	   	180.19	ACR|3VULN|2DMG|2CDMG|1DUR	189VULN|29CDMG|3DUR|4RCR|5VENICY|69DMG|7MBVNT|9BPWR|aRMIN
75	32341 53163	   	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|4AART|57aVULN|6LIT|8RCR|9ASPD
76	12241 32133	   	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4AART|6DUR|8RCR|9DMG|aERES
77	12643 11283	   	180.09	ACR|3VULN|2DMG|2CDMG|1DUR	189VULN|29CDMG|3DUR|4RCR|5VENICY|69DMG|7MBVNT|9BPWR|aLEGI
78	12643 11284	   	180.09	ACR|3VULN|2DMG|2CDMG|1DUR	189VULN|29CDMG|3DUR|4RCR|5VENICY|69DMG|7MBVNT|9BPWR|aBASICY
79	14343 36131	 * 	179.73	DCR|4VULN|1AART|1DMG|2ASPD	1678VULN|2DMG|347LWND|57ASPD|7BPWR|9AART|aRCR
80	16336 33125	 * 	179.49	ACR|3VULN|2DMG|1AART	169VULN|2LIT|3MLV|4RCR|5AART|7LHND|8aDMG
81	12631 25423	   	179.46	DCR|2VULN|2DMG|3CDMG|3DUR	19VULN|24aCDMG|349DUR|49BPWR|5FEWX|6DUST|7RCR|89DMG
82	12633 25423	   	179.46	DCR|2VULN|2DMG|3CDMG|3DUR	19VULN|24aCDMG|349DUR|49BPWR|5BEXP|6DUST|7RCR|89DMG
83	34133 36323	 * 	179.30	DCR|2AART|2VULN|2DMG|1DUR	17DUST|27DMG|3BEXP|4DUR|5aAART|67VULN|7BPWR|8RCR|9TLV
84	16166 12321	   	179.27	DCR|3VULN|2DMG|1AART	178VULN|28LIT|3FEWX|4LHND|58DMG|6RCR|8BPWR|9AART|aBEXP
85	16166 12322	   	179.17	DCR|3VULN|2DMG|1AART	178VULN|28LIT|3FEWX|4LHND|58DMG|6RCR|8BPWR|9AART|aERES
86	53521 53132	   	179.14	DCR|4VULN|2DMG|2DUR|1ASPD	17DUR|2479VULN|37DMG|5BELT|6RPLT|7BPWR|8ASPD|aRCR
87	14442 13131	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|29aDMG|3BELT|4DUR|5CDMG|6AART|7ERES|8RCR
88	12235 41361	   	178.84	DCR|2VULN|2DMG|2CDMG|2DUR|1ASPD	19VULN|29CDMG|3RMIN|4TLV|57DUR|6RCR|89DMG|9BPWR|aASPD
89	12251 41361	   	178.84	DCR|2VULN|2DMG|2CDMG|2DUR|1ASPD	19VULN|29CDMG|3RMIN|47DUR|5TLV|6RCR|89DMG|9BPWR|aASPD
90	53166 12332	   	178.70	DCR|3VULN|2DMG|2DUR|1ZMB	18DUR|278VULN|3LIT|49LHND|58DMG|6RCR|8BPWR|aZMB
91	53166 12312	   	178.60	DCR|3VULN|2DMG|2DUR|1ZMB	18DUR|278VULN|3LIT|4LHND|58DMG|6RCR|8BPWR|9DUST|aZMB
92	12614 53132	   	178.59	DCR|3VULN|2DMG|1CDMG|2DUR|1ASPD	179VULN|2CDMG|37DUR|4MBVNT|5BELT|67DMG|7BPWR|8ASPD|aRCR
93	32341 41123	 * 	178.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|3DMG|4aAART|59VULN|6DUR|7RCR|8FEWX
94	16336 12113	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2LIT|3MLV|4RCR|5AART|6CDMG|7DUR|8ZMB|aDMG
95	16336 13163	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17VULN|2LIT|3MLV|4RCR|5AART|6CDMG|8ZMB|9DUR|aDMG
96	12644 12213	 * 	177.71	ACR|2VULN|2DMG|3CDMG|1ASPD|1DUR	18VULN|28aCDMG|3DUR|4RCR|5RMIN|6LIT|78DMG|8BPWR|9ASPD
97	64322 36411	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|246VULN|36LWND|5MBVNT|6BPWR|7RCR|8CDMG|9aDMG
98	14322 46416	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	146VULN|29DMG|3LWND|5MBVNT|7RCR|8CDMG|aZMB
99	13424 36312	   	177.42	DCR|3DMG|2VULN|1CDMG|1ZMB	12VULN|3LHND|4CDMG|5ZMB|6TLV|7RCR|89aDMG
100	15322 46411	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	146VULN|2ZMB|3LWND|5MBVNT|7RCR|8CDMG|9aDMG
101	64322 46411	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|246VULN|3LWND|5MBVNT|7RCR|8CDMG|9aDMG
102	14323 32351	   	177.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2DMG|3LWND|5ASPD|7CDMG|8RCR|9AART|aCGEN
103	14323 32352	   	177.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2DMG|3LWND|5ASPD|7CDMG|8RCR|9AART|aBELT
104	14323 32356	   	177.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2DMG|3LWND|5ASPD|7CDMG|8RCR|9AART|aLIT
105	14323 32353	   	177.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2DMG|3LWND|5ASPD|7CDMG|8RCR|9AART|aERES
106	13161 52352	   	177.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	12aVULN|3CGEN|4ERES|5DMG|6ASPD|7CDMG|8RCR|9AART
107	53522 32112	   	176.80	DCR|4VULN|2DMG|2DUR	1aDUR|246aVULN|36DMG|5MBVNT|6aBPWR|7LWND|8RCR|9aBASHEA
108	53522 32163	   	176.80	DCR|4VULN|2DMG|2DUR	19DUR|246aVULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR
109	54321 63133	   	176.80	DCR|4VULN|2DMG|2DUR	15DUR|26DMG|3LWND|459aVULN|5BPWR|7MBVNT|8RCR
110	14614 33322	 * 	176.64	DCR|3VULN|1AART|1DMG|2CDMG	17aVULN|2DMG|36CDMG|4LHND|5CGEN|8RCR|9AART
111	34133 36152	   	176.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17DUST|27DMG|3BEXP|4DUR|5AART|67VULN|7BPWR|8FEWX|9RCR|aZMB
112	12241 32144	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	157VULN|2CDMG|3RMIN|4AART|6aDUR|8RCR|9ZMB
113	12241 35134	   	176.22	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	15VULN|27CDMG|3RMIN|4AART|6aDUR|8RCR|9DMG
114	61536 32312	 * 	176.03	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	18ZMB|2AART|3CANSTR|48DUST|58DMG|6RMIN|7RCR|8BPWR|9VULN|aCDMG
115	16336 32263	 * 	176.00	ACR|4VULN|1AART|1DMG	1689VULN|2LIT|3MLV|4RCR|5AART|7RCVC|aDMG
116	32341 51163	   	175.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|47AART|5aVULN|6LIT|8RCR|9ASPD
117	61151 22123	 * 	175.94	DCR|3VULN|1AART|1DMG|2ZMB	1aZMB|2AART|3LIT|45aVULN|6DMG|7CGEN|8RCR|9aBEXP|aBPWR
118	12633 43421	   	175.92	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|349DUR|49BPWR|5BEXP|6RCR|7FEWX|89DMG|aCGEN
119	61151 23123	   	175.84	DCR|3VULN|1AART|1DMG|2ZMB	1aZMB|2AART|3LIT|45aVULN|6DMG|7ERES|8RCR|9aBEXP|aBPWR
120	12633 43422	   	175.82	DCR|2VULN|2DMG|2CDMG|3DUR	19VULN|24CDMG|349DUR|49BPWR|5BEXP|6RCR|7FEWX|89DMG|aTLV
121	16336 35122	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	169VULN|2LIT|3MLV|4RCR|5AART|7DMG|8LWND|aCDMG
122	16336 35322	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	169VULN|2LIT|3MLV|4RCR|5AART|7DMG|8BEXP|aCDMG
123	12342 12213	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9RPLT|aDMG
124	12342 12231	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9DMG|aCGEN
125	12342 12232	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9DMG|aBELT
126	12342 12236	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9DMG|aLIT
127	12342 52231	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67TLV|7BPWR|9DMG|aCGEN
128	12342 52232	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67TLV|7BPWR|9DMG|aBELT
129	12342 52236	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67TLV|7BPWR|9DMG|aLIT
130	16336 13225	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	179VULN|2LIT|3MLV|4RCR|5AART|6CDMG|8RPLT|aDMG
131	16336 33122	   	175.55	ACR|3VULN|1AART|1DMG|1CDMG	169VULN|2LIT|3MLV|4RCR|5AART|7LHND|8DMG|aCDMG
132	32146 15133	   	175.53	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUST|2aCDMG|3DUR|4RCR|5BEXP|6aVULN|7ZMB|8MBVNT|9aDMG|aBPWR
133	32245 15133	   	175.53	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUST|2aCDMG|3BEXP|4RCR|5DUR|6aVULN|7ZMB|8MBVNT|9aDMG|aBPWR
134	12214 43363	   	175.53	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47LHND|57CGEN|6RCR|79BPWR|89DMG|aTLV
135	12224 43363	   	175.53	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47BEXP|57CGEN|6RCR|79BPWR|89DMG|aTLV
136	12342 12233	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67aERES|7BPWR|9DMG
137	12342 52233	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2CDMG|37LWND|4RCR|5AART|67TLV|7BPWR|9DMG|aERES
138	12211 43364	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47LHND|57TLV|6RCR|79BPWR|89DMG|aLIT
139	12211 43366	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47LHND|57TLV|6RCR|79BPWR|89DMG|aCGEN
140	12221 43364	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47BEXP|57TLV|6RCR|79BPWR|89DMG|aLIT
141	12221 43366	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47BEXP|57TLV|6RCR|79BPWR|89DMG|aCGEN
142	12231 43364	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47TLV|57FEWX|6RCR|79BPWR|89DMG|aLIT
143	12231 43366	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47TLV|57FEWX|6RCR|79BPWR|89DMG|aCGEN
144	12233 43364	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47TLV|57BEXP|6RCR|79BPWR|89DMG|aLIT
145	12233 43366	   	175.43	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47TLV|57BEXP|6RCR|79BPWR|89DMG|aCGEN
146	12211 43363	   	175.33	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47LHND|57aTLV|6RCR|79BPWR|89DMG
147	12211 45362	   	175.33	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|37RMIN|4LHND|5TLV|6RCR|89aDMG|9BPWR
148	12221 43363	   	175.33	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47BEXP|57aTLV|6RCR|79BPWR|89DMG
149	12221 45362	   	175.33	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|37RMIN|4BEXP|5TLV|6RCR|89aDMG|9BPWR
150	12231 43363	   	175.33	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47aTLV|57FEWX|6RCR|79BPWR|89DMG
151	12231 45362	   	175.33	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|37RMIN|4TLV|5FEWX|6RCR|89aDMG|9BPWR
152	12233 43363	   	175.33	DCR|3VULN|2DMG|2CDMG	179VULN|29CDMG|3RMIN|47aTLV|57BEXP|6RCR|79BPWR|89DMG
153	12233 45362	   	175.33	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|37RMIN|4TLV|5BEXP|6RCR|89aDMG|9BPWR
154	12418 43428	   	175.33	DCR|3VULN|2DMG|2CDMG	19aVULN|29CDMG|38FEWX|4MBVNT|5LHND|6RCR|79DMG|9BPWR
155	12211 46362	   	175.23	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|3RMIN|4LHND|57TLV|6RCR|89aDMG|9BPWR
156	12221 46362	   	175.23	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|3RMIN|4BEXP|57TLV|6RCR|89aDMG|9BPWR
157	12231 46362	   	175.23	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|3RMIN|47TLV|5FEWX|6RCR|89aDMG|9BPWR
158	12233 46362	   	175.23	DCR|3DMG|2VULN|2CDMG	19VULN|29CDMG|3RMIN|47TLV|5BEXP|6RCR|89aDMG|9BPWR
159	13421 44312	   	175.23	DCR|3DMG|2VULN|2CDMG	12VULN|3LHND|47CDMG|5FEWX|6RCR|89aDMG
160	13423 44312	   	175.23	DCR|3DMG|2VULN|2CDMG	12VULN|3LHND|47CDMG|5BEXP|6RCR|89aDMG
161	13521 44312	   	175.23	DCR|3DMG|2VULN|2CDMG	12VULN|3BEXP|47CDMG|5FEWX|6RCR|89aDMG
162	53522 37224	   	175.20	DCR|3VULN|3DMG|1ASPD|1DUR	1DUR|246VULN|367DMG|5MBVNT|6BPWR|8ASPD|9CGEN|aRCR
163	12122 43632	   	175.17	DCR|3VULN|3DMG|1CDMG	189VULN|2CDMG|3RCVC|478DMG|58CGEN|6BELT|8BPWR|aRCR
164	12125 22161	   	175.17	DCR|3DMG|2VULN|2CDMG|1ASPD	17VULN|27CDMG|3aRCVC|457DMG|6BELT|7BPWR|8ASPD|9RCR
165	12125 22165	   	175.17	DCR|3DMG|2VULN|2CDMG|1ASPD	17VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|8ASPD|9RCR|aLIT
166	12125 22166	   	175.17	DCR|3DMG|2VULN|2CDMG|1ASPD	17VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|8ASPD|9RCR|aMLV
