0	Index      	 *	Score 	Summary	Detail	
1	24633 15332	 * 	207.05	DCR|3VULN|3DMG|1AART|2DUR	1LWND|249VULN|34aDMG|4BPWR|5AART|68DUR|7RCR
30	11632 41632	   	191.64	DCR|4VULN|1AART|1DMG|2ZMB	128aVULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9LWND
31	12632 41622	   	191.64	DCR|4VULN|1AART|1DMG|2ZMB	128aVULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9LHND
32	12632 41632	   	191.64	DCR|4VULN|1AART|1DMG|2ZMB	128aVULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9LWND
33	24633 15322	   	191.40	DCR|3DMG|2VULN|1AART|2DUR	1LWND|24VULN|349DMG|4BPWR|5AART|68DUR|7RCR|aMLV
34	24633 15323	   	191.40	DCR|3DMG|2VULN|1AART|2DUR	1LWND|24VULN|349DMG|4BPWR|5AART|68DUR|7RCR|aBEXP
35	24633 15331	   	191.40	DCR|3VULN|2DMG|1AART|2DUR	1LWND|249VULN|34DMG|4BPWR|5AART|68DUR|7RCR|aFEWX
36	52433 15332	   	191.40	DCR|3VULN|2DMG|1AART|2DUR	1aDMG|249VULN|34LWND|4BPWR|5AART|68DUR|7RCR
37	52433 15322	   	191.40	DCR|3DMG|2VULN|1AART|2DUR	19aDMG|24VULN|34LWND|4BPWR|5AART|68DUR|7RCR
38	11623 15322	   	191.30	DCR|3DMG|2VULN|1AART|2DUR	12VULN|2BPWR|39aDMG|4LHND|5AART|68DUR|7RCR
39	11623 15326	   	191.30	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|2BPWR|39DMG|4LHND|5AART|68DUR|7RCR
40	11623 15332	   	191.30	DCR|3VULN|2DMG|1AART|2DUR	129VULN|2BPWR|3aDMG|4LHND|5AART|68DUR|7RCR
41	12623 15322	   	191.30	DCR|3DMG|2VULN|1AART|2DUR	12VULN|39aDMG|4LHND|5AART|68DUR|7RCR
42	12623 15326	   	191.30	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|39DMG|4LHND|5AART|68DUR|7RCR
43	12623 15332	   	191.30	DCR|3VULN|2DMG|1AART|2DUR	129VULN|3aDMG|4LHND|5AART|68DUR|7RCR
44	24633 15312	   	191.16	DCR|3VULN|2DMG|1AART|2DUR|1SELL	1LWND|24aVULN|34DMG|4BPWR|5AART|68DUR|7RCR|9SELL
45	11632 41325	   	191.07	DCR|3VULN|2DMG|1AART|1ZMB	129VULN|2BPWR|3aDMG|4TLV|5ZMB|6RCR|7AART|8ERES
46	12632 41325	   	191.07	DCR|3VULN|2DMG|1AART|1ZMB	129VULN|3aDMG|4TLV|5ZMB|6RCR|7AART|8ERES
47	11632 41522	   	191.07	DCR|3VULN|2DMG|1AART|1ZMB	12aVULN|2BPWR|39DMG|4TLV|5ZMB|6RCR|7AART|8DUST
48	12632 41522	   	191.07	DCR|3VULN|2DMG|1AART|1ZMB	12aVULN|39DMG|4TLV|5ZMB|6RCR|7AART|8DUST
49	11332 41425	   	189.39	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	12VULN|2BPWR|3ASPD|4TLV|5ZMB|6RCR|7AART|8DUR|9aDMG
50	12332 41425	   	189.39	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	12VULN|3ASPD|4TLV|5ZMB|6RCR|7AART|8DUR|9aDMG
51	54332 41222	   	189.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	12DMG|3ERES|4RMIN|59VULN|6RCR|7AART|8ZMB|aCDMG
52	52153 53212	   	188.90	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	1aDMG|2aVULN|35DUR|4AART|6FEWX|7BELT|8RCR|9aZMB|aBPWR
53	24633 26333	   	188.10	DCR|2AART|2DMG|2VULN|1ZMB|1DUR	1LWND|24VULN|34DMG|4BPWR|57AART|6LIT|8ZMB|9RCR|aDUR
54	11623 24243	   	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	12VULN|2BPWR|38DMG|4LHND|5AART|6LIT|7RCR|9CDMG|aZMB
55	12623 24243	   	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	12VULN|38DMG|4LHND|5AART|6LIT|7RCR|9CDMG|aZMB
56	24633 33432	   	188.02	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|246VULN|34DMG|4BPWR|5AART|7CGEN|8LIT|9RCR|aCDMG
57	11623 15336	   	187.81	DCR|4VULN|1AART|1DMG|2DUR	129aVULN|2BPWR|3DMG|4LHND|5AART|68DUR|7RCR
58	12623 15336	   	187.81	DCR|4VULN|1AART|1DMG|2DUR	129aVULN|3DMG|4LHND|5AART|68DUR|7RCR
59	11663 41221	   	187.78	DCR|4VULN|1AART|1DMG|1ZMB	129aVULN|2BPWR|3DMG|4FEWX|5DMSP|6RCR|7AART|8ZMB
60	12663 41221	   	187.78	DCR|4VULN|1AART|1DMG|1ZMB	129aVULN|3DMG|4FEWX|5DMSP|6RCR|7AART|8ZMB
61	11632 41532	   	187.58	DCR|4VULN|1AART|1DMG|1ZMB	129aVULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8DUST
62	12632 41532	   	187.58	DCR|4VULN|1AART|1DMG|1ZMB	129aVULN|3DMG|4TLV|5ZMB|6RCR|7AART|8DUST
63	11642 41322	   	187.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	129VULN|2BPWR|3DMG|4MLV|5ZMB|6RCR|7AART|8ERES|aCDMG
64	12642 41322	   	187.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	129VULN|3DMG|4MLV|5ZMB|6RCR|7AART|8ERES|aCDMG
65	24633 15111	   	187.19	DCR|2AART|2DMG|2VULN|2DUR	1LWND|24VULN|34DMG|4BPWR|59AART|6aDUR|7RCR|8FEWX
66	51232 41633	   	187.11	DCR|3VULN|2DMG|1AART|1DUR	18DMG|248TLV|3RMIN|589VULN|6RCR|7AART|8BPWR|aDUR
67	24633 15211	   	187.09	DCR|2AART|2DMG|2VULN|2DUR	1LWND|24VULN|34DMG|4BPWR|59AART|6aDUR|7RCR|8DUST
68	11632 45233	   	186.86	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	129VULN|29BPWR|39DMG|4TLV|5ZMB|6RCR|79ASPD|8RPLT|aDUR
69	12632 45233	   	186.86	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	129VULN|39DMG|4TLV|5ZMB|6RCR|79ASPD|8RPLT|9BPWR|aDUR
70	13235 51312	 * 	186.69	ACR|3VULN|3ZMB|1AART|1DMG	14aVULN|268ZMB|3RPLT|5RCR|7AART|9DMG
71	11323 15526	   	186.36	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	128VULN|2BPWR|3ASPD|4LHND|5AART|6DUR|7RCR|9DMG|aZMB
72	12323 15526	   	186.36	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	128VULN|3ASPD|4LHND|5AART|6DUR|7RCR|9DMG|aZMB
73	24633 24213	   	186.11	DCR|3DMG|2VULN|1AART|1ASPD	1LWND|24VULN|348DMG|4BPWR|5AART|6LIT|7RCR|9BEXP|aASPD
74	11623 15521	   	186.01	DCR|3VULN|2DMG|1AART|1DUR	128VULN|2BPWR|39DMG|4LHND|5AART|6DUR|7RCR|aFEWX
75	11623 15622	   	186.01	DCR|3DMG|2VULN|1AART|1DUR	12VULN|2BPWR|39aDMG|4LHND|5AART|6DUR|7RCR|8RCVC
76	11623 15632	   	186.01	DCR|3VULN|2DMG|1AART|1DUR	129VULN|2BPWR|3aDMG|4LHND|5AART|6DUR|7RCR|8RCVC
77	12623 15521	   	186.01	DCR|3VULN|2DMG|1AART|1DUR	128VULN|39DMG|4LHND|5AART|6DUR|7RCR|aFEWX
78	12623 15622	   	186.01	DCR|3DMG|2VULN|1AART|1DUR	12VULN|39aDMG|4LHND|5AART|6DUR|7RCR|8RCVC
79	12623 15632	   	186.01	DCR|3VULN|2DMG|1AART|1DUR	129VULN|3aDMG|4LHND|5AART|6DUR|7RCR|8RCVC
80	24633 24313	   	186.01	DCR|3DMG|2VULN|1AART|1DUR	1LWND|24VULN|34aDMG|4BPWR|5AART|6LIT|7RCR|8LSRHEA|9DUR
81	24633 32331	   	185.37	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|246VULN|34DMG|4BPWR|5AART|7LIT|8ZMB|9RCR|aMLV
82	24633 32334	   	185.37	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|246VULN|34DMG|4BPWR|5AART|7LIT|8ZMB|9RCR|aRMIN
83	24633 32336	   	185.37	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|246VULN|34DMG|4BPWR|5AART|7LIT|8ZMB|9RCR|aRPLT
84	11332 41615	   	184.47	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	128VULN|28BPWR|3ASPD|48TLV|58ZMB|6RCR|7AART|9CGEN|aDMG
85	12332 41615	   	184.47	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	128VULN|3ASPD|48TLV|58ZMB|6RCR|7AART|8BPWR|9CGEN|aDMG
86	11632 41612	   	184.47	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	128VULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9CGEN|aDUR
87	12632 41612	   	184.47	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	128VULN|3DMG|48TLV|58ZMB|6RCR|7AART|8BPWR|9CGEN|aDUR
88	11662 11744	   	184.42	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|28BPWR|38DMG|468FEWX|5MBVNT|7AART|9CDMG|aRCR
89	12662 11744	   	184.42	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|38DMG|468FEWX|5MBVNT|7AART|8BPWR|9CDMG|aRCR
90	52152 32227	 * 	184.17	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DMG|269VULN|3DUR|47AART|5MBVNT|8ZMB|aRCR
91	24633 15122	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8FEWX|9ERES|aCDMG
92	24633 15222	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8DUST|9ERES|aCDMG
93	11632 41116	   	182.93	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	12VULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|79AART|8LSRHEA|aCDMG
94	12632 41116	   	182.93	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	12VULN|3DMG|4TLV|5ZMB|6RCR|79AART|8LSRHEA|aCDMG
95	51232 41613	   	182.90	DCR|2VULN|2DMG|2AART|1DUR	18DMG|248TLV|3RMIN|58VULN|6RCR|7aAART|8BPWR|9DUR
96	11662 32713	 * 	182.81	DCR|3VULN|2DMG|2AART	128VULN|28BPWR|38DMG|48FEWX|5MBVNT|67AART|9CGEN|aRCR
97	12662 32713	   	182.81	DCR|3VULN|2DMG|2AART	128VULN|38DMG|48FEWX|5MBVNT|67AART|8BPWR|9CGEN|aRCR
98	24634 22332	   	182.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	15LWND|24VULN|34DMG|4BPWR|6AART|7LIT|8ZMB|9RCR|aCDMG
99	52152 31327	   	182.76	DCR|4VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2689VULN|3DUR|4AART|5MBVNT|7ASPD|aRCR
100	22515 13262	   	182.60	DCR|2AART|2VULN|2DMG|1DUR	1aLWND|2BELT|3DUR|49AART|5aDMG|6RMIN|7RCR|8aVULN|aBPWR
101	11323 15325	   	182.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	12VULN|2BPWR|3ASPD|4LHND|5AART|68DUR|7RCR|9aDMG
102	12323 15325	   	182.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	12VULN|3ASPD|4LHND|5AART|68DUR|7RCR|9aDMG
103	11623 15531	   	182.52	DCR|4VULN|1AART|1DMG|1DUR	1289VULN|2BPWR|3DMG|4LHND|5AART|6DUR|7RCR|aFEWX
104	12623 15531	   	182.52	DCR|4VULN|1AART|1DMG|1DUR	1289VULN|3DMG|4LHND|5AART|6DUR|7RCR|aFEWX
105	11632 41421	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|2BPWR|39DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aBELT
106	11632 41423	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|2BPWR|39DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aLIT
107	12632 41421	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|39DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aBELT
108	12632 41423	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|39DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aLIT
109	11623 15512	   	182.28	DCR|4VULN|1AART|1DMG|1DUR|1SELL	128aVULN|2BPWR|3DMG|4LHND|5AART|6DUR|7RCR|9SELL
110	12623 15512	   	182.28	DCR|4VULN|1AART|1DMG|1DUR|1SELL	128aVULN|3DMG|4LHND|5AART|6DUR|7RCR|9SELL
111	52235 52222	 * 	182.05	ACR|3VULN|2DMG|2CDMG|1ZMB	1aDMG|24aVULN|3RPLT|5RCR|6ZMB|78CDMG|9aBEXP|aBPWR
112	52433 15112	   	181.90	DCR|2AART|2DMG|2VULN|1DUR	1aDMG|24VULN|34LWND|4BPWR|59AART|6DUR|7RCR|8FEWX
113	11623 15112	   	181.80	DCR|2AART|2DMG|2VULN|1DUR	12VULN|2BPWR|3aDMG|4LHND|59AART|6DUR|7RCR|8FEWX
114	12623 15112	   	181.80	DCR|2AART|2VULN|2DMG|1DUR	12VULN|3aDMG|4LHND|59AART|6DUR|7RCR|8FEWX
115	24633 15213	   	181.80	DCR|2AART|2DMG|2VULN|1DUR	1LWND|24VULN|34DMG|4BPWR|59AART|6DUR|7RCR|8DUST|aBEXP
116	11623 65312	   	181.80	DCR|2AART|2DMG|2VULN|1DUR	12VULN|2BPWR|3aDMG|4LHND|59AART|6BEXP|7RCR|8DUR
117	12623 65312	   	181.80	DCR|2AART|2VULN|2DMG|1DUR	12VULN|3aDMG|4LHND|59AART|6BEXP|7RCR|8DUR
118	52433 15212	   	181.80	DCR|2AART|2DMG|2VULN|1DUR	1aDMG|24VULN|34LWND|4BPWR|59AART|6DUR|7RCR|8DUST
119	11623 15212	   	181.70	DCR|2AART|2DMG|2VULN|1DUR	12VULN|2BPWR|3aDMG|4LHND|59AART|6DUR|7RCR|8DUST
120	12623 15212	   	181.70	DCR|2AART|2VULN|2DMG|1DUR	12VULN|3aDMG|4LHND|59AART|6DUR|7RCR|8DUST
121	24633 15131	   	181.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8FEWX|9ZMB|aLIT
122	52433 32332	   	181.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|246VULN|34LWND|4BPWR|5AART|7LIT|8ZMB|9RCR|aCDMG
123	53241 22412	   	181.37	DCR|3DMG|2VULN|1AART	189DMG|2BEXP|3RPLT|4aVULN|5AART|6RCR|7DUST
124	24633 15231	   	181.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8DUST|9ZMB|aLIT
125	56332 43463	 * 	181.35	DCR|3DMG|3ZMB|1AART|3DUR	17aDMG|27aDUR|37aZMB|4RMIN|5MBVNT|6BELT|7aBPWR|8RCR|9AART
126	11623 32332	   	181.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	126VULN|2BPWR|3DMG|4LHND|5AART|7LIT|8ZMB|9RCR|aCDMG
127	12623 32332	   	181.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	126VULN|3DMG|4LHND|5AART|7LIT|8ZMB|9RCR|aCDMG
128	24633 33433	   	181.31	DCR|3VULN|2DMG|1AART|1DUR	1LWND|246VULN|34DMG|4BPWR|5AART|7CGEN|8LIT|9RCR|aDUR
129	24633 15133	   	181.21	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8FEWX|9ZMB|aSELL
130	24633 26331	   	181.16	DCR|2AART|2VULN|2DMG|1ZMB	1LWND|24VULN|34DMG|4BPWR|57AART|6LIT|8ZMB|9RCR|aMLV
131	24633 15233	   	181.11	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8DUST|9ZMB|aSELL
132	13235 44313	 * 	180.93	ACR|4VULN|3ZMB|1AART	1489VULN|28aZMB|3RPLT|5RCR|68LIT|7AART|8BPWR
133	11323 15524	   	180.65	DCR|3VULN|1AART|1DMG|2DUR|1ASPD	128VULN|2BPWR|3ASPD|4LHND|5AART|6aDUR|7RCR|9DMG
134	12323 15524	   	180.65	DCR|3VULN|1AART|1DMG|2DUR|1ASPD	128VULN|3ASPD|4LHND|5AART|6aDUR|7RCR|9DMG
135	11363 41225	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	129VULN|2BPWR|3ASPD|4FEWX|5DMSP|6RCR|7AART|8ZMB|aDMG
136	12363 41225	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	129VULN|3ASPD|4FEWX|5DMSP|6RCR|7AART|8ZMB|aDMG
137	52163 41221	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|29aVULN|3DUR|4RCVC|5DMSP|6RCR|7AART|8ZMB
138	52236 13132	   	180.61	DCR|3VULN|2DMG|1AART|1ASPD	17DMG|24aVULN|3RPLT|5CGEN|6AART|8ASPD|9RCR
139	52236 13136	   	180.61	DCR|3DMG|2VULN|1AART|1ASPD	17aDMG|24VULN|3RPLT|5CGEN|6AART|8ASPD|9RCR
140	11342 41325	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	129VULN|2BPWR|3ASPD|4MLV|5ZMB|6RCR|7AART|8ERES|aDMG
141	11632 41431	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	129VULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aBELT
142	11632 41433	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	129VULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aLIT
143	12342 41325	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	129VULN|3ASPD|4MLV|5ZMB|6RCR|7AART|8ERES|aDMG
144	12632 41431	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	129VULN|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aBELT
145	12632 41433	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	129VULN|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR|aLIT
146	11632 41322	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	129VULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8ERES|aDUR
147	12632 41322	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	129VULN|3DMG|4TLV|5ZMB|6RCR|7AART|8ERES|aDUR
148	11332 41325	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	129VULN|2BPWR|3ASPD|4TLV|5ZMB|6RCR|7AART|8ERES|aDMG
149	12332 41325	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	129VULN|3ASPD|4TLV|5ZMB|6RCR|7AART|8ERES|aDMG
150	51334 41221	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1DMG|24TLV|3ASPD|59aVULN|6RCR|7AART|8ZMB
151	11632 41412	   	180.28	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	12aVULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR|9SELL
152	12632 41412	   	180.28	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	12aVULN|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR|9SELL
153	11232 45235	 * 	180.27	DCR|4VULN|3ZMB|3ASPD	129aVULN|29aBPWR|3RMIN|4TLV|59aZMB|6RCR|79aASPD|8RPLT
154	12232 45235	   	180.27	DCR|4VULN|3ZMB|3ASPD	129aVULN|3RMIN|4TLV|59aZMB|6RCR|79aASPD|8RPLT|9aBPWR
155	51232 41631	   	180.17	DCR|3VULN|2DMG|1AART	18DMG|248TLV|3RMIN|589VULN|6RCR|7AART|8BPWR|aRCVC
156	11632 45231	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	129VULN|29BPWR|39DMG|4TLV|5ZMB|6RCR|79ASPD|8RPLT|aLIT
157	11632 45232	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	129VULN|29BPWR|39DMG|4TLV|5ZMB|6RCR|79ASPD|8RPLT|aCGEN
158	12632 45231	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	129VULN|39DMG|4TLV|5ZMB|6RCR|79ASPD|8RPLT|9BPWR|aLIT
159	12632 45232	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	129VULN|39DMG|4TLV|5ZMB|6RCR|79ASPD|8RPLT|9BPWR|aCGEN
160	11623 15116	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	12aVULN|2BPWR|3DMG|4LHND|59AART|6DUR|7RCR|8FEWX
161	12623 15116	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	12aVULN|3DMG|4LHND|59AART|6DUR|7RCR|8FEWX
162	24631 41132	   	179.66	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1LWND|24aVULN|34DMG|4BPWR|5CDMG|6DLOT|7ZMB|8ASPD|9RCR
163	64351 33221	 * 	179.60	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1MLV|29DMG|3ASPD|4DUR|59CDMG|6DUST|789VULN|9BPWR|aRCR
164	53226 32412	   	179.57	DCR|3DMG|2VULN|1AART	189DMG|2BEXP|3RPLT|4AART|5DUST|6aVULN|7RCR
165	42235 53312	   	179.49	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	1ASPD|24aVULN|3RPLT|5RCR|67ZMB|8AART|9DMG
166	11623 15432	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	12aVULN|2BPWR|3DMG|4LHND|5AART|6DUR|7RCR|8RPLT|9ZMB
167	12623 15432	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	12aVULN|3DMG|4LHND|5AART|6DUR|7RCR|8RPLT|9ZMB
