0	Index      	 *	Score 	Summary	Detail	
1	43322 23612	 * 	204.07	DCR|4VULN|1AART|3ZMB|1DMG	1AART|2369VULN|4RPLT|579ZMB|8RCR|9BPWR|aDMG
107	23242 43632	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|46DMG|5CGEN|7CDMG|8RCR|aLIT
108	23242 43633	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|46DMG|5CGEN|7CDMG|8RCR|aBEXP
109	23243 13615	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|29LHND|3AART|45DMG|6CGEN|7CDMG|8RCR
110	23243 13631	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|45DMG|6CGEN|7CDMG|8RCR|aDMSP
111	23243 13632	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|45DMG|6CGEN|7CDMG|8RCR|aLIT
112	23243 13633	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|45DMG|6CGEN|7CDMG|8RCR|aBEXP
113	23243 13634	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|45DMG|6CGEN|7CDMG|8RCR|aLWND
114	23243 21256	   	175.80	DCR|2AART|2VULN|2DMG|1DUR	16VULN|2LHND|37AART|45DMG|8RMIN|9DUR|aRCR
115	42252 25113	   	175.75	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2DMG|3CDMG|4LWND|5LIT|6aVULN|7RCR|8DUR|9ASPD
116	23244 22326	   	175.70	DCR|2AART|2VULN|2DMG|1DUR	16VULN|2LHND|35AART|49DMG|7ERES|8DUR|aRCR
117	42212 25113	   	175.65	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2DMG|3CDMG|4LEGI|5LIT|6aVULN|7RCR|8DUR|9ASPD
118	23312 45363	 * 	175.56	DCR|3VULN|3DMG|1DUR	169VULN|29LHND|3DUR|4RMIN|56aDMG|69BPWR|7RCR|89ERES
119	42112 55222	 * 	175.52	DCR|2AART|2VULN|1DMG|2ASPD	1aAART|2DMG|37ASPD|4VENICY|59VULN|6RCR|8RMIN
120	42222 22213	   	175.46	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aLHND
121	42226 53213	   	175.46	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2DMG|3CDMG|45VULN|6ASPD|7LIT|9RCR|aLHND
122	42424 13232	   	175.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	15AART|2DMG|3LWND|4aVULN|6CGEN|7CDMG|8DUR|9RCR
123	25121 13416	   	175.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	15VULN|2ASPD|3RCVC|4DMG|6AART|7LIT|8CDMG|9RCR|aZMB
124	33332 53132	   	175.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2LEGI|3DUR|46aVULN|5DMG|7CDMG|8AART|9RCR
125	42222 22214	   	175.36	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aERES
126	42222 22215	   	175.36	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aTLV
127	43311 31632	   	175.28	DCR|4VULN|1AART|1DMG	1AART|239aVULN|4LSRHEA|5MBVNT|6DLOT|7DMG|8RCR
128	42113 31542	   	175.16	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1AART|27aDMG|3ASPD|4VENICY|5DUR|6DLOT|8RCR|9VULN
129	42112 52336	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|29DMG|3ASPD|4VENICY|5aVULN|6RCR|7LWND|8LHND
130	42222 22624	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2DMG|3CDMG|46VULN|5LIT|7ASPD|8BELT|9RCR|aZMB
131	43132 25148	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|26VULN|3CDMG|4DUR|5ZMB|7MLV|8MBVNT|9RCR|aDMG
132	42235 63213	 * 	174.89	DCR|2AART|1DMG|1VULN|1CDMG|1FLTHEA	15AART|2DMG|3CDMG|4RCVC|6RCR|7FEWX|8LWND|9FLTHEA|aVULN
133	42235 63113	   	174.79	DCR|2AART|1DMG|1VULN|1CDMG|1FLTHEA	15AART|2DMG|3CDMG|4RCVC|6RCR|7FEWX|8LEGI|9FLTHEA|aVULN
134	43433 54341	   	174.78	DCR|3DMG|1AART|1VULN|1ZMB	1AART|2VULN|3LWND|4LHND|59aDMG|6MBVNT|7RCR|8ZMB
135	41223 43142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3MLV|4aVULN|56DMG|7CDMG|8MBVNT|9RCR
136	41341 43142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3aVULN|46DMG|5RMIN|7CDMG|8MBVNT|9RCR
137	41342 43142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3aVULN|46DMG|5CGEN|7CDMG|8MBVNT|9RCR
138	41343 13142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3aVULN|45DMG|6CGEN|7CDMG|8MBVNT|9RCR
139	41343 53142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3aVULN|45DMG|6RMIN|7CDMG|8MBVNT|9RCR
140	42223 62148	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aDMG|3CDMG|48VULN|5CGEN|6MBVNT|7LHND|9RCR
141	42223 64148	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aDMG|3CDMG|48VULN|5CGEN|6MBVNT|7LWND|9RCR
142	42422 43142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|26DMG|3LWND|4aVULN|5CGEN|7CDMG|8MBVNT|9RCR
143	42423 13142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25DMG|3LWND|4aVULN|6CGEN|7CDMG|8MBVNT|9RCR
144	42622 43142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|26DMG|3BEXP|4aVULN|5CGEN|7CDMG|8MBVNT|9RCR
145	42623 13142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25DMG|3BEXP|4aVULN|6CGEN|7CDMG|8MBVNT|9RCR
146	43443 13142	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|3LWND|45DMG|6CGEN|7CDMG|8MBVNT|9RCR
147	42213 67442	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|27DMG|3CDMG|4LEGI|5CGEN|6MBVNT|8aVULN|9RCR
148	42522 43142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|26DMG|3DUST|4aVULN|5CGEN|7CDMG|8MBVNT|9RCR
149	42523 13142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25DMG|3DUST|4aVULN|6CGEN|7CDMG|8MBVNT|9RCR
150	43233 43142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|3MLV|4DUST|56DMG|7CDMG|8MBVNT|9RCR
151	43521 43142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|36DMG|4TLV|5LHND|7CDMG|8MBVNT|9RCR
152	43522 43142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|36DMG|4TLV|5BEXP|7CDMG|8MBVNT|9RCR
153	43524 33142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|35DMG|4TLV|6LWND|7CDMG|8MBVNT|9RCR
154	43532 43142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|36DMG|4DUST|5CGEN|7CDMG|8MBVNT|9RCR
155	43533 13142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|35DMG|4DUST|6CGEN|7CDMG|8MBVNT|9RCR
156	45223 43142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3MLV|4aVULN|56DMG|7CDMG|8MBVNT|9RCR
157	45343 13142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3aVULN|45DMG|6CGEN|7CDMG|8MBVNT|9RCR
158	23312 45124	   	174.20	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	16VULN|2LHND|3aDUR|4RMIN|56DMG|6BPWR|7RCR|8ZMB|9CDMG
159	23312 45141	   	174.20	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	16VULN|2LHND|39DUR|4RMIN|56DMG|6BPWR|7RCR|8ZMB|aCDMG
