0	Index      	 *	Score 	Summary	Detail	
1	13433 16131	 * 	187.27	DCR|3VULN|3DMG|3DUR	19aDUR|2RPLT|3BEXP|49aVULN|5ERES|6RCR|7FEWX|89aDMG|9aBPWR
28	54263 13321	   	171.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2ZMB|356VULN|4AART|7DUR|8RCR|9DUST|aCDMG
29	23362 13216	 * 	171.03	ACR|2AART|2VULN|1DMG|2DUR	1DMSP|2ERES|38AART|4RCR|59DUR|67VULN|aDMG
30	51611 22215	 * 	170.43	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19MLV|2RPLT|39DMG|4AART|5RCR|6aASPD|7VULN|89DUR|9BPWR
31	61611 22215	   	170.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19ERES|2RPLT|39DMG|4AART|5RCR|6aASPD|7VULN|89DUR|9BPWR
32	23362 13166	   	169.94	ACR|3VULN|1AART|1DMG|1DUR	1DMSP|2ERES|3AART|4RCR|5DUR|678VULN|9RCVC|aDMG
33	24252 34216	   	169.86	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMSP|236VULN|4MBVNT|5DMG|7DUR|8RCR|9ASPD|aAART
34	11136 53211	 * 	169.86	ACR|2VULN|2AART|3ZMB|1DUR	1DUR|2DUST|349ZMB|5RCR|68AART|7aVULN
35	54263 13312	   	169.79	DCR|3VULN|1AART|2DUR|1ZMB|1ASPD	1MLV|2ZMB|356VULN|4AART|79DUR|8RCR|aASPD
36	23362 13113	 * 	169.27	ACR|4VULN|1AART|2DUR	1DMSP|2ERES|3AART|4RCR|59DUR|678aVULN
37	55363 13323	   	169.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12MLV|2BPWR|3AART|46VULN|5LEGI|7ZMB|8RCR|9CDMG|aDMG
38	65362 13113	   	169.17	ACR|4VULN|1AART|2DUR	12ERES|2BPWR|3AART|4RCR|59DUR|678aVULN
39	22264 15221	   	169.05	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMSP|2DUR|3aVULN|4AART|5DUST|6DMG|7ASPD|8CDMG|9RCR
40	61622 21445	 * 	168.92	DCR|2VULN|2DMG|1AART|1ZMB	1aERES|2RPLT|3aDMG|4MBVNT|5ZMB|6AART|7LIT|8aVULN|9RCR|aBPWR
41	54263 12323	 * 	168.47	DCR|4VULN|1AART|2ZMB	1MLV|29ZMB|356aVULN|4AART|7NUKE|8RCR
42	64263 12323	   	168.37	DCR|4VULN|1AART|2ZMB	1ERES|29ZMB|356aVULN|4AART|7NUKE|8RCR
43	24166 13131	   	168.28	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|278VULN|3FEWX|4AART|5LWND|6DMG|9RCR|aZMB
44	24164 13131	   	168.18	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|278VULN|3FEWX|4AART|5DUST|6DMG|9RCR|aZMB
45	24364 13131	   	168.18	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|278VULN|3LHND|4AART|5DUST|6DMG|9RCR|aZMB
46	26264 13131	   	168.18	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|2LHND|378VULN|4AART|5DUST|6DMG|9RCR|aZMB
47	23363 13122	   	168.04	ACR|4VULN|1AART|1ZMB	1DMSP|2ERES|3AART|4RCR|5LHND|678aVULN|9ZMB
48	23363 62611	 * 	168.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DMSP|27ERES|3AART|4RCR|57LHND|67DMG|7BPWR|8VULN|9DUR|aCDMG
49	65363 13122	   	167.94	ACR|4VULN|1AART|1ZMB	12ERES|2BPWR|3AART|4RCR|5LHND|678aVULN|9ZMB
50	23362 13341	 * 	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2ERES|3AART|4RCR|5DUR|67VULN|8LHND|9DMG|aCDMG
51	23363 13241	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2ERES|3AART|4RCR|5LHND|67VULN|8DUR|9DMG|aCDMG
52	23363 61611	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2ERES|3AART|4RCR|5LHND|6DMG|78VULN|9DUR|aCDMG
53	23364 13241	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2ERES|3AART|4RCR|5LWND|67VULN|8DUR|9DMG|aCDMG
54	23362 33541	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2ERES|3AART|4RCR|5DUR|6LHND|78VULN|9DMG|aCDMG
55	54263 32323	 * 	167.90	DCR|3VULN|3ZMB|1AART	1MLV|269ZMB|35aVULN|4AART|7NUKE|8RCR
56	23365 13241	   	167.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2ERES|3AART|4RCR|5LEGI|67VULN|8DUR|9DMG|aCDMG
57	13633 12536	   	167.70	DCR|3VULN|2DMG|2DUR	19DUR|2RPLT|39CGEN|48aVULN|5LWND|6RCR|79DMG|9BPWR
58	22263 36316	   	167.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMSP|29DUR|35VULN|4AART|6ZMB|7RCVC|8RCR|aDMG
59	41651 21232	   	167.17	ACR|3VULN|1AART|2ZMB|1DUR|1ASPD	1aLIT|2FEWX|36aVULN|4DUR|5RCR|7AART|8ASPD|9aZMB|aBPWR
60	24252 13426	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|237VULN|4MBVNT|5DMG|6LWND|8RCR|9ZMB|aAART
61	24252 31426	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|236VULN|4MBVNT|5DMG|7LWND|8RCR|9ZMB|aAART
62	51611 13331	   	166.94	ACR|3VULN|1AART|1DMG|1DUR	1MLV|2RPLT|3DMG|4AART|5RCR|6DUST|7DUR|89aVULN
63	61611 13631	   	166.84	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RPLT|3DMG|4AART|5RCR|6DUST|7DUR|89aVULN
64	23362 13213	 * 	166.62	ACR|3VULN|2AART|2DUR	1DMSP|2ERES|38AART|4RCR|59DUR|67aVULN
65	22263 12366	   	166.52	DCR|3VULN|1AART|1DMG|1DUR	1DMSP|2DUR|356VULN|4AART|7NUKE|8RCR|9RCVC|aDMG
66	65362 13213	   	166.52	ACR|3VULN|2AART|2DUR	12ERES|2BPWR|38AART|4RCR|59DUR|67aVULN
67	22233 36256	 * 	166.35	DCR|3VULN|2DMG|1CDMG|1DUR	1DMSP|2DUR|368VULN|4RPLT|56DMG|6BPWR|7CDMG|9RMIN|aRCR
68	24232 13531	   	165.88	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|237VULN|4BEXP|5DMG|6LWND|8AART|9RCR|aZMB
69	24232 31531	   	165.88	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|236VULN|4BEXP|5DMG|7LWND|8AART|9RCR|aZMB
70	24232 35531	   	165.88	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|236VULN|4BEXP|5DMG|7LHND|8AART|9RCR|aZMB
71	14263 12313	   	165.85	DCR|4VULN|1AART|2DUR	19DUR|2RCVC|356aVULN|4AART|7NUKE|8RCR
72	22263 12313	   	165.85	DCR|4VULN|1AART|2DUR	1DMSP|29DUR|356aVULN|4AART|7NUKE|8RCR
73	24252 13621	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|237VULN|4MBVNT|5DMG|6LWND|8AART|9RCR|aZMB
74	24252 31621	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|236VULN|4MBVNT|5DMG|7LWND|8AART|9RCR|aZMB
75	23362 13266	   	165.73	ACR|2AART|2VULN|1DMG|1DUR	1DMSP|2ERES|38AART|4RCR|5DUR|67VULN|9RCVC|aDMG
76	31146 53212	   	165.39	ACR|2AART|3ZMB|1VULN|1DMG	1FEWX|2DUST|349ZMB|5RCR|68AART|7VULN|aDMG
77	23363 62322	   	165.39	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DMSP|27ERES|3AART|4RCR|57LHND|67DMG|7BPWR|8ASPD|9ZMB|aVULN
78	23364 62323	   	165.39	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DMSP|27ERES|3AART|4RCR|57LWND|67DMG|7BPWR|8ASPD|9ZMB|aVULN
79	23365 62323	   	165.19	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DMSP|27ERES|3AART|4RCR|5LEGI|67DMG|7BPWR|8ASPD|9ZMB|aVULN
80	22266 13225	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMSP|28DUR|37VULN|4AART|5LWND|6DMG|9CDMG|aRCR
81	12122 12235	   	165.06	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	17DUR|27BEXP|3ZMB|4AART|5CGEN|67DMG|7BPWR|8LWND|9RCR|aVULN
82	23363 61133	   	164.93	ACR|2VULN|2DMG|1AART	1DMSP|2aERES|3AART|4RCR|5LHND|6aDMG|7aVULN|8DLOT|9RPLT|aBPWR
83	23364 61133	   	164.93	ACR|2VULN|2DMG|1AART	1DMSP|2aERES|3AART|4RCR|5LWND|6aDMG|7aVULN|8DLOT|9RPLT|aBPWR
84	11122 12235	   	164.86	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	17DUR|27DUST|3ZMB|4AART|5CGEN|67DMG|7BPWR|8LWND|9RCR|aVULN
85	23365 61133	   	164.83	ACR|2VULN|2DMG|1AART	1DMSP|2aERES|3AART|4RCR|5LEGI|6aDMG|7aVULN|8DLOT|9RPLT|aBPWR
86	24232 33255	   	164.68	DCR|3VULN|1AART|1DMG|1ZMB	1DMSP|236VULN|4BEXP|5DMG|7ZMB|8LHND|9RCR|aAART
87	24252 34222	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|236VULN|4MBVNT|5DMG|7DUR|8RCR|9ZMB|aCDMG
88	54263 11321	   	164.17	DCR|3VULN|1AART|1CDMG|1ZMB	1aMLV|2ZMB|356VULN|4AART|7LEGI|8RCR|9CDMG
89	54263 11322	   	164.17	DCR|3VULN|1AART|1CDMG|1ZMB	1MLV|2ZMB|356VULN|4AART|7LEGI|8RCR|9CDMG|aRPLT
90	14233 36121	   	164.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aLWND
91	14233 36126	   	164.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aLHND
92	22233 36121	   	164.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DMSP|2DUR|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aLWND
93	22233 36126	   	164.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DMSP|2DUR|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aLHND
94	32124 22221	 * 	164.08	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2BEXP|3ZMB|46AART|5BELT|7DMG|8aVULN|9RCR
95	32124 32621	   	164.08	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2BEXP|3ZMB|48AART|5BELT|6aVULN|7DMG|9RCR
96	14233 33344	 * 	164.00	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1DUR|2RCVC|36VULN|4RPLT|56DMG|6BPWR|7aASPD|8ZMB|9RCR
97	22233 33344	   	164.00	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1DMSP|2DUR|36VULN|4RPLT|56DMG|6BPWR|7aASPD|8ZMB|9RCR
98	14233 36122	   	164.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aERES
99	14233 36125	   	164.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aLEGI
100	22233 36122	   	164.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DMSP|2DUR|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aERES
101	22233 36125	   	164.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DMSP|2DUR|36VULN|4RPLT|56DMG|6BPWR|7CDMG|8ZMB|9RCR|aLEGI
102	24263 36123	   	164.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DMSP|23VULN|4DUR|5RPLT|6aDMG|7CDMG|8ZMB|9RCR
103	31124 22221	   	163.98	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2DUST|3ZMB|46AART|5BELT|7DMG|8aVULN|9RCR
104	24164 13231	   	163.98	DCR|2AART|2VULN|1DMG|1ZMB	1DMSP|27VULN|3FEWX|48AART|5DUST|6DMG|9RCR|aZMB
105	23362 13163	   	163.98	ACR|4VULN|1AART|1DUR	1DMSP|2ERES|3AART|4RCR|5DUR|678aVULN|9RCVC
106	51611 22212	   	163.82	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19MLV|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aLIT
107	51611 22213	   	163.82	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19MLV|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aCGEN
108	51611 22214	   	163.82	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19MLV|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aFEWX
109	51611 22216	   	163.82	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19MLV|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aLHND
110	51611 22211	   	163.72	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19MLV|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aTLV
111	11116 53511	   	163.70	ACR|2VULN|3ZMB|1AART|2DUR	14DUR|2DUST|39aZMB|5RCR|6AART|78VULN
112	61611 22212	   	163.62	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19ERES|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aLIT
113	61611 22213	   	163.62	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19ERES|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aCGEN
114	61611 22214	   	163.62	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19ERES|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aFEWX
115	61611 22216	   	163.62	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19ERES|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aLHND
116	61611 22211	   	163.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	19ERES|2RPLT|39DMG|4AART|5RCR|6ASPD|7VULN|89DUR|9BPWR|aTLV
117	12121 63552	   	163.42	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1DUR|2BEXP|36ZMB|4AART|5FEWX|78VULN|9RCR|aDMG
118	23363 13166	   	163.00	ACR|3VULN|1AART|1DMG	1DMSP|2ERES|3AART|4RCR|5LHND|678VULN|9RCVC|aDMG
119	22612 13635	   	162.94	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DMSP|2DUR|3AART|4FEWX|5ASPD|679VULN|8CDMG|aRCR
120	24252 13416	   	162.92	DCR|3VULN|1AART|1DMG|1ASPD	1DMSP|237VULN|4MBVNT|5DMG|6LWND|8RCR|9ASPD|aAART
121	24252 31416	   	162.92	DCR|3VULN|1AART|1DMG|1ASPD	1DMSP|236VULN|4MBVNT|5DMG|7LWND|8RCR|9ASPD|aAART
122	31146 53211	   	162.92	ACR|2VULN|2AART|3ZMB	1FEWX|2DUST|349ZMB|5RCR|68AART|7aVULN
123	14263 36313	   	162.85	DCR|3VULN|1AART|2DUR|1ZMB	19DUR|27RCVC|35aVULN|4AART|6ZMB|8RCR
124	22263 36313	   	162.85	DCR|3VULN|1AART|2DUR|1ZMB	1DMSP|29DUR|35aVULN|4AART|6ZMB|7RCVC|8RCR
125	54263 13311	   	162.85	DCR|3VULN|1AART|2DUR|1ZMB	1MLV|2ZMB|356VULN|4AART|79DUR|8RCR|aLHND
126	51611 21224	 * 	162.83	ACR|2AART|2DMG|1VULN|1ASPD	1MLV|2RPLT|39DMG|48AART|5RCR|6ASPD|7LIT|aVULN
127	51611 23331	   	162.83	ACR|2AART|2VULN|1DMG|1ASPD	1MLV|2RPLT|3DMG|48AART|5RCR|6ASPD|7CGEN|9aVULN
128	54263 12313	   	162.75	DCR|3VULN|1AART|2DUR|1ZMB	1MLV|2ZMB|356VULN|4AART|7NUKE|8RCR|9aDUR
129	54263 13333	   	162.75	DCR|3VULN|1AART|2DUR|1ZMB	1MLV|2ZMB|356VULN|4AART|7aDUR|8RCR|9TLV
130	61611 21224	   	162.73	ACR|2AART|2DMG|1VULN|1ASPD	1ERES|2RPLT|39DMG|48AART|5RCR|6ASPD|7LIT|aVULN
131	64263 12313	   	162.65	DCR|3VULN|1AART|2DUR|1ZMB	1ERES|2ZMB|356VULN|4AART|7NUKE|8RCR|9aDUR
132	12122 15221	   	162.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2BEXP|3ZMB|4AART|5CGEN|6DMG|7ASPD|8CDMG|9RCR|aVULN
133	11122 15221	   	162.47	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DUST|3ZMB|4AART|5CGEN|6DMG|7ASPD|8CDMG|9RCR|aVULN
134	12126 15221	   	162.47	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2BEXP|3ZMB|4AART|5ERES|6DMG|7ASPD|8CDMG|9RCR|aVULN
135	51611 22341	   	162.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	18MLV|2RPLT|3DMG|4AART|5RCR|6ASPD|7aVULN|9ZMB
136	11126 15221	   	162.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DUST|3ZMB|4AART|5ERES|6DMG|7ASPD|8CDMG|9RCR|aVULN
137	22263 14325	   	162.34	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1DMSP|2DUR|356VULN|4AART|7LWND|8ASPD|9CDMG|aRCR
138	51611 13343	   	162.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1MLV|2RPLT|3DMG|4AART|5RCR|6DUST|7DUR|8aVULN|9ZMB
139	14263 11325	   	162.24	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2RCVC|356VULN|4AART|7LEGI|8ASPD|9CDMG|aRCR
140	22263 11325	   	162.24	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1DMSP|2DUR|356VULN|4AART|7LEGI|8ASPD|9CDMG|aRCR
141	22462 13125	   	162.24	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1DMSP|2DUR|3LEGI|4AART|5ASPD|678VULN|9CDMG|aRCR
142	23362 13114	   	162.11	ACR|3VULN|1AART|2DUR|1ASPD	1DMSP|2ERES|3AART|4RCR|59DUR|678VULN|aASPD
143	23362 15613	   	162.11	ACR|3VULN|1AART|2DUR|1ASPD	1DMSP|2ERES|3AART|4RCR|59DUR|68aVULN|7ASPD
144	24232 33352	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|236VULN|4BEXP|5DMG|7ZMB|8DUR|9RCR|aCDMG
145	24232 63252	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|238VULN|4BEXP|5DMG|6DUR|7ZMB|9RCR|aCDMG
146	24262 33252	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|236VULN|4DUR|5DMG|7ZMB|8LHND|9RCR|aCDMG
147	54263 11333	 * 	161.97	DCR|3VULN|2AART|1ZMB	1MLV|2ZMB|356VULN|4aAART|7LEGI|8RCR|9BELT
148	64263 11333	   	161.90	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1ERES|2ZMB|356VULN|4AART|7LEGI|8ASPD|9RCR|aDUR
149	11116 35141	   	161.84	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	14DUR|2DUST|3ZMB|5RCR|6RCVC|7AART|8VULN|9DMG|aCDMG
150	24232 13536	   	161.82	DCR|3VULN|1AART|1DMG|1ASPD	1DMSP|237VULN|4BEXP|5DMG|6LWND|8AART|9RCR|aASPD
151	24232 31536	   	161.82	DCR|3VULN|1AART|1DMG|1ASPD	1DMSP|236VULN|4BEXP|5DMG|7LWND|8AART|9RCR|aASPD
152	23362 41141	   	161.69	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1DMSP|2ERES|36AART|4RCR|5DUR|7DUST|8VULN|9DMG|aCDMG
153	32124 22262	 * 	161.68	DCR|2AART|2DMG|1VULN|1ZMB	1FEWX|2BEXP|3ZMB|46AART|5BELT|79DMG|8VULN|aRCR
154	32124 32662	   	161.68	DCR|2AART|2DMG|1VULN|1ZMB	1FEWX|2BEXP|3ZMB|48AART|5BELT|6VULN|79DMG|aRCR
155	13213 34413	 * 	161.61	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1DUR|2RPLT|3LHND|4RCVC|5aDMG|6FLTHEA|7VULN|8RCR|9AART
156	31124 22262	   	161.58	DCR|2AART|2DMG|1VULN|1ZMB	1FEWX|2DUST|3ZMB|46AART|5BELT|79DMG|8VULN|aRCR
157	62234 16231	   	161.51	DCR|2VULN|2DMG|1AART	19ERES|29CGEN|3aVULN|4AART|5DUST|69DMG|7BELT|8RCR|9BPWR
158	62234 42231	   	161.51	DCR|2VULN|2DMG|1AART	19ERES|29CGEN|3aVULN|4AART|5DUST|6BELT|79DMG|8RCR|9BPWR
159	12526 16322	   	161.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	17DUR|27BEXP|3AART|4FEWX|5DUST|67VULN|7BPWR|8ASPD|9RCR|aDMG
160	12562 13352	   	161.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	14DUR|2BEXP|3AART|5ASPD|67VULN|8LHND|9RCR|aDMG
161	23363 62613	   	161.32	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1DMSP|27ERES|3AART|4RCR|57LHND|67DMG|7BPWR|8VULN|9DUR|aASPD
162	23362 13263	   	161.32	ACR|3VULN|2AART|1DUR	1DMSP|2ERES|38AART|4RCR|5DUR|67aVULN|9RCVC
163	54263 12311	   	161.31	DCR|3VULN|1AART|2ZMB|1DUR	1MLV|2aZMB|356VULN|4AART|7NUKE|8RCR|9DUR
164	54263 13331	   	161.31	DCR|3VULN|1AART|2ZMB|1DUR	1MLV|2aZMB|356VULN|4AART|7DUR|8RCR|9TLV
