0	Index      	 *	Score 	Summary	Detail	
1	21112 52532	 * 	283.55	DCR|DCR|1VULN|1DMG|1MLV|2DUR|1ASPD|1ZMB	1MLV|2CGEN|3aDUR|4DMG|5ASPD|6ZMB|7VULN|89RCR
17	25312 45311	   	265.35	DCR|DCR|1DMG|1MLV|2DUR|1ASPD|1CDMG	1MLV|2DMG|3TBNT|47DUR|5ASPD|6CDMG|8BELT|9aRCR
18	32156 22531	   	263.86	DCR|DCR|2VULN|1DMG	1AAC|2LHND|35VULN|4DMG|6FEWX|7NUKE|89RCR|aBEXP
19	32156 22533	   	263.76	DCR|DCR|2VULN|1DMG	1AAC|2LHND|35VULN|4DMG|6FEWX|7NUKE|89RCR|aDUST
20	23624 23323	   	263.49	DCR|DCR|1VULN|1MLV|2RPLT|1CDMG|1SELL	1MLV|2LIT|3VULN|4SELL|5aRPLT|69RCR|7TBNT|8CDMG
21	31111 33534	 * 	262.74	DCR|DCR|2DMG|1MLV|1ASPD	1AAC|2ASPD|3DUR|47DMG|5LWND|6FEWX|89RCR|aMLV
22	31112 15534	   	262.74	DCR|DCR|2DMG|1MLV|1ASPD	1AAC|2ASPD|3DUR|45DMG|6LWND|7FEWX|89RCR|aMLV
23	22462 35133	 * 	262.71	DCR|DCR|2MLV|2ASPD|1AART	19MLV|2DUR|3MDPS|4RCVC|58ASPD|6AART|7aRCR
24	42121 34311	   	261.76	DCR|DCR|2VULN|1RPLT	1AME|2DUR|34VULN|5LWND|6RPLT|7BELT|8FEWX|9aRCR
25	42223 22311	   	261.76	DCR|DCR|2VULN|1RPLT	1AME|2DUR|3LWND|47VULN|5BELT|6RPLT|8FEWX|9aRCR
26	12332 13532	   	261.07	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1FEWX|2DMG|3TLV|4AAC|5ASPD|6VULN|7RMIN|89RCR|aAART
27	52332 13532	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DUST|2DMG|3TLV|4AAC|5ASPD|6VULN|7RMIN|89RCR|aAART
28	22223 21211	   	259.74	DCR|DCR|1VULN|1MLV|2DUR|1RPLT	1MLV|28DUR|3LWND|4VULN|5BELT|6RPLT|7LHND|9aRCR
29	12332 52532	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1FEWX|2DMG|3TLV|4AAC|5ASPD|6CGEN|7VULN|89RCR|aDUR
30	36112 63531	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1AAC|2CGEN|3DUR|4DMG|5ASPD|6VULN|7RMIN|89RCR|aBEXP
31	36112 63533	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1AAC|2CGEN|3DUR|4DMG|5ASPD|6VULN|7RMIN|89RCR|aLHND
32	12142 22532	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1FEWX|2DMG|3VULN|4AAC|56BEXP|7ASPD|89RCR|aDUR
33	32312 13532	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1AAC|2LHND|3TLV|4DMG|5ASPD|6VULN|7RMIN|89RCR|aDUR
34	32312 52532	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1AAC|2LHND|3TLV|4DMG|5ASPD|6CGEN|7VULN|89RCR|aDUR
35	22223 23411	   	259.64	DCR|DCR|1VULN|1MLV|2DUR|1RPLT	1MLV|28DUR|3LWND|4VULN|5BELT|6RPLT|7aRCR|9DUST
36	52332 52532	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1DUST|2DMG|3TLV|4AAC|5ASPD|6CGEN|7VULN|89RCR|aDUR
37	41112 52531	   	259.37	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1AME|2CGEN|3DUR|4DMG|5ASPD|6ZMB|7VULN|89RCR|aBEXP
38	41112 52533	   	259.27	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1AME|2CGEN|3DUR|4DMG|5ASPD|6ZMB|7VULN|89RCR|aCANARM
39	25312 42311	   	258.80	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1MLV|2DMG|3TBNT|4DUR|5ASPD|6CDMG|7DMSP|8BELT|9aRCR
40	23624 23326	   	258.29	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1SELL	1MLV|2LIT|3VULN|4SELL|5RPLT|69RCR|7TBNT|8CDMG|aBEXP
41	23624 23321	   	258.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1SELL	1MLV|2LIT|3VULN|4SELL|5RPLT|69RCR|7TBNT|8CDMG|aERES
42	23624 23322	   	258.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1SELL	1MLV|2LIT|3VULN|4SELL|5RPLT|69RCR|7TBNT|8CDMG|aAME
43	31111 15534	 * 	257.71	DCR|DCR|2ASPD|1DMG|1MLV	1AAC|26ASPD|3DUR|4DMG|56LWND|6BPWR|7FEWX|89RCR|aMLV
44	31111 33535	 * 	257.66	DCR|DCR|2DMG|2ASPD	1AAC|2aASPD|3DUR|47DMG|5LWND|6FEWX|89RCR
45	31112 15535	   	257.66	DCR|DCR|2DMG|2ASPD	1AAC|2aASPD|3DUR|45DMG|6LWND|7FEWX|89RCR
46	21135 23163	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2CGEN|3DUR|4CDMG|5BEXP|6TBNT|7aRCR|8LWND|9VULN
47	22335 23163	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2DUR|3TLV|4CDMG|5BEXP|6BBNT|7aRCR|8LWND|9VULN
48	24136 23163	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2RMIN|3DUR|4CDMG|5BEXP|6BBNT|7aRCR|8LWND|9VULN
49	21135 23563	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2CGEN|3DUR|4CDMG|5BEXP|6TBNT|7aRCR|8LEGI|9VULN
50	22335 23563	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2DUR|3TLV|4CDMG|5BEXP|6BBNT|7aRCR|8LEGI|9VULN
51	12143 42532	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1FEWX|2DMG|3VULN|4AAC|5RCVC|6DUR|7NUKE|89RCR|aAART
52	12643 12532	   	255.62	DCR|DCR|1VULN|1DMG|1AART	13FEWX|2DMG|4AAC|5DUR|6VULN|7NUKE|89RCR|aAART
53	52143 32532	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1DUST|2DMG|3VULN|4AAC|5RCVC|6DUR|7NUKE|89RCR|aAART
54	35353 12532	   	255.42	DCR|DCR|1VULN|1DMG|1AART	1AAC|2AELOIC|3DMG|4DUST|5DUR|6VULN|7NUKE|89RCR|aAART
55	31111 33532	   	254.87	DCR|DCR|2DMG|1ASPD|1AART	1AAC|2ASPD|3DUR|47DMG|5LWND|6FEWX|89RCR|aAART
56	31112 15532	   	254.87	DCR|DCR|2DMG|1ASPD|1AART	1AAC|2ASPD|3DUR|45DMG|6LWND|7FEWX|89RCR|aAART
57	22312 55532	   	254.57	DCR|DCR|1DMG|1MLV|1ASPD|1AART|1ZMB	1MLV|2DUR|3TLV|4DMG|5ASPD|6ZMB|7FEWX|89RCR|aAART
58	31411 33533	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1AAC|2ASPD|3BEXP|47DMG|5LWND|6FEWX|89RCR|aMLV
59	31412 15533	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1AAC|2ASPD|3BEXP|45DMG|6LWND|7FEWX|89RCR|aMLV
60	31611 33534	   	254.33	DCR|DCR|2DMG|1MLV|1ASPD	1AAC|2ASPD|3DUST|47DMG|5LWND|6FEWX|89RCR|aMLV
