0	Index      	 *	Score 	Summary	Detail	
1	12523 11121	 * 	280.50	DCR|DCR|3VULN	1TBNT|2AAC|357VULN|45LWND|5BPWR|6DUR|8aRCR|9CGEN
29	43326 23431	   	261.98	DCR|DCR|2VULN|1ASPD	13ERES|2BBNT|3BPWR|4ASPD|56VULN|7LEGI|8aRCR|9BEXP
30	54533 22111	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1LEGI|2DUR|3LHND|4DUST|5LWND|6VULN|7ASPD|8aRCR|9MLV
31	15323 12612	 * 	258.98	DCR|2VULN|3MLV|2DMG|1ASPD	1TBNT|2DMSP|38DMG|4ASPD|5RCVC|689MLV|78VULN|8BPWR|aRCR
32	15333 52421	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1TBNT|2DMSP|3DMG|4FEWX|5AELOIC|6MLV|7LHND|8aRCR|9VULN
33	52234 25111	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1LEGI|2LHND|3FEWX|4DUST|5BEXP|6VULN|7DMG|8aRCR|9MLV
34	24622 11234	   	257.16	DCR|DCR|1VULN|1MLV|1AART|1RPLT|1ZMB	1ZMB|2FEWX|3RPLT|4TBNT|5BEXP|6MLV|7VULN|8AART|9aRCR
35	12523 15121	   	257.03	DCR|DCR|2VULN	1TBNT|2AAC|35VULN|45LWND|5BPWR|6DUR|7RCVC|8aRCR|9CGEN
36	12166 11121	   	256.93	DCR|DCR|2VULN	1TBNT|2AAC|3BEXP|4RCVC|57VULN|6DUR|8aRCR|9CGEN
37	12333 11121	   	256.93	DCR|DCR|2VULN	1TBNT|2AAC|3DUR|46LHND|57VULN|8aRCR|9CGEN
38	12521 11121	   	256.93	DCR|DCR|2VULN	1TBNT|2AAC|37VULN|45LWND|6DUR|8aRCR|9CGEN
39	12536 11121	   	256.93	DCR|DCR|2VULN	1TBNT|2AAC|37VULN|45LHND|6DUR|8aRCR|9CGEN
40	24166 11121	   	256.69	DCR|DCR|2VULN|1ZMB	1ZMB|2FEWX|3TBNT|4RCVC|57VULN|6DUR|8aRCR|9CGEN
41	13261 25121	   	255.47	DCR|DCR|1VULN|1DMG|2DUR	1TBNT|25LHND|34DUR|6VULN|7DMG|8aRCR|9CGEN
42	13263 25121	   	255.47	DCR|DCR|1VULN|1DMG|2DUR	1TBNT|2LHND|34DUR|5RCVC|6VULN|7DMG|8aRCR|9CGEN
43	15344 12121	   	255.47	DCR|DCR|1VULN|1DMG|2DUR	1TBNT|2DMSP|3DMG|4VULN|56DUR|7LHND|8aRCR|9CGEN
44	13266 25121	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	1TBNT|2LHND|34DUR|5AELOIC|6VULN|7DMG|8aRCR|9CGEN
45	13336 12121	   	254.96	DCR|DCR|1VULN|2ASPD	1TBNT|24LHND|37ASPD|5VULN|6DUR|8aRCR|9CGEN
46	32434 23116	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1TSLARM|2AELOIC|3LIT|47DMSP|5ASPD|68RCR|9DMG|aVULN
47	24253 21111	   	252.59	DCR|DCR|1VULN|1MLV|2DUR|1ZMB	1ZMB|2FEWX|3MDPS|4BEXP|56DUR|7VULN|8aRCR|9MLV
48	13333 53421	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1TBNT|24LHND|3ASPD|5AELOIC|6MLV|7LWND|8aRCR|9VULN
49	35133 16132	 * 	251.56	DCR|DCR|3ASPD|2RPLT|1CDMG	1TSLARM|245ASPD|3TBNT|67RPLT|8CDMG|9aRCR
50	35233 16132	   	251.56	DCR|DCR|3ASPD|2RPLT|1CDMG	1TSLARM|245ASPD|3BBNT|67RPLT|8CDMG|9aRCR
51	13333 55421	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1TBNT|24LHND|3ASPD|5AELOIC|6MLV|7DUST|8aRCR|9VULN
52	53252 62111	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1LEGI|2ASPD|3MDPS|4BEXP|5RCVC|6VULN|7LWND|8aRCR|9MLV
53	14111 62121	   	251.49	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1TBNT|2TLV|3FEWX|4SELL|5VULN|6MLV|7CDMG|8aRCR|9CGEN
54	14511 62121	   	251.49	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1TBNT|2TLV|3LHND|4SELL|5VULN|6MLV|7CDMG|8aRCR|9CGEN
55	53255 11111	   	251.43	DCR|DCR|1VULN|1MLV|1ASPD	1LEGI|2ASPD|3MDPS|4BEXP|5DUST|6DMSP|7VULN|8aRCR|9MLV
56	13531 23521	 * 	250.66	ACR|DCR|2VULN|1MLV|1CDMG|1SELL	1TBNT|2LHND|3CDMG|4aRCR|59VULN|6MLV|7SELL|8LWND
