0	Index      	 *	Score 	Summary	Detail	
1	31441 22211	 * 	285.19	DCR|DCR|2DMG|1VULN|1MLV|1AART	1BBNT|2MLV|3AART|4VULN|58DMG|6SNITOX|7aRCR|9DUST
22	22316 24513	   	262.18	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5TLV|6LHND|79RCR|8MBVNT|aLWND
23	22316 24514	   	262.18	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5TLV|6LHND|79RCR|8MBVNT|aAAC
24	22311 24516	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aERES
25	23311 24512	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aLHND
26	23311 24513	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aLIT
27	23311 24514	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5RMIN|6aFEWX|79RCR|8MBVNT
28	23316 24512	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5TLV|6aLHND|79RCR|8MBVNT
29	23316 24513	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5TLV|6LHND|79RCR|8MBVNT|aLWND
30	23316 24514	   	262.08	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5TLV|6LHND|79RCR|8MBVNT|aAAC
31	23311 24516	   	261.98	DCR|DCR|2VULN|1CDMG	14VULN|2DUST|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aERES
32	21531 32461	   	258.09	DCR|DCR|2VULN|1AART	14VULN|2RCVC|346ERES|4BPWR|5TBNT|7AART|8aRCR|9BEXP
33	35443 22311	   	258.09	DCR|DCR|2VULN|1AART	1BBNT|2AME|3AART|49VULN|5AAC|6SNITOX|7aRCR|8LWND
34	34512 11241	   	257.65	ACR|DCR|2VULN|1DMG|1AART	1BBNT|2DMG|35VULN|4aRCR|6DUR|7FRZARM|8ERES|9AART
35	22165 22213	 * 	255.69	ACR|DCR|2VULN|2ASPD|1RPLT	1aVULN|2aBEXP|37FEWX|4TLV|56RCR|8RPLT|9aASPD|aBPWR
36	22665 23213	   	255.59	ACR|DCR|2VULN|2ASPD|1RPLT	1aVULN|2aBEXP|3DUST|4TLV|56RCR|7RCVC|8RPLT|9aASPD|aBPWR
37	23165 22213	   	255.49	ACR|DCR|2VULN|2ASPD|1RPLT	1aVULN|2aDUST|37FEWX|4TLV|56RCR|8RPLT|9aASPD|aBPWR
38	21565 23213	   	255.39	ACR|DCR|2VULN|2ASPD|1RPLT	1aVULN|27RCVC|3aERES|4MDPS|56RCR|8RPLT|9aASPD|aBPWR
