0	Index      	 *	Score 	Summary	Detail	
1	32244 33362	 * 	271.64	DCR|DCR|2VULN|1ASPD|1AART	1MULARM|2AELOIC|35VULN|4AART|6DUST|7AAC|8ASPD|9aRCR
39	23814 51117	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3RPLT|4MLV|5RMIN|6AME|7VULN|8ZMB|9aRCR
40	23818 31117	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3RPLT|4MLV|5ERES|6VULN|7RMIN|8ZMB|9aRCR
41	23145 13187	   	246.57	ACR|DCR|2VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3aRCR|48VULN|5ZMB|6RPLT|7LWND|9MLV
42	43323 16126	   	245.94	DCR|DCR|1VULN|1MLV|1ZMB	1ERES|2DUR|3ZMB|4VULN|5BASHEA|6CGEN|79RCR|8BELT|aMLV
43	22122 34352	   	244.10	ACR|DCR|1VULN|1DMG|1MLV|2DUR	1LIT|2RCVC|35DUR|47RCR|6MLV|8RMIN|9DMG|aVULN
44	22122 34552	   	244.00	ACR|DCR|1VULN|1DMG|1MLV|2DUR	1LIT|2RCVC|35DUR|47RCR|6MLV|8ERES|9DMG|aVULN
45	33112 36336	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1MULARM|2CDMG|3VULN|4BBNT|5RPLT|6LWND|7LIT|8AAC|9aRCR
46	33432 36336	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1MULARM|2CDMG|3BBNT|4VULN|5RPLT|6LWND|7LIT|8AAC|9aRCR
47	33112 66336	   	243.66	DCR|DCR|1VULN|1CDMG|1RPLT	1MULARM|2CDMG|3VULN|4BBNT|5RPLT|6DUST|7LIT|8AAC|9aRCR
48	13323 24236	   	243.52	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1FEWX|2TBNT|3ZMB|4RPLT|5CDMG|6LIT|7VULN|8MGNSTR|9aRCR
49	33112 36536	   	243.52	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1MULARM|2CDMG|3VULN|4BBNT|5RPLT|6LWND|7LIT|8ZMB|9aRCR
50	23141 88164	   	243.19	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5RCVC|6BPWR|8LHND|9CGEN
51	23141 88324	   	243.19	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5RCVC|6BPWR|8CGEN|9BEXP
52	23148 88324	   	243.19	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5DMSP|6BPWR|8CGEN|9BEXP
53	25161 53211	   	243.19	ACR|DCR|3VULN	15LIT|2FRZARM|389VULN|46RCR|7BEXP|aBELT
54	25161 53213	   	243.19	ACR|DCR|3VULN	15LIT|2FRZARM|389VULN|46RCR|7BEXP|aTBNT
55	32241 24261	 * 	243.10	ACR|DCR|2VULN|3AART	1MULARM|2AELOIC|36VULN|48aAART|59RCR|7LIT
56	23141 88644	   	243.09	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5RCVC|6BPWR|8BEXP|9AME
57	25161 53212	   	243.09	ACR|DCR|3VULN|1ZMB	15LIT|2FRZARM|389VULN|46RCR|7BEXP|aZMB
58	23143 88164	   	242.99	ACR|DCR|3VULN	1LIT|2MBVNT|3aRCR|467VULN|56AELOIC|6BPWR|8LHND|9CGEN
59	23143 88324	   	242.99	ACR|DCR|3VULN	1LIT|2MBVNT|3aRCR|467VULN|56AELOIC|6BPWR|8CGEN|9BEXP
60	23144 46531	   	242.99	ACR|DCR|3VULN	1LIT|2MBVNT|38RCR|49aVULN|5TBNT|6DUST|7BEXP
61	23144 47531	   	242.99	ACR|DCR|3VULN	1LIT|2MBVNT|38RCR|49aVULN|5TBNT|6DUST|7FEWX
62	23143 88644	   	242.89	ACR|DCR|3VULN	1LIT|2MBVNT|3aRCR|467VULN|56AELOIC|6BPWR|8BEXP|9AME
63	32241 25632	   	242.73	ACR|DCR|2VULN|1CDMG|1AART	1MULARM|2AELOIC|36VULN|4AART|5aRCR|7NUKE|8CDMG|9LHND
64	21361 34152	   	242.69	ACR|DCR|1VULN|1DMG|1MLV|1ASPD	1LIT|27RCR|3RCVC|4AME|5ERES|6MLV|8ASPD|9DMG|aVULN
65	32241 12632	   	242.59	ACR|DCR|1VULN|1DMG|2AART|1CDMG	1MULARM|2AELOIC|3VULN|46AART|5aRCR|7DMG|8CDMG|9LHND
66	32241 12642	   	242.59	ACR|DCR|1VULN|1DMG|2AART|1CDMG	1MULARM|2AELOIC|3VULN|46AART|5aRCR|7DMG|8CDMG|9FEWX
67	34234 74214	   	242.21	DCR|DCR|1VULN|1ASPD	1MULARM|2MBVNT|3CGEN|4DMSP|5ASPD|6aRCR|7BASARM|8DUR|9VULN
68	34284 74214	   	242.21	DCR|DCR|1VULN|1ASPD	1MULARM|2MBVNT|34CGEN|5ASPD|6aRCR|7BASARM|8DUR|9VULN
