0	Index      	 *	Score 	Summary	Detail	
1	43354 11544	 * 	287.82	DCR|DCR|2VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7aVULN|8MLV
19	11616 11162	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5LHND|6DMG|8DUST|aBEXP
20	11453 11162	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|3LHND|47VULN|59RCR|6DMG|8DUST|aBEXP
21	11643 11162	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|4LHND|59RCR|6DMG|8DUST|aBEXP
22	11611 11361	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8FEWX|aZMB
23	11611 11363	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8FEWX|aAIRARM
24	11616 11161	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2MLV|37VULN|49RCR|5LHND|6DMG|8DUST|aZMB
25	11616 11163	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5LHND|6DMG|8DUST|aAIRARM
26	11453 11161	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2MLV|3LHND|47VULN|59RCR|6DMG|8DUST|aZMB
27	11453 11163	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|3LHND|47VULN|59RCR|6DMG|8DUST|aAIRARM
28	11643 11161	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2MLV|37VULN|4LHND|59RCR|6DMG|8DUST|aZMB
29	11643 11163	   	266.78	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|4LHND|59RCR|6DMG|8DUST|aAIRARM
30	12611 11225	   	266.63	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2ZMB|37VULN|4aRCR|5DUST|6DMG|8MLV|9LWND
31	12611 51632	   	266.15	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|38aVULN|46RCR|5DUST|7ASPD|9BBNT
32	63223 22362	   	264.30	ACR|DCR|2VULN|1DMG|2DUR|1RPLT	1aVULN|2DMSP|3DMG|4aDUR|59RCR|6TBNT|7aAELOIC|8RPLT|aBPWR
33	63223 62362	   	264.30	ACR|DCR|2VULN|1DMG|2DUR|1RPLT	1aVULN|2DMSP|3DMG|4aDUR|59RCR|6BBNT|7aAELOIC|8RPLT|aBPWR
34	65223 22361	   	264.20	ACR|DCR|2VULN|1DMG|2DUR|1RPLT	12VULN|3DMG|4aDUR|59RCR|6TBNT|7AELOIC|8RPLT
35	12513 13115	   	263.91	ACR|DCR|2VULN|1DMG|2DUR|1RPLT|2ZMB	1RPLT|29ZMB|3DUST|4aRCR|59DUR|6DMG|7CGEN|89VULN|9BPWR
36	11626 21323	   	263.51	DCR|2VULN|3MLV|2ASPD|1DMG|1RPLT	1RPLT|289MLV|39VULN|4DMG|5BEXP|6RMIN|79ASPD|9BPWR|aRCR
37	11253 51361	   	263.35	DCR|DCR|1VULN|2MLV|1RPLT	1RPLT|2aMLV|3TBNT|47LHND|5VULN|68RCR|9CGEN
38	11136 36341	 * 	263.32	DCR|DCR|2MLV|1DMG|2DUR|1RPLT	1RPLT|26MLV|3RCVC|4LHND|5aDUR|78RCR|9DMG
39	11232 54361	   	263.15	DCR|DCR|1VULN|2MLV|1RPLT	1RPLT|2aMLV|3TBNT|4RCVC|5DUST|68RCR|7VULN|9ERES
40	11212 54361	   	263.05	DCR|DCR|1VULN|2MLV|1RPLT	1RPLT|2aMLV|3TBNT|4AELOIC|5DUST|68RCR|7VULN|9ERES
41	11136 16331	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1RPLT	1RPLT|2MLV|3RCVC|4LHND|56DUR|78RCR|9DUST|aVULN
42	11131 12165	 * 	262.29	DCR|DCR|3MLV|1DMG|1RPLT|1ZMB	1RPLT|268MLV|3RCVC|4LHND|5ZMB|7aRCR|9DMG
43	63223 52362	   	261.64	ACR|DCR|2VULN|1DMG|1CDMG	19VULN|2DMSP|3DMG|4DUR|5aRCR|6DUST|7CDMG|8BEXP
44	31233 52162	   	261.64	ACR|DCR|2VULN|1DMG|1CDMG	12FEWX|3DMG|49VULN|5aRCR|6DUST|7CDMG|8DUR
45	11232 54351	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2MLV|3TBNT|4RCVC|5DUST|68RCR|7VULN|9LIT|aASPD
46	11212 54351	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2MLV|3TBNT|4AELOIC|5DUST|68RCR|7VULN|9LIT|aASPD
47	43354 11241	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7VULN|8TLV|aMLV
48	43354 11542	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7VULN|8MLV|aLHND
49	43354 11543	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7VULN|8MLV|aRCVC
50	43354 13141	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7CGEN|8VULN|aMLV
51	63214 23237	 * 	259.73	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1VULN|2DMSP|3DMG|4MDPS|5RPLT|6MBVNT|7TLV|8AART|9aRCR
52	43354 11141	   	259.64	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7VULN|8ERES|aMLV
53	43354 11541	   	259.64	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7VULN|8MLV|aAME
54	11513 11365	   	258.85	ACR|DCR|1VULN|1DMG|1MLV|2DUR|2RPLT	1aRPLT|2MLV|3DUST|49RCR|58DUR|6DMG|7VULN
55	16134 16331	   	258.62	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1RPLT|2DMSP|3aDUR|4CGEN|5AELOIC|6VULN|78RCR|9ASPD
56	16152 63331	   	257.89	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	1RPLT|2DMSP|3aDUR|48RCR|57VULN|6CGEN|9ASPD
