0	Index      	 *	Score 	Summary	Detail	
1	13352 62262	 * 	260.67	DCR|2VULN|3MLV|2DMG|2CDMG	1aBEXP|24CDMG|34aMLV|4aBPWR|58VULN|6RCR|7CGEN|9aDMG
37	13312 62262	   	240.19	DCR|2VULN|2DMG|2MLV|1CDMG	1aBEXP|2CDMG|3aMLV|4RCVC|58VULN|6RCR|7CGEN|9aDMG|aBPWR
38	33335 63221	   	239.45	DCR|DCR|1VULN|1CDMG	1ERES|2RMIN|3VENICY|4DUR|5CDMG|6aRCR|7VULN|8LWND|9FEWX
39	33335 63611	   	239.25	DCR|DCR|1VULN|1CDMG	18ERES|2RMIN|3VENICY|4DUR|5CDMG|6aRCR|7VULN|9MDPS
40	13632 61353	 * 	238.67	DCR|2VULN|3DMG|2CDMG|1AART	19aBEXP|2aCDMG|347DMG|5aVULN|6RCR|8AART|aBPWR
41	13355 23411	   	238.61	DCR|DCR|2MLV|2CDMG	1BEXP|24CDMG|34MLV|4BPWR|5MSLREG|6LWND|7CGEN|8aRCR|9MDPS
42	13355 33411	   	238.61	DCR|DCR|2MLV|2CDMG	1BEXP|24CDMG|34MLV|4BPWR|5MSLREG|6FEWX|7CGEN|8aRCR|9MDPS
43	13461 35332	   	238.23	DCR|2VULN|2DMG|1MLV|1ASPD|1CDMG	1BEXP|2CDMG|3aCGEN|4aDMG|5MLV|6aVULN|7RCR|8TLV|9ASPD|aBPWR
44	22316 22286	   	237.95	DCR|DCR|1DMG|1MLV|2RPLT	1BELT|2DMG|3MLV|4LWND|57RPLT|6MBVNT|8aRCR|9RMIN
45	42622 32314	   	237.56	DCR|DCR|1VULN|1DMG	1BBNT|2LHND|3MDPS|4VULN|5DMG|6aRCR|7ERES|8LIT|9BELT
46	43422 33342	   	237.56	DCR|DCR|1VULN|1DMG	1BBNT|2TBNT|3AME|4CGEN|5DMG|6aRCR|7MDPS|8VULN|9RMIN
47	33325 25411	   	237.36	DCR|DCR|1VULN|2CDMG	1ERES|2RMIN|3VENICY|4LWND|56CDMG|7VULN|8aRCR|9MDPS
48	33325 35411	   	237.36	DCR|DCR|1VULN|2CDMG	16ERES|2RMIN|3VENICY|4LWND|56CDMG|6BPWR|7VULN|8aRCR|9MDPS
49	13632 61143	 * 	237.14	DCR|3DMG|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1BEXP|2CDMG|347DMG|5VULN|6RCR|8ASPD|9MLV|aRPLT
50	13352 32215	   	237.02	DCR|2VULN|2MLV|1DMG|2CDMG	1BEXP|24CDMG|34MLV|4BPWR|56VULN|7MDPS|8DUR|9DMG|aRCR
51	63322 35632	   	236.92	DCR|2VULN|2MLV|2CDMG|1DMG	1DUR|2aCDMG|39MLV|4ERES|5aVULN|6DMG|7RCR|8aAELOIC|aBPWR
52	11322 36551	   	236.75	DCR|DCR|1DMG|1MLV|1ASPD	1BEXP|2CGEN|3TSLFST|4ASPD|5MLV|6RCVC|7DMG|8aRCR|9BELT
53	43115 22251	   	236.40	DCR|DCR|1DMG|1MLV|1CDMG|1SELL	1BBNT|2TBNT|3MULARM|4DMG|5SELL|6MLV|7ERES|89RCR|aCDMG
54	22332 21531	   	236.37	DCR|2VULN|3MLV|1DMG|1CDMG	1BELT|2DMG|36aMLV|48VULN|5CDMG|7SNIFST|9RCR
55	22332 23531	   	236.37	DCR|2VULN|3MLV|1DMG|1CDMG	1BELT|2DMG|36aMLV|48VULN|5CDMG|7VENFST|9RCR
56	22356 21531	   	236.37	DCR|2VULN|3MLV|1DMG|1CDMG	1BELT|2DMG|36aMLV|4CDMG|58VULN|7SNIFST|9RCR
57	22356 23531	   	236.37	DCR|2VULN|3MLV|1DMG|1CDMG	1BELT|2DMG|36aMLV|4CDMG|58VULN|7VENFST|9RCR
58	13632 61141	   	235.79	DCR|3DMG|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2CDMG|347DMG|5VULN|6RCR|8ASPD|9MLV|aDUR
59	11152 61243	 * 	235.34	DCR|3VULN|1DMG|2CDMG|1MLV	1BEXP|24CGEN|34CDMG|4BPWR|589VULN|6RCR|7DMG|aMLV
60	31233 45411	   	234.58	DCR|DCR|1VULN|1MLV|1SELL	13ERES|2FEWX|4MLV|5VENTOX|6SELL|7VULN|8aRCR|9MDPS
61	13352 62162	   	234.46	DCR|3MLV|2DMG|1VULN|2CDMG	1aBEXP|24CDMG|34aMLV|4aBPWR|5VULN|6RCR|78CGEN|9aDMG
62	13352 63422	   	234.26	DCR|3MLV|2DMG|1VULN|2CDMG	1aBEXP|24CDMG|34aMLV|4aBPWR|5VULN|6RCR|79ERES|8aDMG
63	12523 17723	   	234.21	DCR|2VULN|2MLV|2ASPD|1AART|1RPLT	1aBEXP|2RPLT|37MLV|4aASPD|5MBVNT|6AART|8aVULN|9RCR|aBPWR
64	13352 61421	   	233.85	DCR|2DMG|2MLV|1VULN|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|5VULN|6RCR|78DMG|9ASPD|aFEWX
65	13352 61422	   	233.85	DCR|2DMG|2MLV|1VULN|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|5VULN|6RCR|78DMG|9ASPD|aLSRICY
66	13352 61423	   	233.85	DCR|2DMG|2MLV|1VULN|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|5VULN|6RCR|78DMG|9ASPD|aRMIN
67	13632 63253	   	232.68	DCR|2VULN|2DMG|1MLV|1CDMG	1BEXP|2CDMG|34DMG|58VULN|6RCR|7BBNT|9DUR|aMLV
68	13632 61323	   	232.16	DCR|2VULN|3DMG|1CDMG|1AART	1aBEXP|2CDMG|347DMG|5aVULN|6RCR|8AART|9aDUST|aBPWR
69	22332 45151	   	232.06	DCR|2VULN|2MLV|1DMG|1CDMG|1RPLT	1BELT|2DMG|38MLV|47VULN|5CDMG|6LHND|9RCR|aRPLT
70	22332 65151	   	232.06	DCR|2VULN|2MLV|1DMG|1CDMG|1RPLT	1BELT|2DMG|38MLV|47VULN|5CDMG|6FEWX|9RCR|aRPLT
71	13633 63311	   	232.06	DCR|2VULN|3DMG|1CDMG|1RPLT	1BEXP|2CDMG|34aDMG|5RPLT|6MDPS|7RCR|89VULN
72	12564 33112	   	231.96	DCR|2VULN|2MLV|1DMG|1ASPD|1RPLT	1BEXP|2RPLT|3aMLV|4DMG|5AME|6RCR|7aVULN|8ASPD|9aDUST|aBPWR
73	22332 25351	   	231.96	DCR|2VULN|2MLV|1DMG|1CDMG|1RPLT	1BELT|2DMG|36MLV|47VULN|5CDMG|8DUST|9RCR|aRPLT
74	11152 61226	   	231.46	DCR|3VULN|1DMG|2CDMG|1ASPD	1BEXP|24CGEN|34CDMG|4BPWR|58aVULN|6RCR|7DMG|9ASPD
75	61343 22411	   	231.44	DCR|DCR|1MLV|2DUR|1CDMG	15DUR|2CGEN|3TSLFST|4CDMG|6LWND|7MLV|8aRCR|9MDPS
76	61343 32411	   	231.44	DCR|DCR|1MLV|2DUR|1CDMG	15DUR|2CGEN|3TSLFST|4CDMG|6FEWX|7MLV|8aRCR|9MDPS
77	63323 11355	   	231.17	DCR|2VULN|1DMG|2CDMG|1MLV|1RPLT	1DUR|29CDMG|3MLV|4ERES|5RPLT|69VULN|7DMG|89TLV|9BPWR|aRCR
78	31143 22411	   	231.10	DCR|DCR|2CDMG|1MLV	1ERES|2FEWX|36CDMG|4DUR|5TSLARM|7MLV|8aRCR|9MDPS
79	31343 22411	   	231.10	DCR|DCR|2CDMG|1MLV	1ERES|2FEWX|3MSLTOX|46CDMG|5DUR|7MLV|8aRCR|9MDPS
80	35143 22411	   	231.10	DCR|DCR|2CDMG|1MLV	1ERES|2BEXP|36CDMG|4DUR|5TSLARM|7MLV|8aRCR|9MDPS
81	35343 22411	   	231.10	DCR|DCR|2CDMG|1MLV	1ERES|2BEXP|3MSLTOX|46CDMG|5DUR|7MLV|8aRCR|9MDPS
82	63533 22411	   	231.10	DCR|DCR|2CDMG|1MLV	1DUR|26CDMG|3LWND|4ERES|5TSLARM|7MLV|8aRCR|9MDPS
83	33325 63211	   	231.04	DCR|DCR|1VULN|1CDMG	1ERES|2RMIN|3VENICY|48LWND|5CDMG|6aRCR|7VULN|9MDPS
84	33325 63611	   	230.94	DCR|DCR|1VULN|1CDMG	18ERES|2RMIN|3VENICY|4LWND|5CDMG|6aRCR|7VULN|9MDPS
85	13352 62241	   	230.89	DCR|3VULN|2MLV|2CDMG	1BEXP|24CDMG|34MLV|4BPWR|589VULN|6RCR|7aCGEN
86	13352 62242	   	230.89	DCR|3VULN|2MLV|2CDMG	1BEXP|24CDMG|34MLV|4BPWR|589VULN|6RCR|7CGEN|aRCVC
87	11161 35312	   	230.79	DCR|2VULN|2DMG|2CDMG|1MLV	1BEXP|2CGEN|3aCDMG|4aDMG|5MLV|6aVULN|7RCR|8TLV|9ERES|aBPWR
88	11152 61263	   	230.79	DCR|2VULN|2DMG|2CDMG|1MLV	1BEXP|24CGEN|34CDMG|4BPWR|58VULN|6RCR|79DMG|aMLV
89	13352 62233	   	230.79	DCR|3VULN|2MLV|2CDMG	1BEXP|24CDMG|34MLV|4BPWR|58aVULN|6RCR|7CGEN|9MDPS
90	22221 24515	 * 	230.74	DCR|3DMG|2MLV|1VULN|2DUR	1BELT|268DMG|3MSLREG|48MLV|5RMIN|78DUR|8BPWR|9VULN|aRCR
91	53341 33173	   	230.72	DCR|3VULN|1MLV|1ASPD|1CDMG	1LWND|2CDMG|3MLV|4DUR|5MBVNT|6RCR|79aVULN|8ASPD
92	13352 66111	   	230.71	DCR|2VULN|2MLV|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|59VULN|6RCR|7BELT|8DUR|aASPD
93	22332 25552	   	230.71	DCR|2VULN|2MLV|1DMG|1CDMG	1aBELT|2DMG|36MLV|47VULN|5CDMG|8DUR|9RCR
94	11161 35222	   	230.69	DCR|2VULN|2DMG|2CDMG|1MLV	1BEXP|2CGEN|3aCDMG|4aDMG|5MLV|6aVULN|7RCR|8ERES|9AME|aBPWR
95	31161 35122	   	230.69	DCR|2VULN|2DMG|2CDMG|1MLV	1ERES|2FEWX|3aCDMG|4aDMG|5MLV|6aVULN|7RCR|8CGEN|9AME|aBPWR
96	35161 35122	   	230.69	DCR|2VULN|2DMG|2CDMG|1MLV	1ERES|2BEXP|3aCDMG|4aDMG|5MLV|6aVULN|7RCR|8CGEN|9AME|aBPWR
