0	Index      	 *	Score 	Summary	Detail	
1	13214 52241	 * 	276.28	DCR|DCR|1VULN|3CDMG|1DMG|1RPLT	1RPLT|2LWND|35aCDMG|4VULN|69RCR|7DMG|8FEWX
59	32233 24431	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9RPLT|aLWND
60	32233 34421	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6LWND|78RCR|9CGEN|aRPLT
61	32233 34431	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6LWND|78RCR|9RPLT|aLHND
62	32233 34433	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6LWND|78RCR|9RPLT|aRCVC
63	32213 24435	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4LWND|5VULN|6RMIN|78RCR|9RPLT|aMLV
64	13563 35112	   	247.35	ACR|DCR|2VULN|1AART|1RPLT	1RPLT|2LWND|3RMIN|47VULN|5aRCR|6DUR|8AART|9BBNT
65	32233 14432	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9RPLT|aMGNSTR
66	32233 14435	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9RPLT|aBASICY
67	32233 14461	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9AME|aRPLT
68	32233 24432	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9RPLT|aMGNSTR
69	32233 24435	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9RPLT|aBASICY
70	32233 24461	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9AME|aRPLT
71	32233 34432	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6LWND|78RCR|9RPLT|aMGNSTR
72	32233 34435	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6LWND|78RCR|9RPLT|aBASICY
73	34313 22423	   	246.50	DCR|3VULN|3DMG|1RPLT	137ERES|2MDPS|47aVULN|57aDMG|6RCR|7aBPWR|8RPLT|9aSNIFST
