0	Index      	 *	Score 	Summary	Detail	
1	24612 42622	 * 	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	15LHND|2RPLT|3MBVNT|4BEXP|68RCR|7MLV|9VULN|aDMG
23	51122 53623	   	244.49	DCR|DCR|1VULN|1DMG	1AELOIC|2BELT|3ERES|45LHND|6DMG|79RCR|8VULN|aNUKE
24	66231 36221	 * 	244.44	DCR|3VULN|2MLV|1DMG|1CDMG	1MDPS|2aMLV|369VULN|4DMG|5FEWX|7RCR|8CDMG
25	16363 32121	   	243.80	DCR|DCR|2VULN	17CGEN|28VULN|3RCVC|4LIT|5ERES|6TLV|9aRCR
26	16363 36121	   	243.80	DCR|DCR|2VULN	1CGEN|28VULN|3RCVC|4LIT|5ERES|67TLV|9aRCR
27	16363 52121	   	243.80	DCR|DCR|2VULN	17CGEN|28VULN|3RCVC|4LIT|5ERES|6RMIN|9aRCR
28	36363 53121	   	243.80	DCR|DCR|2VULN	1TLV|28VULN|3RCVC|47LIT|5ERES|6RMIN|9aRCR
29	16612 31453	   	242.54	DCR|3VULN|2MLV|1ASPD|1AART	18CGEN|258VULN|3DUR|4MBVNT|6ASPD|78MLV|8BPWR|9RCR|aAART
30	12332 15115	   	240.80	DCR|DCR|1VULN|1CDMG|1RPLT	1CGEN|2AAC|3VULN|4AME|5CDMG|6DUST|79RCR|8LIT|aRPLT
31	12342 15115	   	240.80	DCR|DCR|1VULN|1CDMG|1RPLT	1CGEN|2AAC|3VULN|4ERES|5CDMG|6DUST|79RCR|8LIT|aRPLT
32	43113 33462	 * 	240.05	DCR|3VULN|2DMG|2DUR|1AART	1RMIN|2AART|3TBNT|4aDMG|5LWND|6RCR|79aVULN|8aDUR|aBPWR
33	53521 25333	   	239.79	ACR|DCR|2DMG|1VULN|1ASPD	1AELOIC|2ASPD|3NUKE|47DMG|5aRCR|6MDPS|8TBNT|9VULN
34	51533 33622	   	239.55	DCR|DCR|1VULN|1ASPD	1AELOIC|23BELT|4LWND|5ASPD|6CGEN|79RCR|8VULN|aDUR
35	51613 33622	   	239.55	DCR|DCR|1VULN|1ASPD	1AELOIC|2BELT|3LWND|4RCVC|5ASPD|6CGEN|79RCR|8VULN|aDUR
36	51633 33622	   	239.55	DCR|DCR|1VULN|1ASPD	1AELOIC|2BELT|34LWND|5ASPD|6CGEN|79RCR|8VULN|aDUR
37	66252 33213	   	238.49	DCR|3VULN|1DMG|1MLV|1ASPD|1RPLT	1MDPS|2MLV|345VULN|6RPLT|7FLTARM|8RCR|9ASPD|aDMG
38	23421 52343	 * 	238.30	ACR|DCR|2VULN|1CDMG|1AART	1LHND|2AART|3DMSP|4CGEN|5aRCR|6CDMG|7LIT|89VULN
39	51533 33623	   	238.18	DCR|DCR|1VULN|1ASPD	1AELOIC|23BELT|4LWND|5ASPD|6CGEN|79RCR|8VULN|aNUKE
40	51613 33623	   	238.18	DCR|DCR|1VULN|1ASPD	1AELOIC|2BELT|3LWND|4RCVC|5ASPD|6CGEN|79RCR|8VULN|aNUKE
41	51633 33623	   	238.18	DCR|DCR|1VULN|1ASPD	1AELOIC|2BELT|34LWND|5ASPD|6CGEN|79RCR|8VULN|aNUKE
42	33631 11324	   	237.56	DCR|DCR|1VULN|1DMG	1TLV|2MDPS|3DMG|4FLTARM|5VULN|6BEXP|7aRCR|8SPLARM|9RCVC
43	33631 11364	   	237.56	DCR|DCR|1VULN|1DMG	1TLV|2MDPS|3DMG|4FLTARM|5VULN|69BEXP|7aRCR|8SPLARM
44	51122 53621	   	237.56	DCR|DCR|1VULN|1DMG	1AELOIC|2BELT|3ERES|45LHND|6DMG|79RCR|8VULN|aBBNT
45	33631 31324	   	237.46	DCR|DCR|1VULN|1DMG	1TLV|2MDPS|3DMG|4FLTARM|5VULN|6DUST|7aRCR|8SPLARM|9RCVC
46	51126 23623	   	237.21	DCR|DCR|1VULN|1DMG|1ZMB	1AELOIC|2BELT|36ERES|4LHND|5ZMB|79RCR|8VULN|aDMG
47	33265 33163	 * 	236.75	DCR|2VULN|2MLV|2ASPD|1CDMG	1TLV|2MDPS|3aVULN|4CDMG|5ERES|6RCR|7aMLV|8DUR|9aASPD|aBPWR
