0	Index      	 *	Score 	Summary	Detail	
1	11356 21522	 * 	285.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|9TBNT|aCDMG
20	11312 21553	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9FEWX|aDMG
21	11312 21562	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aLHND
22	11312 21564	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aFEWX
23	11352 21522	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9TBNT|aCDMG
24	11352 21553	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9FEWX|aASPD
25	22754 33428	   	271.65	DCR|DCR|2DMG|1VULN|1ASPD	1MBVNT|2FEWX|3MSLREG|4LWND|5VULN|6ASPD|7aRCR|89DMG
26	26147 23362	   	271.65	DCR|DCR|2DMG|1VULN|3ZMB	1MBVNT|24DMG|345ZMB|4BPWR|6LIT|7VULN|8LWND|9aRCR
27	11312 21565	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aERES
28	11312 21566	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aDUST
29	11356 21511	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	19AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|aLHND
30	11356 21512	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	19AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|aFEWX
31	11356 21513	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	19AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|aBEXP
32	11356 21531	   	271.50	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1MSE	1AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|9MSE|aLIT
33	11356 21532	   	271.50	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1MSE	1AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|9MSE|aRCVC
34	11356 21533	   	271.50	DCR|DCR|2DMG|1VULN|1MLV|1ASPD|1MSE	1AME|2MLV|3LSRICY|4aDMG|5ASPD|68RCR|7VULN|9MSE
35	11312 21543	   	269.60	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9RPLT|aDUR
36	27384 35212	 * 	268.70	DCR|3VULN|3ASPD|2DMG|1RPLT	1MBVNT|2RMIN|379ASPD|4RPLT|57DMG|679VULN|79BPWR|89AME|aRCR
37	11352 21521	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9TBNT|aRPLT
38	11352 21541	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9RPLT|aMSE
39	11352 21542	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9RPLT|aERES
40	14352 21511	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AME|2ERES|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MLV|aRPLT
41	11312 21515	   	267.14	DCR|DCR|1VULN|2MLV|1ASPD	19AME|2aMLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN
42	26245 27324	 * 	266.79	DCR|2VULN|3DMG|2MLV|2CDMG	1MBVNT|245DMG|3TBNT|69VULN|79MLV|89CDMG|9BPWR|aRCR
43	11352 21523	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9TBNT|aDUR
44	14352 21513	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1AME|2ERES|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MLV|aDUR
45	21336 21654	   	266.19	DCR|DCR|2VULN|1RPLT	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|7aVULN|9RPLT
46	21322 21646	   	265.86	DCR|DCR|2VULN|1MLV	1MBVNT|2AELOIC|3MSLTOX|4LHND|5DMSP|68RCR|79VULN|aMLV
47	21514 21646	   	265.86	DCR|DCR|2VULN|1MLV	1MBVNT|2AELOIC|3RCVC|4BEXP|5BASHEA|68RCR|79VULN|aMLV
48	21326 21646	   	265.76	DCR|DCR|2VULN|1MLV	1MBVNT|2AELOIC|35MSLTOX|4LHND|68RCR|79VULN|aMLV
49	11312 21522	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9TBNT|aCDMG
50	11312 21556	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9FEWX|aCDMG
51	14312 21516	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AME|2ERES|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9MLV|aCDMG
52	14312 21561	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1AME|2ERES|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aRPLT
53	43312 21561	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1LWND|2AELOIC|3MSLTOX|4ASPD|5AAC|68RCR|7VULN|9DMG|aRPLT
54	14312 21563	   	262.37	DCR|DCR|1VULN|1DMG|1ASPD	1AME|2ERES|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aDUR
55	25131 44548	   	262.37	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2RCVC|3ASPD|4DUR|5DMG|6LWND|7aRCR|8MSLREG|9VULN
56	43312 21563	   	262.37	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2AELOIC|3MSLTOX|4ASPD|5AAC|68RCR|7VULN|9DMG|aDUR
57	21111 52178	   	262.27	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2AELOIC|3LWND|4DMG|5ASPD|6VULN|7DUR|8CANTOX|9aRCR
58	26431 44548	   	262.27	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DMG|3AELOIC|4DUR|5ASPD|6LWND|7aRCR|8MSLREG|9VULN
59	11312 21521	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9TBNT|aRPLT
60	11312 21545	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9RPLT|aFEWX
61	11312 21546	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9RPLT|aRMIN
62	11312 21541	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT|1MSE	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9RPLT|aMSE
63	11312 21542	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9RPLT|aERES
64	14312 21511	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2ERES|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9MLV|aRPLT
65	21341 12646	 * 	260.42	ACR|DCR|3VULN|1MLV	1MBVNT|2AELOIC|3MSLTOX|48RCR|579VULN|6BEXP|aMLV
66	21341 82646	   	260.32	ACR|DCR|3VULN|1MLV	1MBVNT|2AELOIC|3MSLTOX|48RCR|579VULN|6DUST|aMLV
67	11312 21523	   	259.94	DCR|DCR|1VULN|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9TBNT|aDUR
68	14312 21513	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1AME|2ERES|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9MLV|aDUR
69	22415 67444	   	258.29	DCR|DCR|2VULN|1RPLT	1MBVNT|2aFEWX|3ERES|4aFRZICY|5RPLT|68RCR|7aVULN|9TBNT|aBPWR
70	21336 21671	   	258.18	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|7VULN|9DMG|aRPLT
71	22415 67441	   	258.09	DCR|DCR|2VULN|1RPLT	1MBVNT|2FEWX|3ERES|4FRZICY|5RPLT|68RCR|7aVULN|9TBNT
72	22774 23621	   	258.09	DCR|DCR|2VULN|1RPLT	1MBVNT|26FEWX|3MSLREG|45VULN|78RCR|9AAC|aRPLT
73	11352 21524	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3LSRICY|4DMG|5aAAC|68RCR|7VULN|9TBNT
74	11352 21551	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9FEWX|aLIT
75	11352 21552	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9FEWX|aRCVC
76	22774 23611	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|26FEWX|3MSLREG|45VULN|78RCR|9AME|aRPLT
77	11352 21511	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	19AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|aLHND
78	11352 21512	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	19AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|aFEWX
79	11352 21513	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	19AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|aBEXP
80	11352 21514	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	19AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|aBBNT
81	11352 21516	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	19AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|aRMIN
82	11352 21525	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9TBNT|aDUST
83	14352 21512	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1AME|2ERES|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MLV|aLHND
84	11352 21531	   	257.85	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MSE|aLIT
85	11352 21532	   	257.85	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MSE|aRCVC
86	11352 21533	   	257.85	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MSE|aASPD
87	11352 21534	   	257.85	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MSE|aERES
88	11352 21535	 * 	257.85	DCR|DCR|2VULN|1DMG|1MLV|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7aVULN|9MSE
89	11352 21536	   	257.85	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1MSE	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9MSE|aCDMG
90	27384 35144	   	257.25	DCR|3VULN|2DMG|2ASPD|1RPLT	1MBVNT|2RMIN|37ASPD|4RPLT|57DMG|678VULN|7BPWR|9TLV|aRCR
91	27384 35244	   	257.15	DCR|3VULN|2DMG|2ASPD|1RPLT	1MBVNT|2RMIN|37ASPD|4RPLT|57DMG|679VULN|7BPWR|8AME|aRCR
92	22774 23623	   	256.73	DCR|DCR|2VULN	1MBVNT|26FEWX|3MSLREG|45VULN|78RCR|9AAC|aDUR
93	22774 23613	   	256.63	DCR|DCR|2VULN	1MBVNT|26FEWX|3MSLREG|45VULN|78RCR|9AME|aDUR
94	21336 21641	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aLWND
95	21336 21642	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aFEWX
96	21336 21643	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aBEXP
97	21336 21644	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aLHND
98	21336 21645	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aBBNT
99	21336 22646	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|7FEWX|9aVULN
100	21336 24646	   	256.53	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|7LWND|9aVULN
101	23331 46231	 * 	256.49	DCR|4VULN|2DMG|2DUR	1MBVNT|2TBNT|367aVULN|4LIT|5aDUR|8RCR|9aDMG|aBPWR
102	21336 21647	   	256.43	DCR|DCR|2VULN	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aERES
103	24713 67423	   	255.75	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2DUST|3MSLREG|4RPLT|5MLV|68RCR|7VULN|9CGEN|aDUR
104	24713 67413	   	255.65	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2DUST|3MSLREG|4RPLT|5MLV|68RCR|7VULN|9NUKE|aDUR
105	24713 67433	   	255.50	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2DUST|3MSLREG|4RPLT|5MLV|68RCR|7VULN|9ZMB|aDUR
