0	Index      	 *	Score 	Summary	Detail	
1	14332 32462	 * 	267.13	ACR|DCR|2VULN|2DMG|1AART	1aCGEN|2AME|3aVULN|48RCR|5AART|6LWND|7LIT|9aDMG|aBPWR
14	12433 53338	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aSPLJET
15	22433 53332	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aLHND
16	22433 53335	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aLWND
17	22433 53336	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aBEXP
18	22433 53333	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aAME
19	22433 53338	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aSPLJET
20	14335 33324	   	249.35	ACR|DCR|2VULN|1DMG|1RPLT	1CGEN|2AME|35VULN|4aRCR|6BBNT|7RPLT|8DMG|9TLV
21	15335 33324	   	249.35	ACR|DCR|2VULN|1DMG|1RPLT	1CGEN|2ERES|35VULN|4aRCR|6BBNT|7RPLT|8DMG|9TLV
22	14334 12162	 * 	249.25	ACR|DCR|2VULN|2CDMG|1RPLT	1CGEN|2AME|38VULN|49RCR|57CDMG|6BELT|aRPLT
23	15334 12162	   	249.25	ACR|DCR|2VULN|2CDMG|1RPLT	1CGEN|2ERES|38VULN|49RCR|57CDMG|6BELT|aRPLT
24	24335 33324	   	249.25	ACR|DCR|2VULN|1DMG|1RPLT	1ERES|2AME|35VULN|4aRCR|6BBNT|7RPLT|8DMG|9TLV
25	21514 47814	   	248.43	DCR|DCR|2VULN	178ERES|27FEWX|3MBVNT|4LIT|5LHND|67VULN|7BPWR|9aRCR
26	23512 47814	   	248.43	DCR|DCR|2VULN	178ERES|27LWND|3MBVNT|4LIT|5FEWX|67VULN|7BPWR|9aRCR
27	41423 43332	   	247.44	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2ERES|3RPLT|4LIT|5AELOIC|69RCR|7MLV|8VULN|aLHND
28	41423 43333	   	247.34	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2ERES|3RPLT|4LIT|5AELOIC|69RCR|7MLV|8VULN|aAME
29	12322 52451	 * 	244.90	DCR|3VULN|2DMG|1CDMG|1AART	1aCGEN|2LIT|34aVULN|5FEWX|6RCR|7CDMG|8aDMG|9AART|aBPWR
30	14334 11162	   	242.93	ACR|DCR|2VULN|1CDMG|1RPLT	1CGEN|2AME|38VULN|49RCR|5CDMG|6BELT|7RCVC|aRPLT
31	15334 11162	   	242.93	ACR|DCR|2VULN|1CDMG|1RPLT	1CGEN|2ERES|38VULN|49RCR|5CDMG|6BELT|7RCVC|aRPLT
32	21532 22514	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1ERES|2FEWX|3MBVNT|4BEXP|5VULN|6aRCR|7AART|8RPLT|9FLTARM
33	23532 22514	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1ERES|2LWND|3MBVNT|4BEXP|5VULN|6aRCR|7AART|8RPLT|9FLTARM
34	14334 12161	   	239.59	ACR|DCR|2VULN|2CDMG	1CGEN|2AME|38VULN|49RCR|57CDMG|6BELT|aFEWX
35	15334 12161	   	239.59	ACR|DCR|2VULN|2CDMG	1CGEN|2ERES|38VULN|49RCR|57CDMG|6BELT|aFEWX
36	45113 23333	 * 	239.58	DCR|2VULN|2MLV|2ASPD|1DMG	1DUST|2aVULN|3ERES|4LIT|5aASPD|6DMG|7aMLV|8BELT|9RCR|aBPWR
37	45313 23333	   	239.58	DCR|2VULN|2MLV|2ASPD|1DMG	1DUST|2aVULN|3AME|4LIT|5aASPD|6DMG|7aMLV|8BELT|9RCR|aBPWR
38	41532 22514	   	239.57	DCR|DCR|1VULN|1AART|1RPLT	1DUST|2ERES|3MBVNT|4FEWX|5VULN|6aRCR|7AART|8RPLT|9FLTARM
39	14334 12163	   	239.49	ACR|DCR|2VULN|2CDMG	1CGEN|2AME|38VULN|49RCR|57CDMG|6BELT|aDUST
40	15334 12163	   	239.49	ACR|DCR|2VULN|2CDMG	1CGEN|2ERES|38VULN|49RCR|57CDMG|6BELT|aDUST
41	14364 22232	 * 	238.97	DCR|5VULN|1MLV	14CGEN|25AME|3569aVULN|5BPWR|7RCR|8MLV
42	12323 32563	   	238.82	DCR|3VULN|2DMG|1MLV	1CGEN|2LIT|346VULN|59DMG|7MLV|8CANARM|aRCR
43	12323 32663	   	238.82	DCR|3VULN|2DMG|1MLV	1CGEN|2LIT|346VULN|59DMG|7MLV|8BLASTR|aRCR
44	26525 44314	   	237.78	DCR|DCR|1VULN|1MLV	1ERES|2LHND|3MBVNT|4MDPS|5TBNT|6VULN|7MLV|8LIT|9aRCR
45	51525 44314	   	237.78	DCR|DCR|1VULN|1MLV	1LHND|2ERES|3MBVNT|4MDPS|5TBNT|6VULN|7MLV|8LIT|9aRCR
