0	Index      	 *	Score 	Summary	Detail	
1	22423 42353	 * 	294.77	橙橙2易伤1矿等2时间1攻速	1基地爆炸25易伤35时间4赏金邻近5序列升级6a核7雷电8攻速9矿等
53	41331 26218	   	266.21	橙橙2伤害1易伤	1敌人爆炸2a伤害3毒液对冰4加一5时间69核7技能点8易伤
54	41332 18418	   	266.21	橙橙2伤害1易伤	1敌人爆炸2a伤害3毒液对冰4加一5技能点6易伤79核8时间
55	21313 13234	   	266.20	橙橙3伤害1矿等1平台	145基地爆炸245伤害3随机矿45序列升级6矿等7技能点89核a平台
56	21313 13236	   	266.20	橙橙3伤害1矿等1全技能	145基地爆炸245伤害3随机矿45序列升级6矿等7技能点89核a全技能
57	41331 21213	   	266.15	橙橙1易伤1伤害1矿等1策反	1敌人爆炸2伤害3毒液对冰4加一5时间69核7矿等8易伤a策反
58	41331 21217	   	266.15	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7矿等8易伤a激光对绿
59	41331 26212	   	266.15	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7技能点8易伤a矿等
60	41332 18412	   	266.15	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5技能点6易伤79核8时间a矿等
61	41336 18412	   	266.15	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5掉矿6易伤79核8时间a矿等
62	31352 23241	   	266.15	橙橙2易伤1全技能1策反	1技能点2雷电3基础对甲48易伤5策反6全技能7a核9时间
63	41113 43312	 * 	265.02	紫橙2伤害1易伤2攻速1平台1卖塔	18敌人爆炸28伤害3基地爆炸4易伤5a核6卖塔78攻速8序列升级9平台
64	21313 14232	   	264.94	橙橙3伤害1矿等	145基地爆炸245伤害3随机矿45序列升级6矿等7金币生成89核a时间
65	21313 15232	   	264.94	橙橙3伤害1矿等	145基地爆炸245伤害3随机矿45序列升级6矿等7等级89核a时间
66	21413 43312	 * 	264.92	紫橙2伤害1易伤2攻速1平台1卖塔	18基地爆炸28伤害3挖尘4易伤5a核6卖塔78攻速8序列升级9平台
67	41413 43312	 * 	264.92	紫橙2伤害1易伤2攻速1平台1卖塔	18敌人爆炸28伤害3挖尘4易伤5a核6卖塔78攻速8序列升级9平台
68	21313 13232	   	264.84	橙橙3伤害1矿等	145基地爆炸245伤害3随机矿45序列升级6矿等7技能点89核a时间
