0	Index      	 *	Score 	Summary	Detail	
1	21252 31426	 * 	300.85	橙橙3易伤2暴击2时间	15a易伤2掉矿3a挖尘45时间5a序列升级68核7低血量敌人9a暴击
22	21232 32423	   	272.30	橙橙2易伤2时间1暴击	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7a时间9暴击
23	21252 31422	   	272.20	橙橙2易伤2时间1暴击	15易伤2a掉矿3挖尘45时间5序列升级68核7低血量敌人9暴击
24	21212 32431	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45基地爆炸5序列升级68核7时间9伤害a敌人爆炸
25	21212 32432	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45基地爆炸5序列升级68核7时间9伤害a双倍矿
26	21212 32433	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45a基地爆炸5序列升级68核7时间9伤害
27	21212 32434	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45基地爆炸5序列升级68核7时间9伤害a技能
28	21212 32436	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45基地爆炸5序列升级68核7时间9伤害a赏金邻近
29	21232 32414	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7时间9双倍矿a伤害
30	21232 32434	   	272.17	橙橙2易伤1伤害	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7时间9立即金币a伤害
31	21212 32435	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3a挖尘45基地爆炸5序列升级68核7时间9伤害
32	21442 32431	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3基地爆炸45挖尘5序列升级68核7时间9伤害a敌人爆炸
33	21442 32432	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3基地爆炸45挖尘5序列升级68核7时间9伤害a双倍矿
34	21442 32433	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3a基地爆炸45挖尘5序列升级68核7时间9伤害
35	21642 32431	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3a敌人爆炸45挖尘5序列升级68核7时间9伤害
36	21642 32432	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3敌人爆炸45挖尘5序列升级68核7时间9伤害a低血量敌人
37	21642 32433	   	272.07	橙橙2易伤1伤害	15易伤2掉矿3敌人爆炸45挖尘5序列升级68核7时间9伤害a最后敌人
38	21252 31461	   	272.06	橙橙2易伤2时间1攻速1卖塔	15易伤2掉矿3挖尘45时间5序列升级68核7低血量敌人9卖塔a攻速
39	21232 32465	   	271.92	橙橙2易伤1伤害1卖塔	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7时间9卖塔a伤害
40	21212 31421	   	271.10	橙橙2易伤1攻速1暴击	15易伤2掉矿3挖尘45基地爆炸5序列升级68核7低血量敌人9暴击a攻速
41	21232 34421	   	271.10	橙橙2易伤1攻速1暴击	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7敌人爆炸9暴击a攻速
42	21442 31421	   	271.00	橙橙2易伤1攻速1暴击	15易伤2掉矿3基地爆炸45挖尘5序列升级68核7低血量敌人9暴击a攻速
43	21642 31421	   	271.00	橙橙2易伤1攻速1暴击	15易伤2掉矿3敌人爆炸45挖尘5序列升级68核7低血量敌人9暴击a攻速
