0	Index      	 *	Score 	Summary	Detail	
1	42232 51112	 * 	193.12	ACR|3DMG|2VULN|1AART|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|679DMG|7BPWR|8aVULN
46	42232 51162	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	17DUR|29LHND|3AART|4RCR|57MLV|67aDMG|7BPWR|8VULN
47	42232 51312	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|679DMG|7BPWR|8FEWX|aVULN
48	42232 52215	   	175.53	ACR|3DMG|1AART|1VULN|2DUR	19DUR|2LHND|3AART|4RCR|59MLV|679DMG|8RMIN|9BPWR|aVULN
49	63124 17282	 * 	175.53	DCR|3VULN|1AART|1DMG|2ASPD	1MLV|2MBVNT|39aVULN|4AART|56ASPD|7RCR|8DMG
50	42232 52142	   	175.33	ACR|3DMG|1AART|1VULN|2DUR	19DUR|2LHND|3AART|4RCR|5MLV|67aDMG|8VULN
51	42232 63342	   	175.33	ACR|3DMG|1AART|1VULN|2DUR	19DUR|2LHND|3AART|4RCR|5MLV|6VULN|78aDMG
52	23141 72282	   	174.88	DCR|4VULN|1AART|1DMG	1CGEN|2MBVNT|349aVULN|5MLV|6AART|7RCR|8DMG
53	23128 43273	   	174.87	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|37aVULN|4AART|5ERES|6BEXP|8aDMG|9RCR|aBPWR
54	53121 63162	   	174.87	DCR|3VULN|2DMG|1AART	1LHND|2CGEN|368VULN|4AART|5BEXP|7aDMG|9RCR
55	53121 63262	   	174.87	DCR|3DMG|2VULN|1AART	1LHND|2CGEN|36VULN|4AART|5BEXP|78aDMG|9RCR
56	23182 72282	   	174.78	DCR|4VULN|1AART|1DMG	1CGEN|2MBVNT|359aVULN|4ERES|6AART|7RCR|8DMG
57	53122 63162	   	174.77	DCR|3VULN|2DMG|1AART	1LHND|2CGEN|368VULN|4AART|5DUST|7aDMG|9RCR
58	53122 63262	   	174.77	DCR|3DMG|2VULN|1AART	1LHND|2CGEN|36VULN|4AART|5DUST|78aDMG|9RCR
59	53162 62112	 * 	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2CGEN|358VULN|4DMG|6AART|7RCR|9FEWX|aCDMG
60	53162 62121	 * 	174.53	DCR|3VULN|1AART|1DMG|1FLTHEA	1LHND|2CGEN|358VULN|4DMG|6AART|7RCR|9FLTHEA|aRMIN
61	53162 62122	   	174.53	DCR|3VULN|1AART|1DMG|1FLTHEA	1LHND|2CGEN|358VULN|4DMG|6AART|7RCR|9FLTHEA|aBEXP
62	53162 62123	   	174.43	DCR|3VULN|1AART|1DMG|1FLTHEA	1LHND|2CGEN|358VULN|4DMG|6AART|7RCR|9FLTHEA|aDUST
63	23128 82243	   	174.31	DCR|3VULN|1AART|1DMG|2DUR	1aCGEN|2MBVNT|36aVULN|4AART|5ERES|7RCR|8DMG|9aDUR|aBPWR
64	53162 62233	   	174.26	DCR|2VULN|2DMG|2AART	1LHND|2CGEN|35VULN|48DMG|69AART|7RCR|aFEWX
65	53162 62232	   	174.16	DCR|2VULN|2DMG|2AART	1LHND|2CGEN|35VULN|48DMG|69AART|7RCR|aERES
66	53162 62231	   	174.02	DCR|2VULN|2DMG|2AART|1SELL	1LHND|2CGEN|35VULN|48DMG|69AART|7RCR|aSELL
67	53162 62213	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|2CGEN|35VULN|48DMG|6AART|7RCR|9FEWX|aZMB
68	23141 77273	   	173.77	DCR|3VULN|2DMG|1AART	1aCGEN|2MBVNT|34aVULN|5MLV|6AART|7LHND|8aDMG|9RCR|aBPWR
69	63143 72282	   	173.62	DCR|2VULN|2DMG|1AART|1ZMB	1MLV|2MBVNT|34VULN|5TLV|6AART|7RCR|8aDMG|9ZMB
70	44142 23222	   	173.47	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1DUR|2CDMG|3NUKE|4ZMB|5VULN|6aDMG|7AART|8RCR|9SELL
71	52126 62112	   	173.43	DCR|3DMG|2AART|1VULN	1LHND|2LEGI|39aDMG|45AART|6CGEN|7RCR|8VULN
72	23141 72243	   	173.21	DCR|3VULN|1AART|1DMG|2DUR	1aCGEN|2MBVNT|34aVULN|5MLV|6AART|7RCR|8DMG|9aDUR|aBPWR
73	23182 72243	   	173.11	DCR|3VULN|1AART|1DMG|2DUR	1aCGEN|2MBVNT|35aVULN|4ERES|6AART|7RCR|8DMG|9aDUR|aBPWR
74	14312 42523	 * 	172.67	DCR|3DMG|2VULN|2FLTHEA|1DUR	1DMSP|28FLTHEA|3DUR|4BELT|578DMG|68VULN|8BPWR|9SNIHEL|aRCR
75	53162 62133	 * 	172.33	DCR|3VULN|2AART|1DMG	1LHND|2CGEN|358VULN|4DMG|69AART|7RCR|aFEWX
76	53162 62132	   	172.23	DCR|3VULN|2AART|1DMG	1LHND|2CGEN|358VULN|4DMG|69AART|7RCR|aERES
77	53162 62131	   	172.08	DCR|3VULN|2AART|1DMG|1SELL	1LHND|2CGEN|358VULN|4DMG|69AART|7RCR|aSELL
78	42232 52125	   	171.97	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|67DMG|8aVULN|9RCVC
79	42232 52135	   	171.97	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|67DMG|8aVULN|9BELT
80	42232 63325	   	171.97	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6aVULN|78DMG|9RCVC
81	42232 63335	   	171.97	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6aVULN|78DMG|9BELT
82	53162 62113	   	171.88	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2CGEN|358VULN|4DMG|6AART|7RCR|9FEWX|aZMB
83	53326 52112	 * 	171.52	DCR|2AART|2DMG|1VULN|1CDMG	1LHND|2CGEN|3FEWX|45AART|69DMG|7RCR|8VULN|aCDMG
84	42223 52115	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|24LHND|3AART|5TLV|69DMG|7RCR|8aVULN
85	42232 51132	 * 	171.33	ACR|2AART|2DMG|1VULN|2DUR	17DUR|2LHND|3aAART|4RCR|57MLV|67DMG|7BPWR|8VULN|9BELT
86	42232 63232	   	171.33	ACR|2AART|2DMG|1VULN|2DUR	19DUR|29LHND|3aAART|4RCR|5MLV|6VULN|79DMG|8BELT|9BPWR
87	44352 31331	 * 	171.27	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2CDMG|3FEWX|4RCR|5aVULN|6ASPD|7DMG|8AIRHEA|9AART
88	42326 13121	 * 	171.26	DCR|2AART|2VULN|1DMG|1FLTHEA|1DUR	1DUR|2LHND|3CGEN|45AART|68VULN|7DMG|9FLTHEA|aRCR
89	42326 13221	 * 	171.26	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR	1DUR|2LHND|3CGEN|45AART|6VULN|78DMG|9FLTHEA|aRCR
90	42232 51153	   	170.88	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	17DUR|2LHND|3AART|4RCR|57MLV|67DMG|7BPWR|8VULN|9FEWX|aZMB
91	23128 82221	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|36VULN|4AART|59ERES|7RCR|89DMG|9BPWR|aDUR
92	23128 82225	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	19CGEN|2MBVNT|36VULN|4AART|59ERES|7RCR|89DMG|9BPWR|aASPD
93	63128 82221	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	19MLV|2MBVNT|36VULN|4AART|59ERES|7RCR|89DMG|9BPWR|aDUR
94	23128 82242	   	170.75	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2MBVNT|36VULN|4AART|5ERES|7RCR|8aDMG|9DUR
95	14551 13122	 * 	170.65	ACR|3VULN|1AART|2FLTHEA|1CDMG	1DMSP|2aFLTHEA|3CDMG|4RCVC|5RCR|6aDUST|78aVULN|9AART|aBPWR
96	63741 31254	 * 	170.58	DCR|3VULN|1AART|2CDMG|1ZMB	1MLV|2MBVNT|35CDMG|459VULN|5BPWR|6LHND|7RCR|8AART|aZMB
97	53121 63221	   	170.46	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2CGEN|36VULN|4AART|5BEXP|78DMG|9FLTHEA|aRCR
98	36231 21521	   	170.45	DCR|2VULN|2DMG|1AART|1DUR	15LIT|2LHND|3DUR|45VULN|5BPWR|6RCR|7RMIN|8aDMG|9AART
99	23133 28634	 * 	170.43	DCR|3VULN|1AART|1DMG|3DUR	18CGEN|2MBVNT|378VULN|468DUR|5AART|8BPWR|9DMG|aRCR
100	63133 28634	   	170.43	DCR|3VULN|1AART|1DMG|3DUR	18MLV|2MBVNT|378VULN|468DUR|5AART|8BPWR|9DMG|aRCR
101	42232 21563	 * 	170.41	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|69CDMG|7FLTHEA|8VULN|aDMG
102	53122 63221	   	170.36	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2CGEN|36VULN|4AART|5DUST|78DMG|9FLTHEA|aRCR
103	36231 23521	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	15LIT|2LHND|3DUR|45VULN|5BPWR|6RCR|7ERES|8aDMG|9AART
104	36231 25521	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	15LIT|2LHND|3DUR|45VULN|5BPWR|6RCR|7TLV|8aDMG|9AART
105	23127 73472	   	170.12	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2MBVNT|36VULN|4AART|5LHND|7aDMG|8ZMB|9RCR
106	42232 52111	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|679DMG|8VULN|aRMIN
107	42232 52113	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|679DMG|8VULN|aFEWX
108	42232 52115	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|679DMG|8VULN|aCGEN
109	42232 52116	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2aLHND|3AART|4RCR|5MLV|679DMG|8VULN
110	42232 52122	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|67aDMG|8VULN|9RCVC
111	42232 52162	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|29LHND|3AART|4RCR|5MLV|67aDMG|8VULN
112	42232 52312	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|679DMG|8FEWX|aVULN
113	42232 63215	 * 	170.04	ACR|3VULN|1AART|1DMG|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|69aVULN|7DMG|8BELT
114	42232 63311	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6VULN|789DMG|aRMIN
115	42232 63313	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6VULN|789DMG|aFEWX
116	42232 63315	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6VULN|789DMG|aCGEN
117	42232 63316	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2aLHND|3AART|4RCR|5MLV|6VULN|789DMG
118	42232 63322	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6VULN|78aDMG|9RCVC
119	42232 63362	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1DUR|29LHND|3AART|4RCR|5MLV|6VULN|78aDMG
120	23122 43472	   	170.02	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2MBVNT|36VULN|4AART|56DUST|6BPWR|7aDMG|8ZMB|9RCR
121	14551 32133	   	169.95	ACR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	1DMSP|2FLTHEA|3CDMG|4RCVC|5RCR|6aDMG|7AART|8VULN|9FEWX
122	23141 72221	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|34VULN|59MLV|6AART|7RCR|89DMG|9BPWR|aDUR
123	23141 72225	   	169.85	DCR|2VULN|2DMG|1AART|1ASPD	19CGEN|2MBVNT|34VULN|59MLV|6AART|7RCR|89DMG|9BPWR|aASPD
124	23443 72221	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|3MLV|4RCVC|59VULN|6AART|7RCR|89DMG|9BPWR|aDUR
125	23443 72225	   	169.85	DCR|2VULN|2DMG|1AART|1ASPD	19CGEN|2MBVNT|3MLV|4RCVC|59VULN|6AART|7RCR|89DMG|9BPWR|aASPD
126	23483 72221	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|34MLV|59VULN|6AART|7RCR|89DMG|9BPWR|aDUR
127	23483 72225	   	169.85	DCR|2VULN|2DMG|1AART|1ASPD	19CGEN|2MBVNT|34MLV|59VULN|6AART|7RCR|89DMG|9BPWR|aASPD
128	14551 32111	 * 	169.70	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1SELL	1DMSP|2FLTHEA|3CDMG|4RCVC|5RCR|6DMG|7AART|8aVULN|9SELL
129	63128 32126	 * 	169.67	DCR|4VULN|1AART|1CDMG	19MLV|2MBVNT|3689VULN|4AART|569ERES|69BPWR|7RCR|aCDMG
130	23141 72242	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2MBVNT|34VULN|5MLV|6AART|7RCR|8aDMG|9DUR
131	23182 72221	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|35VULN|49ERES|6AART|7RCR|89DMG|9BPWR|aDUR
132	23182 72225	   	169.65	DCR|2VULN|2DMG|1AART|1ASPD	19CGEN|2MBVNT|35VULN|49ERES|6AART|7RCR|89DMG|9BPWR|aASPD
133	63143 72221	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	19MLV|2MBVNT|34VULN|59TLV|6AART|7RCR|89DMG|9BPWR|aDUR
134	63143 72225	   	169.65	DCR|2VULN|2DMG|1AART|1ASPD	19MLV|2MBVNT|34VULN|59TLV|6AART|7RCR|89DMG|9BPWR|aASPD
135	63182 72221	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	19MLV|2MBVNT|35VULN|49ERES|6AART|7RCR|89DMG|9BPWR|aDUR
136	23182 72242	   	169.55	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2MBVNT|35VULN|4ERES|6AART|7RCR|8aDMG|9DUR
137	42216 52112	   	169.52	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2LHND|3AART|4NUKE|5DMSP|69aDMG|7RCR|8VULN
138	42223 52112	   	169.52	DCR|3DMG|1AART|1VULN|1DUR	1DUR|24LHND|3AART|5TLV|69aDMG|7RCR|8VULN
139	42225 52112	   	169.52	DCR|3DMG|1AART|1VULN|1DUR	1DUR|24LHND|3AART|5ERES|69aDMG|7RCR|8VULN
140	46233 52112	   	169.52	DCR|3DMG|1AART|1VULN|1DUR	1DUR|24LWND|3AART|5TLV|69aDMG|7RCR|8VULN
141	42232 21513	   	169.39	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|2DUR	19DUR|2LHND|3AART|4RCR|5MLV|6CDMG|7FLTHEA|8VULN|aDMG
142	63132 17634	   	169.33	DCR|3VULN|1AART|1DMG|3DUR	18MLV|2MBVNT|358VULN|458DUR|58BPWR|6RCVC|7AART|9DMG|aRCR
143	36531 11161	   	169.15	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2LHND|3AART|4aDMG|59VULN|6RMIN|7DUR|8RCR
144	42232 51522	 * 	169.12	ACR|3DMG|1AART|1FLTHEA|2DUR	17DUR|2LHND|3AART|4RCR|57MLV|67aDMG|7BPWR|8CGEN|9FLTHEA
145	26333 52163	 * 	169.11	DCR|3DMG|2VULN|2ASPD	149CGEN|2RCVC|34ASPD|49BPWR|59aDMG|6RCR|79VULN|8RMIN
146	23126 84833	 * 	168.92	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|2MBVNT|39VULN|46AART|5SNIHEL|7CDMG|8RCR|aDMG
147	43433 52112	   	168.92	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2RCVC|3LHND|4AART|5TLV|69aDMG|7RCR|8VULN
148	53326 52113	   	168.88	DCR|2AART|2DMG|1VULN|1ZMB	1LHND|2CGEN|3FEWX|45AART|69DMG|7RCR|8VULN|aZMB
149	63128 32125	 * 	168.85	DCR|5VULN|1AART	19MLV|2MBVNT|3689aVULN|4AART|569ERES|69BPWR|7RCR
150	23128 82281	   	168.82	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2MBVNT|369VULN|4AART|5ERES|7RCR|8DMG|aDUR
151	63128 32281	   	168.82	DCR|3VULN|1AART|1DMG|1DUR	1MLV|2MBVNT|369VULN|4AART|56ERES|6BPWR|7RCR|8DMG|aDUR
152	63128 32172	   	168.82	DCR|3VULN|1AART|1DMG|1DUR	1MLV|2MBVNT|368VULN|4AART|56ERES|6BPWR|7RCR|9DUR|aDMG
153	53162 15221	   	168.66	DCR|2VULN|2DMG|1AART|1FLTHEA	1LHND|2CGEN|35VULN|48DMG|6LWND|7AART|9FLTHEA|aRCR
154	53121 63121	   	168.53	DCR|3VULN|1AART|1DMG|1FLTHEA	1LHND|2CGEN|368VULN|4AART|5BEXP|7DMG|9FLTHEA|aRCR
155	23141 72176	   	168.47	DCR|4VULN|1AART|1CDMG	1CGEN|2MBVNT|348aVULN|5MLV|6AART|7RCR|9CDMG
156	53122 63121	   	168.43	DCR|3VULN|1AART|1DMG|1FLTHEA	1LHND|2CGEN|368VULN|4AART|5DUST|7DMG|9FLTHEA|aRCR
157	14141 33423	   	168.18	DCR|2VULN|2DMG|2FLTHEA|1ZMB	1DMSP|26FLTHEA|3CANSTR|49VULN|56DMG|6BPWR|7RCR|8CGEN|aZMB
158	42231 34321	   	168.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2LHND|3AART|4RCR|5CDMG|6LIT|7VULN|8BEXP|9aDMG
159	42231 34621	   	168.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2LHND|3AART|4RCR|5CDMG|6LIT|7VULN|8FEWX|9aDMG
160	42232 63512	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6aVULN|7DMG|8CDMG|9BEXP
161	42236 35211	   	168.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2LHND|3AART|4RCR|5FEWX|6aDMG|7VULN|8LIT|9CDMG
162	42232 63522	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|3AART|4RCR|5MLV|6aVULN|7DMG|8CDMG|9DUST
163	23141 72281	   	167.72	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2MBVNT|349VULN|5MLV|6AART|7RCR|8DMG|aDUR
164	23141 72285	   	167.72	DCR|3VULN|1AART|1DMG|1ASPD	1CGEN|2MBVNT|349VULN|5MLV|6AART|7RCR|8DMG|aASPD
165	23182 72281	   	167.62	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2MBVNT|359VULN|4ERES|6AART|7RCR|8DMG|aDUR
166	63143 72172	   	167.62	DCR|3VULN|1AART|1DMG|1DUR	1MLV|2MBVNT|348VULN|5TLV|6AART|7RCR|9DUR|aDMG
167	23128 82128	 * 	167.47	DCR|4VULN|2AART	19CGEN|2MBVNT|3689VULN|4aAART|59ERES|7RCR|9BPWR
168	42232 21213	 * 	167.29	ACR|2AART|1DMG|2FLTHEA|1CDMG|2DUR	18DUR|28LHND|39AART|4RCR|5MLV|6CDMG|78FLTHEA|8BPWR|aDMG
169	42431 23622	   	167.15	DCR|4VULN|1AART|2DUR	15DUR|2LHND|3LIT|4589VULN|5BPWR|6RCR|7ERES|aAART
170	42232 21516	   	166.91	ACR|2VULN|1AART|1CDMG|1FLTHEA|2DUR	19DUR|2LHND|3AART|4RCR|5MLV|6CDMG|7FLTHEA|8aVULN
