0	Index      	 *	Score 	Summary	Detail	
1	41111 23362	 * 	190.63	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCVC|29ZMB|34VULN|5BELT|6AART|79CDMG|89DMG|9BPWR|aRCR
30	53135 12135	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8LIT|aVULN
31	53135 12621	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aMLV
32	53135 12622	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aBEXP
33	53135 12623	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aCGEN
34	64331 12248	   	172.67	DCR|2VULN|2DMG|1AART|2ZMB	17ERES|2AART|37ZMB|49VULN|5TLV|67DMG|7BPWR|8MBVNT|aRCR
35	41111 31561	   	172.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|349VULN|5BELT|6RCR|7DUR|8CDMG|aAART
36	41411 23431	 * 	171.43	DCR|2DMG|1AART|1VULN|3DUR|2ZMB	1RCVC|28ZMB|38aDUR|4VULN|5ERES|6AART|78DMG|8BPWR|9RCR
37	41316 35212	 * 	171.42	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4aVULN|5DUR|6FLTHEA|7CDMG|8LHND|9AART
38	41324 35212	   	171.42	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4DUR|5aVULN|6FLTHEA|7CDMG|8LHND|9AART
39	41333 15251	   	171.40	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RCVC|2ZMB|3RCR|4MLV|5aDMG|6DUST|7VULN|8AART|9FLTHEA
40	41333 24251	   	171.40	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RCVC|2ZMB|3RCR|4MLV|5aDMG|6VULN|7DUST|8AART|9FLTHEA
41	32125 14622	   	171.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4ASPD|5aAART|6RMIN|7RCR|8VULN|9DMG
42	32125 34622	   	171.18	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4ASPD|5aAART|6ERES|7RCR|8VULN|9DMG
43	14161 12362	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3ERES|4CDMG|5DUR|6RCR|7LHND|89VULN|aDMG
44	41111 35351	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6RCR|7DMG|8CDMG|9AART|aLHND
45	41111 35352	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6RCR|7DMG|8CDMG|9AART|aLIT
46	41111 35353	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6RCR|7DMG|8CDMG|9AART|aCGEN
47	64143 13122	   	170.34	ACR|3VULN|1AART|1DMG|1DUR	13ERES|2AART|4RCR|58aVULN|6DMG|7DUR|9DUST
48	41314 36133	 * 	170.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|45VULN|6LHND|7ERES|8DMG|9CDMG|aAART
49	14332 33431	   	170.11	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	18CGEN|2AART|38ZMB|4VULN|5DMSP|6aDUR|78DMG|8BPWR|9RCR
50	32363 18443	 * 	170.01	DCR|2VULN|3ZMB|1AART|1DMG	1aFEWX|25aZMB|3MBVNT|4AART|6DMG|7BASICY|8aVULN|9RCR|aBPWR
51	32363 57443	   	170.01	DCR|2VULN|3ZMB|1AART|1DMG	1aFEWX|25aZMB|3MBVNT|4AART|6AIRHEL|7DMG|8aVULN|9RCR|aBPWR
52	14333 33531	   	169.91	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	1CGEN|2AART|35ZMB|48VULN|6aDUR|7DMG|9RCR
53	41111 35341	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6RCR|7DMG|8CDMG|9MLV|aAART
54	41111 35331	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6RCR|7DMG|8CDMG|9ERES|aAART
55	14331 14235	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2AART|3ZMB|4VULN|5TLV|6aDMG|7RPLT|8RCR|9CDMG
56	64236 23332	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	19ERES|2AART|39FEWX|4aVULN|5DUR|6RCVC|79DMG|8RCR|9BPWR
57	64241 23332	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	19ERES|2AART|39FEWX|4DUR|5aVULN|6RCVC|79DMG|8RCR|9BPWR
58	35121 52421	 * 	169.72	DCR|3VULN|1AART|3CDMG	1FEWX|247CDMG|3SNIHEL|5AART|6RCR|89aVULN
59	41314 43123	 * 	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|459VULN|6DUR|7CGEN|8DMG|aCDMG
60	41316 32342	 * 	169.69	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR	17RCVC|2ZMB|3RCR|489VULN|5DUR|6FLTHEA|aDMG
61	41324 32342	   	169.69	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR	17RCVC|2ZMB|3RCR|4DUR|589VULN|6FLTHEA|aDMG
62	14134 12622	   	169.65	DCR|2VULN|2DMG|1AART|1ASPD	17CGEN|2AART|37ERES|4aVULN|5ASPD|67DMG|7BPWR|8RCR|9DUST
63	14234 12622	   	169.65	DCR|2VULN|2DMG|1AART|1ASPD	17CGEN|2AART|37TLV|4aVULN|5ASPD|67DMG|7BPWR|8RCR|9DUST
64	35515 11323	 * 	169.31	DCR|2AART|2DMG|3DUR|1CDMG	1FEWX|2CDMG|348DUR|57AART|6RCR|9aDMG
65	35513 33322	   	169.22	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	19FEWX|29CDMG|34DUR|5VULN|69DMG|7RCVC|8AART|9BPWR|aRCR
66	31125 12626	   	169.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1FEWX|2CGEN|3CDMG|4ASPD|5AART|6RCR|7ZMB|8VULN|9DMG|aDUR
67	41315 15212	 * 	169.10	ACR|2VULN|2AART|1DMG|1ZMB	1RCVC|2ZMB|3RCR|47VULN|5VENICY|6CANSTR|89AART|aDMG
68	32115 13626	   	169.07	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1FEWX|2ZMB|3CDMG|4TLV|5AART|6RCR|7ASPD|8VULN|9DMG|aDUR
69	55513 33322	   	169.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	19DUST|29CDMG|34DUR|5VULN|69DMG|7RCVC|8AART|9BPWR|aRCR
70	33135 13621	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aMLV
71	33135 13623	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aCGEN
72	33135 13624	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aBEXP
73	33135 13625	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aRCVC
74	33135 16362	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2TLV|3CDMG|4DMG|5AART|6RCR|7LWND|8aVULN|9DUR
75	41311 26163	   	168.64	ACR|4VULN|1AART|1ZMB	1RCVC|2ZMB|3RCR|489aVULN|5ERES|6AART|7LHND
76	33135 13626	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aCANSTR
77	53135 13135	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8LIT|aVULN
78	53135 13621	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aMLV
79	53135 13622	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aBEXP
80	53135 13623	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2TLV|3CDMG|49DMG|5AART|6RCR|7ASPD|8VULN|aCGEN
81	32361 33278	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3MBVNT|4AART|5aVULN|6CDMG|7MLV|8RCR|9DMG
82	41314 23411	   	168.52	ACR|3VULN|1AART|2ZMB|2DUR	1RCVC|29ZMB|3RCR|456VULN|79FEWX|89DUR|9BPWR|aAART
83	41331 23166	   	168.52	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1RCVC|2ZMB|3RCR|4MLV|589VULN|6AART|7DUR|aASPD
84	41344 33223	   	168.44	ACR|2VULN|1AART|2ZMB|2ASPD|1FLTHEA	1RCVC|2aZMB|3RCR|4BEXP|5aVULN|6FLTHEA|7LHND|8aASPD|9AART|aBPWR
85	41311 23166	   	168.42	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1RCVC|2ZMB|3RCR|489VULN|5ERES|6AART|7DUR|aASPD
86	41355 33223	   	168.34	ACR|2VULN|1AART|2ZMB|2ASPD|1FLTHEA	1RCVC|2aZMB|3RCR|4MBVNT|5aVULN|6FLTHEA|7LHND|8aASPD|9AART|aBPWR
87	35121 56232	   	168.09	DCR|2DMG|1AART|1VULN|2CDMG	1FEWX|24CDMG|3SNIHEL|5AART|6RCR|7VULN|8aDMG|9MLV
88	35121 56222	   	167.99	DCR|2DMG|1AART|1VULN|2CDMG	1FEWX|24CDMG|3SNIHEL|5AART|6RCR|7VULN|8aDMG|9TLV
89	41212 33525	 * 	167.66	DCR|3DMG|2VULN|2ZMB|1DUR	1RCVC|28ZMB|3LIT|478DMG|58VULN|6RPLT|8BPWR|9DUR|aRCR
90	41411 23432	   	167.61	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	1RCVC|28ZMB|38DUR|4VULN|5ERES|6AART|78DMG|8BPWR|9RCR|aFEWX
91	14322 16222	 * 	167.58	DCR|2AART|2DMG|1VULN|1ZMB	1CGEN|2aAART|3ZMB|4RPLT|5ERES|69DMG|7VULN|8RCR
92	14336 14222	   	167.58	DCR|2AART|2DMG|1VULN|1ZMB	1CGEN|2aAART|3ZMB|4VULN|5ERES|69DMG|7RPLT|8RCR
93	41411 23433	   	167.51	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	1RCVC|28ZMB|38DUR|4VULN|5aERES|6AART|78DMG|8BPWR|9RCR
94	41352 42111	 * 	167.49	ACR|2VULN|1AART|2ZMB|1CDMG|2ASPD|1SELL	1RCVC|29ZMB|3RCR|4MBVNT|5SELL|6CDMG|79ASPD|89VULN|9BPWR|aAART
95	41333 15252	   	167.46	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|4MLV|5DMG|6DUST|7VULN|8AART|9FLTHEA|aCDMG
96	41333 24252	   	167.46	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1RCVC|2ZMB|3RCR|4MLV|5DMG|6VULN|7DUST|8AART|9FLTHEA|aCDMG
97	11125 15326	 * 	167.28	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1ASPD	1CGEN|278DUR|3CDMG|4ASPD|5AART|6RCR|9DMG|aVULN
98	32368 16114	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3MBVNT|4aAART|5LIT|6RCR|7VULN|8DMG|9CDMG
99	41316 33224	   	167.19	ACR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1ASPD|1DUR	1RCVC|2ZMB|3RCR|4VULN|5DUR|6FLTHEA|7LHND|8ASPD|9AART|aDMG
100	41324 33224	   	167.19	ACR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1ASPD|1DUR	1RCVC|2ZMB|3RCR|4DUR|5VULN|6FLTHEA|7LHND|8ASPD|9AART|aDMG
101	32414 32332	 * 	167.08	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|2ZMB|3VULN|4RPLT|569DMG|7RCVC|8RCR|aAART
102	41111 34362	   	167.02	DCR|4VULN|1AART|1ZMB	1RCVC|2ZMB|347aVULN|5BELT|6RCR|8AART|9ERES
103	41331 23163	   	166.87	ACR|3VULN|1AART|2DUR|1ZMB	1RCVC|2ZMB|3RCR|4MLV|589VULN|6AART|7aDUR
104	11125 12133	   	166.69	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR|1ASPD	1CGEN|2DUR|3CDMG|4ASPD|5AART|6RCR|7ZMB|8LIT|9aDMG
105	41314 25221	 * 	166.69	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9FEWX|aLHND
106	41314 25222	   	166.69	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9FEWX|aRPLT
107	41314 25223	   	166.69	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9FEWX|aCGEN
108	41314 25231	   	166.69	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9aLHND
109	41314 25232	   	166.69	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9LHND|aFEWX
110	41333 23154	   	166.69	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|4MLV|58DMG|69aVULN|7CGEN
111	32368 16122	   	166.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4AART|5LIT|6RCR|7VULN|8aDMG|9DUR
112	33135 12145	   	166.64	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1FEWX|2TLV|3CDMG|4DMG|59AART|6RCR|7ZMB|8LIT|aVULN
113	32155 16321	   	166.64	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3CDMG|4ERES|58AART|6RCR|7BELT|9DMG|aVULN
114	61125 12133	   	166.59	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ERES|2DUR|3CDMG|4ASPD|5AART|6RCR|7ZMB|8LIT|9aDMG
115	41314 25211	   	166.59	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9DUST|aLHND
116	41314 25212	   	166.59	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9DUST|aRPLT
117	41314 25213	   	166.59	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9DUST|aCGEN
118	41314 25233	   	166.59	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|78DMG|9LHND|aBASHEA
119	41111 34341	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2ZMB|347VULN|5BELT|6RCR|8AART|9CDMG|aMBVNT
120	41111 34351	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2ZMB|347VULN|5BELT|6RCR|8AART|9LSRREG|aCDMG
121	41314 22212	   	166.49	ACR|3VULN|2DMG|1ZMB	1RCVC|2ZMB|3RCR|456VULN|7TLV|8aDMG|9SNIHEL
122	41351 81114	 * 	166.38	ACR|3VULN|3ZMB|2CDMG	1RCVC|27aZMB|3RCR|4MBVNT|5ERES|6aCDMG|89aVULN|aBPWR
123	32361 16446	 * 	166.28	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2ZMB|3MBVNT|47AART|59VULN|6DUST|8RCR|aDMG
124	32361 33348	   	166.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3MBVNT|4AART|5aVULN|6CDMG|7MLV|8DMG|9RCR
125	61161 15122	   	166.07	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1ERES|24DUR|3CDMG|5VULN|6RCR|7BEXP|8aAART|9DMG
126	14332 33531	   	166.06	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1CGEN|2AART|3ZMB|48VULN|5DMSP|6aDUR|7DMG|9RCR
127	35212 22414	   	165.99	DCR|2DMG|1AART|1VULN|2CDMG	1FEWX|2aCDMG|3LIT|4LWND|5aBEXP|6RCR|7VULN|8aDMG|9AART|aBPWR
128	41331 23415	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|5VULN|6AART|7DUR|8aDMG|9FEWX
129	41311 23415	   	165.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4aVULN|5ERES|6AART|7DUR|8DMG|9FEWX
130	41311 23422	   	165.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4aVULN|5ERES|6AART|7DUR|8DMG|9MLV
131	41331 23422	   	165.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|5aVULN|6AART|7DUR|8DMG|9TLV
132	41311 23254	   	165.53	ACR|3VULN|1AART|2ZMB|1DUR	1RCVC|29ZMB|3RCR|49aVULN|5ERES|6AART|7DUR|89CGEN|9BPWR
133	41311 23632	   	165.53	ACR|3VULN|1AART|2ZMB|1DUR	1RCVC|29ZMB|3RCR|49aVULN|5ERES|6AART|7DUR|89FEWX|9BPWR
134	41111 33521	   	165.37	DCR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2ZMB|349VULN|5BELT|6RCR|7DUST|8CDMG|aAART
135	41311 23532	   	165.33	ACR|3VULN|1AART|2ZMB|1DUR	1RCVC|29ZMB|3RCR|49aVULN|5ERES|6AART|7DUR|89DUST|9BPWR
136	36213 23362	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2ERES|3RCVC|49aVULN|5DMG|6AART|7DUR|8RCR
137	36513 23362	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2ERES|3DMSP|49aVULN|5DMG|6AART|7DUR|8RCR
138	43413 21362	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2ERES|3DUR|49aVULN|5DMG|6AART|7FEWX|8RCR
139	61513 21362	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1ERES|2DUR|3DMSP|49aVULN|5DMG|6AART|7FEWX|8RCR
140	63413 21362	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1ERES|2RCVC|3DUR|49aVULN|5DMG|6AART|7FEWX|8RCR
141	41314 16231	   	165.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|45VULN|6DUST|7AART|8MLV|9DMG|aDUR
142	41314 16331	   	165.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|45VULN|6DUST|7AART|8CGEN|9DMG|aDUR
143	32623 23111	   	165.24	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	19FEWX|29ZMB|3ASPD|4RCR|5RCVC|6DMSP|7DMG|89VULN|9BPWR|aAART
144	32623 56111	 * 	165.24	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	19FEWX|29ZMB|3ASPD|4RCR|5RCVC|6VULN|7DMSP|89DMG|9BPWR|aAART
145	36613 23362	   	165.22	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|23ERES|49aVULN|5DMG|6AART|7DUR|8RCR
146	61613 21362	   	165.22	DCR|3VULN|1AART|1DMG|1DUR	13ERES|2DUR|49aVULN|5DMG|6AART|7FEWX|8RCR
147	21221 42321	 * 	165.12	DCR|3VULN|1AART|1CDMG|1FLTHEA	1RPLT|2BEXP|3LHND|4CDMG|5FLTHEA|69aVULN|7AART|8RCR
148	25221 42321	   	165.12	DCR|3VULN|1AART|1CDMG|1FLTHEA	1RPLT|2LWND|3LHND|4CDMG|5FLTHEA|69aVULN|7AART|8RCR
149	25421 42321	   	165.12	DCR|3VULN|1AART|1CDMG|1FLTHEA	1RPLT|2LWND|3FEWX|4CDMG|5FLTHEA|69aVULN|7AART|8RCR
150	25521 42321	   	165.12	DCR|3VULN|1AART|1CDMG|1FLTHEA	1RPLT|2LWND|3BEXP|4CDMG|5FLTHEA|69aVULN|7AART|8RCR
151	26421 42321	   	165.12	DCR|3VULN|1AART|1CDMG|1FLTHEA	1RPLT|2LHND|3FEWX|4CDMG|5FLTHEA|69aVULN|7AART|8RCR
152	26521 42321	   	165.12	DCR|3VULN|1AART|1CDMG|1FLTHEA	1RPLT|2LHND|3BEXP|4CDMG|5FLTHEA|69aVULN|7AART|8RCR
153	41111 23341	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6AART|7CDMG|8DMG|9RCR|aLHND
154	41111 23342	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6AART|7CDMG|8DMG|9RCR|aLIT
155	41111 23343	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|34VULN|5BELT|6AART|7CDMG|8DMG|9RCR|aCGEN
