0	Index      	 *	Score 	Summary	Detail	
1	22232 14154	 * 	187.18	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19ERES|29CDMG|36DMG|4ZMB|5AART|7RPLT|89VULN|9BPWR|aRCR
21	33123 42231	   	171.84	DCR|3DMG|1AART|1CDMG|1ASPD|1DUR	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9CDMG|aDUR
22	33123 43232	   	171.62	DCR|3DMG|1AART|2ASPD|1CDMG	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9CDMG|aLWND
23	33123 43234	   	171.62	DCR|3DMG|1AART|2ASPD|1CDMG	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9CDMG|aLIT
24	22231 55623	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2CDMG|3DMG|4ZMB|5LWND|6RCR|7AART|8aVULN|9LIT
25	33123 43166	   	171.52	DCR|3DMG|1AART|2ASPD|1CDMG	17DUST|27ASPD|3RPLT|4AART|579DMG|6RCR|7BPWR|8ERES|aCDMG
26	33123 43233	   	171.52	DCR|3DMG|1AART|2ASPD|1CDMG	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9CDMG|aTLV
27	33123 43235	   	171.52	DCR|3DMG|1AART|2ASPD|1CDMG	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9CDMG|aERES
28	33123 43256	   	171.52	DCR|3DMG|1AART|2ASPD|1CDMG	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9ERES|aCDMG
29	13222 42415	   	171.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1LHND|28DUR|3CDMG|4RCR|5DMG|69VULN|7RCVC|aAART
30	33123 41242	 * 	171.32	DCR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3RPLT|4AART|589DMG|6RCR|7DMSP|aVULN
31	33123 41255	   	171.32	DCR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3RPLT|4AART|58aDMG|6RCR|7DMSP|9VULN
32	33123 42542	   	171.22	DCR|3DMG|1AART|1VULN|1ASPD	18DUST|2ASPD|3RPLT|4AART|579DMG|6RCR|aVULN
33	13433 54212	   	171.16	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1SELL	1aLHND|2DUR|3aVULN|4ZMB|5SELL|6RCR|7CDMG|8aDMG|9RMIN|aBPWR
34	15127 41472	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2FEWX|3MBVNT|4AART|5CDMG|6ZMB|7RCR|8aVULN|9DMG
35	13135 43422	 * 	170.96	DCR|3VULN|3DMG|1DUR	18aLHND|2DUR|3MBVNT|48aVULN|5LWND|6CGEN|78aDMG|8aBPWR|9RCR
36	11127 41472	   	170.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2DUST|3MBVNT|4AART|5CDMG|6ZMB|7RCR|8aVULN|9DMG
37	11127 41475	   	170.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2DUST|3MBVNT|4AART|5CDMG|6ZMB|7RCR|8VULN|9aDMG
38	36127 41472	   	170.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LHND|3MBVNT|4AART|5CDMG|6ZMB|7RCR|8aVULN|9DMG
39	11423 41252	 * 	170.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LHND|2DUST|378VULN|4DMG|5RCR|6DUR|9AART|aASPD
40	33353 41252	   	170.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2ASPD|3LHND|478VULN|5RCR|6DUR|9AART|aDMG
41	53424 32231	   	170.39	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD|2MSE	19MSE|2DUR|39VULN|4AART|5ASPD|6RCR|7TLV|89DMG|9BPWR|aCDMG
42	22233 52663	 * 	170.27	DCR|2DMG|3ZMB|1VULN|2CDMG	19ERES|29CDMG|39DMG|478ZMB|5LEGI|6RCR|9BPWR|aVULN
43	22246 12142	   	170.26	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2CDMG|36DMG|47VULN|5TLV|8AART|9RCR|aDMSP
44	22246 12143	   	170.26	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2CDMG|36DMG|47VULN|5TLV|8AART|9RCR|aCGEN
45	22232 14132	   	170.12	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ERES|2CDMG|36DMG|4ZMB|5AART|7RPLT|8VULN|9ASPD|aRCR
46	11423 21254	   	169.94	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2DUST|38VULN|4aDMG|5RCR|6ZMB|7CGEN|9AART
47	11423 22254	   	169.84	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2DUST|38VULN|4aDMG|5RCR|6ZMB|7TLV|9AART
48	33123 41233	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|58DMG|6RCR|7DMSP|9CDMG|aVULN
49	33123 43343	 * 	169.31	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	17DUST|27ASPD|3RPLT|4AART|57DMG|6RCR|7BPWR|8CGEN|9DUR|aVULN
50	11423 41212	 * 	169.29	ACR|4VULN|1DMG|2ZMB|1DUR	1aLHND|2DUST|378aVULN|4DMG|5RCR|6DUR|9aZMB|aBPWR
51	33123 42533	   	169.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	18DUST|2ASPD|3RPLT|4AART|57DMG|6RCR|9CDMG|aVULN
52	33123 43143	   	169.21	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	17DUST|27ASPD|3RPLT|4AART|57DMG|6RCR|7BPWR|8ERES|9DUR|aVULN
53	36423 41212	   	169.19	ACR|4VULN|1DMG|2ZMB|1DUR	1aDUST|2LHND|378aVULN|4DMG|5RCR|6DUR|9aZMB|aBPWR
54	35133 64332	   	169.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUST|2BELT|3ZMB|4RCR|5DUR|69VULN|78DMG|aCDMG
55	33123 43242	   	168.97	DCR|3DMG|1AART|2ASPD|1ZMB	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9ZMB|aMLV
56	33123 43245	   	168.97	DCR|3DMG|1AART|2ASPD|1ZMB	17DUST|27ASPD|3aRPLT|4AART|578DMG|6RCR|7BPWR|9ZMB
57	33123 43335	   	168.97	DCR|3DMG|1AART|2ASPD|1ZMB	17DUST|27ASPD|3RPLT|4AART|57aDMG|6RCR|7BPWR|8CGEN|9ZMB
58	33123 43135	   	168.87	DCR|3DMG|1AART|2ASPD|1ZMB	17DUST|27ASPD|3RPLT|4AART|57aDMG|6RCR|7BPWR|8ERES|9ZMB
59	33123 43241	   	168.87	DCR|3DMG|1AART|2ASPD|1ZMB	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9ZMB|aTLV
60	33123 43244	   	168.87	DCR|3DMG|1AART|2ASPD|1ZMB	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9ZMB|aNUKE
61	33215 35342	   	168.82	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2ASPD|3aVULN|4RCVC|5CGEN|6AART|7RCR|8CDMG|9DMG
62	33222 33547	   	168.79	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19DUST|2ASPD|39VULN|4FEWX|5DUR|69DMG|7AART|8MBVNT|9BPWR|aRCR
63	22256 22135	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2CDMG|39DMG|4RPLT|5AART|6RCR|7AIRHEL|8DUR|aVULN
64	22256 23433	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	18ERES|2CDMG|38DMG|4RPLT|5AART|6RCR|78TLV|8BPWR|9ASPD|aVULN
65	14222 12343	   	168.60	ACR|2VULN|2DMG|2CDMG|1ZMB	1LHND|2BEXP|38CDMG|4RCR|56DMG|7ZMB|9aVULN
66	11222 12343	   	168.50	ACR|2VULN|2DMG|2CDMG|1ZMB	1LHND|2DUST|38CDMG|4RCR|56DMG|7ZMB|9aVULN
67	36222 12343	   	168.50	ACR|2VULN|2DMG|2CDMG|1ZMB	1DUST|2LHND|38CDMG|4RCR|56DMG|7ZMB|9aVULN
68	22256 21622	   	168.19	DCR|2VULN|1AART|1DMG|2CDMG	1aERES|2aCDMG|3DMG|4RPLT|5AART|6RCR|7BEXP|8aVULN|9BELT|aBPWR
69	13222 12315	 * 	168.03	ACR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	1LHND|2DUR|38CDMG|4RCR|56DMG|7ZMB|9ASPD|aAART
70	33223 23545	 * 	168.00	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3VULN|4FEWX|5RCR|6ZMB|79AART|8CDMG|aDMG
71	13222 44413	 * 	167.89	ACR|3VULN|1DMG|2CDMG|2DUR	1LHND|28DUR|37CDMG|4RCR|5DMG|69aVULN
72	31524 22271	   	167.38	DCR|3DMG|1AART|1VULN|1ZMB	12DUST|3VULN|45aDMG|6MBVNT|7ZMB|8RCR|9AART
73	14222 12535	 * 	167.29	ACR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LHND|2BEXP|3CDMG|4RCR|569DMG|7ZMB|8DUR|aVULN
74	11222 12535	   	167.19	ACR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LHND|2DUST|3CDMG|4RCR|569DMG|7ZMB|8DUR|aVULN
75	35134 62332	   	167.19	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2BELT|3ZMB|4RCR|569VULN|7DUR|8DMG|aCDMG
76	36222 12535	   	167.19	ACR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1DUST|2LHND|3CDMG|4RCR|569DMG|7ZMB|8DUR|aVULN
77	33123 45263	   	167.11	DCR|2AART|2VULN|1DMG|1ASPD	1DUST|2ASPD|3RPLT|48AART|5DMG|6RCR|7RMIN|9aVULN
78	33223 33222	   	167.07	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3aVULN|4FEWX|5RCR|68DMG|7AART|9RPLT
79	33433 33222	   	167.07	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3FEWX|4aVULN|5RCR|68DMG|7AART|9RPLT
80	22161 61423	   	167.04	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2CDMG|3DUR|49VULN|5ASPD|6RCR|7MGNLIT|8aDMG
81	22256 26131	 * 	167.04	DCR|2AART|2DMG|1CDMG|1ASPD|1DUR	1ERES|2CDMG|39DMG|4RPLT|57AART|6RCR|8ASPD|aDUR
82	33123 44523	   	167.01	DCR|2AART|2VULN|1DMG|1ASPD	1DUST|2ASPD|3RPLT|48AART|5DMG|6RCR|7aVULN|9ERES
83	13222 12515	   	167.01	ACR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	1LHND|28DUR|3CDMG|4RCR|56DMG|7ZMB|9ASPD|aAART
84	22161 63423	   	166.94	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2CDMG|3DUR|49VULN|5ASPD|6RCR|7LSRREG|8aDMG
85	11222 16563	 * 	166.93	ACR|3VULN|2DMG|1CDMG	179LHND|29DUST|3CDMG|4RCR|56DMG|89aVULN|9BPWR
86	22212 62525	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2CDMG|3DMG|4LHND|5aVULN|6RCR|7BELT|8AART|9ASPD
87	11222 16513	   	166.83	ACR|3VULN|2DMG|1CDMG	17LHND|2DUST|3CDMG|4RCR|56DMG|89aVULN
88	36222 16513	   	166.83	ACR|3VULN|2DMG|1CDMG	1DUST|27LHND|3CDMG|4RCR|56DMG|89aVULN
89	33123 44334	   	166.67	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2ASPD|3RPLT|4AART|5aDMG|6RCR|7VULN|8BEXP|9ZMB
90	15127 41462	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2FEWX|3MBVNT|4AART|5CDMG|6ZMB|7RCR|89aVULN
91	11127 41462	   	166.47	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2DUST|3MBVNT|4AART|5CDMG|6ZMB|7RCR|89aVULN
92	36127 41462	   	166.47	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2LHND|3MBVNT|4AART|5CDMG|6ZMB|7RCR|89aVULN
93	22212 62532	   	166.39	DCR|2VULN|1AART|1DMG|2CDMG	19ERES|29CDMG|3DMG|4LHND|59VULN|6RCR|7BELT|8AART|9BPWR|aLWND
94	22212 62535	   	166.39	DCR|2VULN|1AART|1DMG|2CDMG	19ERES|29CDMG|3DMG|4aLHND|59VULN|6RCR|7BELT|8AART|9BPWR
95	22212 62536	   	166.39	DCR|2VULN|1AART|1DMG|2CDMG	19ERES|29CDMG|3DMG|4LHND|59VULN|6RCR|7BELT|8AART|9BPWR|aMLV
96	22212 62533	   	166.29	DCR|2VULN|1AART|1DMG|2CDMG	19ERES|29CDMG|3DMG|4LHND|59VULN|6RCR|7BELT|8AART|9BPWR|aDUST
97	22262 63433	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CDMG|3DMG|4DUST|5aVULN|6RCR|7CGEN|8DUR|9AART
98	22222 64251	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18ERES|2CDMG|3DMG|4FEWX|57VULN|6RCR|9AART|aDUR
99	33126 65233	 * 	166.08	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1DUST|25ASPD|3RPLT|4AART|6ZMB|7aVULN|8DMG|9RCR
100	13222 42515	   	166.04	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DUR|3CDMG|4RCR|5DMG|69VULN|7RCVC|8DMSP|aAART
101	11423 26262	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2DUST|3aVULN|4DMG|5RCR|6ZMB|7CDMG|8LWND|9AART
102	22246 22141	   	165.93	DCR|2VULN|1AART|2CDMG|1DMG|1ASPD	1ERES|26CDMG|3DMG|47VULN|5TLV|8AART|9RCR|aASPD
103	11423 31252	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2DUST|38VULN|46DMG|5RCR|7BEXP|9AART|aASPD
104	11423 35252	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2DUST|38VULN|46DMG|5RCR|7FEWX|9AART|aASPD
105	36423 31252	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2LHND|38VULN|46DMG|5RCR|7BEXP|9AART|aASPD
106	33223 31234	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|38VULN|4FEWX|5RCR|6aDMG|7CGEN|9AART
107	33353 31254	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3LHND|48VULN|5RCR|6aDMG|7CGEN|9AART
108	33433 31234	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3FEWX|48VULN|5RCR|6aDMG|7CGEN|9AART
109	11423 31212	 * 	165.84	ACR|3VULN|2DMG|2ZMB	1aLHND|2DUST|38aVULN|46DMG|5RCR|7BEXP|9aZMB|aBPWR
110	11423 35212	   	165.84	ACR|3VULN|2DMG|2ZMB	1aLHND|2DUST|38aVULN|46DMG|5RCR|7FEWX|9aZMB|aBPWR
111	33223 32254	   	165.77	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|38VULN|4FEWX|5RCR|6aDMG|7TLV|9AART
112	33353 32254	   	165.77	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3LHND|48VULN|5RCR|6aDMG|7TLV|9AART
113	33433 32254	   	165.77	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3FEWX|48VULN|5RCR|6aDMG|7TLV|9AART
114	36423 31212	   	165.74	ACR|3VULN|2DMG|2ZMB	1aDUST|2LHND|38aVULN|46DMG|5RCR|7BEXP|9aZMB|aBPWR
115	36423 35212	   	165.74	ACR|3VULN|2DMG|2ZMB	1aDUST|2LHND|38aVULN|46DMG|5RCR|7FEWX|9aZMB|aBPWR
116	22222 64315	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CDMG|3DMG|4FEWX|57VULN|6RCR|8DUR|9LWND|aAART
117	14225 13262	   	165.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2BEXP|3CDMG|4RCR|5RMIN|69DMG|7AART|8ASPD|aVULN
118	11225 13344	   	165.63	ACR|3DMG|2AART|1CDMG	1LHND|2DUST|3CDMG|4RCR|5RMIN|69aDMG|78AART
119	22222 64215	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18ERES|2CDMG|3DMG|4FEWX|57VULN|6RCR|9ASPD|aAART
120	33235 35342	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	14DUST|2ASPD|3aVULN|5CGEN|6AART|7RCR|8CDMG|9DMG
121	11225 13262	   	165.53	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2DUST|3CDMG|4RCR|5RMIN|69DMG|7AART|8ASPD|aVULN
122	14222 26632	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2BEXP|3CDMG|4RCR|5DMG|6ERES|7AART|8aVULN|9ASPD
123	34225 13263	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2BEXP|3CDMG|4RCR|5RMIN|6DMG|7AART|8ASPD|9aVULN
124	36225 13262	   	165.53	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2LHND|3CDMG|4RCR|5RMIN|69DMG|7AART|8ASPD|aVULN
125	11222 26642	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DUST|3CDMG|4RCR|5DMG|6ERES|7AART|8aVULN|9DUR
126	13222 26612	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DUR|3CDMG|4RCR|5DMG|6ERES|7AART|8aVULN|9DUST
127	13222 26614	   	165.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2DUR|3CDMG|4RCR|5aDMG|6ERES|7AART|8VULN|9DUST
128	31524 22272	   	165.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	12DUST|3VULN|45DMG|6MBVNT|7ZMB|8RCR|9AART|aCDMG
129	22212 64113	   	165.33	DCR|4VULN|1DMG|1CDMG	1ERES|2CDMG|3DMG|4LHND|579aVULN|6RCR|8CGEN
130	33223 33224	   	165.14	ACR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3VULN|4FEWX|5RCR|68aDMG|7AART|9RPLT
131	33223 33244	   	165.14	ACR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3VULN|4FEWX|5RCR|68aDMG|7AART|9CGEN
132	33433 33224	   	165.14	ACR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3FEWX|4VULN|5RCR|68aDMG|7AART|9RPLT
133	33433 33244	   	165.14	ACR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3FEWX|4VULN|5RCR|68aDMG|7AART|9CGEN
134	33223 33254	   	165.04	ACR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3VULN|4FEWX|5RCR|68aDMG|7AART|9TLV
135	33433 33254	   	165.04	ACR|3DMG|1AART|1VULN|1ASPD	1DUST|2ASPD|3FEWX|4VULN|5RCR|68aDMG|7AART|9TLV
136	33123 42232	   	164.91	DCR|3DMG|1AART|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9CDMG|aLWND
137	33123 42234	   	164.91	DCR|3DMG|1AART|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9CDMG|aLIT
138	33123 43222	   	164.91	DCR|3DMG|1AART|2ASPD|1DUR	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9DUR|aFEWX
139	33123 43225	   	164.91	DCR|3DMG|1AART|2ASPD|1DUR	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9DUR|aMLV
140	11423 16132	 * 	164.84	ACR|4VULN|2DMG|1SELL	1aLHND|2DUST|378aVULN|4aDMG|5RCR|6RPLT|9SELL|aBPWR
141	33123 42166	   	164.81	DCR|3DMG|1AART|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|579DMG|6RCR|8ERES|aCDMG
142	33123 42233	   	164.81	DCR|3DMG|1AART|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9CDMG|aTLV
143	33123 42235	   	164.81	DCR|3DMG|1AART|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9CDMG|aERES
144	33123 42256	   	164.81	DCR|3DMG|1AART|1CDMG|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9ERES|aCDMG
145	33123 43223	   	164.81	DCR|3DMG|1AART|2ASPD|1DUR	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9DUR|aLEGI
146	33123 43226	   	164.81	DCR|3DMG|1AART|2ASPD|1DUR	17aDUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9DUR
147	36423 16132	 * 	164.74	ACR|4VULN|2DMG|1SELL	1aDUST|2LHND|378aVULN|4aDMG|5RCR|6RPLT|9SELL|aBPWR
148	13222 24124	   	164.53	ACR|2VULN|2DMG|2CDMG|1DUR	1LHND|2DUR|3aCDMG|4RCR|5aDMG|6ERES|7aVULN|8CANHEL|9MLV|aBPWR
149	13222 24164	   	164.53	ACR|2VULN|2DMG|2CDMG|1DUR	1LHND|2DUR|3aCDMG|4RCR|5aDMG|6ERES|7aVULN|8CANHEL|9CGEN|aBPWR
150	13222 54124	   	164.53	ACR|2VULN|2DMG|2CDMG|1DUR	1LHND|2DUR|3aCDMG|4RCR|5aDMG|6TLV|7aVULN|8CANHEL|9MLV|aBPWR
151	11423 36313	 * 	164.43	ACR|3DMG|2VULN|1CDMG	1LHND|2DUST|39VULN|468DMG|5RCR|7MGNLIT|aCDMG
152	36423 36313	   	164.43	ACR|3DMG|2VULN|1CDMG	1DUST|2LHND|39VULN|468DMG|5RCR|7MGNLIT|aCDMG
153	13222 13343	   	164.43	ACR|2VULN|2DMG|2CDMG|1DUR	1LHND|2DUR|38CDMG|4RCR|56DMG|7TLV|9aVULN
154	34422 52112	 * 	164.33	DCR|3VULN|1DMG|2CDMG|1DUR|1SELL	1aDUST|2BEXP|38aVULN|4DMG|5SELL|6RCR|7DUR|9aCDMG|aBPWR
155	11423 32255	   	164.33	ACR|3DMG|2VULN|1CDMG	1LHND|2DUST|3aVULN|468DMG|5RCR|7ERES|9CDMG
156	11423 33255	   	164.33	ACR|3DMG|2VULN|1CDMG	1LHND|2DUST|3aVULN|468DMG|5RCR|7NUKE|9CDMG
157	11124 48645	   	164.18	DCR|3DMG|1AART|1VULN	1LHND|25DUST|3MBVNT|4AART|6RCR|78aDMG|9VULN
158	13127 41682	   	164.17	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1LHND|2DUR|3MBVNT|4AART|58CDMG|6ZMB|7RCR|9aVULN
159	22256 26321	   	164.16	DCR|2AART|2DMG|1CDMG|1ZMB	1ERES|2CDMG|3aDMG|4RPLT|57AART|6RCR|8ZMB|9BEXP
160	22212 65433	   	164.06	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2CDMG|38DMG|4LHND|5aVULN|6RCR|7DUST|9ZMB
161	22222 65433	   	164.06	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2CDMG|38DMG|4FEWX|5aVULN|6RCR|7DUST|9ZMB
162	14135 43422	   	164.02	DCR|3VULN|3DMG	18aLHND|2BEXP|3MBVNT|48aVULN|5LWND|6CGEN|78aDMG|8aBPWR|9RCR
