0	Index      	 *	Score 	Summary	Detail	
1	14322 61321	 * 	211.60	DCR|5VULN|3DMG|1CDMG	19aERES|2DMSP|3CDMG|4589aVULN|6RCR|79aDMG|9aBPWR
63	61533 13221	   	184.49	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|45aVULN|6FEWX|7LWND|8aDMG|9RCVC|aBPWR
64	61532 31611	   	184.49	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|48aVULN|57FEWX|6LHND|9aDMG|aBPWR
65	61533 32212	   	184.47	ACR|5VULN|1AART|1ZMB	1AART|2BEXP|3RCR|45678VULN|9ERES|aZMB
66	61533 32222	   	184.47	ACR|5VULN|1AART|1ZMB	1AART|2BEXP|3RCR|45678VULN|9TLV|aZMB
67	61533 32342	   	184.47	ACR|5VULN|1AART|1ZMB	1AART|2BEXP|3RCR|45679VULN|8ERES|aZMB
68	61531 25221	   	184.39	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|46aVULN|5LHND|7DUST|8aDMG|9RCVC|aBPWR
69	61532 24311	   	184.39	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|46aVULN|57FEWX|8DUST|9aDMG|aBPWR
70	61533 14311	   	184.39	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|45aVULN|67FEWX|8DUST|9aDMG|aBPWR
71	23165 34311	   	184.39	ACR|3VULN|2DMG|1AART	14aLWND|2RCR|36aVULN|5AART|7BEXP|8DUST|9aDMG|aBPWR
72	61543 21121	   	184.39	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|4LWND|56aVULN|7aDMG|8MBVNT|9RCVC|aBPWR
73	61531 23613	   	184.29	ACR|3VULN|2DMG|1AART	1AART|2BEXP|3RCR|468VULN|5LHND|7LWND|9aDMG
74	61532 23613	   	184.29	ACR|3VULN|2DMG|1AART	1AART|2BEXP|3RCR|468VULN|5FEWX|7LWND|9aDMG
75	61533 13613	   	184.29	ACR|3VULN|2DMG|1AART	1AART|2BEXP|3RCR|458VULN|6FEWX|7LWND|9aDMG
76	61533 21413	   	183.44	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2aBEXP|3RCR|45VULN|6aDUR|7DMG|8FEWX|9aCDMG|aBPWR
77	61533 21613	   	183.44	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2aBEXP|3RCR|45VULN|6aDUR|7DMG|8LHND|9aCDMG|aBPWR
78	61533 24213	   	183.44	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2aBEXP|3RCR|45VULN|6aDUR|7FEWX|8DMG|9aCDMG|aBPWR
79	61533 25213	   	183.34	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2aBEXP|3RCR|45VULN|6aDUR|7DUST|8DMG|9aCDMG|aBPWR
80	61533 21222	   	183.08	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1aAART|2BEXP|3RCR|45VULN|6DUR|7DMG|8CDMG|9LIT
81	14322 61322	   	183.02	DCR|4VULN|2DMG|1CDMG	19ERES|2DMSP|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aRMIN
82	61533 11531	 * 	182.95	ACR|3VULN|1AART|1DMG|3DUR	1AART|2aBEXP|3RCR|45aVULN|6FEWX|7DMG|89aDUR|aBPWR
83	61532 21531	   	182.95	ACR|3VULN|1AART|1DMG|3DUR	1AART|2aBEXP|3RCR|46aVULN|5FEWX|7DMG|89aDUR|aBPWR
84	13322 61321	   	182.92	DCR|4VULN|2DMG|1CDMG	129ERES|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aDMSP
85	13322 61322	   	182.92	DCR|4VULN|2DMG|1CDMG	129ERES|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aLWND
86	13322 61323	   	182.92	DCR|4VULN|2DMG|1CDMG	129ERES|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aLHND
87	13322 61326	   	182.92	DCR|4VULN|2DMG|1CDMG	129ERES|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aRPLT
88	13322 61325	   	182.82	DCR|4VULN|2DMG|1CDMG	129ERES|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aDUST
89	51341 24111	 * 	182.80	ACR|2VULN|2DMG|1AART|2CDMG	1RPLT|2RMIN|3AART|4RCVC|5RCR|6aCDMG|7FEWX|8aVULN|9aDMG|aBPWR
90	14322 61325	   	182.77	DCR|4VULN|2DMG|1CDMG|1SELL	19ERES|2DMSP|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aSELL
91	51341 21111	   	182.70	ACR|2VULN|2DMG|1AART|2CDMG	1RPLT|2RMIN|3AART|4RCVC|5RCR|6aCDMG|7DUST|8aVULN|9aDMG|aBPWR
92	23116 34411	   	182.59	ACR|3VULN|2DMG|1AART	1aLWND|2RCR|35aVULN|4DUST|6BEXP|7RCVC|8AART|9aDMG|aBPWR
93	23116 53411	   	182.59	ACR|3VULN|2DMG|1AART	1aLWND|2RCR|35aVULN|4DUST|67LHND|8AART|9aDMG|aBPWR
94	61531 61113	 * 	182.56	ACR|2AART|2VULN|1DMG|2CDMG	16AART|2aBEXP|3RCR|4aVULN|5LHND|7DMG|8MBVNT|9aCDMG|aBPWR
95	23113 13465	   	182.49	ACR|3VULN|2DMG|1AART	1aLWND|2RCR|36aVULN|4DUST|5MLV|7aDMG|8AART|9MBVNT|aBPWR
96	23112 13465	   	182.39	ACR|3VULN|2DMG|1AART	1aLWND|2RCR|36aVULN|4DUST|5ERES|7aDMG|8AART|9MBVNT|aBPWR
97	61533 11251	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|3RCR|45VULN|6FEWX|79DMG|8CDMG|aMLV
98	61531 21226	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|3RCR|46VULN|5LHND|7aDMG|8CDMG|9LIT
99	61531 21251	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|3RCR|46VULN|5LHND|79DMG|8CDMG|aMLV
100	61531 21252	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|3RCR|46VULN|5LHND|79DMG|8CDMG|aRCVC
101	61532 21251	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|3RCR|46VULN|5FEWX|79DMG|8CDMG|aMLV
102	51235 22411	   	182.20	ACR|2VULN|2DMG|1AART|2CDMG	1RPLT|2RMIN|3RCVC|4RCR|5aVULN|6LHND|7aCDMG|8AART|9aDMG|aBPWR
103	14321 61323	   	182.17	DCR|3VULN|2DMG|2CDMG|1DUR	19ERES|2DMSP|35CDMG|489VULN|6RCR|79DMG|9BPWR|aDUR
104	61533 11253	   	182.04	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1AART|2BEXP|3RCR|45VULN|6FEWX|79DMG|8CDMG|aSELL
105	61532 21253	   	182.04	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1AART|2BEXP|3RCR|46VULN|5FEWX|79DMG|8CDMG|aSELL
