0	Index      	 *	Score 	Summary	Detail	
1	13152 51343	 * 	192.75	ACR|4VULN|2AART|1DMG	1ERES|2RCR|3LIT|49AART|568aVULN|7DMG
54	11541 22735	 * 	179.27	ACR|3DMG|2VULN|3ZMB	19aERES|27VULN|3MBVNT|49aZMB|5RCR|6RPLT|89aDMG|9aBPWR
55	63125 36312	   	179.14	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1CGEN|2RCR|3LIT|4DMG|56AART|7DUR|8VULN|9FLTHEA|aCDMG
56	13125 36312	   	179.04	ACR|2AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR	1ERES|2RCR|3LIT|4DMG|56AART|7DUR|8VULN|9FLTHEA|aCDMG
57	13152 51112	 * 	178.85	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1ERES|2RCR|3LIT|4AART|56VULN|7DMG|8LWND|9FLTHEA|aCDMG
58	63152 53321	   	178.83	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|2RCR|3LIT|4AART|578VULN|6ZMB|9DUR|aCDMG
59	63135 22521	 * 	178.75	ACR|3VULN|1AART|1DMG|2ZMB	17CGEN|2RCR|3LIT|467VULN|57ZMB|7BPWR|8DMG|9FEWX|aAART
60	63135 22531	   	178.75	ACR|3VULN|1AART|1DMG|2ZMB	17CGEN|2RCR|3LIT|467VULN|57ZMB|7BPWR|8DMG|9BEXP|aAART
61	13152 51212	   	178.75	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1ERES|2RCR|3LIT|4AART|56VULN|7DMG|8DUST|9FLTHEA|aCDMG
62	11635 12611	   	178.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	14ERES|24VULN|3RCR|4BPWR|5ASPD|68DMG|7AART|9TLV|aDUR
63	13152 51313	   	178.65	ACR|3VULN|2AART|1DMG	1ERES|2RCR|3LIT|4aAART|568VULN|7DMG|9LHND
64	13152 51342	   	178.65	ACR|3VULN|2AART|1DMG	1ERES|2RCR|3LIT|49AART|568VULN|7DMG|aCGEN
65	13135 22521	   	178.55	ACR|3VULN|1AART|1DMG|2ZMB	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8DMG|9FEWX|aAART
66	13135 22531	   	178.55	ACR|3VULN|1AART|1DMG|2ZMB	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8DMG|9BEXP|aAART
67	13135 22541	   	178.55	ACR|3VULN|1AART|1DMG|2ZMB	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8DMG|9LWND|aAART
68	13152 31343	   	178.55	ACR|3VULN|2AART|1DMG	16ERES|2RCR|3LIT|49AART|58aVULN|7DMG
69	13152 51341	   	178.55	ACR|3VULN|2AART|1DMG	1aERES|2RCR|3LIT|49AART|568VULN|7DMG
70	13135 22551	   	178.45	ACR|3VULN|1AART|1DMG|2ZMB	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8DMG|9DUST|aAART
71	11624 63221	   	178.38	ACR|3VULN|3DMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9aMLV
72	11624 63223	   	178.38	ACR|3VULN|3DMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9MLV|aRCVC
73	11624 63231	   	178.38	ACR|3VULN|3DMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9LWND|aBEXP
74	11624 63233	   	178.38	ACR|3VULN|3DMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9LWND|aRCVC
75	11624 63211	   	178.28	ACR|3VULN|3DMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9TLV|aMLV
76	11624 63222	   	178.28	ACR|3VULN|3DMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9MLV|aDLOT
77	63223 33524	   	178.15	ACR|3VULN|2DMG|2CDMG	1aCGEN|2RCR|3VENICY|46aVULN|58CDMG|7FEWX|9aDMG|aBPWR
78	63223 35224	   	178.15	ACR|3VULN|2DMG|2CDMG	1aCGEN|2RCR|3VENICY|46aVULN|57CDMG|8LWND|9aDMG|aBPWR
79	13152 25112	   	178.05	ACR|2VULN|1AART|1CDMG|1FLTHEA|2DUR|1ASPD	17ERES|2RCR|3LIT|4AART|57VULN|67DUR|7BPWR|8ASPD|9FLTHEA|aCDMG
80	13153 55112	   	178.05	ACR|2VULN|1AART|1CDMG|1FLTHEA|2DUR|1ASPD	17ERES|2RCR|3LIT|4AART|57DUR|67VULN|7BPWR|8ASPD|9FLTHEA|aCDMG
81	13125 31245	   	178.05	ACR|3VULN|2AART|1DMG	1ERES|2RCR|3LIT|4DMG|56AART|7BELT|89aVULN
82	13223 33524	   	177.95	ACR|3VULN|2DMG|2CDMG	1aERES|2RCR|3VENICY|46aVULN|58CDMG|7FEWX|9aDMG|aBPWR
83	13223 35224	   	177.95	ACR|3VULN|2DMG|2CDMG	1aERES|2RCR|3VENICY|46aVULN|57CDMG|8LWND|9aDMG|aBPWR
84	13223 35424	   	177.95	ACR|3VULN|2DMG|2CDMG	1aERES|2RCR|3VENICY|46aVULN|57CDMG|8LHND|9aDMG|aBPWR
85	13223 36524	   	177.95	ACR|3VULN|2DMG|2CDMG	1aERES|2RCR|3VENICY|46aVULN|58CDMG|7BEXP|9aDMG|aBPWR
86	13223 35624	   	177.85	ACR|3VULN|2DMG|2CDMG	1aERES|2RCR|3VENICY|46aVULN|57CDMG|8DUST|9aDMG|aBPWR
87	13153 21331	   	177.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|2RCR|3LIT|4AART|56DUR|7DMG|89VULN|aCDMG
88	13135 33112	   	177.40	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1ASPD	1ERES|2RCR|3LIT|4VULN|5ZMB|6DMG|7AART|8ASPD|9FLTHEA|aCDMG
89	61635 12122	   	177.08	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	14CGEN|248VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9RPLT|aDUR
90	61635 12111	   	176.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	14CGEN|248VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9TLV|aDUR
91	13433 36523	   	176.95	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2RCR|3LHND|4FLTHEA|5CDMG|6aVULN|7AART|8DUST|9DMG
92	61621 22214	   	176.87	ACR|2VULN|2DMG|1AART|2DUR	1aCGEN|2aVULN|3RCR|47DUR|5RPLT|6LIT|8AART|9aDMG|aBPWR
93	11635 12111	   	176.78	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	14ERES|248VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9TLV|aDUR
94	63135 22512	   	176.59	ACR|4VULN|1DMG|2ZMB|1DUR	17CGEN|2RCR|3LIT|4679VULN|57ZMB|7BPWR|8DMG|aDUR
95	11635 12151	 * 	176.55	ACR|3VULN|1AART|1DMG|2ASPD	14ERES|248VULN|3RCR|4BPWR|59ASPD|6DMG|7AART|aBEXP
96	11635 12153	   	176.55	ACR|3VULN|1AART|1DMG|2ASPD	14ERES|248VULN|3RCR|4BPWR|59ASPD|6DMG|7AART|aRCVC
97	13135 35221	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3LIT|47VULN|5ZMB|68DMG|9FEWX|aAART
98	13135 35231	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3LIT|47VULN|5ZMB|68DMG|9BEXP|aAART
99	13135 35241	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3LIT|47VULN|5ZMB|68DMG|9LWND|aAART
100	13135 35251	   	176.44	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3LIT|47VULN|5ZMB|68DMG|9DUST|aAART
101	13135 22512	   	176.39	ACR|4VULN|1DMG|2ZMB|1DUR	17ERES|2RCR|3LIT|4679VULN|57ZMB|7BPWR|8DMG|aDUR
102	63125 31225	   	176.14	ACR|2VULN|2AART|1DMG|1CDMG	1CGEN|2RCR|3LIT|4DMG|56AART|7BELT|8aVULN|9CDMG
103	63152 21314	   	176.13	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1aCGEN|2RCR|3LIT|4AART|5aVULN|6LWND|7DUR|8SELL|9aDMG|aBPWR
104	13125 31244	   	176.04	ACR|2VULN|2AART|1DMG|1CDMG	1ERES|2RCR|3LIT|4DMG|56AART|7BELT|89VULN|aCDMG
105	13152 22314	   	175.93	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1aERES|2RCR|3LIT|4AART|5aVULN|6DUR|7LWND|8SELL|9aDMG|aBPWR
106	13135 35212	   	175.93	ACR|3VULN|2DMG|1ZMB|1DUR	1ERES|2RCR|3LIT|479VULN|5ZMB|68DMG|aDUR
107	63135 23331	   	175.83	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|2RCR|3LIT|468VULN|5ZMB|7DUR|9AART|aCDMG
108	13534 45318	   	175.75	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2RCR|3MBVNT|4FLTHEA|5aVULN|6RMIN|7CDMG|8DMG|9AART
109	13135 23331	   	175.73	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ERES|2RCR|3LIT|468VULN|5ZMB|7DUR|9AART|aCDMG
110	63226 26133	 * 	175.44	ACR|2VULN|2AART|1DMG|1FLTHEA	1CGEN|2RCR|3VENICY|48VULN|5MLV|69AART|7FLTHEA|aDMG
111	13528 61441	   	175.37	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1ERES|2RCR|3MBVNT|4DUR|5DMG|68VULN|7ASPD|9FLTHEA|aAART
112	13534 57111	   	175.37	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1ERES|2RCR|3MBVNT|4FLTHEA|56VULN|7DMG|8DUR|9ASPD|aAART
113	13433 36261	 * 	175.37	ACR|2VULN|2AART|1FLTHEA|1CDMG|1DUR	1ERES|2RCR|3LHND|4FLTHEA|5CDMG|69VULN|78AART|aDUR
114	13226 26133	   	175.34	ACR|2VULN|2AART|1DMG|1FLTHEA	1ERES|2RCR|3VENICY|48VULN|5MLV|69AART|7FLTHEA|aDMG
115	61635 12312	   	175.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	14CGEN|24VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|8LWND|9CDMG|aDUR
116	11635 12353	   	174.87	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	14ERES|24VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|8LWND|9FLTHEA|aDUR
117	11633 26131	 * 	174.75	ACR|3VULN|1AART|1DMG|1FLTHEA	14ERES|249VULN|3RCR|4BPWR|5CANSTR|6RMIN|7FLTHEA|8DMG|aAART
118	13135 33123	   	174.63	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ERES|2RCR|3LIT|4aVULN|5ZMB|6DMG|7AART|8ASPD|9DUR
119	13355 12161	   	174.63	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3RCVC|48VULN|5ASPD|6DMG|7AART|9ZMB|aDUR
120	13534 57131	 * 	174.53	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1ERES|2RCR|3MBVNT|4FLTHEA|56aVULN|7DMG|8DUR|9CDMG
121	13355 12623	   	174.27	ACR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3RCVC|4aVULN|5ASPD|68DMG|7AART|9RPLT
122	13355 12631	   	174.27	ACR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3RCVC|49VULN|5ASPD|68DMG|7AART|aBEXP
123	13355 12633	   	174.27	ACR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3aRCVC|49VULN|5ASPD|68DMG|7AART
124	13152 21364	 * 	174.20	ACR|3AART|2VULN|1DMG|1DUR	1ERES|2RCR|3LIT|478AART|59VULN|6DUR|aDMG
125	13152 51123	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RCR|3LIT|4AART|56aVULN|7DMG|8LWND|9DUR
126	13152 51322	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9DUR|aBEXP
127	13152 51323	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9DUR|aDMSP
128	13152 51324	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9DUR|aBELT
129	13152 51326	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9DUR|aCGEN
130	13152 51336	   	174.14	ACR|3VULN|1AART|1DMG|1ASPD	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9CGEN|aASPD
131	34222 13537	   	174.10	ACR|4VULN|1AART|1DMG	1LHND|2MBVNT|3RPLT|4RCR|5DMG|679aVULN|8AART
132	13152 51225	   	174.04	ACR|3VULN|1AART|1DMG|1DUR	1ERES|2RCR|3LIT|4AART|56aVULN|7DMG|8DUST|9DUR
133	13341 21135	   	174.04	ACR|3VULN|1AART|1DMG|1DUR	17ERES|2RCR|3RCVC|4AART|5DUR|689VULN|aDMG
134	13152 51325	   	174.04	ACR|3VULN|1AART|1DMG|1DUR	1aERES|2RCR|3LIT|4AART|568VULN|7DMG|9DUR
135	12233 12161	   	174.04	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	13ERES|23ASPD|3BPWR|48VULN|5RCR|6DMG|7AART|9ZMB|aDUR
136	12233 12661	 * 	174.04	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	13ERES|23ASPD|3BPWR|4VULN|5RCR|68DMG|7AART|9ZMB|aDUR
137	11625 32613	   	173.83	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	16ERES|29aVULN|3RCR|4DUR|5ZMB|7CDMG|8AART
138	12233 12623	 * 	173.68	ACR|2VULN|2DMG|1AART|2ASPD	13ERES|23ASPD|3BPWR|4aVULN|5RCR|68DMG|7AART|9RPLT
139	12233 12631	   	173.68	ACR|2VULN|2DMG|1AART|2ASPD	13ERES|23ASPD|3BPWR|49VULN|5RCR|68DMG|7AART|aBEXP
140	12233 12633	   	173.68	ACR|2VULN|2DMG|1AART|2ASPD	13ERES|23ASPD|3BPWR|49VULN|5RCR|68DMG|7AART|aRCVC
141	12233 12634	   	173.68	ACR|2VULN|2DMG|1AART|2ASPD	13ERES|23ASPD|3BPWR|49VULN|5RCR|68DMG|7AART|aFEWX
142	11625 22632	   	173.63	ACR|3VULN|2DMG|1ZMB|1DUR	19ERES|279VULN|3RCR|4DUR|5ZMB|6RPLT|89DMG|9BPWR|aFEWX
143	12233 12635	   	173.58	ACR|2VULN|2DMG|1AART|2ASPD	13ERES|23ASPD|3BPWR|49VULN|5RCR|68DMG|7AART|aNUKE
144	12233 12636	   	173.58	ACR|2VULN|2DMG|1AART|2ASPD	13ERES|23ASPD|3BPWR|49VULN|5RCR|68DMG|7AART|aDLOT
145	63135 22211	   	173.54	ACR|3VULN|1AART|2ZMB|1CDMG	17CGEN|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9LHND|aCDMG
146	63135 22263	   	173.54	ACR|3VULN|1AART|2ZMB|1CDMG	17CGEN|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9RMIN|aCDMG
147	11622 64222	   	173.53	ACR|3VULN|2DMG|1ZMB|1DUR	178ERES|289VULN|3RCR|4DUR|5BEXP|68DMG|8BPWR|aZMB
148	13153 21312	   	173.49	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|2DUR	1ERES|2RCR|3LIT|4AART|56DUR|7DMG|8VULN|9FLTHEA|aCDMG
149	13125 21443	   	173.40	ACR|2DMG|2AART|1VULN|1ZMB	1ERES|2RCR|3LIT|47DMG|59AART|6MLV|8ZMB|aVULN
150	11625 22631	   	173.38	ACR|3VULN|2DMG|1ZMB|1DUR|1SELL	19ERES|279VULN|3RCR|4DUR|5ZMB|6RPLT|89DMG|9BPWR|aSELL
151	13135 22211	   	173.34	ACR|3VULN|1AART|2ZMB|1CDMG	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9LHND|aCDMG
152	13135 22261	   	173.34	ACR|3VULN|1AART|2ZMB|1CDMG	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9CDMG|aCGEN
153	13135 22262	   	173.34	ACR|3VULN|1AART|2ZMB|1CDMG	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9CDMG|aFEWX
154	13135 22266	   	173.34	ACR|3VULN|1AART|2ZMB|1CDMG	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9CDMG|aMLV
155	13135 22264	   	173.24	ACR|3VULN|1AART|2ZMB|1CDMG	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9CDMG|aDUST
156	13135 22254	 * 	173.12	ACR|3VULN|3ZMB|1AART	179ERES|2RCR|3LIT|467VULN|57aZMB|7BPWR|8AART
157	13528 42426	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1aERES|2RCR|3MBVNT|4DUR|5aDMG|6MLV|7LWND|8aVULN|9AART|aBPWR
158	13528 12426	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1aERES|2RCR|3MBVNT|4DUR|5aDMG|6TLV|7LWND|8aVULN|9AART|aBPWR
159	63155 32312	   	172.81	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA	1CGEN|2RCR|3LIT|46AART|5DMG|7BEXP|8VULN|9FLTHEA|aCDMG
160	13155 32312	   	172.71	ACR|2AART|1VULN|1DMG|1CDMG|1FLTHEA	1ERES|2RCR|3LIT|46AART|5DMG|7BEXP|8VULN|9FLTHEA|aCDMG
161	13155 35312	   	172.71	ACR|2AART|1VULN|1DMG|1CDMG|1FLTHEA	1ERES|2RCR|3LIT|46AART|5DMG|7LHND|8VULN|9FLTHEA|aCDMG
162	13152 52343	   	172.68	ACR|4VULN|2AART	1ERES|2RCR|3LIT|49AART|568aVULN|7RMIN
163	13534 36541	 * 	172.50	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1ERES|2RCR|3MBVNT|4FLTHEA|5VULN|6BEXP|79DMG|8ZMB|aAART
