0	Index      	 *	Score 	Summary	Detail	
1	36522 15222	 * 	218.93	DCR|4VULN|3DMG|2CDMG|3DUR	189DMG|258aVULN|3DUST|4aCDMG|68aDUR|7RCR|8aBPWR
21	36363 31321	   	202.12	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7ERES|8ZMB|9RCR|aCGEN
22	36363 31323	   	202.12	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7ERES|8ZMB|9RCR|aBEXP
23	36363 31326	   	202.12	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7ERES|8ZMB|9RCR|aDMSP
24	36363 35322	   	202.12	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7MLV|8ZMB|9RCR|aERES
25	36363 31322	   	202.02	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7aERES|8ZMB|9RCR
26	36363 31325	   	202.02	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7ERES|8ZMB|9RCR|aDUST
27	16122 21423	   	201.63	ACR|3VULN|2DMG|2FLTHEA|1CDMG|2DUR	18FLTHEA|28DMG|3RCR|4CDMG|5aDUR|6MBVNT|789VULN|8BPWR
28	12522 31624	 * 	199.95	DCR|3VULN|3DMG|3FLTHEA|2DUR	178FLTHEA|25DUR|3DMSP|478DMG|678VULN|78BPWR|9CGEN|aRCR
29	33422 53136	 * 	199.87	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	18DMG|2DUST|358VULN|4CDMG|6LHND|78ZMB|8BPWR|9RCR|aAART
30	12522 31634	   	199.85	DCR|3VULN|3DMG|3FLTHEA|2DUR	178FLTHEA|25DUR|3DMSP|478DMG|678VULN|78BPWR|9ERES|aRCR
31	36323 53315	   	198.72	DCR|4VULN|2AART|2DMG	16DMG|2567VULN|34AART|6BPWR|8RPLT|9MLV|aRCR
32	36366 22211	   	198.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|24VULN|3AART|4BPWR|5LHND|6RCR|7DUR|8ZMB|9RCVC|aCDMG
33	36366 22321	   	198.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|24VULN|3AART|4BPWR|58LHND|6RCR|7DUR|9ZMB|aCDMG
34	33132 15222	   	198.63	DCR|4VULN|3DMG|3DUR|1SELL	189DMG|2aDUST|3SELL|458aVULN|68aDUR|7RCR|8aBPWR
35	36323 53153	   	198.62	DCR|4VULN|2AART|2DMG	16DMG|2567VULN|34AART|6BPWR|8BEXP|9NUKE|aRCR
36	36323 53253	   	198.52	DCR|4VULN|2AART|2DMG	16DMG|2567VULN|34AART|6BPWR|8DUST|9NUKE|aRCR
37	36345 23221	   	198.51	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|27VULN|3AART|47ERES|5NUKE|6RCR|7BPWR|8DUR|9ZMB|aCDMG
38	36222 33136	   	197.35	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	18DMG|258VULN|3LHND|4CDMG|6RMIN|78DUR|8BPWR|9RCR|aAART
39	36522 24313	   	197.33	DCR|3VULN|2DMG|1AART|2CDMG	1aDMG|25aVULN|3DUST|46CDMG|7RCR|8AART|9aLIT|aBPWR
40	36222 15253	   	196.87	DCR|4VULN|2DMG|3DUR|1CDMG	18DMG|258aVULN|3LHND|4CDMG|689DUR|7RCR|8BPWR
41	16122 21421	   	196.34	ACR|3VULN|2DMG|2FLTHEA|1CDMG	18FLTHEA|28DMG|3RCR|4CDMG|5DUR|6MBVNT|789VULN|8BPWR|aFEWX
42	16122 21422	   	196.34	ACR|3VULN|2DMG|2FLTHEA|1CDMG	18FLTHEA|28DMG|3RCR|4CDMG|5DUR|6MBVNT|789VULN|8BPWR|aLHND
43	16122 21424	   	196.34	ACR|3VULN|2DMG|2FLTHEA|1CDMG	18FLTHEA|28DMG|3RCR|4CDMG|5DUR|6MBVNT|789VULN|8BPWR|aCGEN
44	16122 21425	   	196.24	ACR|3VULN|2DMG|2FLTHEA|1CDMG	18FLTHEA|28DMG|3RCR|4CDMG|5DUR|6MBVNT|789VULN|8BPWR|aTLV
45	16122 21428	   	196.24	ACR|3VULN|2DMG|2FLTHEA|1CDMG	18FLTHEA|28DMG|3RCR|4CDMG|5DUR|6MBVNT|789VULN|8BPWR|aDUST
46	36323 33355	   	195.52	DCR|3VULN|2AART|2DMG|1ZMB	16DMG|257VULN|34AART|8RPLT|9ZMB|aRCR
47	36323 65333	   	195.52	DCR|3VULN|2AART|2DMG|1ZMB	19DMG|257VULN|34AART|6BEXP|8ZMB|aRCR
48	16121 22153	   	195.44	ACR|3VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|78aVULN|9MLV
49	16121 22161	   	195.44	ACR|3VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|789VULN|aLWND
50	16121 22162	   	195.44	ACR|3VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|789VULN|aMLV
51	16121 22165	   	195.44	ACR|3VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|789VULN|aFEWX
52	16121 22135	 * 	195.34	ACR|3DMG|2VULN|3CDMG|1FLTHEA	1FLTHEA|26aDMG|3RCR|456CDMG|6BPWR|78VULN|9BASICY
53	16121 22166	   	195.34	ACR|3VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|789VULN|aERES
54	31162 34333	   	194.88	DCR|3VULN|3DMG|2CDMG|1ZMB	18aDMG|2RPLT|35aVULN|4ZMB|6MGNLIT|7aCDMG|9RCR|aBPWR
55	36222 15211	   	194.50	DCR|3VULN|3DMG|1CDMG|2DUR	18aDMG|258VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|9LEGI
56	36522 15211	   	194.50	DCR|3VULN|3DMG|1CDMG|2DUR	18aDMG|258VULN|3DUST|4CDMG|68DUR|7RCR|8BPWR|9LHND
57	36522 15221	   	194.50	DCR|3VULN|3DMG|1CDMG|2DUR	189DMG|258VULN|3DUST|4CDMG|68DUR|7RCR|8BPWR|aCGEN
58	36522 15223	   	194.50	DCR|3VULN|3DMG|1CDMG|2DUR	189DMG|258VULN|3DUST|4CDMG|68DUR|7RCR|8BPWR|aFEWX
59	31212 31142	   	194.32	DCR|3VULN|3DMG|3CDMG|1SELL	189DMG|2RPLT|389CDMG|4ERES|5ASPD|689VULN|7SELL|89BPWR|aRCR
60	31114 62141	 * 	193.97	ACR|5VULN|3DMG	189DMG|2RPLT|3689aVULN|46789CGEN|5RCR|689BPWR
61	35531 22131	   	193.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2ZMB|3AART|45VULN|6BEXP|7DUR|8RCR|aCDMG
62	11121 35423	   	193.78	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA|1ZMB	1FLTHEA|2VULN|3ZMB|45CDMG|6DUR|7AART|8RCR|9aDMG
63	11122 25423	   	193.78	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA|1ZMB	1FLTHEA|2VULN|3ZMB|46CDMG|5DUR|7AART|8RCR|9aDMG
64	12121 35423	   	193.78	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA|1ZMB	1FLTHEA|2DUR|3ZMB|45CDMG|6VULN|7AART|8RCR|9aDMG
65	12123 25423	   	193.78	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA|1ZMB	1FLTHEA|2DUR|3ZMB|46CDMG|5VULN|7AART|8RCR|9aDMG
66	16121 25413	   	193.66	ACR|2VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|7ASPD|8DUR|9aVULN
67	33422 24326	   	193.64	DCR|4VULN|1AART|1DMG|2CDMG	1DMG|2DUST|359aVULN|46CDMG|7RCR|8AART
68	16132 21165	 * 	193.14	ACR|3VULN|2DMG|1AART|1FLTHEA	1FLTHEA|2aDMG|3RCR|4CGEN|567VULN|8FEWX|9AART
69	36222 15231	   	193.05	DCR|4VULN|2DMG|1CDMG|2DUR	18DMG|2589VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|aCGEN
70	36222 15232	   	193.05	DCR|4VULN|2DMG|1CDMG|2DUR	18DMG|2589VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|aRCVC
71	36222 15233	   	193.05	DCR|4VULN|2DMG|1CDMG|2DUR	18DMG|2589VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|aMLV
72	36222 15236	   	193.05	DCR|4VULN|2DMG|1CDMG|2DUR	18DMG|2589VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|aLWND
73	36222 15216	   	192.95	DCR|4VULN|2DMG|1CDMG|2DUR	18DMG|258aVULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|9LEGI
74	36222 15234	   	192.95	DCR|4VULN|2DMG|1CDMG|2DUR	18DMG|2589VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|aLEGI
75	33421 25326	 * 	192.89	DCR|3VULN|2DMG|2CDMG|2FLTHEA	1aDMG|2DUST|39aVULN|46CDMG|5LWND|7RCR|8aFLTHEA|aBPWR
76	12122 35423	   	192.76	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|2DUR|1ZMB	1FLTHEA|25DUR|3ZMB|4CDMG|6VULN|7AART|8RCR|9aDMG
77	16121 35121	 * 	192.51	ACR|2DMG|2AART|1VULN|2CDMG|1FLTHEA	1FLTHEA|29DMG|3RCR|45CDMG|6VULN|7aAART|8BEXP
78	16121 35321	   	192.51	ACR|2DMG|2AART|1VULN|2CDMG|1FLTHEA	1FLTHEA|29DMG|3RCR|45CDMG|6VULN|7aAART|8FEWX
79	31161 23224	   	192.48	DCR|3VULN|3DMG|3ASPD|1ZMB	178DMG|2RPLT|378VULN|4ZMB|5DUST|678ASPD|78BPWR|9LHND|aRCR
80	31161 23244	   	192.48	DCR|3VULN|3DMG|3ASPD|1ZMB	178DMG|2RPLT|378VULN|4ZMB|5DUST|678ASPD|78BPWR|9BEXP|aRCR
81	36326 22521	   	192.47	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|28VULN|34AART|5LHND|6RCR|7DUR|9ZMB|aCDMG
82	16121 35621	   	192.41	ACR|2DMG|2AART|1VULN|2CDMG|1FLTHEA	1FLTHEA|29DMG|3RCR|45CDMG|6VULN|7aAART|8DUST
83	36363 52221	 * 	192.36	4VULN|3DMG|2AART|1CDMG|1ZMB	146DMG|2456VULN|37AART|46BPWR|8DUR|9ZMB|aCDMG
84	16121 35513	 * 	192.06	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA|1ZMB	1FLTHEA|2DMG|3RCR|45CDMG|6aVULN|7AART|8ZMB|9CGEN
85	36366 23321	   	191.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|24VULN|3AART|4BPWR|58LHND|6RCR|7FEWX|9ZMB|aCDMG
86	36345 23121	   	191.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|27VULN|3AART|47ERES|5NUKE|6RCR|7BPWR|8BEXP|9ZMB|aCDMG
87	36366 21111	   	191.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|24VULN|3AART|4BPWR|5LHND|6RCR|7ERES|8ZMB|9TLV|aCDMG
88	36323 51523	   	191.55	DCR|3VULN|2AART|2DMG	16DMG|256VULN|34AART|6BPWR|79CGEN|8DUR|aRCR
89	36345 23321	   	191.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|27VULN|3AART|47ERES|5NUKE|6RCR|7BPWR|8DUST|9ZMB|aCDMG
90	36222 13136	   	191.26	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	18DMG|25VULN|38LHND|4CDMG|6DUR|78ZMB|8BPWR|9RCR|aAART
91	36323 33431	   	191.19	DCR|3VULN|3AART|2DMG	16DMG|257VULN|348AART|9RCR|aMLV
92	36323 33432	   	191.19	DCR|3VULN|3AART|2DMG	16DMG|257VULN|348AART|9RCR|aCGEN
93	36323 33433	   	191.19	DCR|3VULN|3AART|2DMG	16DMG|257VULN|348AART|9RCR|aRCVC
94	36323 33435	   	191.19	DCR|3VULN|3AART|2DMG	16DMG|257VULN|348AART|9RCR|aBEXP
95	36323 33436	   	191.19	DCR|3VULN|3AART|2DMG	16DMG|257VULN|348AART|9RCR|aRMIN
96	16126 43212	   	191.16	ACR|2VULN|2DMG|2FLTHEA|2CDMG|1ZMB	19FLTHEA|28DMG|3RCR|49CDMG|5aLIT|6ZMB|79VULN|9BPWR
97	33132 64324	   	191.12	DCR|4VULN|2DMG|1AART|1SELL	1aDMG|2aDUST|3SELL|459aVULN|6RCVC|7RCR|8AART|aBPWR
98	16126 43211	   	191.06	ACR|2VULN|2DMG|2FLTHEA|2CDMG|1ZMB	19FLTHEA|28DMG|3RCR|49CDMG|5LIT|6ZMB|79VULN|9BPWR|aDUST
99	35531 33333	   	191.01	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|2ZMB|3AART|456VULN|7DUR|8RCVC|aRCR
100	36363 23542	   	190.88	DCR|3VULN|3DMG|1AART|1SELL	148DMG|245VULN|3AART|4BPWR|6SELL|7MBVNT|9RCR|aFEWX
101	36363 23544	   	190.88	DCR|3VULN|3DMG|1AART|1SELL	148DMG|245VULN|3AART|4BPWR|6SELL|7MBVNT|9RCR|aDMSP
102	16121 23512	   	190.79	ACR|2VULN|2DMG|3CDMG|1FLTHEA|1ZMB	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|7FEWX|8ZMB|9aVULN
103	36363 23543	   	190.78	DCR|3VULN|3DMG|1AART|1SELL	148DMG|245VULN|3AART|4BPWR|6SELL|7MBVNT|9RCR|aDUST
104	16121 22532	   	190.69	ACR|2VULN|2DMG|3CDMG|1FLTHEA|1ZMB	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|7aVULN|8ZMB|9DUST
105	16121 22543	   	190.69	ACR|2VULN|2DMG|3CDMG|1FLTHEA|1ZMB	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|7aVULN|8ZMB|9LEGI
106	16312 21165	   	190.64	ACR|3VULN|2DMG|1AART|1FLTHEA	1FLTHEA|2aDMG|3ERES|4RCR|567VULN|8FEWX|9AART
107	33423 53136	 * 	190.53	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	18DMG|2DUST|38VULN|45CDMG|6LHND|78ZMB|8BPWR|9RCR|aAART
108	36432 61333	   	190.51	DCR|4VULN|2DMG|1AART	18DMG|2367VULN|4LHND|5ASPD|9AART|aRCR
109	31256 54321	   	190.28	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2RPLT|37CDMG|4AART|5MBVNT|67VULN|7BPWR|8ZMB|9RCR|aCGEN
110	31256 54323	   	190.28	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2RPLT|37CDMG|4AART|5MBVNT|67VULN|7BPWR|8ZMB|9RCR|aRCVC
111	31256 54322	   	190.18	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2RPLT|37CDMG|4AART|5MBVNT|67VULN|7BPWR|8ZMB|9RCR|aERES
112	31256 54324	   	190.18	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	17DMG|2RPLT|37CDMG|4AART|5MBVNT|67VULN|7BPWR|8ZMB|9RCR|aDUST
113	16132 21461	   	189.95	ACR|4VULN|2DMG|2FLTHEA	19FLTHEA|29DMG|3RCR|4CGEN|567aVULN|89MLV|9BPWR
114	16132 26321	   	189.95	ACR|4VULN|2DMG|2FLTHEA	19FLTHEA|28DMG|3RCR|49CGEN|569aVULN|7RMIN|9BPWR
115	36222 15212	   	189.85	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|258VULN|3LHND|4CDMG|68DUR|7RCR|8BPWR|9LEGI|aZMB
116	36522 15212	   	189.85	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|258VULN|3DUST|4CDMG|68DUR|7RCR|8BPWR|9LHND|aZMB
117	16135 53213	   	189.50	ACR|3DMG|2VULN|2FLTHEA|1CDMG	19FLTHEA|28aDMG|3RCR|49CGEN|5LIT|6CDMG|79VULN|9BPWR
118	16152 53213	   	189.50	ACR|3DMG|2VULN|2FLTHEA|1CDMG	19FLTHEA|28aDMG|3RCR|49LIT|5CGEN|6CDMG|79VULN|9BPWR
119	36362 33352	   	189.45	DCR|2AART|2VULN|2DMG|1CDMG	14DMG|24VULN|37AART|4BPWR|5LIT|6DUST|8CDMG|9DUR|aRCR
120	16123 21127	   	189.40	ACR|3VULN|2DMG|2FLTHEA|1CDMG	1aFLTHEA|2aDMG|3RCR|4CDMG|58LHND|6MBVNT|79aVULN|aBPWR
121	16122 22524	   	189.22	ACR|2VULN|2DMG|2ZMB|1FLTHEA|1CDMG	1FLTHEA|2aDMG|3RCR|4CDMG|5DUR|6MBVNT|7aZMB|8CGEN|9aVULN|aBPWR
122	16132 21164	   	189.20	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|2DMG|3RCR|4CGEN|567VULN|8FEWX|9AART|aCDMG
123	36223 15253	   	189.08	DCR|3VULN|2DMG|2CDMG|3DUR	18DMG|28aVULN|3LHND|45CDMG|689DUR|7RCR|8BPWR
124	32221 61265	   	189.07	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	18DMG|2ERES|3AART|4DUST|5aVULN|6FLTHEA|7RCR|9ZMB
125	16132 21114	 * 	189.05	ACR|4VULN|1AART|1DMG|1FLTHEA	1FLTHEA|2DMG|3RCR|4CGEN|5679VULN|8FEWX|aAART
126	36362 24312	   	189.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|24VULN|3AART|4BPWR|5LIT|6CDMG|7DUR|8TLV|9ZMB|aRCR
127	36362 26112	   	189.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|24VULN|3AART|4BPWR|5LIT|6CDMG|7ERES|8DUR|9ZMB|aRCR
128	33422 15222	   	188.98	DCR|3DMG|2VULN|2CDMG|3DUR	189DMG|28aDUST|35VULN|4aCDMG|68aDUR|7RCR|8aBPWR
