0	Index      	 *	Score 	Summary	Detail	
1	63323 35341	 * 	192.32	ACR|2VULN|2DMG|3ZMB|3CDMG	1RMIN|25aCDMG|358ZMB|4RCR|5aBPWR|6LIT|7aDMG|9aVULN
70	63124 23311	   	167.34	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	13RMIN|25CDMG|4DUR|6RCR|7AART|8DMG|9VULN|aZMB
71	63321 11526	 * 	167.29	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2CDMG|3ZMB|4RCR|58aVULN|6LHND|7DUR|9DMG
72	23113 23234	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4BEXP|59VULN|6RCR|7TLV|8ZMB|aDMG
73	23113 23253	   	167.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4BEXP|5VULN|6RCR|7TLV|8ZMB|9aDMG
74	23113 25234	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4BEXP|59VULN|6RCR|7ERES|8ZMB|aDMG
75	23113 25253	   	167.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4BEXP|5VULN|6RCR|7ERES|8ZMB|9aDMG
76	23163 23234	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4LHND|59VULN|6RCR|7TLV|8ZMB|aDMG
77	23163 23253	   	167.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4LHND|5VULN|6RCR|7TLV|8ZMB|9aDMG
78	23163 25234	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4LHND|59VULN|6RCR|7ERES|8ZMB|aDMG
79	23163 25253	   	167.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4LHND|5VULN|6RCR|7ERES|8ZMB|9aDMG
80	26113 23234	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LHND|3AART|4BEXP|59VULN|6RCR|7TLV|8ZMB|aDMG
81	26113 25234	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LHND|3AART|4BEXP|59VULN|6RCR|7ERES|8ZMB|aDMG
82	26145 32313	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LHND|3AART|4ZMB|58VULN|6RCR|7ERES|9DMG|aBEXP
83	25161 36221	   	167.26	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1aDUR|29DMG|3FEWX|4AART|5ZMB|6VULN|7CGEN|8RCR
84	25161 35221	   	167.16	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1aDUR|29DMG|3FEWX|4AART|5ZMB|6VULN|7ERES|8RCR
85	13124 43225	   	166.88	DCR|2AART|2DMG|1VULN|1ZMB	1DUST|2LWND|35AART|4MBVNT|6VULN|7ZMB|8RCR|9aDMG
86	25161 43321	   	166.80	DCR|3DMG|1AART|1ZMB|1ASPD|1DUR	1DUR|28aDMG|3FEWX|4AART|5ZMB|6TLV|7RCR|9ASPD
87	63121 23313	   	166.77	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	13RMIN|2CDMG|45DUR|6RCR|7aAART|8DMG|9VULN
88	21633 11253	 * 	166.70	DCR|4VULN|2DMG|1DUR	1DUR|2MGNSTR|36DMG|4789VULN|5CGEN|aRCR
89	55132 13326	 * 	166.53	DCR|3DMG|1AART|1VULN|1CDMG	129DMG|2BPWR|3CGEN|4VULN|5MBVNT|6CDMG|7AART|8LSRHEA|aRCR
90	63355 23232	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RMIN|2CDMG|3ZMB|49DMG|5RPLT|6DUR|7aVULN|8RCR
91	63121 23311	   	166.32	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	13RMIN|2CDMG|45DUR|6RCR|7AART|8DMG|9VULN|aZMB
92	63324 22141	   	166.24	ACR|2VULN|2DMG|2ZMB|1CDMG	1RMIN|2CDMG|3aZMB|4RCR|5DUST|6LIT|7aDMG|8FEWX|9aVULN|aBPWR
93	23124 44873	   	166.20	DCR|3VULN|2AART|2DUR	1aDUR|2LWND|35AART|4MBVNT|689VULN|7RCR
94	53211 14334	   	166.17	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1aDMG|2SELL|3VULN|4DUR|5BEXP|6RCR|7CDMG|8LIT|9AART
95	53232 14334	   	166.17	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1aDMG|2SELL|3VULN|4BEXP|5DUR|6RCR|7CDMG|8LIT|9AART
96	25162 22533	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3FEWX|4AART|5TLV|6aLIT|7CANSTR|8aVULN|9RCR|aBPWR
97	63323 43352	 * 	166.14	ACR|2VULN|3CDMG|1AART|2ZMB	1RMIN|25aCDMG|35ZMB|4RCR|5aBPWR|6aVULN|7AART|89aLWND
98	23123 44866	   	166.10	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	16DUR|2LWND|3AART|4MBVNT|58VULN|7RCR|9ASPD|aDMG
99	53224 81236	   	165.87	DCR|3VULN|3DMG|1SELL	169DMG|2SELL|36aVULN|4MBVNT|5RPLT|6BPWR|7LHND|8RCR
100	53224 84236	   	165.87	DCR|3VULN|3DMG|1SELL	169DMG|2SELL|36aVULN|4MBVNT|5RPLT|6BPWR|7BEXP|8RCR
101	23124 44867	   	165.84	DCR|2AART|2VULN|1CDMG|1DUR|1ASPD	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9ASPD|aCDMG
102	23163 24316	   	165.48	DCR|2VULN|1AART|1DMG|3DUR	17aDUR|2LWND|3AART|4LHND|58VULN|6RCR|9DMG
103	23124 44135	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|69VULN|7RCR|8BEXP|aDMG
104	23124 44143	   	165.31	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7RCR|8BEXP|9aDMG
105	23124 44235	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|69VULN|7RCR|8LHND|aDMG
106	23124 44243	   	165.31	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7RCR|8LHND|9aDMG
107	23124 44416	   	165.31	DCR|2AART|2DMG|1VULN|1DUR	1DUR|28LWND|35AART|4MBVNT|6VULN|7RCR|9aDMG
108	23124 44471	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|28LWND|35AART|4MBVNT|69VULN|7RCR|aDMG
109	23124 44813	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9DMG|aBEXP
110	23124 44814	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9DMG|aCGEN
111	23124 44818	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9DMG|aFEWX
112	23124 44845	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9LIT|aDMG
113	23124 44855	   	165.31	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9CGEN|aDMG
114	21646 22132	   	165.22	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	14DUR|2MGNSTR|3DMG|59AART|6RCR|7VULN|8ERES|aZMB
115	55132 33722	 * 	165.22	DCR|3VULN|2DMG|2ZMB	12DMG|2BPWR|3CGEN|49aVULN|5MBVNT|67ZMB|8RCR
116	13124 44735	   	165.21	DCR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|35AART|4MBVNT|69VULN|7RCR|8DUR|aDMG
117	13124 44744	   	165.21	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LWND|35AART|4MBVNT|6VULN|7RCR|8DUR|9aDMG
118	23124 44535	   	165.21	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|69VULN|7RCR|8DUST|aDMG
119	23124 44544	   	165.21	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7RCR|8DUST|9aDMG
120	23124 44625	   	165.21	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7RCR|8ERES|9aDMG
121	23124 44815	   	165.21	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9DMG|aNUKE
122	23124 44835	   	165.21	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9TLV|aDMG
123	23124 44885	   	165.21	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9DUST|aDMG
124	23124 53375	   	165.21	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6TLV|7RCR|8aDMG|9VULN
125	23144 15311	   	165.10	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1DUR|2LWND|3AART|4ZMB|5BELT|69aVULN|7ASPD|8RCR
126	11536 22521	 * 	165.08	DCR|2VULN|1AART|2CDMG|2ASPD	18DUST|2MGNSTR|3RCVC|48ASPD|5AART|6RCR|78VULN|8BPWR|9aCDMG
127	13113 26234	   	164.98	DCR|3VULN|1AART|1DMG	1DUST|2LWND|3AART|4BEXP|589VULN|6RCR|7FEWX|aDMG
128	13163 26234	   	164.98	DCR|3VULN|1AART|1DMG	1DUST|2LWND|3AART|4LHND|589VULN|6RCR|7BEXP|aDMG
129	16113 26234	   	164.98	DCR|3VULN|1AART|1DMG	1DUST|2LHND|3AART|4BEXP|589VULN|6RCR|7FEWX|aDMG
130	23123 53225	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4MBVNT|5VULN|6RCVC|7ZMB|8RCR|9aDMG
131	63621 21513	 * 	164.91	ACR|2VULN|1AART|2CDMG|1DMG	1RMIN|28CDMG|3TLV|4RCR|5aVULN|6LIT|7AART|9DMG
132	51254 22232	 * 	164.88	ACR|4VULN|2DMG	19DMG|2TLV|3LHND|467aVULN|5RCR|8CGEN
133	63321 23521	 * 	164.76	ACR|2VULN|1DMG|2CDMG|2ASPD|1ZMB	1RMIN|2aCDMG|3ZMB|4RCR|5aVULN|6LIT|7RPLT|8DMG|9aASPD|aBPWR
134	25114 23732	   	164.66	ACR|3VULN|2DMG|1ASPD|1DUR	1DUR|29DMG|3FEWX|4ASPD|5RCR|68aVULN|7MBVNT
135	23113 24326	   	164.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	17DUR|2LWND|3AART|4BEXP|5VULN|6RCR|8ASPD|9DMG|aCDMG
136	13121 84764	   	164.61	DCR|2VULN|2DMG|1AART	18aDUST|2aLWND|3AART|4MBVNT|58CGEN|68DMG|7RCR|8aBPWR|9aVULN
137	53222 51238	   	164.61	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19DMG|2SELL|36VULN|4MBVNT|5DUR|7RPLT|8RCR|aAART
138	53224 25238	   	164.61	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19DMG|2SELL|36VULN|4MBVNT|5RPLT|7DUR|8RCR|aAART
139	33123 84835	   	164.51	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3AART|4MBVNT|5MLV|6aDMG|7RCR|89VULN
140	33122 44814	   	164.51	DCR|2VULN|2DMG|1AART	15FEWX|2LWND|3AART|4MBVNT|68VULN|7RCR|9aDMG
141	13124 43345	   	164.48	DCR|2AART|2DMG|1VULN|1ZMB	1DUST|2LWND|35AART|4MBVNT|6VULN|7ZMB|8aDMG|9RCR
142	53224 72624	   	164.47	DCR|3DMG|1AART|1VULN|1ASPD|1SELL	19aDMG|2SELL|3VULN|4MBVNT|5RPLT|6ASPD|7AART|8RCR
143	53224 32627	   	164.33	DCR|2DMG|2AART|1VULN|1ZMB|1SELL	19DMG|2SELL|3VULN|4MBVNT|5RPLT|6ZMB|7aAART|8RCR
144	53224 32654	   	164.33	DCR|2DMG|2AART|1VULN|1ZMB|1SELL	1aDMG|2SELL|3VULN|4MBVNT|5RPLT|6ZMB|79AART|8RCR
145	63122 23313	   	164.28	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	13RMIN|2CDMG|4DUR|5RCVC|6RCR|7aAART|8DMG|9VULN
146	23562 14233	 * 	164.20	DCR|3VULN|1AART|1CDMG|2DUR	13DUR|2LWND|458VULN|6CDMG|7RCR|9BASICY|aAART
147	23123 44341	   	164.19	DCR|2AART|2VULN|1CDMG|2DUR	16DUR|2LWND|3aAART|4MBVNT|59VULN|7RCR|8CDMG
148	23125 44341	   	164.19	DCR|2AART|2VULN|1CDMG|2DUR	15DUR|2LWND|3aAART|4MBVNT|69VULN|7RCR|8CDMG
149	25114 23841	   	164.06	ACR|2VULN|2DMG|2ZMB|1DUR|1ASPD	1DUR|2aDMG|3FEWX|4ASPD|5RCR|6aVULN|7MBVNT|8LIT|9aZMB|aBPWR
150	63122 23311	   	163.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	13RMIN|2CDMG|4DUR|5RCVC|6RCR|7AART|8DMG|9VULN|aZMB
151	21636 23163	 * 	163.83	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	179DUR|2MGNSTR|3DMG|48VULN|5RCR|6ASPD|aAART
152	23123 43227	   	163.82	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	16DUR|2LWND|3AART|4MBVNT|5VULN|7ZMB|8RCR|9DMG|aCDMG
153	23125 43227	   	163.82	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|2LWND|3AART|4MBVNT|6VULN|7ZMB|8RCR|9DMG|aCDMG
154	25142 53211	   	163.75	DCR|2VULN|2DMG|1AART|1DUR	1DUR|27DMG|3FEWX|4CGEN|5aVULN|6BELT|8AART|9RCR
155	52523 53211	   	163.75	DCR|2VULN|2DMG|1AART|1DUR	17DMG|2CGEN|3BELT|4aVULN|5FEWX|6DUR|8AART|9RCR
156	23123 44347	   	163.75	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	16DUR|2LWND|3AART|4MBVNT|59VULN|7RCR|8CDMG|aZMB
157	23125 44347	   	163.75	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	15DUR|2LWND|3AART|4MBVNT|69VULN|7RCR|8CDMG|aZMB
158	55352 22211	   	163.65	DCR|2VULN|2DMG|1AART|1DUR	12DMG|2BPWR|3DUST|4aVULN|5BELT|6DUR|7CGEN|8AART|9RCR
159	23121 84368	 * 	163.58	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUR|2LWND|3AART|4MBVNT|5CGEN|6DMG|7RCR|8CDMG|9FLTHEA|aVULN
160	55132 34722	   	163.57	DCR|3VULN|2DMG|1ZMB	12DMG|2BPWR|3CGEN|49aVULN|5MBVNT|6ZMB|7RCVC|8RCR
161	55222 41222	   	163.51	DCR|2DMG|2AART|1VULN|2DUR	12DMG|2BPWR|34DUR|5VULN|6LIT|78AART|9RCR|aFEWX
162	55222 41223	   	163.51	DCR|2DMG|2AART|1VULN|2DUR	12DMG|2BPWR|34DUR|5VULN|6LIT|78AART|9RCR|aRMIN
163	55222 41221	   	163.41	DCR|2DMG|2AART|1VULN|2DUR	12DMG|2BPWR|34DUR|5VULN|6LIT|78AART|9RCR|aTLV
164	23124 43285	   	163.27	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1DUR|2LWND|35AART|4MBVNT|6VULN|7ZMB|8RCR|9ASPD|aDMG
165	53228 44831	 * 	163.17	DCR|2VULN|2DMG|2ZMB|1CDMG|1SELL	1aDMG|2SELL|3aVULN|4MBVNT|5CDMG|6LIT|7aZMB|8RCR|9RPLT|aBPWR
