0	Index      	 *	Score 	Summary	Detail	
1	24541 31222	 * 	214.94	DCR|4VULN|2DMG|1AART|2FLTHEA	1RCVC|28DMG|348aVULN|58FLTHEA|6RPLT|7RCR|8BPWR|9AART
13	33364 11122	   	196.32	DCR|3VULN|2DMG|1AART|1CDMG	18aVULN|2RCVC|3CDMG|489ERES|5AART|68DMG|7RCR|8BPWR
14	33364 11151	   	194.65	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9DUR|aASPD
15	24531 31122	   	194.32	DCR|3VULN|2DMG|1AART|1FLTHEA	1RCVC|24DMG|38aVULN|5FLTHEA|6RPLT|7RCR|9AART
16	33364 11133	 * 	194.02	DCR|2VULN|2DMG|1AART|2CDMG	18VULN|2RCVC|39CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|aASPD
17	33364 11153	   	193.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18VULN|2RCVC|3CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9aDUR
18	31314 11122	   	192.82	DCR|4VULN|2DMG|1AART|1SELL	148aVULN|2SELL|389ERES|5AART|68DMG|7RCR|8BPWR
19	31664 11122	   	192.82	DCR|4VULN|2DMG|1AART|1SELL	138aVULN|2SELL|489ERES|5AART|68DMG|7RCR|8BPWR
20	31314 11151	   	192.70	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9DUR|aASPD
21	24531 31242	   	192.69	DCR|3VULN|3DMG|2FLTHEA	1RCVC|248DMG|389VULN|58FLTHEA|6RPLT|7RCR|8BPWR|aBEXP
22	24531 31261	   	192.69	DCR|3VULN|3DMG|2FLTHEA	1RCVC|248DMG|38aVULN|58FLTHEA|6RPLT|7RCR|8BPWR|9DMSP
23	24541 31232	   	192.69	DCR|3VULN|3DMG|2FLTHEA	1RCVC|289DMG|348VULN|58FLTHEA|6RPLT|7RCR|8BPWR|aBEXP
24	31314 11112	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9RMIN|aCDMG
25	31314 11131	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9CDMG|aLIT
26	31314 11134	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9CDMG|aRPLT
27	31314 11135	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9CDMG|aMLV
28	31354 11133	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	18aVULN|2SELL|38ERES|4DMSP|5AART|68DMG|7RCR|8BPWR|9CDMG
29	31664 11112	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	138VULN|2SELL|48ERES|5AART|68DMG|7RCR|8BPWR|9RMIN|aCDMG
30	31664 11131	   	192.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	138VULN|2SELL|48ERES|5AART|68DMG|7RCR|8BPWR|9CDMG|aLIT
31	24531 31231	   	192.44	DCR|3VULN|3DMG|2FLTHEA|1SELL	1RCVC|248DMG|38aVULN|58FLTHEA|6RPLT|7RCR|8BPWR|9SELL
32	31314 11123	   	192.37	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2SELL|389ERES|5AART|68DMG|7RCR|8BPWR|aCDMG
33	31314 11136	   	192.37	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9CDMG|aLEGI
34	31664 11123	   	192.37	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	138VULN|2SELL|489ERES|5AART|68DMG|7RCR|8BPWR|aCDMG
35	33364 11121	   	192.12	DCR|2AART|2VULN|2DMG|1CDMG	18VULN|2RCVC|3CDMG|489ERES|5aAART|68DMG|7RCR|8BPWR
36	31314 11153	   	191.06	DCR|3VULN|2DMG|1AART|2DUR|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9aDUR
37	24541 31122	   	190.84	DCR|4VULN|1AART|1DMG|1FLTHEA	1RCVC|2DMG|348aVULN|5FLTHEA|6RPLT|7RCR|9AART
38	24531 31162	   	190.58	DCR|3DMG|2VULN|2FLTHEA|2ASPD	1RCVC|24aDMG|38VULN|5aFLTHEA|6RPLT|7RCR|9aASPD|aBPWR
39	31314 11121	   	190.17	DCR|3VULN|2AART|2DMG|1SELL	148VULN|2SELL|389ERES|5aAART|68DMG|7RCR|8BPWR
40	31664 11121	   	190.17	DCR|3VULN|2AART|2DMG|1SELL	138VULN|2SELL|489ERES|5aAART|68DMG|7RCR|8BPWR
41	24531 31123	   	190.12	DCR|2VULN|2DMG|2AART|1FLTHEA	1RCVC|24DMG|38VULN|5FLTHEA|6RPLT|7RCR|9aAART
42	31314 11113	   	189.83	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9RMIN|aZMB
43	31664 11113	   	189.83	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	138VULN|2SELL|48ERES|5AART|68DMG|7RCR|8BPWR|9RMIN|aZMB
44	31314 11533	   	188.89	DCR|4VULN|1AART|1DMG|1CDMG|1SELL	148aVULN|2SELL|3ERES|5AART|6DMG|7RCR|9CDMG
45	24541 31123	   	188.18	DCR|3VULN|2AART|1DMG|1FLTHEA	1RCVC|2DMG|348VULN|5FLTHEA|6RPLT|7RCR|9aAART
46	33364 11114	   	187.71	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9RMIN|aDUR
47	33364 11152	   	187.71	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9DUR|aCGEN
48	33364 11161	   	187.71	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9BEXP|aASPD
49	33364 11163	   	187.71	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9BEXP|aDUR
50	33364 11112	   	187.08	DCR|2VULN|2DMG|1AART|2CDMG	18VULN|2RCVC|3aCDMG|48ERES|5AART|68DMG|7RCR|8BPWR|9RMIN
51	33364 11132	   	187.08	DCR|2VULN|2DMG|1AART|2CDMG	18VULN|2RCVC|39CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|aLWND
52	33364 11134	   	187.08	DCR|2VULN|2DMG|1AART|2CDMG	18VULN|2RCVC|39CDMG|48ERES|5AART|68DMG|7RCR|8BPWR|aLHND
53	33364 11136	   	186.98	DCR|2VULN|2DMG|1AART|2CDMG	18VULN|2RCVC|39CDMG|48aERES|5AART|68DMG|7RCR|8BPWR
54	33423 36237	 * 	186.69	ACR|3VULN|2DMG|2ASPD|1CDMG	189VULN|2RCVC|3RCR|4MBVNT|5FEWX|68ASPD|78DMG|8BPWR|aCDMG
55	31322 52341	 * 	186.52	DCR|4VULN|2DMG|2CDMG|1SELL	1679VULN|2SELL|3ERES|47DMG|57CDMG|7BPWR|8DUR|aRCR
56	25116 46234	 * 	186.46	DCR|3VULN|2DMG|2ZMB|2DUR	1RCVC|2MBVNT|38ZMB|4aDUR|589VULN|6RCR|78DMG|8BPWR
57	24531 31131	   	186.17	DCR|3VULN|3DMG|1FLTHEA	1RCVC|249DMG|38aVULN|5FLTHEA|6RPLT|7RCR
58	24541 31131	   	186.17	DCR|3VULN|3DMG|1FLTHEA	1RCVC|29aDMG|348VULN|5FLTHEA|6RPLT|7RCR
59	31314 11114	   	185.76	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9RMIN|aDUR
60	31314 11152	   	185.76	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9DUR|aCGEN
61	31314 11154	   	185.76	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9DUR|aBEXP
62	31314 11155	   	185.76	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9DUR|aBELT
63	31314 11161	   	185.76	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9BEXP|aASPD
64	31314 11163	   	185.76	DCR|3VULN|2DMG|1AART|1SELL	148VULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9BEXP|aDUR
65	13344 11136	   	185.66	DCR|3VULN|2DMG|1AART|1SELL	128ERES|3SELL|48aVULN|5AART|68DMG|7RCR|8BPWR|9DUR
66	24531 31361	   	185.61	DCR|2VULN|2DMG|1AART|1FLTHEA	1RCVC|24DMG|3aVULN|5FLTHEA|6RPLT|7RCR|8DUR|9AART
