0	Index      	 *	Score 	Summary	Detail	
1	13516 11213	 * 	206.54	ACR|3VULN|2DMG|3CDMG|2ASPD|1ZMB	17aVULN|2ZMB|3RCR|47aCDMG|57ASPD|6RMIN|7aBPWR|8AIRHEA|9aDMG
27	13226 13432	   	191.12	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2ZMB|5DUR|6DMG|7RCR|9AART|aRPLT
28	13226 13433	   	191.12	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2ZMB|5DUR|6DMG|7RCR|9AART|aFEWX
29	13236 13436	   	191.12	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	138aVULN|2ZMB|4DUR|5DMSP|6DMG|7RCR|9AART
30	13226 13413	   	190.52	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2ZMB|5DUR|6DMG|7RCR|9FEWX|aAART
31	14421 33261	   	190.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	179VULN|2AART|3ZMB|4RPLT|5CDMG|6RCR|8MLV|aDMG
32	13514 43123	   	189.86	ACR|2VULN|2AART|1DMG|2CDMG|1ZMB	18VULN|2ZMB|3RCR|45CDMG|6DMG|7aAART|9CGEN
33	12316 41581	   	189.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3BEXP|4DUR|5MBVNT|6AART|7RCR|89DMG|9BPWR|aRMIN
34	12216 41581	   	189.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3DUST|4DUR|5MBVNT|6AART|7RCR|89DMG|9BPWR|aRMIN
35	12316 41583	   	189.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3BEXP|4DUR|5MBVNT|6AART|7RCR|89DMG|9BPWR|aDUST
36	12216 41583	   	189.62	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3aDUST|4DUR|5MBVNT|6AART|7RCR|89DMG|9BPWR
37	12216 41584	   	189.62	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19VULN|29CDMG|3DUST|4DUR|5MBVNT|6AART|7RCR|89DMG|9BPWR|aERES
38	63322 21136	   	189.22	DCR|3VULN|2DMG|1AART|2ZMB	14BEXP|25ZMB|35DMG|5BPWR|67aVULN|8RCR|9AART
39	43332 21541	 * 	189.08	DCR|3DMG|2VULN|3ZMB|2DUR	1aDUR|245ZMB|345DMG|45aBPWR|6LHND|7aVULN|8aMLV|9RCR
40	43332 31541	   	189.08	DCR|3DMG|2VULN|3ZMB|2DUR	1aDUR|245ZMB|345DMG|45aBPWR|6BEXP|7aVULN|8aMLV|9RCR
41	13512 32342	   	188.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8LWND
42	13512 31542	   	188.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7MBVNT|8DMG
43	13512 32642	   	188.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8DUST
44	13512 33146	   	188.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7CANHEL|8DMG
45	13166 11136	   	188.72	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	147aVULN|2ZMB|3DUR|5DMSP|6DMG|8RCR|9AART
46	13226 11131	   	188.72	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1347VULN|2ZMB|5DUR|6DMG|8RCR|9AART|aLHND
47	13226 11132	   	188.72	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1347VULN|2ZMB|5DUR|6DMG|8RCR|9AART|aRPLT
48	13226 11133	   	188.72	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1347VULN|2ZMB|5DUR|6DMG|8RCR|9AART|aFEWX
49	13236 11136	   	188.72	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	137aVULN|2ZMB|4DUR|5DMSP|6DMG|8RCR|9AART
50	13256 51233	   	188.20	DCR|5VULN|1AART|1CDMG|1ZMB	1357aVULN|2ZMB|4CDMG|6RPLT|8RCR|9AART
51	13226 11113	   	188.12	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1347VULN|2ZMB|5DUR|6DMG|8RCR|9FEWX|aAART
52	13223 13636	   	187.94	DCR|4VULN|1AART|1DMG|2ZMB	134aVULN|28ZMB|5DUST|6DMG|7RCR|9AART
53	13263 13436	   	187.94	DCR|4VULN|1AART|1DMG|2ZMB	138aVULN|24ZMB|5DUST|6DMG|7RCR|9AART
54	13223 13341	   	187.57	DCR|3VULN|2DMG|1AART|1ZMB	134VULN|2ZMB|5DUST|6aDMG|7RCR|8CGEN|9AART
55	13514 23213	   	187.53	ACR|3VULN|3CDMG|1DMG|2DUR|1ZMB	17aVULN|2ZMB|3RCR|45aCDMG|6MGNSTR|8DMG|9aDUR|aBPWR
56	13223 13241	   	187.47	DCR|3VULN|2DMG|1AART|1ZMB	134VULN|2ZMB|5DUST|6aDMG|7RCR|8ERES|9AART
57	13514 33213	   	187.43	ACR|3VULN|3CDMG|1DMG|2DUR|1ZMB	17aVULN|2ZMB|3RCR|45aCDMG|6BASHEA|8DMG|9aDUR|aBPWR
58	13512 32246	   	187.08	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	19VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8DUR|aASPD
59	23332 54142	 * 	186.97	DCR|3DMG|3ZMB|1AART|1VULN	1FEWX|245ZMB|345DMG|45BPWR|6TLV|7RCR|8RPLT|9VULN|aAART
60	13512 35151	   	186.65	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB|1ASPD	18VULN|2ZMB|3RCR|48CDMG|5AART|6DLOT|78LIT|8BPWR|9DMG|aASPD
61	13512 12623	 * 	186.65	ACR|3VULN|2AART|2CDMG|1ZMB	169VULN|2ZMB|3RCR|48CDMG|5aAART|7FEWX
62	13512 14623	   	186.65	ACR|3VULN|2AART|2CDMG|1ZMB	169VULN|2ZMB|3RCR|48CDMG|5aAART|7BEXP
63	13512 13623	   	186.55	ACR|3VULN|2AART|2CDMG|1ZMB	169VULN|2ZMB|3RCR|48CDMG|5aAART|7DUST
64	13512 16142	   	186.27	ACR|3VULN|3ZMB|1AART|1CDMG	169VULN|278ZMB|3RCR|4CDMG|5AART|aFEWX
65	13514 43233	   	185.82	ACR|2AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB	1VULN|2ZMB|3RCR|45CDMG|6DMG|7aAART|89ASPD
66	12125 34114	 * 	185.64	DCR|4VULN|3CDMG|1DMG|2ZMB	1578VULN|238CDMG|4BELT|68ZMB|8BPWR|9RCR|aDMG
67	13263 11136	   	185.54	DCR|4VULN|1AART|1DMG|2ZMB	137aVULN|24ZMB|5DUST|6DMG|8RCR|9AART
68	13514 43122	   	185.35	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	18VULN|2ZMB|3RCR|45CDMG|6DMG|7AART|9CGEN|aASPD
69	13514 43221	   	185.35	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	19VULN|2ZMB|3RCR|45CDMG|6DMG|7AART|8ASPD|aRCVC
70	13514 43222	   	185.11	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD|1SELL	19VULN|2ZMB|3RCR|45CDMG|6DMG|7AART|8ASPD|aSELL
71	13226 13425	 * 	184.91	DCR|4VULN|2DMG|1ZMB|1DUR	1348VULN|2ZMB|5DUR|6aDMG|7RCR|9BELT
72	13552 13423	 * 	184.19	ACR|3VULN|2AART|2ZMB|1CDMG	179VULN|24ZMB|3RCR|5aAART|6FEWX|8CDMG
73	13512 11526	 * 	184.09	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	16VULN|28ZMB|3RCR|4CDMG|5AART|7LIT|9DUR|aDMG
74	13512 16226	   	184.09	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	16VULN|27ZMB|3RCR|4CDMG|5AART|8LIT|9DUR|aDMG
75	13223 13431	   	184.08	DCR|4VULN|1AART|1DMG|1ZMB	1348VULN|2ZMB|5DUST|6DMG|7RCR|9AART|aLHND
76	13223 13432	   	184.08	DCR|4VULN|1AART|1DMG|1ZMB	1348VULN|2ZMB|5DUST|6DMG|7RCR|9AART|aRPLT
77	13223 13433	   	184.08	DCR|4VULN|1AART|1DMG|1ZMB	1348VULN|2ZMB|5DUST|6DMG|7RCR|9AART|aFEWX
78	13223 13434	   	184.08	DCR|4VULN|1AART|1DMG|1ZMB	1348VULN|2ZMB|5DUST|6DMG|7RCR|9AART|aBEXP
79	43332 21226	   	183.59	DCR|3DMG|2VULN|3ZMB|1DUR	1DUR|245ZMB|345DMG|45BPWR|6LHND|7aVULN|8LIT|9RCR
80	43332 31226	   	183.59	DCR|3DMG|2VULN|3ZMB|1DUR	1DUR|245ZMB|345DMG|45BPWR|6BEXP|7aVULN|8LIT|9RCR
81	43332 41226	   	183.59	DCR|3DMG|2VULN|3ZMB|1DUR	1DUR|245ZMB|345DMG|45BPWR|6LWND|7aVULN|8LIT|9RCR
82	13223 13413	   	183.48	DCR|4VULN|1AART|1DMG|1ZMB	1348VULN|2ZMB|5DUST|6DMG|7RCR|9FEWX|aAART
83	13212 35356	 * 	183.38	DCR|2VULN|2DMG|2CDMG|2ZMB|1FLTHEA	13VULN|2aZMB|4ERES|5LWND|6aDMG|7FLTHEA|8RCR|9aCDMG|aBPWR
84	13512 14133	 * 	182.99	ACR|4VULN|1AART|1CDMG|1ZMB	169aVULN|2ZMB|3RCR|4CDMG|5AART|7BEXP|8CGEN
85	23512 13344	   	182.99	ACR|4VULN|1AART|1CDMG|1ZMB	1FEWX|2ZMB|3RCR|4CDMG|5AART|689aVULN|7LHND
86	12261 46132	   	182.92	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	14VULN|2CDMG|3DUST|56DMG|7SELL|8RCR|9AART|aZMB
87	13512 13133	   	182.89	ACR|4VULN|1AART|1CDMG|1ZMB	169aVULN|2ZMB|3RCR|4CDMG|5AART|7DUST|8CGEN
88	13266 13341	   	182.81	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13VULN|24ZMB|5DUR|6aDMG|7RCR|8CGEN|9AART
89	13512 12443	   	182.77	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	169VULN|2ZMB|3RCR|4CDMG|5AART|7FEWX|8DUR|aASPD
90	13512 63343	   	182.77	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	189VULN|2ZMB|3RCR|4CDMG|5AART|6DUR|7LHND|aASPD
91	43512 13343	   	182.77	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3RCR|4CDMG|5AART|689VULN|7LHND|aASPD
92	13516 11236	   	182.71	ACR|3VULN|1DMG|2CDMG|2ASPD|1ZMB	179VULN|2ZMB|3RCR|47CDMG|57ASPD|6RMIN|7BPWR|8AIRHEA|aDMG
93	13266 13241	   	182.71	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13VULN|24ZMB|5DUR|6aDMG|7RCR|8ERES|9AART
94	13512 13443	   	182.67	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	169VULN|2ZMB|3RCR|4CDMG|5AART|7DUST|8DUR|aASPD
95	12156 42143	   	182.63	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	19VULN|23CDMG|4SELL|59DMG|6RCR|7MBVNT|89FEWX|9BPWR|aAART
96	13226 11125	   	182.51	DCR|4VULN|2DMG|1ZMB|1DUR	1347VULN|2ZMB|5DUR|6aDMG|8RCR|9BELT
97	13512 15222	   	182.34	ACR|3VULN|1AART|2ASPD|1CDMG|1ZMB	169VULN|2ZMB|3RCR|4CDMG|5AART|7ERES|8aASPD
98	13126 13436	   	182.32	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	18aVULN|2ZMB|34DUR|5DMSP|6DMG|7RCR|9AART
99	13226 13344	   	182.32	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	134VULN|2ZMB|5aDUR|6DMG|7RCR|8CGEN|9AART
100	13226 13244	   	182.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	134VULN|2ZMB|5aDUR|6DMG|7RCR|8ERES|9AART
101	13266 13163	   	182.21	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13VULN|24ZMB|5DUR|69DMG|7RCR|8FEWX|aAART
102	13512 14633	   	182.14	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	16aVULN|2ZMB|3RCR|48CDMG|5AART|7BEXP|9ASPD
103	12125 25212	 * 	182.08	DCR|3VULN|3CDMG|1AART|1DMG	156VULN|236CDMG|4BELT|6BPWR|7DLOT|8RCR|9DMG|aAART
104	13225 22136	   	182.07	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	134aVULN|2ZMB|5SELL|6DUR|7CDMG|8RCR|9AART
105	13512 13633	   	182.04	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	16aVULN|2ZMB|3RCR|48CDMG|5AART|7DUST|9ASPD
106	13562 32242	   	181.90	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	19aVULN|2ZMB|3RCR|4SELL|5AART|6DLOT|7DMG|8DUR
107	13211 13456	 * 	181.82	DCR|4VULN|2DMG|2ZMB	138aVULN|2aZMB|49ERES|5CGEN|6aDMG|7RCR|aBPWR
108	13223 11131	   	181.68	DCR|4VULN|1AART|1DMG|1ZMB	1347VULN|2ZMB|5DUST|6DMG|8RCR|9AART|aLHND
109	13223 11132	   	181.68	DCR|4VULN|1AART|1DMG|1ZMB	1347VULN|2ZMB|5DUST|6DMG|8RCR|9AART|aRPLT
110	13223 11133	   	181.68	DCR|4VULN|1AART|1DMG|1ZMB	1347VULN|2ZMB|5DUST|6DMG|8RCR|9AART|aFEWX
111	13223 11134	   	181.68	DCR|4VULN|1AART|1DMG|1ZMB	1347VULN|2ZMB|5DUST|6DMG|8RCR|9AART|aBEXP
112	14421 33331	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	17VULN|2AART|3ZMB|4RPLT|5CDMG|6RCR|8RCVC|9ASPD|aDMG
113	13522 53411	   	181.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	179VULN|2ZMB|3RCR|4DUR|5CGEN|6AART|8ERES|aDMG
114	13522 56211	   	181.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	189VULN|2ZMB|3RCR|4DUR|5CGEN|6AART|7ERES|aDMG
115	13514 43321	   	181.41	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1ZMB|1ASPD	1VULN|2ZMB|3RCR|45CDMG|6DMG|7AART|8LIT|9ASPD|aFLTHEA
116	13222 64241	   	181.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2ZMB|5RPLT|6MLV|7CDMG|8RCR|9AART|aDMG
117	23613 52336	   	181.33	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2ZMB|3VULN|4CDMG|5BEXP|67aDMG|8RCR|9AART
118	13211 13656	   	181.25	DCR|3VULN|2DMG|3ZMB	13aVULN|28aZMB|49ERES|5CGEN|6aDMG|7RCR|aBPWR
119	13223 11113	   	181.08	DCR|4VULN|1AART|1DMG|1ZMB	1347VULN|2ZMB|5DUST|6DMG|8RCR|9FEWX|aAART
120	12261 56132	   	180.99	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	146VULN|2CDMG|3DUST|5DMG|7SELL|8RCR|9AART|aZMB
121	13226 13631	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	134VULN|28ZMB|5DUR|6DMG|7RCR|9AART|aLHND
122	13226 13632	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	134VULN|28ZMB|5DUR|6DMG|7RCR|9AART|aRPLT
123	13226 13633	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	134VULN|28ZMB|5DUR|6DMG|7RCR|9AART|aFEWX
124	13266 13431	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	138VULN|24ZMB|5DUR|6DMG|7RCR|9AART|aLHND
125	13266 13432	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	138VULN|24ZMB|5DUR|6DMG|7RCR|9AART|aRPLT
126	13266 13433	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	138VULN|24ZMB|5DUR|6DMG|7RCR|9AART|aFEWX
127	13226 13511	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	134VULN|2aZMB|5DUR|6DMG|7RCR|8LWND|9AART
128	13236 13636	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	13aVULN|28ZMB|4DUR|5DMSP|6DMG|7RCR|9AART
129	23332 54333	   	180.55	DCR|3DMG|3ZMB|1AART|1CDMG	1FEWX|245ZMB|345DMG|45BPWR|6TLV|7RCR|8LWND|9CDMG|aAART
130	13116 11553	   	180.55	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	19aVULN|2ZMB|3DUR|4CDMG|5ASPD|6RCR|7LWND|8AART
131	23512 13346	   	180.34	ACR|3VULN|2AART|1CDMG|1ZMB	1FEWX|2ZMB|3RCR|4CDMG|5aAART|689VULN|7LHND
132	13226 13613	   	180.27	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	134VULN|28ZMB|5DUR|6DMG|7RCR|9FEWX|aAART
133	13266 13413	   	180.27	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	138VULN|24ZMB|5DUR|6DMG|7RCR|9FEWX|aAART
134	13512 11113	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8ASPD|9LHND|aDMG
135	13512 11153	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8ASPD|9BEXP|aDMG
136	13512 11163	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8ASPD|9LWND|aDMG
137	13512 11216	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8DUR|9CGEN|aDMG
138	13512 11266	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8DUR|9BEXP|aDMG
139	13512 11626	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8CGEN|9ASPD|aDMG
140	13512 12326	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7FEWX|8ASPD|9BEXP|aDMG
141	13512 14336	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7BEXP|8ASPD|9FEWX|aDMG
142	13512 61336	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3RCR|4CDMG|5AART|6DUR|7LIT|8BEXP|aDMG
143	43512 11336	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4CDMG|5AART|69VULN|7LIT|8BEXP|aDMG
144	13512 15123	   	180.24	ACR|3VULN|2AART|1CDMG|1ZMB	168VULN|2ZMB|3RCR|4CDMG|5aAART|7ERES|9CGEN
145	13226 13426	   	180.15	DCR|5VULN|1DMG|1ZMB|1DUR	1348aVULN|2ZMB|5DUR|6DMG|7RCR|9BELT
146	13512 11146	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8ASPD|9TLV|aDMG
147	13512 11248	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8DUR|9MBVNT|aDMG
148	13512 11426	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7LIT|8TLV|9ASPD|aDMG
149	13512 13326	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7DUST|8ASPD|9BEXP|aDMG
150	13512 13346	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCR|4CDMG|5AART|7DUST|8ASPD|9FEWX|aDMG
151	13512 32346	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	19VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8LWND|aASPD
152	13512 32211	 * 	180.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7aDMG|8DUR|9FEWX
153	13512 32221	   	180.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7aDMG|8DUR|9LHND
154	13512 32231	   	180.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7aDMG|8DUR|9BEXP
155	13512 32243	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8DUR|aBEXP
156	13512 32245	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8DUR|aCGEN
157	13214 41262	 * 	180.07	DCR|4VULN|3ZMB|1DMG	137aVULN|258ZMB|45ERES|5BPWR|6RCR|9DMG
158	13261 41262	   	180.07	DCR|4VULN|3ZMB|1DMG	137aVULN|248ZMB|5ERES|6RCR|9DMG
159	13512 31547	   	180.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	19VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7MBVNT|8DMG|aASPD
160	13512 32261	   	180.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7aDMG|8DUR|9DUST
161	13512 33422	   	180.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7CANHEL|8DUR|9DMG
162	24425 23313	   	180.02	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1FEWX|28AART|3ZMB|4ASPD|5FLTHEA|6DMG|7RCR|9DUR|aVULN
163	13126 11136	   	179.92	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17aVULN|2ZMB|34DUR|5DMSP|6DMG|8RCR|9AART
