0	Index      	 *	Score 	Summary	Detail	
1	33216 32551	 * 	203.78	ACR|4VULN|3DMG|1ZMB|1DUR	179CGEN|279DMG|3RCR|4DUR|5ZMB|679aVULN|79BPWR|8RMIN
86	23253 14234	   	182.13	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DMG|3CGEN|49aVULN|5CDMG|6RCR|7RCVC|8RMIN
87	33215 62126	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|58LWND|67VULN|7BPWR|9AART|aZMB
88	33216 32523	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8RMIN|9AART|aLIT
89	33216 32525	   	181.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17aCGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8RMIN|9AART
90	33356 11612	   	181.95	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1aCGEN|2aDMG|35VULN|4RCR|6SELL|7FEWX|8AART|9aCDMG|aBPWR
91	23134 33161	   	181.93	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|279DMG|3DUR|4DMSP|5VULN|6RCVC|8RCR|aZMB
92	33212 32526	   	181.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ERES|67VULN|7BPWR|8RMIN|9AART|aZMB
93	33216 32223	   	181.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8TLV|9AART|aLIT
94	33216 32225	   	181.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17aCGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8TLV|9AART
95	23253 11141	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7LHND|8RMIN
96	23253 12341	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7MLV|8FEWX
97	23253 12541	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7MLV|8LWND
98	23113 36351	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7RCR|9VULN|aCGEN
99	23113 36354	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7RCR|9VULN|aRMIN
100	23113 36355	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7RCR|9VULN|aLHND
101	23113 36356	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7RCR|9VULN|aFEWX
102	23113 36551	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|259DMG|3DUR|4BEXP|6ZMB|7RCR|8VULN|aCGEN
103	23313 36352	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1AART|258DMG|3LWND|4BEXP|6ZMB|7RCR|9VULN|aASPD
104	23313 36353	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3LWND|4BEXP|6ZMB|7RCR|9VULN|aDUR
105	23313 36552	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1AART|259DMG|3LWND|4BEXP|6ZMB|7RCR|8VULN|aASPD
106	23313 36553	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|259DMG|3LWND|4BEXP|6ZMB|7RCR|8VULN|aDUR
107	23646 12231	 * 	181.78	DCR|3VULN|2AART|1DMG|1CDMG	18AART|2DMG|3MGNSTR|457VULN|6BELT|9CDMG|aRCR
108	33212 32226	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ERES|67VULN|7BPWR|8TLV|9AART|aZMB
109	23253 16341	   	181.76	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7ERES|8FEWX
110	23253 16134	   	181.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DMG|3CGEN|49aVULN|5CDMG|6RCR|7ERES|8RCVC
111	33214 66311	   	181.67	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	1CGEN|256DMG|3RCR|45DUR|5BPWR|7ERES|8AART|9ASPD|aVULN
112	33216 32531	   	181.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8RMIN|9LIT|aAART
113	23313 61534	   	181.31	DCR|3DMG|2VULN|1AART|1DUR	1AART|259DMG|3LWND|49BEXP|6TLV|7DUR|89VULN|9BPWR|aRCR
114	33216 32231	   	181.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8TLV|9LIT|aAART
115	23113 62534	   	181.21	DCR|3DMG|2VULN|1AART|1DUR	1AART|259DMG|3DUR|49BEXP|6TLV|7DUST|89VULN|9BPWR|aRCR
116	24433 31223	   	181.08	ACR|3DMG|1AART|1VULN|1ZMB	1AART|27RCVC|3LIT|4RCR|568DMG|9ZMB|aVULN
117	24631 33164	   	180.89	DCR|3DMG|1AART|1VULN|1ZMB	1AART|2RCVC|359DMG|4MBVNT|6RCR|7VULN|8CGEN|aZMB
118	24342 32315	 * 	180.83	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	17AART|2RCVC|3ZMB|49DMG|5CDMG|6CGEN|8VULN|aRCR
119	24631 33464	   	180.79	DCR|3DMG|1AART|1VULN|1ZMB	1AART|2RCVC|359DMG|4MBVNT|6RCR|7VULN|8NUKE|aZMB
120	24342 51311	 * 	180.62	DCR|2DMG|1AART|3ZMB|2CDMG	1AART|2RCVC|38aZMB|4aDMG|58CDMG|68LIT|7RCR|8aBPWR|9aLWND
121	24342 51321	   	180.62	DCR|2DMG|1AART|3ZMB|2CDMG	1AART|2RCVC|38aZMB|4aDMG|58CDMG|68LIT|7RCR|8aBPWR|9aBEXP
122	23326 22414	   	180.55	DCR|2VULN|2DMG|1AART|2DUR	1AART|29DMG|3LWND|49LIT|5ERES|6RCR|7aVULN|89DUR|9BPWR
123	33356 14222	 * 	180.54	ACR|3VULN|2DMG|1CDMG|1FLTHEA|1SELL	178CGEN|28DMG|358VULN|4RCR|6SELL|8BPWR|9FLTHEA|aCDMG
124	33322 22254	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CGEN|2aDMG|39VULN|4ASPD|5CDMG|6RPLT|7AART|8RCR
125	53131 25141	 * 	180.29	ACR|3VULN|2AART|1DMG|1ASPD	1RPLT|2ASPD|389VULN|4RCR|57AART|6FEWX|aDMG
126	53131 35141	   	180.19	ACR|3VULN|2AART|1DMG|1ASPD	1RPLT|2ASPD|389VULN|4RCR|57AART|6DUST|aDMG
127	35243 72462	 * 	180.06	DCR|2VULN|2DMG|1AART|2ASPD	17aCGEN|28VULN|3MBVNT|4AART|5aASPD|6RCR|9aDMG|aBPWR
128	23253 11224	   	179.93	DCR|3DMG|1AART|1VULN|1CDMG	1AART|29aDMG|3CGEN|4VULN|5CDMG|6RCR|7LHND|8RPLT
129	21331 36242	   	179.82	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1ASPD	1AART|2ASPD|3LWND|4DMSP|59DMG|6VULN|7RCR|8ZMB|aFLTHEA
130	21331 36243	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3LWND|4DMSP|59DMG|6VULN|7RCR|8ZMB|aCDMG
131	23113 36511	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8VULN|9CDMG|aBELT
132	23113 36513	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8VULN|9CDMG|aFEWX
133	23113 36514	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8VULN|9CDMG|aLHND
134	23113 36516	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8VULN|9CDMG|aDMSP
135	23313 36515	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3LWND|4BEXP|6ZMB|7RCR|8VULN|9CDMG|aDUR
136	33214 32513	   	179.74	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1CGEN|25DMG|3RCR|45DUR|5BPWR|6LWND|7AART|8VULN|9aCDMG
137	33214 52513	   	179.74	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1CGEN|25DMG|3RCR|45DUR|5BPWR|6LHND|7AART|8VULN|9aCDMG
138	21253 13134	   	179.71	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CGEN|49aVULN|5CDMG|6RCR|7ZMB|8RCVC
139	21131 36525	   	179.69	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2ASPD|3DUR|4DMSP|5aDMG|68VULN|7RCR|9MLV
140	21131 36551	   	179.69	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2ASPD|3DUR|4DMSP|59DMG|68VULN|7RCR|aCGEN
141	21131 36552	   	179.69	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2ASPD|3DUR|4DMSP|59DMG|68VULN|7RCR|aLHND
142	21131 36553	   	179.69	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2ASPD|3DUR|4DMSP|59DMG|68VULN|7RCR|aLIT
143	33243 62124	   	179.69	ACR|3DMG|2VULN|1AART	17CGEN|27aDMG|3RCR|48LWND|5BEXP|67VULN|7BPWR|9AART
144	33243 62224	   	179.69	ACR|3DMG|2VULN|1AART	17CGEN|27aDMG|3RCR|4LWND|58BEXP|67VULN|7BPWR|9AART
145	51131 12441	   	179.69	ACR|3DMG|2VULN|1AART	1RPLT|28MLV|39VULN|4RCR|5AART|68aDMG|78CGEN|8BPWR
146	21131 36534	   	179.59	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2ASPD|3DUR|4DMSP|5aDMG|68VULN|7RCR|9DUST
147	24433 31111	   	179.52	ACR|2AART|2DMG|1VULN|1CDMG	18AART|27RCVC|3LIT|4RCR|56DMG|9CDMG|aVULN
148	51131 12141	   	179.49	ACR|3VULN|2DMG|1AART	1RPLT|2MLV|389VULN|4RCR|5AART|6aDMG|7CGEN
149	54331 12141	   	179.39	ACR|3VULN|2DMG|1AART	1RPLT|2ERES|389VULN|4RCR|5AART|6aDMG|7CGEN
150	23643 32338	   	179.37	DCR|3DMG|2VULN|1AART	1AART|27aDMG|3aMGNSTR|47VULN|57MLV|6MBVNT|7aBPWR|8RCR|9aLIT
151	33356 22224	   	179.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1CGEN|2aDMG|35VULN|4RCR|6ZMB|7DUR|8TLV|9AART
152	23313 36516	 * 	179.19	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1AART|25DMG|3LWND|4BEXP|6ZMB|7RCR|8VULN|9aCDMG
153	23643 32326	   	179.17	DCR|3VULN|2DMG|1AART	1AART|27DMG|3MGNSTR|47aVULN|57MLV|6MBVNT|7BPWR|8RCR|9CGEN
154	23643 32334	   	179.17	DCR|3VULN|2DMG|1AART	1AART|27DMG|3MGNSTR|47aVULN|57MLV|6MBVNT|7BPWR|8RCR|9LIT
155	33216 32411	   	179.12	ACR|3VULN|2DMG|2DUR|1ZMB	17CGEN|27DMG|3RCR|48DUR|5ZMB|679VULN|7BPWR|aLWND
156	33216 32414	   	179.12	ACR|3VULN|2DMG|2DUR|1ZMB	17CGEN|27DMG|3RCR|48DUR|5ZMB|679VULN|7BPWR|aBEXP
157	33216 32415	   	179.12	ACR|3VULN|2DMG|2DUR|1ZMB	17CGEN|27DMG|3RCR|48DUR|5ZMB|679VULN|7BPWR|aLIT
158	33216 32452	   	179.12	ACR|3VULN|2DMG|2DUR|1ZMB	17CGEN|27DMG|3RCR|48DUR|5ZMB|67aVULN|7BPWR|9LHND
159	33216 32462	   	179.12	ACR|3VULN|2DMG|2DUR|1ZMB	17CGEN|27DMG|3RCR|48DUR|5ZMB|67aVULN|7BPWR|9FEWX
160	23251 22335	   	179.07	DCR|3VULN|2DMG|1AART	1AART|2aDMG|3CGEN|47aVULN|5LIT|6LHND|8RCR|9aERES|aBPWR
161	23251 31335	   	179.07	DCR|3DMG|2VULN|1AART	1AART|26aDMG|3CGEN|4aVULN|5LIT|7LHND|8RCR|9aERES|aBPWR
162	33216 32413	   	179.02	ACR|3VULN|2DMG|2DUR|1ZMB	17CGEN|27DMG|3RCR|48DUR|5ZMB|679VULN|7BPWR|aDUST
