0	Index      	 *	Score 	Summary	Detail	
1	33353 54172	 * 	198.27	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	17CDMG|27DMG|3ASPD|4MBVNT|5LIT|678VULN|7BPWR|9RCR|aAART
49	33432 36312	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aFEWX
50	33432 36314	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aRMIN
51	33432 36316	   	175.44	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|4MLV|57ZMB|6AART|7BPWR|8LHND|9RCR|aBEXP
52	13133 31216	 * 	175.39	ACR|3DMG|2VULN|1AART	1aFEWX|2MLV|3aVULN|4ERES|5RCR|6LIT|79aDMG|8AART|aBPWR
53	33353 54171	   	175.07	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|27DMG|3ASPD|4MBVNT|5LIT|678VULN|7BPWR|9RCR|aLHND
54	33465 21121	   	174.88	DCR|2VULN|2DMG|1AART|2CDMG	16CDMG|29DMG|34VULN|5RMIN|7AART|8NUKE|aRCR
55	33432 36241	   	174.65	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27DMG|3VULN|48MLV|57ZMB|6AART|7BPWR|9RCVC|aRCR
56	62336 31432	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1BELT|29SNIHEL|3DMSP|4RCR|59DMG|6CDMG|7TLV|89VULN|9BPWR|aAART
57	34431 32326	   	174.38	DCR|2VULN|2DMG|1AART|2CDMG	15CDMG|2CGEN|34VULN|69DMG|7MLV|8AART|aRCR
58	35431 32326	   	174.28	DCR|2VULN|2DMG|1AART|2CDMG	15CDMG|2ERES|34VULN|69DMG|7MLV|8AART|aRCR
59	33353 53172	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|3ASPD|4MBVNT|5LIT|678VULN|9RCR|aAART
60	33462 35331	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|348VULN|5ASPD|6AART|7MGNLIT|9BASHEA|aRCR
61	33553 21232	 * 	174.17	DCR|3VULN|2DMG|3CDMG	146CDMG|2aDMG|3ERES|58aVULN|7aCGEN|9RCR|aBPWR
62	33553 23232	   	174.17	DCR|3VULN|2DMG|3CDMG	146CDMG|2aDMG|3ERES|58aVULN|7aMLV|9RCR|aBPWR
63	33413 51612	   	173.19	DCR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1CDMG|248DMG|39VULN|5DUR|6LWND|7ASPD|aRCR
64	64316 22221	 * 	173.07	ACR|2VULN|2DMG|3CDMG|1ASPD	1BELT|2aDUST|3RCR|46VULN|56aCDMG|6aBPWR|7ASPD|8FEWX|9aDMG
65	33452 31121	   	172.84	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	18CDMG|29DMG|3VULN|45ZMB|6AART|7RMIN|aRCR
66	33452 32121	   	172.84	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	18CDMG|29DMG|3VULN|45ZMB|6AART|7MLV|aRCR
67	33452 34121	   	172.84	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	18CDMG|29DMG|3VULN|45ZMB|6AART|7CGEN|aRCR
68	36233 11361	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2BEXP|3ZMB|4VULN|5CGEN|6RCR|7aDMG|8AART|9RCVC
69	55233 11361	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|4VULN|5CGEN|6RCR|7aDMG|8AART|9RCVC
70	33353 54133	   	172.67	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|27DMG|3ASPD|4MBVNT|5LIT|678VULN|7BPWR|9CGEN|aRCR
71	33346 11531	   	172.63	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1aCDMG|27DMG|3ASPD|4VULN|5DUST|6RCR|8BELT|9AART
72	33414 31532	   	172.47	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|246DMG|3VULN|5DMSP|7ASPD|8BELT|9AART|aRCR
73	33412 31616	   	172.46	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	1CDMG|24DMG|3VULN|5ASPD|6aAART|7RMIN|8LHND|9RCR
74	33452 21221	   	172.24	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	16CDMG|29DMG|3VULN|45ZMB|7AART|8MLV|aRCR
75	33341 32421	   	172.17	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	1CDMG|29DMG|3ASPD|4VULN|5ERES|68AART|7RCVC|aRCR
76	33452 21121	   	172.14	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	16CDMG|29DMG|3VULN|45ZMB|7AART|8NUKE|aRCR
77	36233 11313	   	171.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2BEXP|3ZMB|4VULN|5CGEN|6RCR|7DMG|89AART|aDUR
78	55233 11313	   	171.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2CDMG|3ZMB|4VULN|5CGEN|6RCR|7DMG|89AART|aDUR
79	33326 11315	 * 	171.82	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1ASPD	1CDMG|278DMG|3ASPD|4BEXP|5DUST|6RCR|9VULN|aFLTHEA
80	33412 31441	   	171.67	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	1CDMG|24DMG|3VULN|5ASPD|68AART|7RMIN|9RCVC|aRCR
81	33412 32441	   	171.67	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	1CDMG|24DMG|3VULN|5ASPD|68AART|7MLV|9RCVC|aRCR
82	33423 14311	   	171.42	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2aDMG|3VULN|4BEXP|5CGEN|6RCR|7ERES|89AART
83	33436 15311	   	171.42	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2aDMG|3VULN|4MLV|5DUST|6RCR|7CGEN|89AART
84	33542 16311	   	171.32	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2aDMG|3ERES|4VULN|5DUST|6RCR|7CGEN|89AART
85	35412 16311	   	171.32	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2ERES|3VULN|4aDMG|5DUST|6RCR|7CGEN|89AART
86	33432 32121	   	171.20	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	18CDMG|29DMG|3VULN|4MLV|5ZMB|6AART|7RCVC|aRCR
87	33451 32121	   	171.10	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	18CDMG|29DMG|3VULN|4ZMB|5ERES|6AART|7RCVC|aRCR
88	36233 11351	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3ZMB|4aVULN|5CGEN|6RCR|7DMG|8AART|9LIT
89	36233 11355	   	171.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2BEXP|3ZMB|4VULN|5CGEN|6RCR|7aDMG|8AART|9LIT
90	55233 11351	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|4aVULN|5CGEN|6RCR|7DMG|8AART|9LIT
91	33336 36352	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7aVULN|8RCR|9FEWX
92	33412 43422	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|247DMG|3aVULN|5ASPD|6CGEN|8RCR|9FEWX
93	33212 43442	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|247DMG|3LHND|5ASPD|6CGEN|8RCR|9aVULN
94	33212 63442	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|247DMG|3LHND|5ASPD|6MLV|8RCR|9aVULN
95	33336 13342	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4MLV|6FEWX|8RCR|9aVULN
96	33336 23342	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4MLV|6LWND|8RCR|9aVULN
97	33336 32442	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7LHND|8RCR|9aVULN
98	33316 13342	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4TLV|6FEWX|8RCR|9aVULN
99	33316 23342	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|257DMG|3ASPD|4TLV|6LWND|8RCR|9aVULN
100	33316 32442	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4TLV|7LHND|8RCR|9aVULN
101	33336 36322	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7aVULN|8RCR|9MBVNT
102	33336 36332	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7aVULN|8RCR|9DUST
103	33336 36342	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|79VULN|8RCR|aERES
104	33336 36343	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|79VULN|8RCR|aDUST
105	33336 36362	   	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4MLV|7aVULN|8RCR|9LEGI
106	34433 32326	   	170.87	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2CGEN|34VULN|5RCVC|69DMG|7MLV|8AART|aRCR
107	33316 36342	   	170.85	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|256DMG|3ASPD|4TLV|7DUST|8RCR|9aVULN
108	35433 32326	   	170.77	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2ERES|34VULN|5RCVC|69DMG|7MLV|8AART|aRCR
109	15616 11232	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2CDMG|3ZMB|47DMG|5DUST|6RCR|8BELT|9AART|aVULN
110	36216 11232	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2BEXP|3ZMB|47DMG|5DUST|6RCR|8BELT|9AART|aVULN
111	55216 11232	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2CDMG|3ZMB|47DMG|5DUST|6RCR|8BELT|9AART|aVULN
112	33211 36442	   	170.33	DCR|3DMG|2VULN|2CDMG	15CDMG|246DMG|3LHND|7DUST|8RCR|9aVULN
113	33411 36422	   	170.23	DCR|3DMG|2VULN|2CDMG	15CDMG|246DMG|3aVULN|7DUST|8RCR|9MBVNT
114	33456 11211	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|27DMG|3VULN|4ZMB|5DUST|6RCR|8FEWX|9BEXP|aAART
115	33456 11122	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|27DMG|3VULN|4ZMB|58DUST|6RCR|9LIT|aAART
116	33415 35331	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|38VULN|5RMIN|6AART|7MGNLIT|9BASHEA|aRCR
117	33465 31121	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|29DMG|34VULN|57RMIN|6AART|8NUKE|aRCR
118	33433 21225	   	169.13	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	16CDMG|2aDMG|3VULN|4MLV|5LIT|7AART|8RCR|9DUR
119	34413 21225	   	169.13	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	16CDMG|2CGEN|3VULN|4aDMG|5LIT|7AART|8RCR|9DUR
120	31345 16331	   	169.03	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2MGNSTR|3AART|4CGEN|578VULN|6DMG|9CANHEL|aRCR
121	33452 31611	   	168.93	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2aDMG|3VULN|45ZMB|6AART|7RMIN|8LHND|9RCR
122	33452 32311	   	168.93	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2aDMG|3VULN|45ZMB|6AART|7MLV|8LHND|9RCR
123	33452 33511	   	168.93	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2aDMG|3VULN|45ZMB|6AART|7LHND|8CGEN|9RCR
124	34346 13333	   	168.87	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|2DUR	1CDMG|2CGEN|39ASPD|4VULN|58DUR|6RCR|7AART|aDMG
125	33452 31311	   	168.83	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2aDMG|3VULN|45ZMB|6AART|7RMIN|8DUST|9RCR
126	33452 33311	   	168.83	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2aDMG|3VULN|45ZMB|6AART|7LHND|8ERES|9RCR
127	33452 34311	   	168.83	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2aDMG|3VULN|45ZMB|6AART|7CGEN|8DUST|9RCR
128	33451 35121	   	168.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	18CDMG|29DMG|3VULN|4ZMB|57ERES|6AART|aRCR
129	33452 36221	   	168.74	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|29DMG|3VULN|45ZMB|6AART|7RCVC|8MLV|aRCR
130	33452 36121	   	168.64	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|29DMG|3VULN|45ZMB|6AART|7RCVC|8NUKE|aRCR
131	23133 31245	   	168.44	ACR|3VULN|3DMG	18aLWND|2MLV|38aVULN|4ERES|5RCR|6LIT|78aDMG|8aBPWR|9RCVC
132	53133 31265	   	168.44	ACR|3VULN|3DMG	18aBEXP|2MLV|38aVULN|4ERES|5RCR|6LIT|78aDMG|8aBPWR|9RCVC
133	33452 31521	   	168.44	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|29DMG|3VULN|45ZMB|6AART|7RMIN|8RCVC|aRCR
134	33452 32521	   	168.44	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|29DMG|3VULN|45ZMB|6AART|7MLV|8RCVC|aRCR
135	61252 32114	   	168.34	ACR|3VULN|2DMG|2ASPD	1BELT|2RCVC|3RPLT|49ASPD|5RCR|6BEXP|79DMG|89aVULN|9BPWR
136	66111 12261	   	168.31	DCR|3VULN|2DMG|1ZMB|1DUR	1BELT|29ERES|39aVULN|4ZMB|5DUR|69DMG|7NUKE|8RCR|9BPWR
