0	Index      	 *	Score 	Summary	Detail	
1	55353 12443	 * 	239.74	ACR|3VULN|2BASARM|3BEXP|1AART|1SELL	16aBEXP|2MBVNT|3SELL|4RCR|56aVULN|6aBPWR|7AART|8aBASARM|9NUKE
15	36334 23326	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aLWND
16	51631 22431	 * 	213.05	ACR|3VULN|2DMG|2BEXP|1ASPD	18BEXP|2CGEN|368VULN|4RCR|5MDPS|78DMG|8BPWR|9LIT|aASPD
17	36234 23316	   	213.05	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DLOT|aDMG
18	36234 23321	   	213.05	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aDUST
19	36234 23322	   	213.05	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aTLV
20	36334 23321	   	213.05	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aDUST
21	36334 23322	   	213.05	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aTLV
22	55223 34481	   	212.95	ACR|3VULN|2ASPD|2BEXP|1DMG	19BEXP|2MBVNT|3RMIN|4RCR|59aVULN|6DMG|7AIRARM|89ASPD|9BPWR
23	13234 15322	 * 	212.45	ACR|3DMG|1BASARM|1VULN|1CDMG	1AEMAG|2CDMG|37aDMG|4VULN|5RCR|6LHND|8LIT|9BASARM
24	36234 21331	   	212.06	ACR|2VULN|3BEXP|2ASPD|1DMG	18VULN|28ASPD|3LWND|4RCR|5LIT|689BEXP|7DMSP|8BPWR|aDMG
25	36234 35331	   	212.06	ACR|2VULN|3BEXP|2ASPD|1DMG	18VULN|28ASPD|3LWND|4RCR|5LIT|6DMSP|789BEXP|8BPWR|aDMG
26	36334 21331	   	212.06	ACR|2VULN|3BEXP|2ASPD|1DMG	18VULN|28ASPD|3LHND|4RCR|5LIT|689BEXP|7DMSP|8BPWR|aDMG
27	36334 35331	   	212.06	ACR|2VULN|3BEXP|2ASPD|1DMG	18VULN|28ASPD|3LHND|4RCR|5LIT|6DMSP|789BEXP|8BPWR|aDMG
28	36234 23333	 * 	211.65	ACR|4VULN|3BEXP|2ASPD	178aVULN|28ASPD|3LWND|4RCR|5LIT|689BEXP|8BPWR
29	36334 23333	   	211.65	ACR|4VULN|3BEXP|2ASPD	178aVULN|28ASPD|3LHND|4RCR|5LIT|689BEXP|8BPWR
30	36232 31525	 * 	211.60	ACR|3ASPD|2VULN|2DMG	1aVULN|29aASPD|3LWND|4RCR|5ERES|6MDPS|7RCVC|8aDMG|aBPWR
31	36332 31525	   	211.60	ACR|3ASPD|2VULN|2DMG	1aVULN|29aASPD|3LHND|4RCR|5ERES|6MDPS|7RCVC|8aDMG|aBPWR
32	55353 12414	 * 	210.65	ACR|2VULN|1BASARM|2BEXP|1AART|1AAC|1SELL	16BEXP|2MBVNT|3SELL|4RCR|56VULN|6BPWR|7AART|8BASARM|9RMIN|aAAC
