0	Index      	 *	Score 	Summary	Detail	
1	12366 31421	 * 	214.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1DUST|2ASPD|3AME|4RCR|59aBEXP|6RPLT|7BASARM|8DMG
15	12514 53133	   	196.57	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP	1DUST|2ASPD|37VULN|4FEWX|5RCR|6AART|8BASARM|9BEXP|aCGEN
16	12514 53131	   	196.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1DUST|2ASPD|37VULN|4FEWX|5RCR|6AART|8BASARM|9BEXP|aMDPS
17	12366 31432	   	196.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8DMG|9AAC|aDUR
18	12366 31431	   	196.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1aDUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8DMG|9AAC
19	12366 31521	   	195.16	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8AART|9LHND|aCDMG
20	12366 31143	   	195.06	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AART	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8MDPS|9AART|aCDMG
21	12366 31511	   	195.06	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AART	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8AART|9ERES|aCDMG
22	12366 31533	   	195.06	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AART	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8AART|9MDPS|aCDMG
23	12366 31411	   	194.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8DMG|9VULN|aZMB
24	12366 31412	   	194.76	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8DMG|9VULN|aERES
25	12366 31413	   	194.76	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8DMG|9VULN|aMDPS
26	12366 31611	   	193.96	ACR|1BASARM|3BEXP|1ASPD	1DUST|2ASPD|3AME|4RCR|59aBEXP|6RPLT|7BASARM|8BELT
27	31463 42112	   	192.48	ACR|1BASARM|2ASPD|1AART	1RMIN|2VULN|3aASPD|4RCR|5ZMB|6AART|7DUST|8BASARM|9LIT
28	31463 42133	   	192.38	ACR|1BASARM|2ASPD|1AART	1RMIN|2VULN|3aASPD|4RCR|5ZMB|6AART|7DUST|8BASARM|9TLV
29	31466 31231	   	191.96	ACR|1BASARM|2ASPD|2VULN	1RMIN|2aVULN|38ASPD|4RCR|5DMSP|6LWND|7LIT|9BASARM
30	31466 21231	   	191.86	ACR|1BASARM|2ASPD|2VULN	1RMIN|2aVULN|38ASPD|4RCR|5DMSP|6DUST|7LIT|9BASARM
31	12364 12234	 * 	191.76	ACR|1BASARM|2ASPD|1DMG	18DUST|29ASPD|3AME|4RCR|5LHND|6FEWX|7BASARM|aDMG
32	12364 12263	   	191.76	ACR|1BASARM|2ASPD|1DMG	18DUST|2aASPD|3AME|4RCR|5LHND|6FEWX|7BASARM|9DMG
33	12364 12613	   	189.63	ACR|1BASARM|2BEXP|1ASPD	1DUST|2ASPD|3AME|4RCR|5LHND|6FEWX|7BASARM|89BEXP|aVULN
34	12366 31162	   	188.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8MDPS|9CDMG|aVULN
35	12364 31341	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5LHND|6RPLT|7BASARM|8RCVC|9DMG|aBEXP
36	12364 31421	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5LHND|6RPLT|7BASARM|8DMG|9BEXP|aZMB
37	12366 31342	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8RCVC|9DMG|aMLV
38	12366 31343	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8RCVC|9DMG|aCGEN
39	12364 31422	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5LHND|6RPLT|7BASARM|8DMG|9BEXP|aERES
40	12364 31423	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5LHND|6RPLT|7BASARM|8DMG|9BEXP|aMDPS
41	12366 31631	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8BELT|9MDPS|aDMG
42	32462 62232	 * 	187.76	ACR|3ASPD|2BEXP|1DMG	1RMIN|29BEXP|367ASPD|4RCR|569ERES|69BPWR|89LIT|aDMG
43	12366 31112	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8MDPS|9AIRHEL|aDMG
44	12366 31132	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2ASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8MDPS|9FLTARM|aDMG
45	31465 23313	   	187.54	ACR|3ASPD|2VULN|1DMG|1AAC	1RMIN|25VULN|358ASPD|4RCR|5BPWR|6DUST|7DUR|9AAC|aDMG
46	12364 12235	 * 	187.35	ACR|3ASPD|1BASARM	18DUST|29aASPD|3AME|4RCR|5LHND|6FEWX|7BASARM
47	12364 12533	   	187.35	ACR|3ASPD|1BASARM	1DUST|29aASPD|3AME|4RCR|5LHND|6FEWX|7BASARM|8ERES
48	32461 32132	   	185.46	ACR|3BEXP|2ASPD|1CDMG|1AAC	1RMIN|289BEXP|39ASPD|4RCR|59MLV|6AAC|7RCVC|9BPWR|aCDMG
49	12361 46112	   	185.44	ACR|1BASARM|2ASPD|1AART	1DUST|2aASPD|3AME|4RCR|5MLV|6AART|7DUR|8BASARM|9LIT
50	12364 12431	   	185.44	ACR|1BASARM|2ASPD|1CDMG	1DUST|29ASPD|3AME|4RCR|5LHND|6FEWX|7BASARM|8RCVC|aCDMG
51	12366 31223	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|2aASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8LWND|9LIT
52	12366 31324	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|2aASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8RCVC|9CGEN
53	12366 31363	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|2aASPD|3AME|4RCR|5BEXP|6RPLT|7BASARM|8RCVC|9LIT
54	12361 46133	   	185.34	ACR|1BASARM|2ASPD|1AART	1DUST|2aASPD|3AME|4RCR|5MLV|6AART|7DUR|8BASARM|9TLV
55	12362 46112	   	185.34	ACR|1BASARM|2ASPD|1AART	1DUST|2aASPD|3AME|4RCR|5ERES|6AART|7DUR|8BASARM|9LIT
56	12364 12231	   	185.34	ACR|1BASARM|2ASPD|1CDMG	18DUST|29ASPD|3AME|4RCR|5LHND|6FEWX|7BASARM|aCDMG
57	12364 62231	   	185.34	ACR|1BASARM|2ASPD|1CDMG	18DUST|29ASPD|3AME|4RCR|5LHND|6DUR|7BASARM|aCDMG
58	32462 32132	   	185.26	ACR|3BEXP|2ASPD|1CDMG|1AAC	1RMIN|289BEXP|39ASPD|4RCR|59ERES|6AAC|7RCVC|9BPWR|aCDMG
59	12362 46133	   	185.24	ACR|1BASARM|2ASPD|1AART	1DUST|2aASPD|3AME|4RCR|5ERES|6AART|7DUR|8BASARM|9TLV
