0	Index      	 *	Score 	Summary	Detail	
1	14331 41613	 * 	260.99	ACR|3DMG|1BASARM|2VULN|3BEXP	169BEXP|249DMG|3RCR|5AAC|7RMIN|89VULN|9BPWR|aBASARM
13	24333 45113	 * 	247.34	ACR|3VULN|3DMG|1BASARM|1BEXP	145DUR|257DMG|3RCR|57BPWR|678VULN|9BEXP|aBASARM
14	14333 33153	 * 	245.68	ACR|3DMG|2VULN|3BEXP|3CDMG	15aBEXP|245DMG|3RCR|5aBPWR|6MLV|79aCDMG|8aVULN
15	14333 43153	   	245.58	ACR|3DMG|2VULN|3BEXP|3CDMG	15aBEXP|245DMG|3RCR|5aBPWR|6ERES|79aCDMG|8aVULN
16	14332 41124	 * 	243.69	ACR|3DMG|2VULN|2ASPD|2BEXP	18BEXP|248DMG|3RCR|5LWND|6aASPD|78VULN|8BPWR|9MLV
17	14332 41131	   	243.59	ACR|3DMG|2VULN|2ASPD|2BEXP	18BEXP|248DMG|3RCR|5LWND|6aASPD|78VULN|8BPWR|9MDPS
18	14332 41161	   	242.02	ACR|3DMG|2VULN|2BEXP|1ASPD|1AART	18BEXP|248DMG|3RCR|5LWND|6ASPD|78VULN|8BPWR|9AART|aDUR
19	14332 41163	   	242.02	ACR|3DMG|2VULN|2BEXP|1ASPD|1AART	18BEXP|248DMG|3RCR|5LWND|6ASPD|78VULN|8BPWR|9AART|aMLV
20	14332 41162	   	241.92	ACR|3DMG|2VULN|2BEXP|1ASPD|1AART	18BEXP|248DMG|3RCR|5LWND|6ASPD|78VULN|8BPWR|9AART|aMDPS
21	14343 12324	 * 	238.74	ACR|1BASARM|3BEXP|2DMG|1ASPD	145BEXP|25DMG|3RCR|5BPWR|6RCVC|7AME|8ASPD|9DUST|aBASARM
22	14333 33333	   	238.54	ACR|3DMG|3BEXP|2VULN|2CDMG	15aBEXP|245DMG|3RCR|5aBPWR|6MLV|7aCDMG|8RCVC|9aVULN
23	14333 43333	   	238.44	ACR|3DMG|3BEXP|2VULN|2CDMG	15aBEXP|245DMG|3RCR|5aBPWR|6ERES|7aCDMG|8RCVC|9aVULN
24	14342 41121	 * 	237.74	ACR|2VULN|3BEXP|2ASPD|2DMG	148BEXP|28DMG|3RCR|5LWND|6aASPD|78VULN|8BPWR|9RCVC
25	14333 33633	   	237.36	ACR|3DMG|3BEXP|2VULN|2CDMG	15aBEXP|245DMG|3RCR|5aBPWR|68MLV|7aCDMG|9aVULN
26	14332 41123	   	237.02	ACR|3VULN|3DMG|2BEXP|1ASPD	18BEXP|248DMG|3RCR|5LWND|6ASPD|78aVULN|8BPWR|9MLV
27	14332 41152	   	237.02	ACR|3VULN|3DMG|2BEXP|1ASPD	18BEXP|248DMG|3RCR|5LWND|6ASPD|78aVULN|8BPWR|9FEWX
28	14336 41112	   	237.02	ACR|3VULN|3DMG|2BEXP|1ASPD	18BEXP|248DMG|3RCR|5LHND|6ASPD|78aVULN|8BPWR|9LWND
29	14332 41143	   	236.92	ACR|3VULN|3DMG|2BEXP|1ASPD	18BEXP|248DMG|3RCR|5LWND|6ASPD|78aVULN|8BPWR|9ERES
30	14336 41122	   	236.92	ACR|3VULN|3DMG|2BEXP|1ASPD	18BEXP|248DMG|3RCR|5LHND|6ASPD|78aVULN|8BPWR|9DUST
31	14336 41133	   	236.92	ACR|3VULN|3DMG|2BEXP|1ASPD	18BEXP|248DMG|3RCR|5LHND|6ASPD|78aVULN|8BPWR|9ERES
32	14333 23322	   	236.58	ACR|3DMG|3BEXP|1VULN|1ASPD|1AART	156BEXP|245DMG|3RCR|5BPWR|7AART|8LIT|9VULN|aASPD
33	24333 31123	   	236.19	ACR|3DMG|1BASARM|2BEXP|1VULN	145DUR|257DMG|3RCR|5BPWR|69BEXP|8VULN|aBASARM
34	14333 11166	   	235.31	ACR|3DMG|3BEXP|1VULN|1ASPD|1CDMG	157BEXP|245DMG|3RCR|5BPWR|6DUR|8VULN|9ASPD|aCDMG
35	14333 21166	   	235.31	ACR|3DMG|3BEXP|1VULN|1ASPD|1CDMG	156BEXP|245DMG|3RCR|5BPWR|7FEWX|8VULN|9ASPD|aCDMG
36	14332 41115	   	235.06	ACR|3DMG|2VULN|3BEXP|1ASPD	18aBEXP|248DMG|3RCR|59LWND|6ASPD|78VULN|8BPWR
37	14332 41125	   	235.06	ACR|3DMG|2VULN|3BEXP|1ASPD	18aBEXP|248DMG|3RCR|5LWND|6ASPD|78VULN|8BPWR|9MLV
38	14333 33412	   	234.89	ACR|3DMG|1BASARM|2BEXP|1CDMG	15BEXP|245DMG|3RCR|5BPWR|6MLV|7CDMG|8BELT|9DUR|aBASARM
39	24333 41113	   	234.89	ACR|3DMG|2VULN|1BASARM|1BEXP	145DUR|257DMG|3RCR|5BPWR|68VULN|9BEXP|aBASARM
40	14333 33432	   	234.79	ACR|3DMG|1BASARM|2BEXP|1CDMG	15BEXP|245DMG|3RCR|5BPWR|6MLV|7CDMG|8BELT|9LEGI|aBASARM
41	14333 43412	   	234.79	ACR|3DMG|1BASARM|2BEXP|1CDMG	15BEXP|245DMG|3RCR|5BPWR|6ERES|7CDMG|8BELT|9DUR|aBASARM
42	14333 43432	   	234.69	ACR|3DMG|1BASARM|2BEXP|1CDMG	15BEXP|245DMG|3RCR|5BPWR|6ERES|7CDMG|8BELT|9LEGI|aBASARM
43	55232 42111	 * 	234.68	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	17RCVC|2RCR|34VULN|5AART|6CGEN|8DMG|9BASARM|aASPD
44	14333 45132	   	234.59	ACR|3DMG|1BASARM|2BEXP|1CDMG	15BEXP|245DMG|3RCR|5BPWR|6ERES|78AAC|9BASARM|aCDMG
45	55232 32111	   	234.58	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	17RCVC|2RCR|34VULN|5AART|6TLV|8DMG|9BASARM|aASPD
46	35213 13186	 * 	233.75	ACR|2VULN|3ASPD|2DMG|1BEXP	1DMSP|2RCR|38VULN|4LWND|5MBVNT|689ASPD|78DMG|8BPWR|aBEXP
47	55232 43111	   	233.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCVC|2RCR|34VULN|5AART|67CGEN|8DMG|9BASARM|aASPD
48	55232 21216	   	233.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCVC|2RCR|34VULN|5AART|6AEFBLL|7ASPD|8CGEN|9BASARM|aDMG
49	14323 43523	 * 	232.77	ACR|1BASARM|3BEXP|1VULN|1ASPD|1DMG	17aBEXP|2DMG|3RCR|4AAC|5CGEN|6ASPD|8VULN|9BASARM
50	16332 43523	   	232.67	ACR|1BASARM|3BEXP|1VULN|1ASPD|1DMG	17aBEXP|2TLV|3RCR|4DMG|5AAC|6ASPD|8VULN|9BASARM
51	55232 51211	 * 	232.61	ACR|2VULN|1BASARM|2ASPD|1AART	16RCVC|2RCR|34VULN|5AART|7aASPD|8CGEN|9BASARM
52	14332 23313	   	232.50	ACR|3DMG|1BASARM|3BEXP	179BEXP|249DMG|3RCR|5LWND|6TLV|89CGEN|9BPWR|aBASARM
53	14343 11333	   	232.43	ACR|1BASARM|3BEXP|2DMG|1VULN	145BEXP|25DMG|3RCR|5BPWR|6RCVC|7LHND|8MDPS|9VULN|aBASARM
54	14343 21343	   	232.40	ACR|3DMG|1BASARM|3BEXP	145BEXP|257DMG|3RCR|5BPWR|6FEWX|8AME|9CGEN|aBASARM
55	14333 21343	   	232.40	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7FEWX|8AME|9CGEN|aBASARM
56	14333 22343	   	232.40	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7AME|8FEWX|9CGEN|aBASARM
57	14333 25123	   	232.40	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7VENFST|8RPLT|9RMIN|aBASARM
58	14333 51343	   	232.40	ACR|3DMG|1BASARM|3BEXP	157BEXP|245DMG|3RCR|5BPWR|6FEWX|8AME|9CGEN|aBASARM
59	14343 21353	   	232.30	ACR|3DMG|1BASARM|3BEXP	145BEXP|257DMG|3RCR|5BPWR|6FEWX|8AME|9ERES|aBASARM
60	14343 23423	   	232.30	ACR|3DMG|1BASARM|3BEXP	145BEXP|259DMG|3RCR|5BPWR|6FEWX|7TLV|8ERES|aBASARM
61	14332 13113	   	232.30	ACR|3DMG|1BASARM|3BEXP	179BEXP|249DMG|3RCR|5LWND|6AME|89TLV|9BPWR|aBASARM
62	14332 13513	   	232.30	ACR|3DMG|1BASARM|3BEXP	179BEXP|249DMG|3RCR|5LWND|6AME|89ERES|9BPWR|aBASARM
63	14332 23513	   	232.30	ACR|3DMG|1BASARM|3BEXP	179BEXP|249DMG|3RCR|5LWND|6TLV|89ERES|9BPWR|aBASARM
64	14333 21353	   	232.30	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7FEWX|8AME|9ERES|aBASARM
65	14333 22233	   	232.30	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7AME|8MBVNT|9CGEN|aBASARM
66	14333 22353	   	232.30	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7AME|8FEWX|9ERES|aBASARM
67	14333 51353	   	232.30	ACR|3DMG|1BASARM|3BEXP	157BEXP|245DMG|3RCR|5BPWR|6FEWX|8AME|9ERES|aBASARM
68	16336 24223	   	232.30	ACR|3DMG|1BASARM|3BEXP	157BEXP|2TLV|3RCR|479DMG|67ERES|7BPWR|8DUR|aBASARM
69	14333 22263	   	232.20	ACR|3DMG|1BASARM|3BEXP	156BEXP|245DMG|3RCR|5BPWR|7AME|8MBVNT|9ERES|aBASARM
70	14333 45131	   	232.20	ACR|3DMG|1BASARM|3BEXP	15aBEXP|245DMG|3RCR|5BPWR|6ERES|78AAC|9BASARM
71	55232 32116	   	232.10	ACR|2VULN|1BASARM|2DMG|1AART	17RCVC|2RCR|34VULN|5AART|6TLV|8aDMG|9BASARM
72	14335 11423	   	231.49	ACR|2VULN|1BASARM|2DMG|2BEXP	1aBEXP|24DMG|3RCR|57VULN|6MLV|8MBVNT|9BASARM
73	14335 21423	   	231.39	ACR|2VULN|1BASARM|2DMG|2BEXP	1aBEXP|24DMG|3RCR|57VULN|6TLV|8MBVNT|9BASARM
74	24333 43216	   	231.22	ACR|3DMG|2VULN|2ASPD|1CDMG	145DUR|25aDMG|3RCR|5aBPWR|6aVULN|7CDMG|8CGEN|9aASPD
