0	Index      	 *	Score 	Summary	Detail	
1	14642 32621	 * 	218.51	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|7BEXP|8AART|9VULN|aBASARM
73	14532 22531	   	192.69	ACR|1BASARM|2BEXP|1DMG	16ERES|2RCR|3MLV|4aBEXP|5DMG|7DMSP|8BASARM|9LHND
74	14222 64211	   	192.69	ACR|1BASARM|2BEXP|1DMG	1ERES|2RCR|3RCVC|4LWND|5DMSP|6DMG|7BASARM|8AEFBLL|9aBEXP
75	14363 22252	 * 	192.10	ACR|4VULN|3BEXP|1CDMG	1aERES|2RCR|369aVULN|4CDMG|5MSLREG|78aBEXP|aBPWR
76	14642 32612	   	191.62	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|79BEXP|8AART|aCDMG
77	14421 36132	   	191.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2RCR|3CGEN|4CDMG|5FEWX|6MSLREG|7BEXP|8DMG|9BASARM|aLWND
78	14421 36133	   	191.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2RCR|3CGEN|4CDMG|5FEWX|6MSLREG|7BEXP|8DMG|9BASARM|aRCVC
79	14521 36132	   	191.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2RCR|3MLV|4CDMG|5FEWX|6MSLREG|7BEXP|8DMG|9BASARM|aLWND
80	14521 36133	   	191.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2RCR|3MLV|4CDMG|5FEWX|6MSLREG|7BEXP|8DMG|9BASARM|aRCVC
81	14363 21513	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7LWND|8BASARM|9MLV|aBEXP
82	14363 21532	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7LWND|8BASARM|9BEXP|aLHND
83	14363 21533	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7LWND|8BASARM|9BEXP|aRCVC
84	14363 22511	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7BEXP|8BASARM|9MLV|aLHND
85	14363 22512	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7BEXP|8BASARM|9MLV|aDUR
86	14363 22513	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7BEXP|8BASARM|9MLV|aFEWX
87	14112 63533	   	191.41	ACR|1BASARM|1DMG|1AART|1CDMG	1ERES|2RCR|3DUST|4LWND|5CDMG|6DMG|7AART|8RMIN|9MDPS|aBASARM
88	14163 23523	   	191.31	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|3DUST|4CDMG|5VENFST|6aVULN|7BEXP|8BASARM|9DUR
89	14112 42531	   	191.31	ACR|1BASARM|1ASPD|1CDMG|1BEXP	1ERES|2RCR|3DUST|4LWND|5CDMG|6TLV|7ASPD|8BASARM|9LSRICY|aBEXP
90	14213 42523	   	191.31	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|3RCVC|4aVULN|5MSLTOX|6CDMG|7BEXP|8BASARM|9MDPS
91	14352 51131	   	191.21	ACR|1BASARM|1ASPD|1DMG	1ERES|2RCR|3VULN|4AIRARM|5DUR|6BASARM|7ASPD|8LHND|9FEWX|aDMG
92	14333 42523	   	191.21	ACR|1BASARM|2VULN|1BEXP|1CDMG	14ERES|2RCR|3aVULN|5MSLTOX|6CDMG|7BEXP|8BASARM|9MDPS
93	14363 22521	   	191.21	ACR|1BASARM|2VULN|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7BEXP|8BASARM|9MDPS|aAEMAG
94	32542 22622	   	191.13	ACR|1BASARM|1ASPD|1DMG|1AART|1AAC	1AEFBLL|2SNIHEL|3AART|4AEMAG|5RCR|6DMG|7AAC|8BASARM|9LWND|aASPD
95	43286 12142	 * 	191.13	ACR|1BASARM|1ASPD|2CDMG|1BEXP|1AAC	1AAC|2RCVC|3MBVNT|4ASPD|5RCR|6MDPS|7aCDMG|8BEXP|9BASARM
96	14532 31622	   	191.13	ACR|3DMG|1ASPD|1BEXP|1AAC	1ERES|2RCR|3MLV|4BEXP|59aDMG|6ASPD|7CGEN|8AAC
97	14642 34621	   	191.11	ACR|1BASARM|1ASPD|1DMG	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|7VULN|8DUR|9DLOT|aBASARM
98	14164 21333	   	191.01	ACR|1BASARM|2CDMG|1ASPD	1ERES|2RCR|35DUST|45CDMG|5BPWR|6ASPD|7DUR|8TLV|9BASARM|aVULN
99	14135 31512	   	191.01	ACR|1BASARM|1ASPD|1DMG	1ERES|2RCR|3DUST|4CGEN|5ASPD|6MSLREG|7MSLFST|8BASARM|9VULN|aDMG
100	14612 52433	   	191.01	ACR|1BASARM|2CDMG|1ASPD	1ERES|2RCR|3MBVNT|4LWND|58CDMG|6TLV|7ASPD|9BASARM|aVULN
101	14612 74333	   	191.01	ACR|1BASARM|2CDMG|1DMG	1ERES|2RCR|3MBVNT|4LWND|57CDMG|6DMG|8TLV|9BASARM|aVULN
102	14611 47142	   	190.96	ACR|1BASARM|1ASPD|1DMG|1SELL	1ERES|2RCR|3MBVNT|4LWND|5LIT|6ASPD|7DMG|8SELL|9BASARM|aVULN
103	14142 52433	   	190.91	ACR|1BASARM|2CDMG|1ASPD	1ERES|2RCR|3DUST|4MBVNT|58CDMG|6TLV|7ASPD|9BASARM|aVULN
104	14142 74333	   	190.91	ACR|1BASARM|2CDMG|1DMG	1ERES|2RCR|3DUST|4MBVNT|57CDMG|6DMG|8TLV|9BASARM|aVULN
105	14622 52433	   	190.91	ACR|1BASARM|2CDMG|1ASPD	1ERES|2RCR|3MBVNT|4DUST|58CDMG|6TLV|7ASPD|9BASARM|aVULN
106	14622 74333	   	190.91	ACR|1BASARM|2CDMG|1DMG	1ERES|2RCR|3MBVNT|4DUST|57CDMG|6DMG|8TLV|9BASARM|aVULN
107	14532 32432	 * 	190.42	ACR|2BEXP|2AART|1ASPD|1DMG	1ERES|2RCR|3MLV|47BEXP|5DMG|6ASPD|8DUST|9aAART
108	14361 31251	 * 	189.89	ACR|3VULN|2BEXP|1DMG|1CDMG	1ERES|2RCR|38aVULN|4CDMG|5RMIN|6DMG|79BEXP
109	14432 21632	   	189.65	ACR|2DMG|1AART|1BEXP|1CDMG|1AAC	1ERES|2RCR|3CGEN|4BEXP|57DMG|6VULN|8AAC|9AART|aCDMG
110	14363 21523	   	189.59	ACR|1BASARM|3VULN|1CDMG	1ERES|2RCR|36aVULN|4CDMG|5MSLREG|7LWND|8BASARM|9MDPS
111	14312 62422	   	189.51	ACR|3DMG|1ASPD|1CDMG|1SELL	1ERES|2RCR|3VULN|4LWND|5CDMG|69aDMG|7ASPD|8SELL
112	14322 62422	   	189.41	ACR|3DMG|1ASPD|1CDMG|1SELL	1ERES|2RCR|3VULN|4DUST|5CDMG|69aDMG|7ASPD|8SELL
113	14642 32642	   	189.23	ACR|2AART|1ASPD|1DMG|1BEXP|1CDMG	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|7BEXP|89AART|aCDMG
114	14642 32151	 * 	189.23	ACR|3BEXP|1ASPD|1DMG|1CDMG	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|78aBEXP|9CDMG
115	14132 24422	 * 	189.03	ACR|3DMG|2VULN|1ASPD	1ERES|2RCR|3DUST|4CGEN|59aDMG|68VULN|7ASPD
116	14135 21422	   	189.03	ACR|3DMG|2VULN|1ASPD	1ERES|2RCR|3DUST|4CGEN|5ASPD|68VULN|79aDMG
117	14316 12421	   	188.84	ACR|2DMG|2BEXP|1ASPD	1ERES|2RCR|3VULN|4LWND|5ASPD|6MDPS|79DMG|8aBEXP
118	14326 12421	   	188.74	ACR|2DMG|2BEXP|1ASPD	1ERES|2RCR|3VULN|4DUST|5ASPD|6MDPS|79DMG|8aBEXP
119	14132 62513	   	188.73	ACR|1BASARM|2DMG	1ERES|2RCR|3DUST|4CGEN|56DMG|7DMSP|8BASARM|9RMIN|aVULN
120	14132 62523	   	188.73	ACR|1BASARM|2DMG	1ERES|2RCR|3DUST|4CGEN|56DMG|7DMSP|8BASARM|9RPLT|aVULN
121	14132 31512	   	188.53	ACR|1BASARM|2DMG	1ERES|2RCR|3DUST|4CGEN|5aDMG|6MSLREG|7MSLFST|8BASARM|9VULN
