0	Index      	 *	Score 	Summary	Detail	
1	63263 47334	 * 	208.74	ACR|4VULN|3DMG|1AART	1489VULN|29LWND|3RCR|5MBVNT|679DMG|9BPWR|aAART
16	63261 31334	   	189.16	ACR|4VULN|2DMG|2DUR|1ASPD	1479VULN|25LWND|3RCR|69DUR|89DMG|9BPWR|aASPD
17	61312 16234	   	187.97	ACR|4VULN|2DMG|2ASPD|1DUR	158aVULN|2aASPD|3DUR|4RCR|6FEWX|7aDMG|9MBVNT|aBPWR
18	61312 56234	   	187.97	ACR|4VULN|2DMG|2ASPD|1DUR	158aVULN|2aASPD|3DUR|4RCR|6LWND|7aDMG|9MBVNT|aBPWR
19	61612 36234	   	187.97	ACR|4VULN|2DMG|2ASPD|1DUR	158aVULN|2aASPD|3LWND|4RCR|6DUR|7aDMG|9MBVNT|aBPWR
20	61512 36234	   	187.87	ACR|4VULN|2DMG|2ASPD|1DUR	158aVULN|2aASPD|3DUST|4RCR|6DUR|7aDMG|9MBVNT|aBPWR
21	63223 47234	   	186.43	ACR|3DMG|2VULN|1AART|1DUR	14VULN|24LWND|3RCR|4BPWR|5MBVNT|67aDMG|8DUR|9AART
22	63223 47236	   	186.43	ACR|3VULN|2DMG|1AART|1DUR	14aVULN|24LWND|3RCR|4BPWR|5MBVNT|67DMG|8DUR|9AART
23	63263 47234	   	186.33	ACR|3DMG|2VULN|1AART|1DUR	14VULN|2LWND|3RCR|5MBVNT|67aDMG|8DUR|9AART
24	63261 31336	 * 	186.03	ACR|4VULN|2DMG|3DUR	1479VULN|25LWND|3RCR|69aDUR|89DMG|9BPWR
25	63223 46245	   	185.64	ACR|4VULN|3DMG	1489VULN|24LWND|3RCR|49BPWR|5MBVNT|69aDMG|79CGEN
26	63223 47333	   	185.64	ACR|4VULN|3DMG	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aRCVC
27	63223 47335	   	185.64	ACR|4VULN|3DMG	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aLIT
28	63223 47338	   	185.64	ACR|4VULN|3DMG	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aRMIN
29	63223 47542	   	185.64	ACR|4VULN|3DMG	149aVULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|8RMIN
30	63263 47331	   	185.54	ACR|4VULN|3DMG	1489VULN|29aLWND|3RCR|5MBVNT|679DMG|9BPWR
31	63263 47333	   	185.54	ACR|4VULN|3DMG	1489VULN|29LWND|3RCR|5MBVNT|679DMG|9BPWR|aLIT
32	63223 47331	   	185.54	ACR|4VULN|3DMG	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aERES
33	63223 47336	   	185.54	ACR|4VULN|3DMG	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aDUST
34	63223 47337	   	185.54	ACR|4VULN|3DMG	1489VULN|249LWND|3RCR|49BPWR|5MBVNT|679DMG|aTLV
35	63223 47354	   	185.54	ACR|4VULN|3DMG	148aVULN|249LWND|3RCR|4aBPWR|5MBVNT|67aDMG
36	63223 48384	   	185.54	ACR|4VULN|3DMG	149aVULN|247LWND|3RCR|4aBPWR|5MBVNT|68aDMG
37	63223 42245	   	185.44	ACR|4VULN|3DMG	1489VULN|24LWND|3RCR|49BPWR|5MBVNT|69aDMG|79ERES
38	66263 33311	   	185.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2DUST|3RCR|4AART|5LWND|6CDMG|7DUR|9DMG
39	63263 42245	   	185.34	ACR|4VULN|3DMG	1489VULN|2LWND|3RCR|5MBVNT|69aDMG|79ERES|9BPWR
40	23212 16651	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	1ZMB|2LHND|359aVULN|4RCR|6FEWX|7DMG|8AART
41	23212 26651	   	185.20	ACR|4VULN|1AART|1DMG|1ZMB	1ZMB|2LHND|359aVULN|4RCR|6BEXP|7DMG|8AART
42	63223 46342	   	185.19	ACR|3VULN|3DMG|1CDMG	149VULN|24LWND|3RCR|49BPWR|5MBVNT|689DMG|79CGEN|aCDMG
43	63223 47442	   	185.19	ACR|3VULN|3DMG|1CDMG	149VULN|24LWND|3RCR|49BPWR|5MBVNT|679DMG|89CGEN|aCDMG
44	61515 31131	   	185.13	ACR|3VULN|2DMG|1AART|1ASPD	18aVULN|2ASPD|3DUST|4RCR|59DMG|6BEXP|7AART
45	61515 31133	   	185.13	ACR|3DMG|2VULN|1AART|1ASPD	18VULN|2ASPD|3DUST|4RCR|59aDMG|6BEXP|7AART
46	63263 47442	   	185.09	ACR|3VULN|3DMG|1CDMG	149VULN|2LWND|3RCR|5MBVNT|679DMG|89CGEN|9BPWR|aCDMG
47	63263 46342	   	185.09	ACR|3VULN|3DMG|1CDMG	149VULN|2LWND|3RCR|5MBVNT|689DMG|79CGEN|9BPWR|aCDMG
48	63223 42342	   	184.99	ACR|3VULN|3DMG|1CDMG	149VULN|24LWND|3RCR|49BPWR|5MBVNT|689DMG|79ERES|aCDMG
49	63263 42342	   	184.89	ACR|3VULN|3DMG|1CDMG	149VULN|2LWND|3RCR|5MBVNT|689DMG|79ERES|9BPWR|aCDMG
50	23212 36335	   	184.88	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1ZMB|2LHND|35aVULN|4RCR|6DUR|78DMG|9CDMG
51	63223 47233	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|24LWND|3RCR|4BPWR|5MBVNT|67DMG|8DUR|9AART|aCDMG
52	63263 47233	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2LWND|3RCR|5MBVNT|67DMG|8DUR|9AART|aCDMG
53	63223 48262	 * 	184.27	ACR|3VULN|2DMG|3ZMB	149VULN|247LWND|3RCR|49BPWR|5MBVNT|69DMG|89aZMB
54	63223 71174	   	184.14	ACR|4VULN|1AART|1DMG|1DUR	1489VULN|24LWND|3RCR|4BPWR|5MBVNT|6DUR|7AART|aDMG
55	24326 31236	 * 	183.84	ACR|2AART|3ZMB|1DMG|1VULN|2ASPD	157ZMB|28AART|35ASPD|4RCR|5BPWR|6MBVNT|9DMG|aVULN
56	63223 47264	   	183.77	ACR|3VULN|3DMG|2DUR	14aVULN|24LWND|3RCR|4aBPWR|5MBVNT|67aDMG|8aDUR|9RMIN
57	63221 64321	 * 	183.76	ACR|3VULN|1AART|1DMG|2CDMG	148VULN|245LWND|3RCR|4BPWR|6AART|7DMG|9aCDMG
58	63225 32151	   	183.54	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	14aVULN|24LWND|3RCR|4BPWR|5SELL|6DMG|7AART|8CDMG|9DUR
59	61612 16334	   	182.59	ACR|3VULN|3DMG|2ASPD	15aVULN|2aASPD|3LWND|4RCR|6FEWX|78aDMG|9MBVNT|aBPWR
60	63223 78341	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	14aVULN|24LWND|3RCR|4BPWR|5MBVNT|6DUR|7CDMG|8DMG|9AART
61	63261 31333	   	182.22	ACR|4VULN|2DMG|2DUR	1479VULN|25LWND|3RCR|69DUR|89DMG|9BPWR|aLIT
62	63261 31331	   	182.12	ACR|4VULN|2DMG|2DUR	1479VULN|25LWND|3RCR|69DUR|89DMG|9BPWR|aTLV
63	63261 31332	   	182.12	ACR|4VULN|2DMG|2DUR	1479VULN|25LWND|3RCR|69DUR|89DMG|9BPWR|aERES
64	24322 43326	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|2AART|3ASPD|4RCR|5FEWX|6LIT|78aVULN|9DMG
65	25222 21653	 * 	181.57	DCR|3VULN|2DMG|2ZMB|1FLTHEA	1aZMB|2RCVC|3aDMG|4RMIN|5LHND|6FLTHEA|7RCR|89aVULN|aBPWR
66	23212 36235	   	181.39	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LHND|358aVULN|4RCR|6DUR|7DMG|9CDMG
67	44212 16333	   	181.37	ACR|3VULN|3DMG|2DUR	19MLV|29DUR|35aVULN|4RCR|6FEWX|789DMG|9BPWR
68	44212 26333	   	181.37	ACR|3VULN|3DMG|2DUR	19MLV|29DUR|35aVULN|4RCR|6BEXP|789DMG|9BPWR
69	61612 16234	   	181.04	ACR|4VULN|2DMG|2ASPD	158aVULN|2aASPD|3LWND|4RCR|6FEWX|7aDMG|9MBVNT|aBPWR
70	23212 36663	   	180.77	ACR|2VULN|2AART|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2LHND|35VULN|4RCR|6DUR|7DMG|89AART|aASPD
71	63223 31144	   	180.69	ACR|3VULN|2DMG|1AART	148VULN|24LWND|3RCR|4BPWR|5MBVNT|6BEXP|7AART|9aDMG
72	63263 31144	   	180.59	ACR|3VULN|2DMG|1AART	148VULN|2LWND|3RCR|5MBVNT|6BEXP|7AART|9aDMG
73	63225 32353	   	180.54	ACR|3VULN|2DMG|1AART|1SELL	149VULN|248LWND|3RCR|4BPWR|5SELL|6aDMG|7AART
74	24622 52323	 * 	180.34	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	18ZMB|2AART|3ERES|4RCR|58FEWX|68DMG|7SELL|8BPWR|9aVULN
75	63223 46741	   	180.09	ACR|3VULN|2DMG|1AART	14aVULN|24LWND|3RCR|4BPWR|5MBVNT|69DMG|7CGEN|8AART
76	63223 46744	   	180.09	ACR|3DMG|2VULN|1AART	14VULN|24LWND|3RCR|4BPWR|5MBVNT|69aDMG|7CGEN|8AART
77	63223 42741	   	179.99	ACR|3VULN|2DMG|1AART	14aVULN|24LWND|3RCR|4BPWR|5MBVNT|69DMG|7ERES|8AART
78	63223 42744	   	179.99	ACR|3DMG|2VULN|1AART	14VULN|24LWND|3RCR|4BPWR|5MBVNT|69aDMG|7ERES|8AART
79	63223 42774	   	179.99	ACR|3VULN|2DMG|1AART	149VULN|24LWND|3RCR|4BPWR|5MBVNT|6aDMG|7ERES|8AART
80	23312 26534	   	179.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2LHND|3DUR|4RCR|5aVULN|6CGEN|79DMG|8AART
81	63263 42741	   	179.89	ACR|3VULN|2DMG|1AART	14aVULN|2LWND|3RCR|5MBVNT|69DMG|7ERES|8AART
82	63263 42744	   	179.89	ACR|3DMG|2VULN|1AART	14VULN|2LWND|3RCR|5MBVNT|69aDMG|7ERES|8AART
83	24322 43321	   	179.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2AART|3ASPD|4RCR|5FEWX|6LIT|78VULN|9DMG|aCDMG
84	63263 36334	   	179.59	ACR|3VULN|2DMG|1AART	147VULN|27LWND|3RCR|5MBVNT|67BEXP|7BPWR|8aDMG|9AART
85	63223 43134	   	179.49	ACR|3VULN|2DMG|1AART	148VULN|24LWND|3RCR|4BPWR|5MBVNT|6aDMG|7FEWX|9AART
86	63223 47151	   	179.49	ACR|3VULN|2DMG|1AART	14aVULN|24LWND|3RCR|4BPWR|5MBVNT|67DMG|8RPLT|9AART
87	63223 47634	   	179.49	ACR|3DMG|2VULN|1AART	14VULN|24LWND|3RCR|4BPWR|5MBVNT|67aDMG|8LHND|9AART
88	63223 44134	   	179.39	ACR|3VULN|2DMG|1AART	148VULN|24LWND|3RCR|4BPWR|5MBVNT|6aDMG|7DUST|9AART
89	63263 43134	   	179.39	ACR|3VULN|2DMG|1AART	148VULN|2LWND|3RCR|5MBVNT|6aDMG|7FEWX|9AART
90	63263 44134	   	179.29	ACR|3VULN|2DMG|1AART	148VULN|2LWND|3RCR|5MBVNT|6aDMG|7DUST|9AART
91	24326 23326	 * 	178.81	ACR|3ZMB|1AART|3ASPD|1DMG|1VULN	158ZMB|2AART|358ASPD|4RCR|58BPWR|6RPLT|78TLV|9VULN|aDMG
92	23212 43516	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2LHND|35VULN|4RCR|6BELT|7ASPD|89DMG|aAART
