0	Index      	 *	Score 	Summary	Detail	
1	61114 21214	 * 	194.62	DCR|3VULN|2DMG|1AART|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|789VULN|aAART
38	61333 11543	   	178.07	DCR|3VULN|2AART|1DMG|1DUR	1DMG|2DUR|3RMIN|46AART|5BELT|79aVULN|8RCR
39	61435 33322	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|36CGEN|4AART|5CDMG|7RCR|89VULN|aZMB
40	61435 33332	   	178.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	19DMG|2DUR|36CGEN|4AART|5CDMG|7RCR|8VULN|aZMB
41	63641 33123	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	16DMG|2LHND|37VULN|49CDMG|5LIT|8RCR|aAART
42	62231 53123	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	13DMG|29CDMG|4LHND|57VULN|6LIT|8RCR|aAART
43	62261 53123	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	13DMG|29CDMG|4FEWX|57VULN|6LIT|8RCR|aAART
44	66135 33333	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|26CGEN|3FEWX|4AART|5CDMG|7RCR|8aVULN
45	34253 33622	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	1LWND|2MBVNT|36DMG|4CDMG|58aVULN|7RCR|9ZMB
46	62333 32542	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	16DMG|2CDMG|3LHND|4DUST|58aVULN|7RCR|9ZMB
47	12232 34165	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CGEN|2CDMG|37DMG|4ZMB|5DUR|6RCR|8ERES|9AART|aVULN
48	43223 16361	   	176.93	DCR|2AART|2VULN|1DMG|1CDMG	14AART|2LIT|3CDMG|5DUST|6RCR|78VULN|9DMG|aRCVC
49	43315 26131	 * 	176.81	DCR|2VULN|1AART|3ZMB|1DMG	1AART|29LIT|3FEWX|469ZMB|59VULN|7RCR|8RMIN|9BPWR|aDMG
50	43315 26221	   	176.81	DCR|2VULN|1AART|3ZMB|1DMG	1AART|28LIT|3FEWX|468ZMB|58VULN|7RCR|8BPWR|9CGEN|aDMG
51	44612 32331	 * 	176.74	DCR|3VULN|1AART|1DMG|2CDMG	1AART|28FEWX|3LHND|458VULN|68CDMG|7MBVNT|8BPWR|9DMG|aRCR
52	43111 52623	   	176.50	DCR|2AART|2VULN|1CDMG|2DUR|1ZMB	1aAART|2LIT|38VULN|4ZMB|59DUR|6CDMG|7RCR
53	13352 53333	   	176.33	DCR|3DMG|1AART|1VULN|1CDMG	1CGEN|2LHND|3AART|4CDMG|569DMG|7RCR|8VULN|aLWND
54	13352 53336	   	176.33	DCR|3DMG|1AART|1VULN|1CDMG	1aCGEN|2LHND|3AART|4CDMG|569DMG|7RCR|8VULN
55	13352 33323	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	16CGEN|2LHND|3AART|4CDMG|5DMG|7RCR|89aVULN
56	13352 53331	   	176.23	DCR|3DMG|1AART|1VULN|1CDMG	1CGEN|2LHND|3AART|4CDMG|569DMG|7RCR|8VULN|aERES
57	13352 53335	   	176.23	DCR|3DMG|1AART|1VULN|1CDMG	1CGEN|2LHND|3AART|4CDMG|569DMG|7RCR|8VULN|aNUKE
58	36512 13331	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2DUR|3AART|456VULN|7MBVNT|8CDMG|9DMG|aRCR
59	23111 23544	   	175.97	DCR|3VULN|2DMG|1AART	1BELT|2ERES|379VULN|4aDMG|5FEWX|6AART|8RCR
60	33426 35231	   	175.95	DCR|3VULN|2DMG|1CDMG|1DUR	1aLWND|2LEGI|3CGEN|4aDMG|5CDMG|6RCR|7DUR|89aVULN|aBPWR
61	61115 42111	 * 	175.82	DCR|2AART|2DMG|1VULN|3DUR	13DMG|234DUR|3BPWR|59AART|6RCR|7VULN|8CGEN|aDMSP
62	61115 42112	   	175.82	DCR|2AART|2DMG|1VULN|3DUR	13DMG|234DUR|3BPWR|59AART|6RCR|7VULN|8CGEN|aLIT
63	61115 42113	   	175.82	DCR|2AART|2DMG|1VULN|3DUR	13DMG|234DUR|3BPWR|59AART|6RCR|7VULN|8CGEN|aRPLT
64	66135 33323	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|26CGEN|3FEWX|4AART|5CDMG|7RCR|89aVULN
65	43222 12325	   	175.72	DCR|2AART|2VULN|1DMG|1CDMG	14AART|2LIT|3CDMG|5LWND|6RCR|7FEWX|89VULN|aDMG
66	43222 12362	   	175.72	DCR|2AART|2VULN|1DMG|1CDMG	14AART|2LIT|3CDMG|5LWND|6RCR|7FEWX|8aVULN|9DMG
67	43223 16362	   	175.62	DCR|2AART|2VULN|1DMG|1CDMG	14AART|2LIT|3CDMG|5DUST|6RCR|78VULN|9DMG|aBELT
68	33354 11212	   	175.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1aLWND|2LEGI|3DUR|4AART|5aDMG|6ASPD|7CGEN|8RCR|9aVULN|aBPWR
69	33354 12212	   	175.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1aLWND|2LEGI|3DUR|4AART|5aDMG|6ASPD|7MLV|8RCR|9aVULN|aBPWR
70	33354 53212	   	175.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1aLWND|2LEGI|3DUR|4AART|5aDMG|6CGEN|7ASPD|8RCR|9aVULN|aBPWR
71	34253 33425	   	175.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1LWND|2MBVNT|36DMG|4CDMG|5VULN|7RCR|8AART|9ZMB|aASPD
72	44312 13131	 * 	175.48	DCR|4VULN|1AART|1DMG	1AART|2FEWX|3DUST|456aVULN|7CGEN|8RCR|9DMG
73	61115 41123	   	175.38	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	13DMG|234DUR|3BPWR|5AART|6RCR|7RPLT|8ZMB|9LHND|aVULN
74	61115 41131	   	175.38	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	13DMG|234DUR|3BPWR|5AART|6RCR|7RPLT|8ZMB|9CGEN|aVULN
75	61115 41213	   	175.38	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	13DMG|234DUR|3BPWR|5AART|6RCR|7RPLT|8BEXP|9ZMB|aVULN
76	61115 42133	   	175.38	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	13DMG|234DUR|3BPWR|5AART|6RCR|7VULN|8CGEN|9FEWX|aZMB
77	61115 41311	   	175.28	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	13DMG|234DUR|3BPWR|5AART|6RCR|7RPLT|8ERES|9ZMB|aVULN
78	43311 52621	 * 	175.25	DCR|2AART|2VULN|2ZMB|1CDMG|1DUR	1aAART|29LIT|3FEWX|49ZMB|5DUR|6CDMG|7RCR|89VULN|9BPWR
79	41412 61221	   	175.19	DCR|5VULN|1AART|1DUR	1AART|2ERES|3579aVULN|4BELT|6DUR|8RCR
80	44312 13136	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|3DUST|456VULN|7CGEN|8RCR|9DMG|aCDMG
81	62333 32143	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	16DMG|2CDMG|3LHND|4DUST|5VULN|7RCR|8DUR|9AART|aZMB
82	61125 32251	   	174.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DMG|23DUR|3BPWR|4DUST|5VULN|6AART|7CDMG|8ZMB|9RMIN|aRCR
83	62521 24233	 * 	174.81	DCR|3DMG|3CDMG|1AART|1ASPD|1SELL	157DMG|235CDMG|4SELL|57BPWR|6RCR|8AART|9LIT|aASPD
84	61125 32241	   	174.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DMG|23DUR|3BPWR|4DUST|5VULN|6AART|7CDMG|8ZMB|9TLV|aRCR
85	61353 15211	   	174.76	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	148DMG|2DUR|3RMIN|5ASPD|6AART|7RCR|9VULN|aDMSP
86	61353 15212	   	174.76	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	148DMG|2DUR|3RMIN|5ASPD|6AART|7RCR|9VULN|aLWND
87	61353 15213	   	174.76	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	148DMG|2DUR|3RMIN|5ASPD|6AART|7RCR|9VULN|aRPLT
88	13334 65131	   	174.38	DCR|4VULN|1AART|1DMG	1CGEN|2LHND|3AART|456aVULN|7LWND|8RCR|9DMG
89	13334 63131	   	174.28	DCR|4VULN|1AART|1DMG	1CGEN|2LHND|3AART|456aVULN|7DUST|8RCR|9DMG
90	23154 23125	 * 	174.17	DCR|4VULN|1AART|3DUR	1BELT|28aERES|389aVULN|4RCVC|58aDUR|6AART|7RCR|8aBPWR
91	41413 26312	   	174.17	DCR|3VULN|2DMG|1AART	1AART|29ERES|389VULN|4BELT|5DUST|6CGEN|79DMG|9BPWR|aRCR
92	63121 21253	   	174.16	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|23LHND|3BPWR|4CDMG|58VULN|6DMSP|7RCR|9LIT|aAART
93	63125 51232	   	174.16	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|23LHND|3BPWR|4CDMG|5CGEN|6MLV|7RCR|89VULN|aAART
94	63141 51232	   	174.16	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|234LHND|3BPWR|5LWND|6CDMG|7RCR|89VULN|aAART
95	62252 21242	   	174.10	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	13DMG|2CDMG|45DUR|6BEXP|7RCR|8aVULN|9ZMB
96	12251 51232	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2CDMG|34DMG|5LHND|6MLV|7RCR|89VULN|aAART
97	62231 21253	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4LHND|58VULN|6DMSP|7RCR|9LIT|aAART
98	62235 51232	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4LHND|5CGEN|6MLV|7RCR|89VULN|aAART
99	62261 21253	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4FEWX|58VULN|6DMSP|7RCR|9LIT|aAART
100	63121 21244	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|23LHND|3BPWR|4CDMG|58VULN|6DMSP|7RCR|9ERES|aAART
101	63125 21232	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|23LHND|3BPWR|4CDMG|5CGEN|6TLV|7RCR|89VULN|aAART
102	12251 21232	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2CDMG|34DMG|5LHND|6TLV|7RCR|89VULN|aAART
103	62151 51232	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	14DMG|2CDMG|3TLV|5LHND|6MLV|7RCR|89VULN|aAART
104	62231 21244	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4LHND|58VULN|6DMSP|7RCR|9ERES|aAART
105	62235 21232	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4LHND|5CGEN|6TLV|7RCR|89VULN|aAART
106	62241 21233	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4DUST|58VULN|6DMSP|7RCR|9LIT|aAART
107	63121 21264	   	173.92	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	13DMG|23LHND|3BPWR|4CDMG|58VULN|6DMSP|7RCR|9SELL|aAART
108	43124 31523	   	173.91	DCR|3VULN|1AART|1DMG|2DUR	1AART|24aLIT|34aVULN|4aBPWR|5RPLT|6VENICY|7DMG|8RCR|9aDUR
109	13334 63136	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2LHND|3AART|456VULN|7DUST|8RCR|9DMG|aCDMG
110	62231 21264	   	173.82	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	13DMG|2CDMG|4LHND|58VULN|6DMSP|7RCR|9SELL|aAART
111	41412 61231	   	173.80	DCR|4VULN|2AART|1DUR	19AART|2ERES|357aVULN|4BELT|6DUR|8RCR
112	34213 28444	 * 	173.78	ACR|3VULN|3DMG|1ASPD	18aLWND|2MBVNT|38aDMG|4ASPD|5RCR|6LHND|78aVULN|8aBPWR|9RPLT
113	43111 52161	   	173.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2LIT|3VULN|4ZMB|5DUR|6CDMG|7RCR|8CGEN|9DMG
114	43111 52361	   	173.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2LIT|3VULN|4ZMB|5DUR|6CDMG|7RCR|8MLV|9DMG
115	12232 33545	 * 	173.48	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1CGEN|2CDMG|3DMG|4ZMB|5DUR|6RCR|7BEXP|8VULN|9AART|aFLTHEA
116	63121 53143	   	173.37	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|23LHND|3BPWR|4CDMG|57VULN|6LIT|8RCR|9RCVC|aAART
117	62251 21243	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	13DMG|2CDMG|4DUR|58aVULN|6DMSP|7RCR|9ERES
118	62333 32536	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	16DMG|2CDMG|3LHND|4DUST|589VULN|7RCR|aDUR
119	34253 33143	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	1LWND|2MBVNT|36DMG|4CDMG|59aVULN|7RCR|8DUR
120	62231 53143	   	173.27	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2CDMG|4LHND|57VULN|6LIT|8RCR|9RCVC|aAART
121	62242 22231	   	173.25	DCR|3DMG|2VULN|1CDMG|1DUR	13aDMG|2CDMG|4aDUST|5DUR|6LEGI|7RCR|8ERES|9aVULN|aBPWR
122	62242 22431	   	173.25	DCR|3DMG|2VULN|1CDMG|1DUR	13aDMG|2CDMG|4aDUST|5DUR|6LEGI|7RCR|8TLV|9aVULN|aBPWR
123	34213 31681	 * 	173.23	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LWND|2MBVNT|3aDMG|4ASPD|5RCR|6CGEN|7aVULN|8ZMB|9aCDMG|aBPWR
124	34253 33418	   	173.23	DCR|3DMG|1AART|1VULN|1CDMG	1aLWND|2MBVNT|36aDMG|4CDMG|5VULN|7RCR|8AART|9aERES|aBPWR
125	62251 21261	   	173.21	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	13DMG|2CDMG|4DUR|58aVULN|6DMSP|7RCR|9SELL
126	43223 16343	   	172.88	DCR|2AART|2VULN|2CDMG|1ZMB	14AART|2LIT|3aCDMG|5DUST|6RCR|78VULN|9ZMB
127	46412 23121	   	172.86	DCR|4VULN|1AART|2DUR	1AART|28DUR|38MLV|4BELT|589aVULN|6RCVC|7RCR|8BPWR
128	62231 21141	   	172.83	DCR|3DMG|2VULN|2CDMG	139DMG|2aCDMG|4LHND|5aVULN|6DMSP|7RCR|8aERES|aBPWR
129	62261 21141	   	172.83	DCR|3DMG|2VULN|2CDMG	139DMG|2aCDMG|4FEWX|5aVULN|6DMSP|7RCR|8aERES|aBPWR
130	62124 34331	   	172.75	DCR|2VULN|2DMG|3CDMG|1DUR	17DMG|27aCDMG|3TLV|4DUST|57aLHND|6RCR|7aBPWR|8DUR|9aVULN
131	62241 21141	   	172.73	DCR|3DMG|2VULN|2CDMG	139DMG|2aCDMG|4DUST|5aVULN|6DMSP|7RCR|8aERES|aBPWR
132	62251 53123	   	172.72	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13DMG|29CDMG|4DUR|57VULN|6LIT|8RCR|aZMB
133	41122 62226	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ERES|3FEWX|4CDMG|5DMG|69VULN|7ASPD|8ZMB|aRCR
134	41122 62236	   	172.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ERES|3FEWX|4CDMG|59DMG|6VULN|7ASPD|8ZMB|aRCR
135	41322 62226	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ERES|3BEXP|4CDMG|5DMG|69VULN|7ASPD|8ZMB|aRCR
136	41322 62236	   	172.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ERES|3BEXP|4CDMG|59DMG|6VULN|7ASPD|8ZMB|aRCR
137	44312 32231	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3DUST|45VULN|6CDMG|7ASPD|8ZMB|9DMG|aRCR
138	46312 42231	   	172.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3DUST|45VULN|6NUKE|7CDMG|8ZMB|9DMG|aRCR
139	12232 32326	   	172.41	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	1CGEN|2CDMG|389DMG|4ZMB|5DUR|6RCR|7RMIN|aAART
140	62521 22531	   	172.41	DCR|2VULN|2DMG|3CDMG|1DUR|1SELL	15DMG|235CDMG|4SELL|5BPWR|6RCR|7CGEN|8aVULN|9DUR
141	12232 34124	   	172.31	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	1CGEN|2CDMG|379DMG|4ZMB|5DUR|6RCR|8ERES|aAART
142	62132 32326	   	172.31	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	189DMG|2CDMG|3TLV|4ZMB|5DUR|6RCR|7RMIN|aAART
143	62521 23235	   	172.31	DCR|2VULN|2DMG|3CDMG|1DUR|1SELL	15DMG|235CDMG|4SELL|5BPWR|6RCR|7DUST|89VULN|aDUR
144	62132 34124	   	172.21	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	179DMG|2CDMG|3TLV|4ZMB|5DUR|6RCR|8ERES|aAART
145	61113 53731	   	172.13	DCR|3DMG|1AART|1VULN|3DUR	136DMG|234DUR|3BPWR|5MBVNT|7VULN|8RCR|9RPLT|aAART
146	13352 43324	   	172.12	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|2LHND|36AART|4CDMG|5DMG|7RCR|89VULN|aFEWX
147	13352 43334	   	172.12	DCR|2AART|2DMG|1VULN|1CDMG	1CGEN|2LHND|36AART|4CDMG|59DMG|7RCR|8VULN|aFEWX
148	34618 44331	   	172.12	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	18LWND|2MBVNT|3AART|47VULN|58CDMG|68DUR|8BPWR|9DMG|aRCR
149	23111 23564	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2ERES|37aVULN|4DMG|5FEWX|6AART|8RCR|9CDMG
150	34213 28436	 * 	172.02	ACR|4VULN|2DMG|1ASPD	18LWND|2MBVNT|38DMG|4ASPD|5RCR|6LHND|789aVULN|8BPWR
151	13352 43321	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|2LHND|36AART|4CDMG|5DMG|7RCR|89VULN|aMBVNT
152	13352 43331	   	172.02	DCR|2AART|2DMG|1VULN|1CDMG	1CGEN|2LHND|36AART|4CDMG|59DMG|7RCR|8VULN|aMBVNT
153	62632 42333	 * 	171.91	DCR|3DMG|1AART|2CDMG|2DUR	16aDMG|2aCDMG|39BEXP|4DUST|5aDUR|7RCR|8AART|aBPWR
154	62521 21333	 * 	171.68	DCR|2DMG|3CDMG|1AART|1VULN|1SELL	15DMG|235CDMG|4SELL|5BPWR|6RCR|7LIT|8RMIN|9AART|aVULN
155	13352 53125	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2LHND|3AART|4CDMG|56DMG|7RCR|8BEXP|9VULN|aZMB
156	13352 33322	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16CGEN|2LHND|3AART|4CDMG|5DMG|7RCR|89VULN|aZMB
157	13352 33332	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	16CGEN|2LHND|3AART|4CDMG|59DMG|7RCR|8VULN|aZMB
158	62521 21533	 * 	171.58	DCR|2DMG|3CDMG|1AART|1VULN|1SELL	15DMG|235CDMG|4SELL|5BPWR|6RCR|7LIT|8TLV|9AART|aVULN
159	13352 53341	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2LHND|3AART|4CDMG|56DMG|7RCR|8VULN|9TLV|aZMB
160	23154 23135	 * 	171.52	DCR|3VULN|2AART|3DUR	1BELT|28aERES|38aVULN|4RCVC|58aDUR|69AART|7RCR|8aBPWR
161	43111 26221	   	171.46	DCR|1AART|3ZMB|1DMG|1VULN|2DUR	1AART|28LIT|3VULN|468ZMB|58DUR|7RCR|8BPWR|9CGEN|aDMG
162	43111 26325	   	171.46	DCR|1AART|3ZMB|1DMG|1VULN|2DUR	1AART|29LIT|3VULN|469ZMB|59DUR|7RCR|8RPLT|9BPWR|aDMG
163	61114 21211	   	171.41	DCR|3VULN|2DMG|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|789VULN|aRMIN
164	61114 21212	   	171.41	DCR|3VULN|2DMG|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|789VULN|aLWND
165	61114 21213	   	171.41	DCR|3VULN|2DMG|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|789VULN|aBEXP
166	61114 21216	   	171.41	DCR|3VULN|2DMG|3DUR	13DMG|234DUR|3BPWR|5LIT|6RCR|789VULN|aCGEN
