0	Index      	 *	Score 	Summary	Detail	
1	26121 22233	 * 	187.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8BEXP|9aVULN
59	26121 22133	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ERES|9LIT|aVULN
60	26121 22144	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ERES|9LWND|aVULN
61	26121 22231	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1aDUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8BEXP|9VULN
62	26121 22631	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1aDUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8FEWX|9VULN
63	26112 41633	   	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|58BEXP|6ZMB|7AART|9aVULN
64	26125 22235	   	169.58	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG	15DUST|2CDMG|3DMG|45aZMB|5BPWR|6AART|7RCR|8BEXP|9VULN
65	26126 22235	   	169.58	DCR|3ZMB|1AART|1VULN|1DMG|1CDMG	1DUST|2CDMG|3DMG|45aZMB|6AART|7RCR|8BEXP|9VULN
66	26121 25324	   	169.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2CDMG|35DMG|4ZMB|6AART|7VULN|8DUR|9LIT|aRCR
67	26112 41233	   	169.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18DUST|2CDMG|3DMG|4RCR|5BEXP|6ZMB|7AART|9aVULN
68	26112 44211	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5BEXP|6ZMB|7aVULN|8AART|9RMIN
69	26112 44223	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|59BEXP|6ZMB|7aVULN|8AART
70	26112 64211	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5BEXP|6RMIN|7aVULN|8AART|9ZMB
71	26113 26211	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6FEWX|7ZMB|8AART|9RMIN
72	26113 26226	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6FEWX|7ZMB|8AART|9BEXP
73	26113 26251	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6FEWX|7ZMB|8AART|9CGEN
74	26113 42211	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6ZMB|7BEXP|8AART|9RMIN
75	26113 42223	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6ZMB|79BEXP|8AART
76	26113 42251	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6ZMB|7BEXP|8AART|9CGEN
77	26113 62211	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6RMIN|7BEXP|8AART|9ZMB
78	26112 14211	   	168.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5BEXP|6ERES|7aVULN|8AART|9ZMB
79	26113 13211	   	168.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6ERES|7BEXP|8AART|9ZMB
80	26113 21211	   	168.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6FEWX|7TLV|8AART|9ZMB
81	26113 22211	   	168.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6FEWX|7ERES|8AART|9ZMB
82	26113 26231	   	168.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5aVULN|6FEWX|7ZMB|8AART|9TLV
83	12435 52113	 * 	168.78	DCR|2DMG|1AART|1VULN|3DUR	1RCVC|28aDUR|38DMG|4AART|58DUST|6RCR|7MBVNT|8BPWR|9VULN
84	31161 12624	   	168.73	ACR|3VULN|2DMG|1ZMB|1DUR	1ERES|2aDMG|348VULN|5RCR|6LHND|7DUR|9ZMB
85	33153 43261	 * 	168.68	DCR|3DMG|2VULN|1ASPD|2RCVC	17aERES|25RCVC|37aDMG|47LWND|6RCR|7aBPWR|8ASPD|9aVULN
86	11126 31381	   	168.64	ACR|3DMG|2VULN|1CDMG	1RCVC|29MLV|349DMG|5RCR|6BELT|7MBVNT|89VULN|9BPWR|aCDMG
87	33126 16351	   	168.37	ACR|3DMG|2VULN|1DUR|1ASPD	17aERES|2RCVC|34aDMG|5RCR|6ASPD|8DUR|9aVULN|aBPWR
88	31161 54331	 * 	168.24	ACR|3VULN|2DMG|2ZMB	1aERES|2aDMG|348VULN|5RCR|6RCVC|7LWND|9aZMB|aBPWR
89	31353 43261	   	168.08	DCR|3DMG|2VULN|1ASPD	17aERES|27aDMG|37LWND|45RCVC|6RCR|7aBPWR|8ASPD|9aVULN
90	26161 42335	 * 	167.82	DCR|3DMG|1AART|2ASPD|1CDMG	178DUST|2CDMG|389DMG|4MBVNT|58ASPD|6RCR|8BPWR|aAART
91	26116 21512	   	167.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|5MLV|6ZMB|79VULN|8DMSP|aAART
92	26116 22312	   	167.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4RCR|57MLV|6ZMB|89VULN|aAART
93	26613 32335	   	167.77	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	15DUST|2CDMG|3AART|4DMG|6ASPD|7RCR|8DUR|9VULN|aZMB
94	26116 21412	   	167.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18DUST|2CDMG|3DMG|4RCR|5MLV|6ZMB|79VULN|aAART
95	26116 24312	   	167.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17DUST|2CDMG|3DMG|4RCR|5MLV|6ZMB|89VULN|aAART
96	31141 24211	   	167.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3aVULN|4FEWX|5RCR|6AART|7CDMG|8DUST|9ZMB
97	31331 24453	 * 	167.53	ACR|2VULN|2DMG|2CDMG|2DUR	1ERES|2aDMG|3LWND|4LHND|5RCR|6aDUR|79VULN|8aCDMG|aBPWR
98	26161 41437	   	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|4MBVNT|5ASPD|6RCR|7AART|8FEWX|9aVULN
99	26161 41532	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2CDMG|38DMG|4MBVNT|5ASPD|6RCR|7AART|9VULN|aBEXP
100	26161 41533	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2CDMG|38DMG|4MBVNT|5ASPD|6RCR|7AART|9VULN|aMLV
101	26161 41534	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2CDMG|38DMG|4MBVNT|5ASPD|6RCR|7AART|9VULN|aLHND
102	26161 41743	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2CDMG|39DMG|4MBVNT|5ASPD|6RCR|7AART|8BEXP|aVULN
103	26613 32233	   	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	15DUST|2CDMG|3AART|4DMG|6ASPD|7RCR|8BEXP|9aVULN
104	26161 41531	   	167.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1aDUST|2CDMG|38DMG|4MBVNT|5ASPD|6RCR|7AART|9VULN
105	26346 21112	   	167.30	ACR|3VULN|1AART|2CDMG|1ZMB	1DUST|23CDMG|479VULN|5RCR|6ZMB|8LHND|aAART
106	26346 21322	   	167.30	ACR|3VULN|1AART|2CDMG|1ZMB	1DUST|23CDMG|478VULN|5RCR|6ZMB|9LWND|aAART
107	16412 22333	   	167.28	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2aCDMG|3AART|4ASPD|5DMG|6BEXP|7RCR|8DUR|9VULN
108	16412 32313	   	167.28	DCR|1AART|1VULN|1DMG|2CDMG|1DUR|1ASPD	1RCVC|2aCDMG|3AART|4ASPD|5DMG|6VULN|7RCR|8DUR|9LWND
109	16412 32343	   	167.28	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2aCDMG|3AART|4ASPD|5DMG|6VULN|7RCR|8DUR|9BEXP
110	16412 32353	   	167.28	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2aCDMG|3AART|4ASPD|5DMG|6VULN|7RCR|8DUR|9LHND
111	16412 32433	   	167.28	DCR|1AART|1VULN|1DMG|2CDMG|1DUR|1ASPD	1RCVC|2aCDMG|3AART|4ASPD|5DMG|6VULN|7RCR|8LWND|9DUR
112	16424 32333	   	167.28	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2aCDMG|3AART|4BEXP|5DMG|6ASPD|7RCR|8DUR|9VULN
113	26133 11145	 * 	167.12	DCR|2DMG|2AART|1VULN|1CDMG	1DUST|2CDMG|35DMG|4BELT|6MBVNT|79AART|8RCR|aVULN
114	22114 51621	 * 	167.11	DCR|3DMG|1AART|1VULN|2DUR	17DUST|2LIT|3RPLT|4AART|578DMG|67DUR|7BPWR|9VULN|aRCR
115	16412 32532	 * 	166.96	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD	1RCVC|2aCDMG|3AART|48ASPD|5DMG|6VULN|7RCR|9DMSP
116	26116 13316	   	166.93	ACR|3DMG|2VULN|1CDMG	1aDUST|2CDMG|39aDMG|4RCR|5MLV|6RPLT|7BEXP|8aVULN|aBPWR
117	26121 22551	 * 	166.82	DCR|2DMG|1AART|2CDMG|2ZMB|1ASPD	1DUST|29CDMG|35DMG|4aZMB|6AART|7RCR|8ASPD
118	26161 45211	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|4MBVNT|5ASPD|6RCR|7aVULN|8AART|9RMIN
119	33124 42326	   	166.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2RCVC|34DMG|5FEWX|6RCR|7DUR|8VULN|9ZMB|aAART
120	26161 45231	   	166.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|4MBVNT|5ASPD|6RCR|7aVULN|8AART|9TLV
121	14436 32333	   	166.68	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2FEWX|3DMG|4AART|5aCDMG|6ASPD|7RCR|8DUR|9VULN
122	26335 61323	 * 	166.60	DCR|2VULN|3CDMG|1AART|2DUR|1ZMB	1DUST|235CDMG|45DUR|5BPWR|6ZMB|7AART|89VULN|aRCR
123	31161 11552	   	166.44	ACR|3VULN|3DMG	178ERES|29aDMG|34aVULN|5RCR|6aLHND|aBPWR
124	26112 36235	 * 	166.42	ACR|2DMG|3ZMB|1AART|1CDMG	19DUST|2CDMG|39DMG|4RCR|5BEXP|6LHND|79aZMB|8AART|9BPWR
125	11124 41261	   	166.41	DCR|3DMG|2VULN|1ASPD	1RCVC|27aMLV|34aDMG|5FEWX|6RCR|8ASPD|9aVULN|aBPWR
126	53436 32333	   	166.38	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1FEWX|2RCVC|3DMG|4AART|5aCDMG|6ASPD|7RCR|8DUR|9VULN
127	26343 23131	 * 	166.33	DCR|2VULN|1AART|2CDMG|2ZMB|1FLTHEA	1DUST|23CDMG|45VULN|6AART|79ZMB|8FLTHEA|aRCR
128	26315 11331	 * 	166.33	DCR|2VULN|3CDMG|1AART|1DMG	14DUST|234CDMG|4BPWR|5RPLT|67VULN|8RCR|9DMG|aAART
129	31121 32165	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|37VULN|4LWND|5RCR|6LHND|8CDMG|9AART|aZMB
130	31361 32165	   	166.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3LWND|47VULN|5RCR|6LHND|8CDMG|9AART|aZMB
131	31161 15331	   	165.74	ACR|3VULN|2DMG|2ZMB	1aERES|2aDMG|348VULN|5RCR|67LHND|9aZMB|aBPWR
132	31161 11331	   	165.64	ACR|3VULN|2DMG|2ZMB	17aERES|2aDMG|348VULN|5RCR|6LHND|9aZMB|aBPWR
133	31161 41331	   	165.64	ACR|3VULN|2DMG|2ZMB	17aERES|2aDMG|348VULN|5RCR|6LWND|9aZMB|aBPWR
134	26141 22332	   	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|35DMG|4TLV|6AART|7RCR|8DUR|9VULN|aBEXP
135	26141 22333	   	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|35DMG|4TLV|6AART|7RCR|8DUR|9VULN|aMLV
136	26141 22336	   	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|35DMG|4TLV|6AART|7RCR|8DUR|9VULN|aFEWX
137	26141 22343	   	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|35DMG|4TLV|6AART|7RCR|8DUR|9BEXP|aVULN
138	26141 22533	   	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2CDMG|35DMG|4TLV|6AART|7RCR|8ASPD|9LIT|aVULN
139	31331 24413	 * 	165.59	ACR|3DMG|1VULN|2CDMG|2DUR	1ERES|29aDMG|3LWND|4LHND|5RCR|6aDUR|7VULN|8aCDMG|aBPWR
140	26141 22331	   	165.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1aDUST|2CDMG|35DMG|4TLV|6AART|7RCR|8DUR|9VULN
141	26161 48331	 * 	165.51	DCR|2DMG|1AART|3ASPD|1CDMG|1DUR	18DUST|2CDMG|38DMG|4MBVNT|578ASPD|6RCR|8BPWR|9DUR|aAART
142	11126 15632	   	165.44	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2MLV|34DMG|5RCR|6ASPD|7FEWX|8CDMG|9VULN|aAART
143	16412 32134	   	165.38	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1RCVC|2CDMG|3aAART|4ASPD|5DMG|6VULN|7RCR|8ERES|9LIT
144	33126 15632	   	165.04	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ERES|2RCVC|34DMG|5RCR|6ASPD|7FEWX|8CDMG|9VULN|aAART
145	26111 42233	   	165.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	19DUST|2CDMG|39DMG|4RCR|5ASPD|6LWND|79BEXP|8AART|9BPWR|aVULN
146	12435 52144	   	164.96	DCR|2DMG|1AART|1VULN|2DUR	1RCVC|28DUR|38DMG|4AART|58DUST|6RCR|7MBVNT|8BPWR|9LWND|aVULN
147	26111 44211	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|4RCR|5ASPD|6LWND|7aVULN|8AART|9RMIN
148	26113 33513	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2CDMG|3DMG|4RCR|57VULN|6LHND|8AART|9BEXP|aDUR
149	26113 33533	   	164.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2CDMG|3DMG|4RCR|57VULN|6LHND|8AART|9LWND|aDUR
150	26121 24361	   	164.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7ERES|8RMIN|9RCR|aVULN
151	12435 52111	   	164.86	DCR|2DMG|1AART|1VULN|2DUR	1RCVC|28DUR|38DMG|4AART|58aDUST|6RCR|7MBVNT|8BPWR|9VULN
152	12435 52112	   	164.86	DCR|2DMG|1AART|1VULN|2DUR	1RCVC|28DUR|38DMG|4AART|58DUST|6RCR|7MBVNT|8BPWR|9VULN|aERES
153	12435 52414	   	164.86	DCR|2VULN|1AART|1DMG|2DUR	1RCVC|28DUR|3DMG|4AART|5DUST|6RCR|7MBVNT|9aVULN
154	26111 44231	   	164.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3DMG|4RCR|5ASPD|6LWND|7aVULN|8AART|9TLV
