0	Index      	 *	Score 	Summary	Detail	
1	33261 13526	 * 	194.35	DCR|2VULN|2DMG|1AART|2CDMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|45VULN|68CDMG|7AART|8BPWR|9LIT|aRCR
12	33252 23643	   	185.87	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR|1ZMB	19DUR|28DMG|39ASPD|4CDMG|5RCR|6ZMB|79VULN|9BPWR|aMLV
13	53428 13314	   	184.89	ACR|3VULN|3DMG|1CDMG	1RPLT|25aDMG|3RCR|4MBVNT|6CDMG|789VULN
14	33312 63641	   	184.15	DCR|3DMG|2VULN|1CDMG|2DUR	19DUR|289DMG|3BEXP|4CDMG|5RCVC|6RCR|79VULN|9BPWR|aLHND
15	33312 63642	   	184.15	DCR|3DMG|2VULN|1CDMG|2DUR	19DUR|289DMG|3BEXP|4CDMG|5RCVC|6RCR|79VULN|9BPWR|aDMSP
16	53411 41322	   	183.41	ACR|3DMG|2VULN|1CDMG|1ASPD|1DUR	1RPLT|267DMG|3RCR|47VULN|57CGEN|7BPWR|8ASPD|9CDMG|aDUR
17	53428 13312	 * 	183.34	ACR|4VULN|2DMG|1CDMG	1RPLT|25DMG|3RCR|4MBVNT|6CDMG|789aVULN
18	11126 51252	   	183.33	ACR|3VULN|2DMG|1AART|1DUR	1DUST|2DUR|39aVULN|48DMG|5RCR|6AART|7RPLT
19	53413 41322	   	183.21	ACR|3DMG|2VULN|1CDMG|1DUR|1ASPD	1RPLT|267DMG|3RCR|47VULN|57ERES|7BPWR|8ASPD|9CDMG|aDUR
20	51352 23354	 * 	182.73	ACR|4VULN|3ZMB|1AART	1RPLT|2RCVC|3479VULN|5RCR|679ZMB|79BPWR|8MBVNT|aAART
21	51352 23252	 * 	182.70	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	1RPLT|2RCVC|347VULN|5RCR|67ZMB|7BPWR|8ASPD|9AART|aDMG
22	33113 11142	   	182.16	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|379VULN|4CDMG|5CGEN|67BEXP|7BPWR|8RCR|aAART
23	33115 61142	   	182.16	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|379VULN|4CDMG|5LHND|67MLV|7BPWR|8RCR|aAART
24	33114 11142	   	182.06	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|379VULN|4CDMG|5TLV|67BEXP|7BPWR|8RCR|aAART
25	33116 13141	   	182.06	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|27DMG|39aVULN|4CDMG|5ZMB|6BEXP|8RCR
26	31232 34252	   	181.75	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|3aDMG|4RCVC|5CDMG|6RCR|7VULN|8ASPD|9AART
27	33211 15154	   	181.21	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3ASPD|4LHND|578VULN|6AART|9CDMG|aRCR
28	33352 22623	 * 	180.92	DCR|4VULN|2DMG|3DUR	156DUR|29DMG|39BEXP|459aVULN|59BPWR|7BELT|8RCR
29	33261 13124	   	180.61	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|459VULN|6CDMG|7AART|8LWND|aRCR
30	33261 13226	   	180.61	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3ASPD|458VULN|6CDMG|7AART|9LIT|aRCR
31	33261 13254	   	180.61	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3ASPD|458VULN|6CDMG|7AART|9BEXP|aRCR
32	33431 33641	   	180.12	DCR|3VULN|2DMG|2DUR|1ZMB|2SELL	19DUR|29DMG|35SELL|479VULN|6RCR|8RCVC|9BPWR|aZMB
33	53428 43412	   	179.99	ACR|3VULN|2DMG|1AART	1RPLT|25DMG|3RCR|4MBVNT|67aVULN|8AART|9BEXP
34	53428 43431	   	179.99	ACR|3VULN|2DMG|1AART	1RPLT|25DMG|3RCR|4MBVNT|679VULN|8AART|aFEWX
35	53428 43432	   	179.99	ACR|3VULN|2DMG|1AART	1RPLT|25DMG|3RCR|4MBVNT|679VULN|8AART|aMLV
36	53428 43434	   	179.99	ACR|3VULN|2DMG|1AART	1aRPLT|25DMG|3RCR|4MBVNT|679VULN|8AART
37	53318 73412	   	179.57	DCR|3VULN|2DMG|1AART	1RPLT|25DMG|3MBVNT|47aVULN|6RCR|8AART|9BEXP
38	53318 73431	   	179.57	DCR|3VULN|2DMG|1AART	1RPLT|25DMG|3MBVNT|479VULN|6RCR|8AART|aFEWX
39	53318 73432	   	179.57	DCR|3VULN|2DMG|1AART	1RPLT|25DMG|3MBVNT|479VULN|6RCR|8AART|aMLV
40	53318 73434	   	179.57	DCR|3VULN|2DMG|1AART	1aRPLT|25DMG|3MBVNT|479VULN|6RCR|8AART
41	33262 13526	   	179.56	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4VULN|5RCVC|68CDMG|7AART|8BPWR|9LIT|aRCR
42	11126 53252	   	179.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|37aVULN|4DMG|5RCR|6AART|8FEWX|9CDMG
43	11126 53352	   	179.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|37aVULN|4DMG|5RCR|6AART|8BEXP|9CDMG
44	33252 21242	   	179.38	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4CDMG|5RCR|6ZMB|7MLV|89VULN|aAART
45	33252 23242	   	179.38	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4CDMG|5RCR|6ZMB|79VULN|8CGEN|aAART
46	53428 43442	   	179.29	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3RCR|4MBVNT|67VULN|8AART|9CDMG|aRCVC
47	33252 22242	   	179.28	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4CDMG|5RCR|6ZMB|7TLV|89VULN|aAART
48	33252 23612	   	179.28	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1DUR|28DMG|3ASPD|4CDMG|5RCR|6ZMB|7VULN|9ERES|aAART
49	33252 23652	   	179.28	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1DUR|28DMG|3ASPD|4CDMG|5RCR|6ZMB|7VULN|9TLV|aAART
50	53411 41231	 * 	178.99	ACR|3DMG|2VULN|1AART	1RPLT|267DMG|3RCR|47VULN|57CGEN|7BPWR|8DUST|9RMIN|aAART
51	53318 73442	   	178.87	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3MBVNT|47VULN|6RCR|8AART|9CDMG|aRCVC
52	53413 41231	   	178.79	ACR|3DMG|2VULN|1AART	1RPLT|267DMG|3RCR|47VULN|57ERES|7BPWR|8DUST|9RMIN|aAART
53	33113 15142	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|27DMG|39VULN|4CDMG|5CGEN|6BEXP|8RCR|aAART
54	33116 16141	 * 	178.57	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|379aVULN|4CDMG|5ZMB|6BEXP|8RCR
55	33352 36133	   	178.52	DCR|4VULN|2DMG|3DUR	158DUR|28DMG|3BEXP|457aVULN|58BPWR|68LWND|9RCR
56	33114 15142	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|27DMG|39VULN|4CDMG|5TLV|6BEXP|8RCR|aAART
57	53428 43443	   	177.88	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3RCR|4MBVNT|67VULN|8AART|9CDMG|aERES
58	33442 23226	 * 	177.85	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR|1SELL	1DUR|2DMG|3SELL|46ZMB|5RCR|7AART|89VULN|aCDMG
59	33232 64631	   	177.76	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3ASPD|4BELT|5AART|6RCR|7FEWX|89aVULN
60	53318 73443	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3MBVNT|47VULN|6RCR|8AART|9CDMG|aERES
61	11126 51213	 * 	177.38	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|2DUR|3VULN|48DMG|5RCR|6AART|7RPLT|9CDMG|aFLTHEA
62	33146 51213	   	177.38	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	1DUR|28DMG|3VULN|4DUST|5RCR|6AART|7RPLT|9CDMG|aFLTHEA
63	12316 33482	 * 	176.96	DCR|2VULN|2DMG|1AART|1FLTHEA	18DUST|29VULN|38LIT|48DMG|5AART|6MBVNT|7RCR|8BPWR|aFLTHEA
64	53428 13324	   	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3RCR|4MBVNT|6CDMG|78VULN|9ERES|aAART
65	53428 13344	   	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|25DMG|3RCR|4MBVNT|6CDMG|78VULN|9TLV|aAART
66	33113 16142	   	176.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|379VULN|4CDMG|5CGEN|6BEXP|8RCR|aAART
67	33114 16142	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|379VULN|4CDMG|5TLV|6BEXP|8RCR|aAART
68	33115 35142	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|369VULN|4CDMG|5LHND|7ERES|8RCR|aAART
69	53411 41321	   	176.47	ACR|3DMG|2VULN|1CDMG|1ASPD	1RPLT|267DMG|3RCR|47VULN|57CGEN|7BPWR|8ASPD|9CDMG|aLHND
70	33261 13114	 * 	176.40	DCR|2VULN|2AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|45VULN|6CDMG|79AART|8LWND|aRCR
71	53413 41321	   	176.27	ACR|3DMG|2VULN|1CDMG|1ASPD	1RPLT|267DMG|3RCR|47VULN|57ERES|7BPWR|8ASPD|9CDMG|aLHND
72	53428 13333	   	176.17	ACR|3VULN|2DMG|1CDMG|1DUR	1RPLT|25DMG|3RCR|4MBVNT|6CDMG|78aVULN|9DUR
73	33435 33142	   	175.71	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1DUR|27DMG|3SELL|49VULN|5LHND|6ZMB|8RCR|aAART
74	53314 73444	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2DMG|3MBVNT|47aVULN|5DMSP|6RCR|8AART|9CDMG
75	34132 61314	 * 	175.42	DCR|4VULN|1AART|1DMG|1DUR	1DUR|24MLV|3468VULN|4BPWR|5AART|7RPLT|9DMG|aRCR
76	22331 13515	   	175.26	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|25VULN|3LIT|4AART|6FEWX|7CDMG|8RCR|9aDMG
77	62331 13515	   	175.26	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|25VULN|3LIT|4AART|6FEWX|7CDMG|8RCR|9aDMG
78	11126 53226	 * 	175.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUST|2DUR|37VULN|4DMG|5RCR|69AART|8FEWX|aCDMG
79	11126 53326	   	175.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUST|2DUR|37VULN|4DMG|5RCR|69AART|8BEXP|aCDMG
80	22334 23515	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|26VULN|3LIT|4AART|5DUST|7CDMG|8RCR|9aDMG
81	31223 35242	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	12DUR|37DMG|4RPLT|5CGEN|6RCR|89VULN|aAART
82	31224 35242	   	174.95	DCR|2VULN|2DMG|1AART|2DUR	12DUR|37DMG|4RPLT|5TLV|6RCR|89VULN|aAART
83	33312 63541	   	174.81	DCR|2VULN|2DMG|2CDMG|2DUR	19DUR|29DMG|3BEXP|48CDMG|5RCVC|6RCR|79VULN|9BPWR|aRPLT
84	33312 63542	   	174.81	DCR|2VULN|2DMG|2CDMG|2DUR	19DUR|29DMG|3BEXP|48CDMG|5RCVC|6RCR|79VULN|9BPWR|aFEWX
85	33312 63543	   	174.81	DCR|2VULN|2DMG|2CDMG|2DUR	19DUR|29DMG|3BEXP|48CDMG|5RCVC|6RCR|79VULN|9BPWR|aMLV
86	12316 33483	   	174.76	DCR|2AART|2VULN|2DMG	18DUST|29VULN|38LIT|48DMG|5aAART|6MBVNT|7RCR|8BPWR
87	33252 23541	 * 	174.59	ACR|2VULN|1DMG|2CDMG|2ASPD|2DUR|1ZMB	19DUR|2DMG|39ASPD|48CDMG|5RCR|6ZMB|79VULN|9BPWR|aRPLT
88	33252 23542	   	174.59	ACR|2VULN|1DMG|2CDMG|2ASPD|2DUR|1ZMB	19DUR|2DMG|39ASPD|48CDMG|5RCR|6ZMB|79VULN|9BPWR|aFEWX
89	33252 23543	   	174.59	ACR|2VULN|1DMG|2CDMG|2ASPD|2DUR|1ZMB	19DUR|2DMG|39ASPD|48CDMG|5RCR|6ZMB|79VULN|9BPWR|aMLV
90	33261 14141	   	174.51	DCR|4VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|3ASPD|459aVULN|6CDMG|7FEWX|8RCR
91	12316 33487	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	18DUST|29VULN|38LIT|48DMG|5AART|6MBVNT|7RCR|8BPWR|aZMB
92	33116 13354	   	174.13	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1DUR|27DMG|3VULN|48CDMG|5ZMB|6BEXP|9AART|aRCR
93	33312 63661	   	174.01	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|28DMG|3BEXP|4CDMG|5RCVC|6RCR|7aVULN|9ZMB
94	33252 23611	   	173.66	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|28DMG|3ASPD|4CDMG|5RCR|6ZMB|7aVULN|9ERES
95	33252 23651	   	173.66	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|28DMG|3ASPD|4CDMG|5RCR|6ZMB|7aVULN|9TLV
96	33232 65631	   	173.55	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|4BELT|59AART|6RCR|7LWND|8aVULN
97	33232 64351	   	173.55	DCR|2VULN|2AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3ASPD|4BELT|58AART|6RCR|7FEWX|9aVULN
98	33232 65336	   	173.55	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	1DUR|29DMG|3ASPD|4BELT|58AART|6RCR|7LWND|aVULN
99	33232 65351	   	173.55	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|2DMG|3ASPD|4BELT|58AART|6RCR|7LWND|9aVULN
100	62113 51142	   	173.52	DCR|3VULN|2DMG|1AART|1SELL	17LHND|279VULN|3TLV|4SELL|5FEWX|67DMG|7BPWR|8RCR|aAART
101	53318 42533	   	173.47	DCR|3VULN|2DMG|1AART	1RPLT|25DMG|3MBVNT|469VULN|7DLOT|8RCR|aAART
102	33256 42131	   	173.44	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|29DMG|3ASPD|4CDMG|59LWND|6CANSTR|79VULN|8RCR|9BPWR|aZMB
103	53314 73433	   	173.43	DCR|3VULN|2AART|1DMG	1RPLT|2DMG|3MBVNT|479VULN|5DMSP|6RCR|8aAART
104	33628 73341	   	173.11	DCR|3DMG|2VULN|1ZMB|1DUR	1DUR|259DMG|3RPLT|4MBVNT|6RCR|7aVULN|8ZMB
105	53228 73341	   	173.11	DCR|3DMG|2VULN|1ZMB|1DUR	1RPLT|259DMG|3DUR|4MBVNT|6RCR|7aVULN|8ZMB
106	53338 73341	   	173.11	DCR|3DMG|2VULN|1ZMB|1DUR	1RPLT|259DMG|3MBVNT|4DUR|6RCR|7aVULN|8ZMB
107	33113 11141	   	173.06	DCR|4VULN|1DMG|1CDMG|2DUR	17DUR|2DMG|379aVULN|4CDMG|5CGEN|67BEXP|7BPWR|8RCR
108	33115 61141	   	173.06	DCR|4VULN|1DMG|1CDMG|2DUR	17DUR|2DMG|379aVULN|4CDMG|5LHND|67MLV|7BPWR|8RCR
109	33232 63551	   	173.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4BELT|5AART|6RCR|7ZMB|8ERES|9aVULN
110	33114 11141	   	172.96	DCR|4VULN|1DMG|1CDMG|2DUR	17DUR|2DMG|379aVULN|4CDMG|5TLV|67BEXP|7BPWR|8RCR
111	33116 23124	 * 	172.87	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|2DMG|39VULN|4CDMG|56ZMB|7AART|8LWND|aRCR
112	33116 23226	   	172.87	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|2DMG|38VULN|4CDMG|56ZMB|7AART|9LIT|aRCR
113	33116 23254	   	172.87	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|2DMG|38VULN|4CDMG|56ZMB|7AART|9BEXP|aRCR
114	33316 23224	   	172.87	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|2DMG|3BEXP|4CDMG|56ZMB|7AART|89VULN|aRCR
115	33166 22341	   	172.67	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2aDMG|3aVULN|489FEWX|5RCR|6DMSP|7AART|aBPWR
116	31232 34541	   	172.61	DCR|2VULN|2DMG|3DUR|1CDMG	129DUR|39DMG|4RCVC|5CDMG|6RCR|7aVULN|89LWND|9BPWR
117	31232 34641	   	172.61	DCR|2VULN|2DMG|3DUR|1CDMG	129DUR|39DMG|4RCVC|5CDMG|6RCR|7aVULN|89LHND|9BPWR
118	12316 43632	   	172.52	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|28VULN|3LIT|4DMG|5AART|6DUR|7ZMB|9RCR|aFLTHEA
119	22335 11165	   	172.47	DCR|3VULN|2DMG|1AART	19LWND|289VULN|3LIT|4AART|56ERES|79DMG|9BPWR|aRCR
120	31232 36642	   	172.41	DCR|2VULN|2DMG|3DUR|1CDMG	129DUR|39DMG|4RCVC|5CDMG|6RCR|7aDUST|89VULN|9BPWR
121	31232 34441	   	172.41	DCR|2VULN|2DMG|3DUR|1CDMG	129DUR|39DMG|4RCVC|5CDMG|6RCR|7aVULN|89DUST|9BPWR
122	31223 32535	 * 	172.38	DCR|2DMG|1AART|2CDMG|3DUR|1ZMB	129DUR|39DMG|4RPLT|5CGEN|6RCR|7ZMB|89CDMG|9BPWR|aAART
123	31224 32535	   	172.28	DCR|2DMG|1AART|2CDMG|3DUR|1ZMB	129DUR|39DMG|4RPLT|5TLV|6RCR|7ZMB|89CDMG|9BPWR|aAART
124	31232 36643	   	172.27	DCR|2VULN|2DMG|3DUR|1CDMG|1SELL	129DUR|39DMG|4RCVC|5CDMG|6RCR|7DUST|89VULN|9BPWR|aSELL
125	33112 13254	   	172.05	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	17DUR|27DMG|3VULN|4CDMG|5RCVC|67FEWX|7BPWR|8ASPD|9AART|aRCR
126	53312 36342	 * 	172.03	DCR|3DMG|1AART|1VULN|1CDMG	1RPLT|289DMG|3MBVNT|4VULN|5LHND|6CDMG|7RCR|aAART
127	33252 21241	   	171.83	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4CDMG|5RCR|6ZMB|7MLV|89aVULN
128	33252 23241	   	171.83	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4CDMG|5RCR|6ZMB|79aVULN|8CGEN
129	33114 25142	   	171.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|39VULN|4CDMG|5TLV|6ZMB|7ERES|8RCR|aAART
130	33252 22241	   	171.73	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3ASPD|4CDMG|5RCR|6ZMB|7TLV|89aVULN
131	33442 23216	 * 	171.71	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR|1SELL	1DUR|2DMG|3SELL|46ZMB|5RCR|79AART|8VULN|aCDMG
132	33116 13143	   	171.70	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1aDUR|27DMG|39VULN|4CDMG|5ZMB|6BEXP|8RCR
133	33116 13151	   	171.70	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19DUR|27DMG|3aVULN|4CDMG|5ZMB|6BEXP|8RCR
134	33214 13224	 * 	171.56	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|35ASPD|4LHND|6CDMG|7AART|89VULN|aRCR
135	33264 13124	   	171.56	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|35ASPD|49VULN|6CDMG|7AART|8LWND|aRCR
136	33264 13226	   	171.56	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMG|35ASPD|48VULN|6CDMG|7AART|9LIT|aRCR
137	53411 41121	   	171.54	ACR|3VULN|3DMG	1RPLT|267DMG|3RCR|47aVULN|57CGEN|7BPWR|8LWND|9FEWX
138	53428 42221	   	171.52	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1RPLT|25DMG|3RCR|4MBVNT|69VULN|7ASPD|8CDMG|aZMB
139	22323 31165	   	171.47	DCR|3VULN|2DMG|1AART	19LWND|289VULN|37LIT|4MLV|59DMG|6AART|9BPWR|aRCR
140	53411 41221	   	171.44	ACR|3VULN|3DMG	1RPLT|267DMG|3RCR|47aVULN|57CGEN|7BPWR|8DUST|9FEWX
141	33352 36131	   	171.35	DCR|3VULN|2DMG|3DUR|1ASPD	158DUR|28DMG|3BEXP|457VULN|58BPWR|68LWND|9RCR|aASPD
142	53413 41121	   	171.34	ACR|3VULN|3DMG	1RPLT|267DMG|3RCR|47aVULN|57ERES|7BPWR|8LWND|9FEWX
143	53327 43444	   	171.25	ACR|3VULN|1AART|1DMG|1CDMG	14RPLT|2DMG|3MBVNT|5RCR|67aVULN|8AART|9CDMG
144	53413 41221	   	171.24	ACR|3VULN|3DMG	1RPLT|267DMG|3RCR|47aVULN|57ERES|7BPWR|8DUST|9FEWX
145	33442 23222	   	171.13	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR|1SELL	1DUR|2DMG|3SELL|46ZMB|5RCR|7AART|89VULN|aASPD
146	23651 32632	   	171.13	ACR|2VULN|2AART|1DMG|2DUR	1LWND|2BELT|3RCR|45DUR|68VULN|7aAART|9DMG
147	53318 72221	   	171.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1RPLT|25DMG|3MBVNT|49VULN|6RCR|7ASPD|8CDMG|aZMB
148	33113 15141	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|27DMG|39aVULN|4CDMG|5CGEN|6BEXP|8RCR
149	11126 53143	   	171.03	ACR|3VULN|1AART|1DMG|2DUR	1DUST|2aDUR|379VULN|4DMG|5RCR|6AART|8CGEN
150	53428 43314	   	170.99	ACR|3VULN|3DMG|1SELL	1RPLT|25aDMG|3RCR|4MBVNT|679VULN|8SELL
151	33114 15141	   	170.95	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|27DMG|39aVULN|4CDMG|5TLV|6BEXP|8RCR
152	53412 35121	   	170.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2aDMG|3RCR|4VULN|5LHND|6CDMG|7ZMB|8LIT|9AART
153	53435 23213	   	170.90	ACR|2AART|2DMG|1VULN|1ZMB	1RPLT|27DMG|3RCR|4VENICY|58AART|6DUST|9VULN|aZMB
154	33211 11154	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	17DUR|2DMG|3ASPD|4LHND|58VULN|6AART|9CDMG|aRCR
155	11126 51211	   	170.67	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUST|2DUR|3VULN|48DMG|5RCR|6AART|7RPLT|9CDMG|aASPD
156	33146 51211	   	170.67	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|28DMG|3VULN|4DUST|5RCR|6AART|7RPLT|9CDMG|aASPD
157	53327 13354	   	170.65	ACR|3VULN|1AART|1DMG|1CDMG	14RPLT|2DMG|3MBVNT|5RCR|6CDMG|78aVULN|9AART
158	53318 73314	 * 	170.57	DCR|3VULN|3DMG|1SELL	1RPLT|25aDMG|3MBVNT|479VULN|6RCR|8SELL
159	31232 34256	   	170.48	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ASPD	12DUR|3DMG|4RCVC|5aCDMG|6RCR|7VULN|8ASPD|9AART
160	22341 33515	   	170.35	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|24VULN|3LIT|5DUR|6AART|7CDMG|8RCR|9DMG|aASPD
161	12316 43633	   	170.32	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUST|28VULN|3LIT|4DMG|5aAART|6DUR|7ZMB|9RCR
162	55135 13313	   	170.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|3ZMB|4MLV|5RCR|6DMG|7FEWX|8aVULN|9CDMG
