0	Index      	 *	Score 	Summary	Detail	
1	22323 61435	 * 	211.69	ACR|4VULN|1AART|3ZMB|3ASPD	1AART|2RCR|38aZMB|48aASPD|5LHND|6ERES|789aVULN|8aBPWR
129	22356 24423	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MBVNT|89DMG|aLHND
130	22356 24432	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MBVNT|8aDMG|9MLV
131	22356 24433	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7MBVNT|8DMG|9MLV
132	22356 25222	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7FEWX|8TLV|9aDMG
133	22356 25223	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7FEWX|8TLV|9DMG
134	22352 42422	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5TLV|6FEWX|7CDMG|8VULN|9aDMG
135	22352 42423	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5TLV|6FEWX|7CDMG|8aVULN|9DMG
136	22352 52422	   	189.45	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5TLV|6LHND|7CDMG|8VULN|9aDMG
137	22352 52423	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5TLV|6LHND|7CDMG|8aVULN|9DMG
138	22356 23322	   	189.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7ERES|8LEGI|9aDMG
139	22356 23323	   	189.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7ERES|8LEGI|9DMG
140	22356 23622	   	189.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7ERES|8DUST|9aDMG
141	22356 23623	   	189.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7ERES|8DUST|9DMG
142	22356 24222	   	189.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6VULN|7MBVNT|8TLV|9aDMG
143	22356 24223	   	189.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2RCR|3ZMB|5CDMG|6aVULN|7MBVNT|8TLV|9DMG
144	22353 33142	 * 	189.34	ACR|2AART|3ZMB|1VULN|1DMG|1CDMG	14AART|2RCR|356ZMB|7VULN|8BEXP|9CDMG|aDMG
145	22353 31223	   	189.24	ACR|2AART|3ZMB|1VULN|1DMG|1CDMG	14AART|2RCR|356ZMB|7NUKE|8CDMG|9DMG|aVULN
146	22353 33354	   	189.24	ACR|2AART|3ZMB|1VULN|1DMG|1CDMG	14AART|2RCR|356ZMB|7VULN|8MBVNT|9CDMG|aDMG
147	22433 64122	 * 	189.16	ACR|3VULN|1AART|2CDMG|2FLTHEA	1AART|2RCR|34RCVC|59CDMG|69FLTHEA|7RPLT|89aVULN|9BPWR
148	22621 23451	   	189.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|38VULN|4DUST|5RMIN|68CGEN|78DMG|8BPWR|9ZMB|aDUR
149	22353 22436	 * 	189.07	ACR|3VULN|2AART|3ZMB	14AART|2RCR|35aZMB|68aVULN|79aCGEN|aBPWR
150	22254 22223	 * 	188.96	ACR|3VULN|1AART|1DMG|2CDMG	1AART|2RCR|3DUST|46aVULN|5BEXP|78CDMG|9DMG
151	22553 22223	   	188.96	ACR|3VULN|1AART|1DMG|2CDMG	1AART|2RCR|3BEXP|46aVULN|5DUST|78CDMG|9DMG
152	22624 22223	   	188.96	ACR|3VULN|1AART|1DMG|2CDMG	1AART|2RCR|36aVULN|4DUST|5BEXP|78CDMG|9DMG
153	24431 62323	   	188.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|38aVULN|4RCR|5MLV|6BEXP|7CDMG|9DMG
154	24433 62323	   	188.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|38aVULN|4RCR|5CGEN|6BEXP|7CDMG|9DMG
155	22362 22422	   	188.79	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1AART|2RCR|34ZMB|5TLV|6DUR|7CDMG|8VULN|9aDMG
156	22362 22423	   	188.79	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1AART|2RCR|34ZMB|5TLV|6DUR|7CDMG|8aVULN|9DMG
157	22366 13422	   	188.79	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1AART|2RCR|34ZMB|5CDMG|6TLV|7DUR|8VULN|9aDMG
158	22366 13423	   	188.79	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1AART|2RCR|34ZMB|5CDMG|6TLV|7DUR|8aVULN|9DMG
159	22366 24322	   	188.79	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1AART|2RCR|34ZMB|5CDMG|69VULN|7MBVNT|8DUR|aDMG
160	22366 21126	 * 	188.26	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	1AART|2RCR|34ZMB|5aCDMG|6VULN|79DMG|8BEXP
161	22366 21326	   	188.26	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	1AART|2RCR|34ZMB|5aCDMG|6VULN|79DMG|8LHND
162	24432 11513	   	187.28	ACR|3VULN|2AART|1CDMG|1ZMB|1ASPD	15AART|2ZMB|37aVULN|4RCR|6FEWX|8CDMG|9ASPD
163	22652 12531	   	186.89	ACR|3VULN|2DMG|1AART	1AART|2RCR|34aVULN|5FEWX|6RPLT|7BELT|8aBEXP|9aDMG|aBPWR
164	22631 32531	   	186.89	ACR|3VULN|2DMG|1AART	1AART|2RCR|36aVULN|4RPLT|5FEWX|7BELT|8aBEXP|9aDMG|aBPWR
