0	Index      	 *	Score 	Summary	Detail	
1	61621 33222	 * 	184.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|36aVULN|4RCR|5ZMB|7LIT|8DMG|9AART
39	15133 14632	   	169.25	DCR|2VULN|2DMG|3DUR|1FLTHEA|1ASPD	128DUR|28BPWR|3MLV|48DMG|5LWND|6ASPD|78VULN|9RCR|aFLTHEA
40	23116 33615	   	169.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|46aVULN|5RCR|7ZMB|8AART|9CDMG
41	61621 33262	   	169.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|89DMG|aDUR
42	62333 63523	 * 	168.96	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	18CDMG|2DUST|3RPLT|4LEGI|58VULN|6RCR|78DUR|8BPWR|9AART|aZMB
43	61625 33223	   	168.84	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2ERES|36VULN|4RCR|5RMIN|7LIT|8DMG|9aAART
44	23123 24615	   	168.66	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|4RCR|57aVULN|6AART|8ASPD|9CDMG
45	61332 23511	 * 	168.62	ACR|3VULN|3ZMB|2CDMG|1DUR	18CDMG|2ERES|38aZMB|4DUR|5RCR|6FEWX|789VULN|8BPWR
46	61332 53511	   	168.62	ACR|3VULN|3ZMB|2CDMG|1DUR	18CDMG|2ERES|38aZMB|4DUR|5RCR|6LWND|789VULN|8BPWR
47	61621 63223	 * 	168.57	ACR|2AART|1VULN|1DMG|2CDMG|1ZMB	16CDMG|2ERES|3VULN|4RCR|5ZMB|7LIT|8DMG|9aAART
48	61623 53223	   	168.57	ACR|2AART|1VULN|1DMG|2CDMG|1ZMB	15CDMG|2ERES|3VULN|4RCR|6ZMB|7LIT|8DMG|9aAART
49	23623 31161	 * 	168.55	DCR|2VULN|2DMG|1AART|1DUR	19LHND|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aDUR
50	33423 31161	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	19BEXP|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aDUR
51	33423 31165	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	19BEXP|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aASPD
52	14322 13513	 * 	168.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|23LHND|3BPWR|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
53	21322 13513	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13LHND|23DUR|3BPWR|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
54	61332 43511	   	168.52	ACR|3VULN|3ZMB|2CDMG|1DUR	18CDMG|2ERES|38aZMB|4DUR|5RCR|6DUST|789VULN|8BPWR
55	14122 13513	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2LHND|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
56	21122 13513	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1LHND|23DUR|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
57	61621 33221	   	168.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|8DMG|9AART|aBEXP
58	61621 33226	   	168.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|8DMG|9AART|aFEWX
59	61621 33224	   	168.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|8DMG|9AART|aTLV
60	64363 22313	   	168.09	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2ZMB|3LIT|4RCR|5AART|6RPLT|78aVULN|9RCVC
61	14322 13366	 * 	168.04	ACR|3DMG|1AART|3DUR|1CDMG	138DUR|23LHND|38BPWR|48aDMG|5RCR|68TLV|7AART|9CDMG
62	21414 31512	   	167.97	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2DUR|3AART|4ASPD|5CDMG|6RMIN|7RCR|8VULN|9ZMB|aDMG
63	14122 13366	   	167.94	ACR|3DMG|1AART|3DUR|1CDMG	138DUR|2LHND|48aDMG|5RCR|68TLV|7AART|8BPWR|9CDMG
64	61321 55122	 * 	167.90	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG	1CDMG|2ERES|3aZMB|46AART|5VULN|7DMG|8RCR|9RCVC
65	22234 11535	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2TLV|3AART|4DMG|5CDMG|6BEXP|7RCR|8aVULN|9ASPD
66	22234 31535	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2TLV|3AART|4DMG|5CDMG|6FEWX|7RCR|8aVULN|9ASPD
67	34123 33613	   	167.42	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1BEXP|2LHND|3DUR|4RCR|56VULN|7ZMB|8aAART|9CDMG
68	23123 33613	   	167.32	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|4RCR|56VULN|7ZMB|8aAART|9CDMG
69	61321 21552	   	167.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2ERES|3ZMB|4AART|5VULN|6LHND|7RCR|8DUR|9ASPD|aDMG
70	23123 25612	   	166.93	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|4RCR|5VULN|68AART|7ASPD|9CDMG|aDMG
71	33432 33463	   	166.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2DUST|3DMSP|4CDMG|5RCR|6aVULN|7ZMB|8AART|9DMG
72	23622 34161	   	166.57	ACR|2VULN|2DMG|1AART|1DUR	19LHND|26DUST|3DMSP|49DMG|5RCR|79VULN|8AART|9BPWR|aDUR
73	33422 34161	   	166.57	ACR|2VULN|2DMG|1AART|1DUR	19BEXP|26DUST|3DMSP|49DMG|5RCR|79VULN|8AART|9BPWR|aDUR
74	33232 33463	   	166.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|23DUST|4CDMG|5RCR|6aVULN|7ZMB|8AART|9DMG
75	61332 33526	   	166.42	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3ZMB|4DUR|5RCR|67VULN|8aASPD|9AART
76	34123 24512	   	166.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2LHND|3DUR|4RCR|57VULN|6AART|8MLV|9CDMG|aDMG
77	13241 33553	 * 	166.20	DCR|3VULN|1AART|2ZMB|2DUR	18DUR|2TLV|3DMSP|4RPLT|58ZMB|68aVULN|7RCR|8BPWR|9AART
78	23123 24512	   	166.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DUST|3DUR|4RCR|57VULN|6AART|8MLV|9CDMG|aDMG
79	26622 15113	   	165.94	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2aVULN|3RCVC|4DMG|5RCR|6TLV|7DUR|8AART|9CDMG
80	61332 33524	   	165.11	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB|1ASPD	1CDMG|2ERES|3ZMB|4aDUR|5RCR|67VULN|8ASPD|9AART
81	14431 32243	   	165.07	DCR|3DMG|1AART|3DUR|1ZMB	167DUR|2LHND|3AART|47BEXP|567DMG|67BPWR|8DUST|9RCR|aZMB
82	64121 11511	   	164.94	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3MLV|48AART|5VULN|6BEXP|7RCR|9DMG|aLHND
83	23116 33613	   	164.92	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|46VULN|5RCR|7ZMB|8aAART|9CDMG
84	26126 33613	   	164.92	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1LHND|26VULN|3DUR|4DUST|5RCR|7ZMB|8aAART|9CDMG
85	61321 11511	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6BEXP|7RCR|9DMG|aLHND
86	61321 11515	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6BEXP|7RCR|9DMG|aLWND
87	61321 11516	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6BEXP|7RCR|9DMG|aMLV
88	61321 21211	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6aLHND|7RCR|9DMG
89	61321 21212	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6LHND|7RCR|9DMG|aLWND
90	61321 21213	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6LHND|7RCR|9DMG|aRMIN
91	61321 21216	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6LHND|7RCR|9DMG|aMLV
92	64121 11512	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3MLV|48AART|5VULN|6BEXP|7RCR|9DMG|aDUST
93	64121 31511	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3MLV|48AART|5VULN|6DUST|7RCR|9DMG|aLHND
94	64121 31513	   	164.84	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3MLV|48AART|5VULN|6DUST|7RCR|9DMG|aRMIN
95	61321 31511	   	164.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6DUST|7RCR|9DMG|aLHND
96	61321 31513	   	164.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6DUST|7RCR|9DMG|aRMIN
97	61321 31515	   	164.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6DUST|7RCR|9DMG|aLWND
98	61321 31516	   	164.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6DUST|7RCR|9DMG|aMLV
99	61321 11512	   	164.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6BEXP|7RCR|9DMG|aDUST
100	64121 31512	   	164.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3MLV|48AART|5VULN|6aDUST|7RCR|9DMG
101	61321 31512	   	164.64	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|48AART|5VULN|6aDUST|7RCR|9DMG
102	14321 51422	   	164.56	DCR|2VULN|2DMG|3DUR|1ZMB	13aDUR|23LHND|3aBPWR|4aDMG|5RMIN|6MLV|7RCR|8ZMB|9aVULN
103	34123 24613	   	164.56	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1BEXP|2LHND|3DUR|4RCR|57VULN|6aAART|8ASPD|9CDMG
104	23116 25612	   	164.53	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|4VULN|5RCR|68AART|7ASPD|9CDMG|aDMG
105	14121 51422	   	164.46	DCR|2VULN|2DMG|3DUR|1ZMB	13aDUR|2LHND|4aDMG|5RMIN|6MLV|7RCR|8ZMB|9aVULN|aBPWR
106	14321 21422	   	164.46	DCR|2VULN|2DMG|3DUR|1ZMB	13aDUR|23LHND|3aBPWR|4aDMG|5RMIN|6ERES|7RCR|8ZMB|9aVULN
107	23123 25615	   	164.46	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|4RCR|5aVULN|68AART|7ASPD|9CDMG
108	23123 24613	   	164.46	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|4RCR|57VULN|6aAART|8ASPD|9CDMG
109	61623 43312	   	164.43	ACR|2VULN|2DMG|2CDMG|1ASPD	15CDMG|2ERES|36VULN|4RCR|79DMG|8ASPD|aFEWX
110	14121 21422	   	164.36	DCR|2VULN|2DMG|3DUR|1ZMB	13aDUR|2LHND|4aDMG|5RMIN|6ERES|7RCR|8ZMB|9aVULN|aBPWR
111	61623 33315	   	164.33	ACR|2VULN|2DMG|2CDMG|1ASPD	15CDMG|26ERES|3aVULN|4RCR|79DMG|8ASPD
112	61623 43333	   	164.33	ACR|2VULN|2DMG|2CDMG|1ASPD	15CDMG|29ERES|36VULN|4RCR|7aDMG|8ASPD
113	61321 55123	   	164.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|46AART|5VULN|7DMG|8RCR|9RCVC|aDMSP
114	61621 33122	   	163.99	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2ERES|36aVULN|4RCR|5ZMB|7LIT|8CGEN|9AART
115	61626 33322	   	163.99	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2ERES|36aVULN|4RCR|5CGEN|7LIT|8ZMB|9AART
116	63121 53234	 * 	163.98	DCR|2AART|2VULN|2CDMG|1ZMB	18CDMG|23LWND|46AART|57VULN|9RCR|aZMB
117	26622 13531	   	163.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|28VULN|3RCVC|4DMG|5RCR|6TLV|7AART|9ZMB|aDUR
118	62562 31122	   	163.86	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1CDMG|2DUST|346VULN|5RCR|7DUR|8LIT|9ASPD|aAART
119	14322 13361	 * 	163.83	ACR|2DMG|2AART|3DUR|1CDMG	138DUR|23LHND|38BPWR|48DMG|5RCR|68TLV|7aAART|9CDMG
120	23116 24512	   	163.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DUST|3DUR|47VULN|5RCR|6AART|8MLV|9CDMG|aDMG
121	14122 13361	   	163.73	ACR|2DMG|2AART|3DUR|1CDMG	138DUR|2LHND|48DMG|5RCR|68TLV|7aAART|8BPWR|9CDMG
122	26622 13522	   	163.54	ACR|2VULN|2DMG|1AART	1LHND|28VULN|3RCVC|4aDMG|5RCR|6TLV|7AART|9MGNSTR
123	61622 15211	   	163.46	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3VULN|4RCR|5LWND|6ZMB|78AART|9DMG|aLHND
124	61623 42232	 * 	163.43	ACR|2VULN|2DMG|3CDMG	159CDMG|27ERES|36VULN|4RCR|8aDMG
125	61622 15212	   	163.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3VULN|4RCR|5LWND|6ZMB|78AART|9DMG|aDUST
126	61332 23551	   	163.14	ACR|2VULN|1AART|2CDMG|2ZMB|1DUR	18CDMG|2aERES|38ZMB|4DUR|5RCR|6FEWX|78VULN|8BPWR|9AART
127	61332 23552	   	163.14	ACR|2VULN|1AART|2CDMG|2ZMB|1DUR	18CDMG|2ERES|38ZMB|4DUR|5RCR|6FEWX|78VULN|8BPWR|9AART|aDUST
128	14622 13513	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|3DMSP|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
129	21622 13513	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DUR|3DMSP|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
130	24522 13513	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	12LHND|3DUR|4DMG|5RCR|6TLV|7AART|8aVULN|9CDMG
131	11411 12132	 * 	163.02	ACR|3VULN|2DMG|2DUR	12DUR|3AIRHEA|4LIT|5RCR|69DMG|78aVULN
132	15411 12132	   	163.02	ACR|3VULN|2DMG|2DUR	12DUR|2BPWR|3AIRHEA|4LIT|5RCR|69DMG|78aVULN
133	33423 31163	   	162.92	DCR|2VULN|2DMG|1AART	19BEXP|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aRCVC
134	26616 33222	   	162.85	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|2aVULN|36RCVC|4LIT|5CDMG|7RCR|8DMG|9AART
135	26623 31153	 * 	162.62	DCR|3VULN|2DMG|1CDMG	1LHND|259VULN|3RCVC|48DMG|6SNIHEL|7CDMG|aRCR
136	61321 55131	   	162.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|46AART|5VULN|7DMG|8RCR|9aLHND
137	61321 55132	   	162.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|46AART|5VULN|7DMG|8RCR|9LHND|aLWND
138	61321 55133	   	162.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|46AART|5VULN|7DMG|8RCR|9LHND|aRMIN
139	61623 33313	   	162.40	ACR|3DMG|1VULN|2CDMG|1ASPD	15CDMG|26ERES|3VULN|4RCR|79aDMG|8ASPD
140	61321 55111	   	162.34	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|46AART|5VULN|7DMG|8RCR|9LEGI|aLHND
141	34123 33622	   	162.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2LHND|3DUR|4RCR|56VULN|7ZMB|8AART|9CANSTR|aDMG
142	64363 22321	   	162.28	ACR|2AART|2VULN|1CDMG|1ZMB	1CDMG|2ZMB|3LIT|4RCR|5aAART|6RPLT|78VULN|9BEXP
143	61321 55112	   	162.24	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	1CDMG|2ERES|3ZMB|46AART|5VULN|7DMG|8RCR|9LEGI|aDUST
144	61621 35221	   	162.21	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2ERES|36VULN|4RCR|5ZMB|7ASPD|8DUR|9AART|aLHND
145	23123 33622	   	162.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2DUST|3DUR|4RCR|56VULN|7ZMB|8AART|9CANSTR|aDMG
146	61621 33261	   	162.18	ACR|2VULN|2DMG|1CDMG|1ZMB	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|89DMG|aLHND
147	61621 33263	   	162.18	ACR|2VULN|2DMG|1CDMG|1ZMB	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|89DMG|aRPLT
148	31332 33625	 * 	162.18	ACR|3ZMB|1AART|1VULN|3DUR|1CDMG	13aBEXP|23aDUR|3aBPWR|4CDMG|5RCR|6VULN|78aZMB|9AART
149	61621 35222	   	162.11	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2ERES|36VULN|4RCR|5ZMB|7ASPD|8DUR|9AART|aDUST
150	31132 33625	   	162.08	ACR|3ZMB|1AART|1VULN|3DUR|1CDMG	1aBEXP|23aDUR|4CDMG|5RCR|6VULN|78aZMB|9AART|aBPWR
151	23116 24613	   	162.06	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|47VULN|5RCR|6aAART|8ASPD|9CDMG
152	61332 23515	   	162.03	ACR|3VULN|2CDMG|2ZMB|1DUR|1ASPD	18CDMG|2ERES|38ZMB|4DUR|5RCR|6FEWX|789VULN|8BPWR|aASPD
153	64132 63222	   	161.76	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	16CDMG|2ZMB|3MLV|4DUR|5RCR|7LIT|8DMG|9AART|aVULN
154	23123 24515	   	161.72	ACR|3VULN|1AART|1CDMG|1DUR	1LHND|2DUST|3DUR|4RCR|57aVULN|6AART|8MLV|9CDMG
155	61332 63222	   	161.66	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	16CDMG|2ERES|3ZMB|4DUR|5RCR|7LIT|8DMG|9AART|aVULN
156	23623 31162	   	161.61	DCR|2VULN|2DMG|1AART	19LHND|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aLWND
157	23623 31163	   	161.61	DCR|2VULN|2DMG|1AART	19LHND|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aBELT
158	33423 31162	   	161.61	DCR|2VULN|2DMG|1AART	19BEXP|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aLWND
159	33423 31164	   	161.61	DCR|2VULN|2DMG|1AART	19BEXP|26DUST|3DMSP|49DMG|59VULN|7RCR|8AART|9BPWR|aLHND
