0	Index      	 *	Score 	Summary	Detail	
1	22162 46213	 * 	204.76	ACR|4VULN|2DMG|2CDMG|2ZMB|1SELL	178aVULN|2SELL|3RCR|4aCDMG|58DMG|68ZMB|8aBPWR|9aCGEN
15	11332 13144	 * 	183.36	DCR|2VULN|2DMG|3ZMB|2CDMG	139ZMB|2aVULN|4FEWX|5aDMG|6RPLT|7aCDMG|8RCR|aBPWR
16	11362 13144	   	183.36	DCR|2VULN|2DMG|3ZMB|2CDMG	139ZMB|2aVULN|4BEXP|5aDMG|6RPLT|7aCDMG|8RCR|aBPWR
17	22162 43216	 * 	183.33	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9CGEN|aRCVC
18	22125 24321	 * 	182.64	ACR|2VULN|2DMG|1AART|2ASPD|1SELL	18VULN|2SELL|3RCR|4RCVC|5AART|68ASPD|78ERES|8BPWR|9aDMG
19	22162 26326	 * 	182.42	ACR|3VULN|1AART|1DMG|2CDMG|1SELL	17aVULN|2SELL|3RCR|4aCDMG|5DMG|6CGEN|8AART|9aFEWX|aBPWR
20	22162 26336	 * 	182.22	ACR|3VULN|1AART|1DMG|2CDMG|1SELL	17aVULN|2SELL|3RCR|4aCDMG|5DMG|6CGEN|8AART|9aDUST|aBPWR
21	22125 31325	 * 	182.21	ACR|3VULN|1AART|1DMG|2ZMB|1SELL	18aVULN|2SELL|3RCR|4RCVC|5AART|68MLV|78ZMB|8BPWR|9DMG
22	22162 43213	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9CGEN|aDMSP
23	22162 43221	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9BEXP|aLIT
24	22162 43223	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9BEXP|aLHND
25	22162 43224	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9BEXP|aLWND
26	22162 43226	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9aBEXP
27	22162 43232	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LIT|aLHND
28	22162 43233	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LIT|aMLV
29	22162 43234	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9aLIT
30	22162 43242	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9RPLT|aFEWX
31	22162 43253	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9MLV|aDMSP
32	22162 43261	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LWND|aLIT
33	22162 43263	 * 	182.02	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LWND|aLHND
34	22162 43212	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9CGEN|aERES
35	22162 43215	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9CGEN|aDUST
36	22162 43222	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9BEXP|aERES
37	22162 43225	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9BEXP|aTLV
38	22162 43231	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LIT|aERES
39	22162 43235	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LIT|aLEGI
40	22162 43236	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LIT|aTLV
41	22162 43241	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9RPLT|aERES
42	22162 43243	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9RPLT|aLEGI
43	22162 43252	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9MLV|aERES
44	22162 43262	 * 	181.92	ACR|2VULN|2DMG|3ZMB|1CDMG|1SELL	18VULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9LWND|aERES
45	22161 23356	 * 	179.00	ACR|2VULN|1AART|1DMG|2CDMG|2DUR|1SELL	1aVULN|2SELL|3RCR|4aCDMG|56CGEN|7DMG|8AART|9aDUR|aBPWR
46	22162 26353	 * 	178.64	ACR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	17VULN|2SELL|3RCR|4CDMG|5DMG|6CGEN|8aAART|9DUR
47	21563 43321	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2FEWX|3SNIHEL|4AART|5aDMG|6RCR|7ZMB|9LHND
48	21563 43311	   	177.22	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2FEWX|3SNIHEL|4AART|5aDMG|6RCR|7ZMB|9DUST
49	21561 23126	 * 	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2FEWX|3SNIHEL|4AART|5RCR|6aDMG|7ZMB|8CDMG|9DUR
50	21561 25133	 * 	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2FEWX|3SNIHEL|4AART|5RCR|6DMG|7ASPD|8CDMG|9ZMB
51	23561 23126	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2BEXP|3SNIHEL|4AART|5RCR|6aDMG|7ZMB|8CDMG|9DUR
52	23561 25133	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2BEXP|3SNIHEL|4AART|5RCR|6DMG|7ASPD|8CDMG|9ZMB
53	22164 11231	 * 	175.93	ACR|3VULN|3CDMG|1AART|1DUR|1SELL	18aVULN|2SELL|3RCR|468CDMG|58LIT|7AART|8BPWR|9DUR
54	22165 31231	 * 	175.93	ACR|3VULN|3CDMG|1AART|1DUR|1SELL	18aVULN|2SELL|3RCR|458CDMG|68LIT|7AART|8BPWR|9DUR
55	22111 16642	 * 	175.91	ACR|3VULN|1AART|1DMG|2ZMB|1SELL	169VULN|2SELL|3RCR|4LWND|57ZMB|8DMG|aAART
56	22162 26363	 * 	175.90	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	17aVULN|2SELL|3RCR|4CDMG|5DMG|6CGEN|8AART|9LIT
57	22162 26433	 * 	175.60	ACR|3VULN|2DMG|2CDMG|1SELL	17aVULN|2SELL|3RCR|48CDMG|5aDMG|6aCGEN|9RMIN|aBPWR
58	11535 31225	 * 	175.56	ACR|3VULN|3ZMB|1AART|1ASPD	178ZMB|28aVULN|368LIT|4AART|5RCR|8BPWR|9ASPD
59	11535 31216	   	175.56	ACR|3VULN|3ZMB|1AART|1DUR	178ZMB|289VULN|368LIT|4AART|5RCR|8BPWR|aDUR
60	21563 43333	 * 	175.38	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2FEWX|3SNIHEL|4AART|5DMG|6RCR|7ZMB|9LIT
61	11316 22635	 * 	174.81	DCR|4VULN|1AART|2ZMB|1ASPD	13ZMB|267aVULN|4ERES|5AART|8RCR|9ASPD
