0	Index      	 *	Score 	Summary	Detail	
1	62243 52418	 * 	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CGEN|2MBVNT|3ASPD|4aVULN|59DMG|6RCR|7CDMG|8AART
50	23425 16212	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|279VULN|3MLV|4RCR|5AART|6ZMB|8DMG|aNUKE
51	23425 16213	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|279VULN|3MLV|4RCR|5AART|6ZMB|8DMG|aDUST
52	43123 23315	 * 	172.76	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|26VULN|3LHND|47ASPD|5AART|8DMG|9CDMG|aRCR
53	43123 51315	   	172.76	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|27VULN|3LHND|46ASPD|5AART|8DMG|9CDMG|aRCR
54	22525 16212	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|2TLV|379VULN|4RCR|5AART|6ZMB|8DMG|aNUKE
55	22525 16213	   	172.70	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|2TLV|379VULN|4RCR|5AART|6ZMB|8DMG|aDUST
56	16152 21141	 * 	172.63	DCR|3VULN|1AART|1DMG|2ASPD	1LWND|25ASPD|345VULN|5BPWR|6ERES|7RCR|8DMG|9AART|aFEWX
57	16152 21143	   	172.63	DCR|3VULN|1AART|1DMG|2ASPD	1LWND|25ASPD|345VULN|5BPWR|6ERES|7RCR|8DMG|9AART|aCGEN
58	16152 21142	   	172.53	DCR|3VULN|1AART|1DMG|2ASPD	1LWND|25ASPD|345VULN|5BPWR|6ERES|7RCR|8DMG|9AART|aDUST
59	24242 41221	   	172.52	DCR|3VULN|1AART|1DMG|1ASPD	1LSRICY|2AART|35ERES|459VULN|5BPWR|6RCR|7CGEN|8DMG|aASPD
60	24521 31214	   	172.25	DCR|2VULN|2DMG|1AART|1ASPD	18LSRICY|2AART|38VULN|49DMG|5DUST|68LHND|7RCR|8BPWR|aASPD
61	24521 31215	   	172.25	DCR|2VULN|2DMG|1AART|1DUR	18LSRICY|2AART|38VULN|49DMG|5DUST|68LHND|7RCR|8BPWR|aDUR
62	24521 14213	   	172.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRICY|2AART|3VULN|49DMG|5DUST|6ZMB|7RCR|8CGEN|aCDMG
63	13411 21145	   	172.02	DCR|2VULN|2DMG|1AART|1ZMB	14LWND|26VULN|3ZMB|5RMIN|7RCR|8aDMG|9AART
64	52121 13212	   	171.43	DCR|3VULN|1AART|1DMG|1CDMG	1MLV|2ERES|3CDMG|459VULN|6BEXP|7AART|8RCR|aDMG
65	23523 65333	   	171.37	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LSRICY|28VULN|3CGEN|4RCR|5DMG|6ASPD|7DUR|9AART|aCDMG
66	52121 23212	   	171.33	DCR|3VULN|1AART|1DMG|1CDMG	1MLV|2ERES|3CDMG|459VULN|6DUST|7AART|8RCR|aDMG
67	43152 21141	 * 	171.31	DCR|3VULN|1AART|1DMG|2DUR	15DUR|246VULN|3LHND|7RCR|8DMG|9AART|aFEWX
68	43152 21143	   	171.31	DCR|3VULN|1AART|1DMG|2DUR	15DUR|246VULN|3LHND|7RCR|8DMG|9AART|aCGEN
69	53152 21141	   	171.31	DCR|3VULN|1AART|1DMG|2DUR	1MLV|25DUR|345VULN|5BPWR|6ERES|7RCR|8DMG|9AART|aFEWX
70	53152 21143	   	171.31	DCR|3VULN|1AART|1DMG|2DUR	1MLV|25DUR|345VULN|5BPWR|6ERES|7RCR|8DMG|9AART|aCGEN
71	55112 21141	   	171.31	DCR|3VULN|1AART|1DMG|2DUR	1MLV|235VULN|45DUR|5BPWR|6ERES|7RCR|8DMG|9AART|aFEWX
72	55112 21143	   	171.31	DCR|3VULN|1AART|1DMG|2DUR	1MLV|235VULN|45DUR|5BPWR|6ERES|7RCR|8DMG|9AART|aCGEN
73	65112 21141	   	171.31	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|235VULN|45DUR|5BPWR|6ERES|7RCR|8DMG|9AART|aFEWX
74	23523 65322	 * 	171.24	ACR|3VULN|1DMG|2ZMB|2ASPD|1DUR	1LSRICY|28aVULN|3CGEN|4RCR|5DMG|6aASPD|7DUR|9aZMB|aBPWR
75	43152 21142	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	15DUR|246VULN|3LHND|7RCR|8DMG|9AART|aDUST
76	53152 21142	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	1MLV|25DUR|345VULN|5BPWR|6ERES|7RCR|8DMG|9AART|aDUST
77	55112 21142	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	1MLV|235VULN|45DUR|5BPWR|6ERES|7RCR|8DMG|9AART|aDUST
78	65112 21142	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|235VULN|45DUR|5BPWR|6ERES|7RCR|8DMG|9AART|aDUST
79	65112 21143	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|235VULN|45DUR|5BPWR|6aERES|7RCR|8DMG|9AART
80	43452 21112	 * 	171.17	DCR|4VULN|1DMG|2ZMB|1DUR	1DUR|245aVULN|35ZMB|5BPWR|6ERES|7RCR|8DMG|9FEWX
81	43452 21132	   	171.07	DCR|4VULN|1DMG|2ZMB|1DUR	1DUR|245aVULN|35ZMB|5BPWR|6ERES|7RCR|8DMG|9DUST
82	13433 32421	 * 	170.90	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1LWND|2VULN|3ZMB|4RCR|5LIT|6FLTHEA|7ASPD|8CDMG|9DMG|aAART
83	16133 31421	   	170.90	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1LWND|2ASPD|3VULN|4RCR|5LIT|6FLTHEA|7ZMB|8CDMG|9DMG|aAART
84	23425 16323	   	170.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|27VULN|3MLV|4RCR|5AART|6ZMB|8LWND|9DMG|aCDMG
85	22525 16323	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|2TLV|37VULN|4RCR|5AART|6ZMB|8LWND|9DMG|aCDMG
86	23425 16222	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|27VULN|3MLV|4RCR|5AART|6ZMB|8DMG|9CDMG|aDUST
87	23425 16223	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|27VULN|3MLV|4RCR|5AART|6ZMB|8DMG|9CDMG|aERES
88	13451 51211	 * 	170.70	DCR|3VULN|3ZMB|1DMG|1DUR	1LWND|246VULN|368ZMB|5RMIN|6BPWR|7RCR|9DUR|aDMG
89	22525 16222	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|2TLV|37VULN|4RCR|5AART|6ZMB|8DMG|9CDMG|aDUST
90	22525 16223	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|2TLV|37VULN|4RCR|5AART|6ZMB|8DMG|9CDMG|aERES
91	16135 31343	 * 	170.64	ACR|2DMG|2AART|1VULN|2ASPD	1LWND|29ASPD|3VULN|4RCR|5BEXP|6aAART|78DMG
92	13452 21211	   	170.60	DCR|3VULN|3ZMB|1DMG|1DUR	1LWND|245VULN|358ZMB|5BPWR|6ERES|7RCR|9DUR|aDMG
93	16131 31343	   	170.54	ACR|2DMG|2AART|1VULN|2ASPD	1LWND|29ASPD|3VULN|4RCR|5DUST|6aAART|78DMG
94	46331 32363	   	170.43	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUR|2ASPD|3LWND|4RCR|5DUST|6AART|7ZMB|89DMG|aVULN
95	46221 36322	 * 	170.35	DCR|2VULN|2DMG|2ZMB|2ASPD|1DUR	1DUR|2aASPD|39DMG|4MGNLIT|5aVULN|6CGEN|7aZMB|8RCR|aBPWR
96	11132 42345	   	170.30	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|25TLV|358VULN|4RCR|5BPWR|6ZMB|7ERES|9AART|aDMG
97	13332 42442	   	170.30	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|25aVULN|357ERES|4RCR|5BPWR|6ZMB|8DMG|9AART
98	62812 44473	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2MBVNT|39DMG|4DUR|5AART|68VULN|7RCR|aMLV
99	62812 44474	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1aCGEN|2MBVNT|39DMG|4DUR|5AART|68VULN|7RCR
100	62812 44471	   	170.15	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2MBVNT|39DMG|4DUR|5AART|68VULN|7RCR|aLEGI
101	13151 21245	   	170.08	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|246VULN|35LHND|7RCR|8ZMB|9AART|aDMG
102	13451 21141	   	170.08	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|246VULN|3ZMB|5RMIN|7RCR|8DMG|9AART|aFEWX
103	13451 21143	   	170.08	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|246VULN|3ZMB|5RMIN|7RCR|8DMG|9AART|aCGEN
104	11151 21245	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|2TLV|346VULN|5RMIN|7RCR|8ZMB|9AART|aDMG
105	13451 21142	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|246VULN|3ZMB|5RMIN|7RCR|8DMG|9AART|aDUST
106	11152 21245	   	169.88	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|25TLV|345VULN|5BPWR|6ERES|7RCR|8ZMB|9AART|aDMG
107	31152 21245	   	169.88	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|25TLV|345VULN|5BPWR|6ERES|7RCR|8ZMB|9AART|aDMG
108	46152 21112	 * 	169.87	DCR|4VULN|1DMG|2ASPD|1DUR	1DUR|25ASPD|345aVULN|5BPWR|6ERES|7RCR|8DMG|9FEWX
109	46152 21132	   	169.77	DCR|4VULN|1DMG|2ASPD|1DUR	1DUR|25ASPD|345aVULN|5BPWR|6ERES|7RCR|8DMG|9DUST
110	13433 41241	   	169.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|26VULN|3ZMB|4RCR|58LIT|7AART|9DMG|aCDMG
111	24523 21162	   	169.63	DCR|3DMG|1AART|1VULN|1CDMG	1LSRICY|2AART|3VULN|459DMG|6ERES|7CDMG|8CGEN|aRCR
112	51121 53212	   	169.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2CGEN|3CDMG|459VULN|6DUR|7AART|8RCR|aZMB
113	52121 53215	   	169.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2ERES|3CDMG|459VULN|6DUR|7AART|8RCR|aZMB
114	36133 25212	   	169.14	DCR|3VULN|2DMG|1DUR|1ASPD	1BEXP|2ASPD|37aVULN|4MLV|59DMG|6RCR|8DUR
115	25225 15212	 * 	168.70	ACR|2AART|2VULN|1DMG|1ZMB	1LSRICY|2CGEN|3BEXP|4RCR|58AART|6ZMB|7DMG|9aVULN
116	22225 15212	   	168.60	ACR|2AART|2VULN|1DMG|1ZMB	1LSRICY|2TLV|3BEXP|4RCR|58AART|6ZMB|7DMG|9aVULN
117	62812 44483	   	168.32	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2MBVNT|3DMG|4DUR|5AART|689VULN|7RCR|aMLV
118	62812 44484	   	168.32	DCR|3VULN|1AART|1DMG|1DUR	1aCGEN|2MBVNT|3DMG|4DUR|5AART|689VULN|7RCR
119	13432 55211	   	168.28	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	18LWND|28VULN|3ZMB|4RCR|5LSRREG|68DUR|7AART|8BPWR|9DMG|aMBVNT
120	13432 55213	   	168.28	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	18LWND|28VULN|3ZMB|4RCR|5LSRREG|68DUR|7AART|8BPWR|9DMG|aBASICY
121	62812 44481	   	168.22	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2MBVNT|3DMG|4DUR|5AART|689VULN|7RCR|aLEGI
122	23425 14211	 * 	168.04	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LSRICY|29VULN|3MLV|4RCR|5AART|67ZMB|8DMG|aASPD
123	23525 14221	   	168.04	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LSRICY|29VULN|3CGEN|4RCR|5AART|67ZMB|8DMG|aASPD
124	23425 14232	 * 	168.04	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	1LSRICY|2VULN|3MLV|4RCR|5AART|67ZMB|8aDMG|9ASPD
125	23525 14232	   	168.04	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	1LSRICY|2VULN|3CGEN|4RCR|5AART|67ZMB|8aDMG|9ASPD
126	16112 21245	   	167.98	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	14LWND|25ASPD|35VULN|5BPWR|6ERES|7RCR|8ZMB|9AART|aDMG
127	62812 31252	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|39DMG|4DUR|5AART|6ERES|79VULN|8RCR|9BPWR|aRMIN
128	62812 31254	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|39DMG|4DUR|5AART|6ERES|79VULN|8RCR|9BPWR|aMLV
129	16111 21145	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	14LWND|2ASPD|36VULN|5RMIN|7RCR|8aDMG|9AART
130	22525 14232	   	167.94	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	1LSRICY|2TLV|3VULN|4RCR|5AART|67ZMB|8aDMG|9ASPD
131	22525 14211	   	167.94	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LSRICY|2TLV|39VULN|4RCR|5AART|67ZMB|8DMG|aASPD
132	23324 43321	 * 	167.92	DCR|3VULN|2DMG|2ZMB	1aLSRICY|23aVULN|49ZMB|5LHND|6RMIN|7RCR|8aDMG|aBPWR
133	62812 31253	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	19CGEN|2MBVNT|39DMG|4DUR|5AART|6ERES|79VULN|8RCR|9BPWR|aTLV
134	23324 53321	   	167.82	DCR|3VULN|2DMG|2ZMB	1aLSRICY|23aVULN|49ZMB|5LHND|6aDMG|7RCR|8NUKE|aBPWR
135	23256 43332	   	167.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|27VULN|3LHND|4AART|5ZMB|6CDMG|8DMG|9RCR|aRCVC
136	24242 43222	   	167.38	DCR|3VULN|1AART|1DMG	1LSRICY|2AART|35ERES|459VULN|5BPWR|6RCR|7MBVNT|8RCVC|aDMG
137	43451 21112	   	167.32	DCR|4VULN|1DMG|1ZMB|1DUR	1DUR|246aVULN|3ZMB|5RMIN|7RCR|8DMG|9FEWX
138	15132 23442	 * 	167.29	ACR|4VULN|1AART|1CDMG	1LWND|25MLV|3568VULN|4RCR|5BPWR|7FEWX|9AART|aCDMG
139	24521 16233	   	167.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|2AART|38VULN|4DMG|5DUST|6ZMB|7CDMG|9RCR|aMBVNT
140	62243 52437	   	167.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CGEN|2MBVNT|3ASPD|4VULN|5DMG|6RCR|7CDMG|8AART|9ZMB|aDUR
141	52121 13262	   	167.22	DCR|2VULN|2AART|1DMG|1CDMG	1MLV|2ERES|3CDMG|45VULN|6BEXP|79AART|8RCR|aDMG
142	43451 21132	   	167.22	DCR|4VULN|1DMG|1ZMB|1DUR	1DUR|246aVULN|3ZMB|5RMIN|7RCR|8DMG|9DUST
143	65133 23342	   	167.19	ACR|4VULN|1AART|1CDMG	1CGEN|2368VULN|4RCR|5LWND|7FEWX|9AART|aCDMG
144	52121 23262	   	167.12	DCR|2VULN|2AART|1DMG|1CDMG	1MLV|2ERES|3CDMG|45VULN|6DUST|79AART|8RCR|aDMG
145	11132 23442	   	167.09	ACR|4VULN|1AART|1CDMG	1LWND|25TLV|3568VULN|4RCR|5BPWR|7FEWX|9AART|aCDMG
146	13332 23342	   	167.09	ACR|4VULN|1AART|1CDMG	1LWND|2568VULN|35ERES|4RCR|5BPWR|7FEWX|9AART|aCDMG
147	13632 23442	   	167.09	ACR|4VULN|1AART|1CDMG	1LWND|2568VULN|35TLV|4RCR|5BPWR|7FEWX|9AART|aCDMG
148	23523 62523	   	167.04	ACR|3VULN|1AART|1DMG|1ASPD	1LSRICY|29aVULN|37CGEN|4RCR|5DMG|6ASPD|8AART
149	45221 52333	 * 	166.94	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	1DUR|2MLV|3ASPD|4FLTHEA|58VULN|6RCR|7CGEN|9AART|aCDMG
150	53221 52333	   	166.94	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	1MLV|2DUR|3ASPD|4FLTHEA|58VULN|6RCR|7CGEN|9AART|aCDMG
151	62243 52412	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2MBVNT|3ASPD|4VULN|59DMG|6RCR|7CDMG|8AART|aBEXP
152	62243 52414	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2MBVNT|3ASPD|4VULN|59DMG|6RCR|7CDMG|8AART|aRPLT
153	62243 52417	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2MBVNT|3ASPD|4VULN|59DMG|6RCR|7CDMG|8AART|aFEWX
154	41221 52333	   	166.84	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	1DUR|2TLV|3ASPD|4FLTHEA|58VULN|6RCR|7CGEN|9AART|aCDMG
155	62243 52416	   	166.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2MBVNT|3ASPD|4VULN|59DMG|6RCR|7CDMG|8AART|aERES
156	46152 21122	   	166.77	DCR|3VULN|1DMG|2ASPD|1ZMB|1DUR	1DUR|25ASPD|345VULN|5BPWR|6ERES|7RCR|8DMG|9CGEN|aZMB
157	55132 22141	   	166.44	ACR|3VULN|1AART|1DMG|1DUR	15MLV|235VULN|4RCR|5BPWR|6ERES|7DUR|8DMG|9AART|aFEWX
158	55132 22143	   	166.44	ACR|3VULN|1AART|1DMG|1DUR	15MLV|235VULN|4RCR|5BPWR|6ERES|7DUR|8DMG|9AART|aCGEN
159	65132 22141	   	166.44	ACR|3VULN|1AART|1DMG|1DUR	15CGEN|235VULN|4RCR|5BPWR|6ERES|7DUR|8DMG|9AART|aFEWX
160	11132 24245	   	166.34	ACR|3VULN|1AART|1DMG|1DUR	17LWND|25TLV|356VULN|4RCR|5BPWR|8DUR|9AART|aDMG
161	13332 24245	   	166.34	ACR|3VULN|1AART|1DMG|1DUR	17LWND|256VULN|35ERES|4RCR|5BPWR|8DUR|9AART|aDMG
