0	Index      	 *	Score 	Summary	Detail	
1	23212 41451	 * 	191.40	DCR|3VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38aVULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART
21	22424 11218	 * 	175.13	DCR|3VULN|3CDMG|1DMG|3DUR	1RCVC|237CDMG|379BPWR|479DUR|5MBVNT|679VULN|8RCR|aDMG
22	12661 62122	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|34VULN|5DMG|6CDMG|7RCR|8RMIN|9AART|aZMB
23	36636 13323	 * 	174.96	ACR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	1MLV|28CDMG|3LEGI|46DMG|5RCR|7VULN|9AART|aFLTHEA
24	22143 33623	 * 	174.54	DCR|3DMG|1AART|2CDMG|2ZMB	15RCVC|29CDMG|3ERES|49ZMB|69aDMG|7RCR|8AART|9BPWR
25	42133 41341	   	174.41	DCR|3VULN|1AART|1DMG|2DUR	13LWND|23DUR|3BPWR|4LHND|59aVULN|6RCR|7DMG|8AART
26	12612 62234	   	173.96	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1FEWX|2DUR|3aVULN|4CDMG|5DUST|6FLTHEA|7AART|8DMG|9RCR
27	56734 43212	   	173.45	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7aVULN|8DUR|9FEWX
28	56734 43222	   	173.45	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7aVULN|8DUR|9LWND
29	12133 45522	   	173.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	138FEWX|23DUR|38BPWR|48LWND|58VULN|6RCR|7AART|9DMG|aCDMG
30	56734 43242	   	173.21	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD|1SELL	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7aVULN|8DUR|9SELL
31	41255 32111	 * 	172.92	DCR|2AART|2VULN|1DMG|3DUR	139LWND|26AART|479DUR|59VULN|8RCR|9BPWR|aDMG
32	61311 14236	 * 	172.72	DCR|2VULN|2DMG|3ASPD|1ZMB|1DUR	1BASICY|29DMG|3LHND|4DUR|59VULN|6ZMB|79aASPD|8RCR|9BPWR
33	56741 11241	   	172.53	DCR|3VULN|3CDMG|1DMG|2ASPD	17ASPD|2MBVNT|347CDMG|5RMIN|67aVULN|7BPWR|8RCR|9DMG
34	56734 42121	   	171.52	DCR|3DMG|1VULN|2CDMG|1ASPD|1DUR	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8LIT|9DUR|aVULN
35	56734 42232	   	171.52	DCR|3DMG|1VULN|2CDMG|1DUR|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8DMSP|9DUR|aVULN
36	12661 62322	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1FEWX|2DUR|34VULN|5DMG|6CDMG|7RCR|8ERES|9AART|aASPD
37	56734 42423	 * 	170.52	DCR|3DMG|3CDMG|1VULN|1ASPD	1ASPD|2MBVNT|358CDMG|457DMG|5BPWR|6RCR|9ERES|aVULN
38	12661 62123	   	170.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1FEWX|2DUR|34VULN|5DMG|6aCDMG|7RCR|8RMIN|9AART
39	11211 62341	   	170.11	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1FEWX|2AART|3LWND|4DUR|5ZMB|69VULN|7DMG|8RCR|aASPD
40	16212 21422	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	128FEWX|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9DUR|aAART
41	16224 21422	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	128FEWX|38VULN|4DUST|5LHND|6RCR|78DMG|8BPWR|9DUR|aAART
42	16232 21422	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	128FEWX|38VULN|4LHND|5DUST|6RCR|78DMG|8BPWR|9DUR|aAART
43	61122 12521	   	169.77	DCR|3VULN|2DMG|1AART	1BASICY|27DMG|349VULN|56DUST|8AART|aRCR
44	61621 12521	   	169.77	DCR|3VULN|2DMG|1AART	1BASICY|27DMG|36DUST|459VULN|8AART|aRCR
45	65321 12521	   	169.77	DCR|3VULN|2DMG|1AART	1BASICY|26DUST|37DMG|459VULN|8AART|aRCR
46	16223 41312	   	169.75	DCR|2VULN|2DMG|1AART|1DUR	129FEWX|39VULN|4DUST|5DUR|6RCR|79DMG|8LEGI|9BPWR|aAART
47	12633 62631	   	169.41	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|25DUR|38VULN|49DMG|6aCDMG|7RCR
48	31626 61233	   	169.35	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1MLV|2FEWX|3CDMG|4VULN|5RCR|69DMG|7LHND|8AART|aFLTHEA
49	36126 61233	   	169.35	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1MLV|2CDMG|3FEWX|4VULN|5RCR|69DMG|7LHND|8AART|aFLTHEA
50	36353 63233	   	169.35	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1MLV|2CDMG|3VULN|4LHND|5RCR|69DMG|7FEWX|8AART|aFLTHEA
51	11221 62512	   	169.22	DCR|2VULN|2DMG|1AART|1ZMB	18FEWX|2AART|3LWND|48LHND|5ZMB|69VULN|78DMG|8BPWR|aRCR
52	22424 11217	 * 	169.17	DCR|4VULN|3CDMG|3DUR	1RCVC|237CDMG|379BPWR|479DUR|5MBVNT|679aVULN|8RCR
53	36636 12223	 * 	169.13	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1MLV|2CDMG|3LEGI|467DMG|5RCR|8AART|9DUR|aZMB
54	23133 41341	   	168.92	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DUR|3LEGI|4LWND|59aVULN|6RCR|7DMG|8AART
55	65321 25333	 * 	168.81	DCR|3VULN|2DMG|1CDMG	19BASICY|2DUST|39DMG|459VULN|6RCR|7RCVC|8RPLT|9BPWR|aCDMG
56	22332 11364	   	168.73	DCR|3VULN|1DMG|2CDMG|2ASPD|1DUR	1RCVC|27CDMG|37ASPD|4DMG|5LHND|679VULN|7BPWR|8DUR|aRCR
57	22233 33634	   	168.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15RCVC|2CDMG|3MLV|49DMG|6ZMB|7RCR|8AART|aVULN
58	36636 13223	   	168.65	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1MLV|2CDMG|3LEGI|46DMG|5RCR|7VULN|8RCVC|9AART|aFLTHEA
59	22143 33634	   	168.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15RCVC|2CDMG|3ERES|4ZMB|69DMG|7RCR|8AART|aVULN
60	53313 21551	   	168.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2MLV|3FEWX|4BEXP|58aVULN|6RCR|7DMG|9AART
61	51213 21551	   	168.32	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2FEWX|3TLV|4BEXP|58aVULN|6RCR|7DMG|9AART
62	56741 43214	   	167.99	DCR|2VULN|3CDMG|3ASPD|1DMG	179ASPD|2MBVNT|347CDMG|5RMIN|6RCR|79BPWR|89VULN|aDMG
63	23235 41432	   	167.70	DCR|3VULN|2DMG|2DUR	1RCVC|28DUR|38aVULN|4LHND|59FEWX|6RCR|78DMG|8BPWR
64	11221 62344	   	167.68	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2aAART|3LWND|4LHND|5ZMB|69VULN|7DMG|8RCR
65	56734 42132	   	167.62	DCR|3DMG|1AART|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8LIT|9TLV|aAART
66	23133 41442	   	167.60	DCR|3VULN|2DMG|2DUR	1RCVC|28DUR|3LEGI|49LWND|58aVULN|6RCR|78DMG|8BPWR
67	23133 41461	   	167.60	DCR|3VULN|2DMG|2DUR	1RCVC|28DUR|3LEGI|4LWND|589VULN|6RCR|78DMG|8BPWR|aRPLT
68	23133 41463	   	167.60	DCR|3VULN|2DMG|2DUR	1RCVC|28DUR|3LEGI|4LWND|589VULN|6RCR|78DMG|8BPWR|aLHND
69	12633 62621	   	167.47	DCR|3VULN|1DMG|2CDMG|2DUR	1FEWX|25DUR|389VULN|4DMG|6aCDMG|7RCR
70	56734 43122	   	166.87	DCR|2DMG|1VULN|2CDMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|9LHND|aDUR
71	56734 43132	   	166.87	DCR|2DMG|1VULN|2CDMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|9FEWX|aDUR
72	56734 43241	   	166.62	DCR|2DMG|1VULN|2CDMG|1ZMB|1DUR|1ASPD|1SELL	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8DUR|9SELL|aZMB
73	56734 43111	   	166.54	DCR|2DMG|1VULN|2CDMG|2ASPD|1ZMB	19ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|aRPLT
74	56734 43113	   	166.54	DCR|2DMG|1VULN|2CDMG|2ASPD|1ZMB	19ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|aLIT
75	56734 43114	   	166.54	DCR|2DMG|1VULN|2CDMG|2ASPD|1ZMB	19ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|aFEWX
76	56734 43144	   	166.54	DCR|2DMG|1VULN|2CDMG|2ASPD|1ZMB	1aASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|9RPLT
77	56734 43112	   	166.44	DCR|2DMG|1VULN|2CDMG|2ASPD|1ZMB	19ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7VULN|8ZMB|aDUST
78	56734 43424	   	166.41	DCR|2VULN|2DMG|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7aVULN|8ERES|9LHND
79	61311 14232	   	166.40	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1BASICY|29DMG|3LHND|4DUR|59VULN|6ZMB|79ASPD|8RCR|9BPWR|aBEXP
80	61311 14233	   	166.40	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1BASICY|29DMG|3LHND|4DUR|59VULN|6ZMB|79ASPD|8RCR|9BPWR|aLWND
81	11231 22512	   	166.39	DCR|3VULN|1AART|2DUR|1ZMB|1ASPD	18FEWX|2AART|3LWND|489VULN|5ZMB|6ASPD|78DUR|8BPWR|aRCR
82	61311 14234	   	166.30	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1BASICY|29DMG|3LHND|4DUR|59VULN|6ZMB|79ASPD|8RCR|9BPWR|aMBVNT
83	61122 14521	 * 	166.28	DCR|4VULN|1AART|1DMG	1BASICY|2DMG|3479VULN|56DUST|8AART|aRCR
84	12113 45341	   	165.95	DCR|3VULN|1AART|2DUR|1ZMB	13FEWX|23DUR|3BPWR|4BEXP|59aVULN|6RCR|7AART|8ZMB
85	12133 45341	   	165.95	DCR|3VULN|1AART|2DUR|1ZMB	13FEWX|23DUR|3BPWR|4LWND|59aVULN|6RCR|7AART|8ZMB
86	61413 33232	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1BASICY|2DMG|3BEXP|4DUR|5RPLT|68aVULN|7RCR|9AART
87	11154 52112	   	165.75	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1FEWX|24AART|3ASPD|59VULN|6DMG|7DUR|8LWND|aRCR
88	24231 34262	 * 	165.70	DCR|2VULN|2DMG|3ZMB	1RCVC|2DMSP|39aZMB|49DMG|5MLV|6ERES|7RCR|89VULN|9BPWR
89	42636 11231	   	165.51	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1aLWND|2DUR|3aVULN|4aDMG|5AART|6SELL|7RMIN|8DMSP|9RCR|aBPWR
90	12633 62423	   	165.37	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|2DUR	1FEWX|25DUR|3VULN|4DMG|6CDMG|7RCR|8MLV|9AART|aFLTHEA
91	12633 62323	   	165.27	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|2DUR	1FEWX|25DUR|3VULN|4DMG|6CDMG|7RCR|8ERES|9AART|aFLTHEA
92	61322 14235	   	164.88	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1BASICY|29DMG|3LHND|4VULN|59DUST|6ZMB|79ASPD|8RCR|9BPWR|aAART
93	22531 64211	 * 	164.82	DCR|3DMG|3CDMG|1AART	1RCVC|29aCDMG|3LIT|4RPLT|59aFEWX|6AART|79aDMG|8RCR|9aBPWR
94	22533 64211	   	164.82	DCR|3DMG|3CDMG|1AART	1RCVC|29aCDMG|3LIT|4RPLT|59aLHND|6AART|79aDMG|8RCR|9aBPWR
95	36563 11211	   	164.79	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MLV|2CDMG|3RPLT|4RCR|5VULN|6DUR|7DMG|8ZMB|9AART|aASPD
96	62322 14235	   	164.78	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	19BASICY|2LEGI|3DMG|49VULN|5DUST|6ZMB|79ASPD|8RCR|9BPWR|aAART
97	36353 11242	 * 	164.73	ACR|3VULN|2DMG|1CDMG	1aMLV|2CDMG|38aVULN|4LHND|5RCR|6RCVC|7LIT|9aDMG|aBPWR
98	23133 41361	   	164.71	DCR|2VULN|2AART|1DMG|1DUR	1RCVC|2DUR|3LEGI|4LWND|5aVULN|6RCR|7DMG|89AART
99	56734 42141	   	164.58	DCR|3DMG|1VULN|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8LIT|9BEXP|aVULN
100	56734 42211	   	164.58	DCR|3DMG|1VULN|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8DMSP|9BELT|aVULN
101	56734 42221	   	164.58	DCR|3DMG|1VULN|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8DMSP|9VULN|aFEWX
102	56734 42223	   	164.58	DCR|3DMG|1VULN|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8DMSP|9VULN|aLWND
103	56734 42224	   	164.58	DCR|3DMG|1VULN|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8DMSP|9VULN|aLHND
104	61116 23423	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BASICY|2aDMG|3VULN|4DUR|5CGEN|6DUST|7RCR|8AART|9CDMG
105	61112 33423	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BASICY|2aDMG|3VULN|4DUR|5DUST|6ERES|7RCR|8AART|9CDMG
106	61611 33423	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BASICY|2aDMG|3DUST|4DUR|5VULN|6ERES|7RCR|8AART|9CDMG
107	65311 33423	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BASICY|2DUST|3aDMG|4DUR|5VULN|6ERES|7RCR|8AART|9CDMG
108	22143 33633	   	164.17	DCR|3DMG|1AART|1CDMG|1ZMB	15RCVC|2CDMG|3ERES|4ZMB|69aDMG|7RCR|8AART
109	61122 26336	   	164.06	DCR|2VULN|2DMG|1CDMG|1ZMB	1BASICY|28DMG|34VULN|5DUST|6RCR|7LWND|9ZMB|aCDMG
110	22113 33624	   	163.99	DCR|2DMG|1AART|1VULN|2CDMG	15RCVC|29CDMG|39ERES|4RMIN|69DMG|7RCR|8AART|9BPWR|aVULN
111	12661 62321	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DUR|34VULN|5DMG|6CDMG|7RCR|8ERES|9AART|aLWND
112	14133 21345	   	163.91	DCR|2VULN|2DMG|1AART	1FEWX|2RCVC|3LEGI|4LWND|59VULN|6RCR|7aDMG|8AART
113	16133 21345	   	163.91	DCR|2VULN|2DMG|1AART	12FEWX|3LEGI|4LWND|59VULN|6RCR|7aDMG|8AART
114	31233 21345	   	163.91	DCR|2VULN|2DMG|1AART	1MLV|2FEWX|3TLV|4LHND|59VULN|6RCR|7aDMG|8AART
115	35333 21345	   	163.91	DCR|2VULN|2DMG|1AART	1MLV|2ERES|3FEWX|4LHND|59VULN|6RCR|7aDMG|8AART
116	66531 12331	   	163.90	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1BASICY|2DUR|3RPLT|4CDMG|5aVULN|6ZMB|78DMG|9RCR
117	11356 22163	 * 	163.89	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	17FEWX|24AART|3ERES|5CDMG|6VULN|8DMG|9RCR|aFLTHEA
118	11211 62552	   	163.86	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	18FEWX|2AART|3LWND|48DUR|5ZMB|6VULN|78DMG|8BPWR|9LIT|aRCR
119	32213 21345	   	163.81	DCR|2DMG|2VULN|1AART	1MLV|2LEGI|3ERES|4BEXP|59VULN|6RCR|7aDMG|8AART
120	32233 41345	   	163.81	DCR|2DMG|2VULN|1AART	1MLV|2LEGI|3ERES|4LHND|59VULN|6RCR|7aDMG|8AART
121	56273 43233	 * 	163.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3ERES|4RCR|56VULN|7BELT|8DMG|9CDMG|aAART
122	66633 22222	 * 	163.60	DCR|3VULN|1AART|2ASPD|2DUR	1aBASICY|25DUR|39aVULN|4BELT|6aASPD|7AART|8RCR|aBPWR
123	14211 62121	   	163.59	DCR|2VULN|1AART|1DMG|2CDMG	1aFEWX|2RCVC|3aVULN|4BEXP|5DMG|6aCDMG|7RCR|8RMIN|9AART|aBPWR
124	16211 62121	   	163.59	DCR|2VULN|1AART|1DMG|2CDMG	12aFEWX|3aVULN|4BEXP|5DMG|6aCDMG|7RCR|8RMIN|9AART|aBPWR
125	14221 62121	   	163.49	DCR|2VULN|1AART|1DMG|2CDMG	1aFEWX|2RCVC|3aVULN|4DUST|5DMG|6aCDMG|7RCR|8RMIN|9AART|aBPWR
126	16221 62121	   	163.49	DCR|2VULN|1AART|1DMG|2CDMG	12aFEWX|3aVULN|4DUST|5DMG|6aCDMG|7RCR|8RMIN|9AART|aBPWR
127	12633 62613	   	163.45	DCR|2VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1FEWX|25DUR|38VULN|4DMG|6CDMG|7RCR|9ASPD|aZMB
128	14212 21452	   	163.41	DCR|2VULN|2DMG|1AART	18FEWX|2RCVC|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART|aDLOT
129	14212 21453	   	163.41	DCR|2VULN|2DMG|1AART	18FEWX|2RCVC|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART|aERES
130	22433 33113	 * 	163.31	DCR|2VULN|2DMG|3CDMG	15RCVC|23aCDMG|3aBPWR|4LHND|6aDMG|7RCR|8MBVNT|9aVULN
131	22436 33113	   	163.31	DCR|2VULN|2DMG|3CDMG	1RCVC|23aCDMG|3aBPWR|45LHND|6aDMG|7RCR|8MBVNT|9aVULN
132	36353 62333	   	163.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1MLV|2CDMG|3VULN|4LHND|5RCR|6aDMG|7AART|8MGNLIT|9DUR
133	61122 25214	   	163.21	DCR|2VULN|2DMG|1AART	1BASICY|2aDMG|34VULN|5DUST|6RCR|78RCVC|9AART
134	11211 62315	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|5ZMB|6VULN|7aDMG|8RCR|9MLV
135	11211 62335	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|5ZMB|6VULN|7aDMG|8RCR|9CGEN
136	11211 62342	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|5ZMB|69VULN|7DMG|8RCR|aLHND
137	11211 62343	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2AART|3aLWND|4DUR|5ZMB|69VULN|7DMG|8RCR
138	11211 62344	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|5ZMB|69VULN|7DMG|8RCR|aDMSP
139	11211 62346	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|5ZMB|69VULN|7DMG|8RCR|aCGEN
140	11221 62341	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3LWND|4LHND|5ZMB|69VULN|7DMG|8RCR|aASPD
141	11221 62345	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2AART|3LWND|4LHND|5ZMB|69VULN|7DMG|8RCR|aDUR
142	11231 42341	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3LWND|49VULN|5ZMB|6BEXP|7DMG|8RCR|aASPD
143	11234 52341	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3LWND|49VULN|5LHND|6ZMB|7DMG|8RCR|aASPD
144	12633 62632	   	163.09	DCR|2VULN|2DMG|1CDMG|2DUR	1FEWX|25DUR|38VULN|49DMG|6CDMG|7RCR|aLHND
145	12633 62633	   	163.09	DCR|2VULN|2DMG|1CDMG|2DUR	1FEWX|25DUR|38VULN|49DMG|6CDMG|7RCR|aLWND
146	11236 52341	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3LWND|49VULN|5DUST|6ZMB|7DMG|8RCR|aASPD
147	11211 62355	   	163.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2AART|3LWND|4DUR|5ZMB|6VULN|7aDMG|8RCR|9ERES
148	23214 41432	   	163.05	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|38VULN|4BEXP|5LHND|6RCR|78DMG|8BPWR|9FEWX|aZMB
149	23113 41432	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|3LEGI|4BEXP|58VULN|6RCR|78DMG|8BPWR|9FEWX|aZMB
150	23113 41442	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|3LEGI|4BEXP|58VULN|6RCR|78DMG|8BPWR|9LWND|aZMB
151	23133 41432	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|3LEGI|4LWND|58VULN|6RCR|78DMG|8BPWR|9FEWX|aZMB
152	23212 41442	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9LWND|aZMB
153	23212 41462	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9LHND|aZMB
154	23224 41432	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|38VULN|4DUST|5LHND|6RCR|78DMG|8BPWR|9FEWX|aZMB
155	23232 41432	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|38VULN|4LHND|5DUST|6RCR|78DMG|8BPWR|9FEWX|aZMB
156	23232 41442	   	162.95	DCR|2VULN|2DMG|2DUR|1ZMB	1RCVC|28DUR|38VULN|4LHND|5DUST|6RCR|78DMG|8BPWR|9LWND|aZMB
157	16212 21462	   	162.91	DCR|2VULN|2DMG|1AART	128FEWX|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9LHND|aAART
