0	Index      	 *	Score 	Summary	Detail	
1	32226 41361	 * 	230.95	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ASPD|aMDPS
20	31226 43332	   	211.11	DCR|3DMG|2VULN|1AART|1ZMB	1TLV|2AME|3AART|49VULN|578DMG|6RCR|aZMB
21	32226 41136	 * 	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1TLV|2RMIN|39AART|47VULN|5DMG|6RCR|8LHND|aASPD
22	32226 41522	   	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1TLV|2RMIN|38AART|47VULN|5DMG|6RCR|9AME|aASPD
23	32226 41512	   	210.52	DCR|2VULN|2AART|1DMG|1ASPD	1TLV|2RMIN|38AART|47VULN|5DMG|6RCR|9ERES|aASPD
24	11112 41212	   	210.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUR|25BEXP|3AART|4aASPD|6RCR|78VULN|9DMG
25	42226 41112	 * 	210.00	DCR|3VULN|2DMG|1AART	1CGEN|2RMIN|3AART|47aVULN|59DMG|6RCR|8LHND
26	52226 41112	   	210.00	DCR|3VULN|2DMG|1AART	1MLV|2RMIN|3AART|47aVULN|59DMG|6RCR|8LHND
27	32226 41112	   	209.90	DCR|3VULN|2DMG|1AART	1TLV|2RMIN|3AART|47aVULN|59DMG|6RCR|8LHND
28	32226 41342	   	209.90	DCR|3VULN|2DMG|1AART	1TLV|2RMIN|3AART|47aVULN|58DMG|6RCR|9FEWX
29	32226 41412	   	209.90	DCR|3VULN|2DMG|1AART	1TLV|2RMIN|3AART|47aVULN|59DMG|6RCR|8LWND
30	32226 41612	   	209.90	DCR|3VULN|2DMG|1AART	1TLV|2RMIN|3AART|47aVULN|59DMG|6RCR|8FEWX
31	32226 46212	   	209.90	DCR|3VULN|2DMG|1AART	1TLV|2RMIN|3AART|48aVULN|59DMG|6RCR|7LHND
32	32226 41352	   	209.80	DCR|3VULN|2DMG|1AART	1TLV|2RMIN|3AART|47aVULN|58DMG|6RCR|9DUST
33	11112 41232	 * 	209.62	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|25BEXP|3AART|4ASPD|6RCR|789aVULN
34	32226 41162	   	208.76	DCR|2VULN|2ASPD|1AART|1DMG	1TLV|2RMIN|3AART|47VULN|5DMG|6RCR|8LHND|9aASPD
35	42226 41132	 * 	208.48	DCR|3VULN|2AART|1DMG	1CGEN|2RMIN|39AART|47aVULN|5DMG|6RCR|8LHND
36	52226 41132	   	208.48	DCR|3VULN|2AART|1DMG	1MLV|2RMIN|39AART|47aVULN|5DMG|6RCR|8LHND
37	32226 41132	   	208.38	DCR|3VULN|2AART|1DMG	1TLV|2RMIN|39AART|47aVULN|5DMG|6RCR|8LHND
38	32226 41432	   	208.38	DCR|3VULN|2AART|1DMG	1TLV|2RMIN|39AART|47aVULN|5DMG|6RCR|8LWND
39	32226 46232	   	208.38	DCR|3VULN|2AART|1DMG	1TLV|2RMIN|39AART|48aVULN|5DMG|6RCR|7LHND
40	42226 43132	 * 	208.24	DCR|2VULN|2AART|2DMG	1CGEN|2RMIN|39AART|4aVULN|57DMG|6RCR|8LHND
41	52226 43132	   	208.24	DCR|2VULN|2AART|2DMG	1MLV|2RMIN|39AART|4aVULN|57DMG|6RCR|8LHND
42	32226 43132	   	208.14	DCR|2VULN|2AART|2DMG	1TLV|2RMIN|39AART|4aVULN|57DMG|6RCR|8LHND
43	32226 43432	   	208.14	DCR|2VULN|2AART|2DMG	1TLV|2RMIN|39AART|4aVULN|57DMG|6RCR|8LWND
44	32226 46332	   	208.14	DCR|2VULN|2AART|2DMG	1TLV|2RMIN|39AART|4aVULN|58DMG|6RCR|7LHND
45	32226 43335	   	208.05	DCR|3DMG|2VULN|1AART	1TLV|2RMIN|3AART|49VULN|578DMG|6RCR|aRCVC
46	11112 41252	 * 	208.00	DCR|3VULN|2ASPD|1AART|1DUR	1DUR|25BEXP|3AART|49ASPD|6RCR|78aVULN
47	11112 41532	   	208.00	DCR|3VULN|2ASPD|1AART|1DUR	1DUR|25BEXP|3AART|48ASPD|6RCR|79aVULN
48	13113 22131	 * 	207.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|2FEWX|3AART|4ASPD|5CDMG|69aVULN|7RCR|8TSLARM
49	15113 22131	   	207.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|2DUST|3AART|4ASPD|5CDMG|69aVULN|7RCR|8TSLARM
50	32226 43136	 * 	207.82	DCR|2AART|2DMG|1VULN|1ASPD	1TLV|2RMIN|39AART|4VULN|57DMG|6RCR|8LHND|aASPD
51	32226 43522	   	207.82	DCR|2AART|2DMG|1VULN|1ASPD	1TLV|2RMIN|38AART|4VULN|57DMG|6RCR|9AME|aASPD
52	42226 43333	   	207.82	DCR|3DMG|2VULN|1AART	1CGEN|2RMIN|3AART|49VULN|578DMG|6RCR|aMULFIG
53	52226 43333	   	207.82	DCR|3DMG|2VULN|1AART	1MLV|2RMIN|3AART|49VULN|578DMG|6RCR|aMULFIG
54	32226 43512	   	207.72	DCR|2AART|2DMG|1VULN|1ASPD	1TLV|2RMIN|38AART|4VULN|57DMG|6RCR|9ERES|aASPD
55	32226 43333	   	207.72	DCR|3DMG|2VULN|1AART	1TLV|2RMIN|3AART|49VULN|578DMG|6RCR|aMULFIG
56	32226 43334	   	207.72	DCR|3DMG|2VULN|1AART	1TLV|2RMIN|3AART|49VULN|578DMG|6RCR|aMLV
57	32226 43336	   	207.72	DCR|3DMG|2VULN|1AART	1TLV|2RMIN|3AART|49VULN|578DMG|6RCR|aCGEN
58	32226 43363	   	207.72	DCR|3DMG|2VULN|1AART	19TLV|2RMIN|3AART|49VULN|578DMG|6RCR|9BPWR|aMULFIG
59	42226 43331	   	207.72	DCR|3DMG|2VULN|1AART|1MSE	1CGEN|2RMIN|3AART|49VULN|578DMG|6RCR|aMSE
60	52226 43331	   	207.72	DCR|3DMG|2VULN|1AART|1MSE	1MLV|2RMIN|3AART|49VULN|578DMG|6RCR|aMSE
61	32226 43331	   	207.62	DCR|3DMG|2VULN|1AART|1MSE	1TLV|2RMIN|3AART|49VULN|578DMG|6RCR|aMSE
62	32226 43361	   	207.62	DCR|3DMG|2VULN|1AART|1MSE	19TLV|2RMIN|3AART|49VULN|578DMG|6RCR|9BPWR|aMSE
63	32226 42362	   	207.57	DCR|2DMG|2ASPD|1VULN|1AART	1TLV|2RMIN|3AART|4VULN|58DMG|6RCR|7RCVC|9aASPD
64	42226 43112	 * 	207.50	DCR|3DMG|1AART|1VULN|1NUKE	1CGEN|2RMIN|3AART|4VULN|579DMG|6RCR|8LHND|aNUKE
65	42226 43322	   	207.50	DCR|3DMG|1AART|1VULN|1NUKE	1CGEN|2RMIN|3AART|4VULN|578DMG|6RCR|9LHND|aNUKE
66	52226 43112	   	207.50	DCR|3DMG|1VULN|1AART|1NUKE	1MLV|2RMIN|3AART|4VULN|579DMG|6RCR|8LHND|aNUKE
67	52226 43322	   	207.50	DCR|3DMG|1VULN|1AART|1NUKE	1MLV|2RMIN|3AART|4VULN|578DMG|6RCR|9LHND|aNUKE
68	56221 12252	   	207.50	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1DUR	1MLV|2MDPS|38VULN|4DUR|5aDMG|6ASPD|7AART|9RCR
69	32226 43112	   	207.40	DCR|3DMG|1VULN|1AART|1NUKE	1TLV|2RMIN|3AART|4VULN|579DMG|6RCR|8LHND|aNUKE
70	32226 43322	   	207.40	DCR|3DMG|1VULN|1AART|1NUKE	1TLV|2RMIN|3AART|4VULN|578DMG|6RCR|9LHND|aNUKE
71	32226 43412	   	207.40	DCR|3DMG|1VULN|1AART|1NUKE	1TLV|2RMIN|3AART|4VULN|579DMG|6RCR|8LWND|aNUKE
72	32226 43612	   	207.40	DCR|3DMG|1VULN|1AART|1NUKE	1TLV|2RMIN|3AART|4VULN|579DMG|6RCR|8FEWX|aNUKE
73	32226 46312	   	207.40	DCR|3DMG|1VULN|1AART|1NUKE	1TLV|2RMIN|3AART|4VULN|589DMG|6RCR|7LHND|aNUKE
74	36621 12252	   	207.40	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1DUR	1TLV|2MDPS|38VULN|4DUR|5aDMG|6ASPD|7AART|9RCR
75	32226 43162	   	205.97	DCR|2DMG|2ASPD|1VULN|1AART	1TLV|2RMIN|3AART|4VULN|57DMG|6RCR|8LHND|9aASPD
76	41226 41322	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2AME|3AART|47VULN|58DMG|6RCR|9MLV|aASPD
77	51226 41322	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|29AME|3AART|47VULN|58DMG|6RCR|aASPD
78	51226 41332	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2AME|3AART|47VULN|58DMG|6RCR|9DMSP|aASPD
79	31226 41116	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2AME|3AART|47VULN|59DMG|6RCR|8LHND|aASPD
80	31226 41322	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2AME|3AART|47VULN|58DMG|6RCR|9MLV|aASPD
81	31226 41363	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2AME|3AART|47VULN|58DMG|6RCR|9ASPD|aLHND
82	41226 41312	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2AME|3AART|47VULN|58DMG|6RCR|9ERES|aASPD
83	51226 41312	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2AME|3AART|47VULN|58DMG|6RCR|9ERES|aASPD
84	31226 41312	   	205.09	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2AME|3AART|47VULN|58DMG|6RCR|9ERES|aASPD
85	32131 31632	   	204.87	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1TLV|2RMIN|3ZMB|48VULN|5LWND|6RCR|7DMG|9AART|aASPD
86	32131 32612	   	204.87	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1TLV|2RMIN|3ZMB|47VULN|5LWND|6RCR|8AART|9DMG|aASPD
87	32135 31632	   	204.87	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1TLV|2RMIN|3ZMB|48VULN|5BEXP|6RCR|7DMG|9AART|aASPD
88	13113 22265	 * 	204.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|2FEWX|3AART|4aASPD|5CDMG|69VULN|7RCR|8DUST
89	13111 26154	 * 	203.85	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|2FEWX|3aAART|4ASPD|5SPLJET|678VULN|9RCR
90	31226 41522	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1TLV|2AME|38AART|47VULN|5DMG|6RCR|9MLV|aASPD
91	31226 41512	   	203.58	DCR|2VULN|2AART|1DMG|1ASPD	1TLV|2AME|38AART|47VULN|5DMG|6RCR|9ERES|aASPD
92	11155 34232	 * 	203.54	DCR|4VULN|2AART|1DUR	1DUR|2BEXP|34AART|589aVULN|6ERES|7RCR
93	13155 34232	   	203.54	DCR|4VULN|2AART|1DUR	1DUR|2FEWX|34AART|589aVULN|6ERES|7RCR
94	11112 41512	 * 	202.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUR|25BEXP|3AART|48aASPD|6RCR|7VULN|9DMG
95	41225 12522	 * 	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|26AME|3AART|45VULN|7RCR|8CDMG|9DMG|aASPD
96	51225 12522	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|26AME|3AART|45VULN|7RCR|8CDMG|9DMG|aASPD
97	31225 12522	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|26AME|3AART|45VULN|7RCR|8CDMG|9DMG|aASPD
98	31226 41162	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1TLV|2AME|3AART|47VULN|5DMG|6RCR|8LHND|9aASPD
99	31225 62522	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16TLV|2AME|3AART|45VULN|7RCR|8CDMG|9DMG|aASPD
100	42226 41321	   	201.53	DCR|2VULN|2DMG|1MDPS|1AART	1CGEN|2RMIN|3AART|47VULN|58DMG|6RCR|9AME|aMDPS
101	52226 41321	   	201.53	DCR|2VULN|1MDPS|2DMG|1AART	1MLV|2RMIN|3AART|47VULN|58DMG|6RCR|9AME|aMDPS
102	32226 41321	   	201.43	DCR|2VULN|1MDPS|2DMG|1AART	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9AME|aMDPS
103	42226 41311	   	201.43	DCR|2VULN|1MDPS|2DMG|1AART	1CGEN|2RMIN|3AART|47VULN|58DMG|6RCR|9ERES|aMDPS
104	52226 41311	   	201.43	DCR|2VULN|1MDPS|2DMG|1AART	1MLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ERES|aMDPS
105	56221 12352	 * 	201.33	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|1DUR	1MLV|2MDPS|3VULN|4DUR|5aDMG|68ASPD|7AART|9RCR
106	32226 41311	   	201.33	DCR|2VULN|1MDPS|2DMG|1AART	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ERES|aMDPS
107	36621 12352	   	201.23	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|1DUR	1TLV|2MDPS|3VULN|4DUR|5aDMG|68ASPD|7AART|9RCR
108	31226 43335	   	201.11	DCR|3DMG|2VULN|1AART	1TLV|2AME|3AART|49VULN|578DMG|6RCR|aRCVC
109	32131 31654	   	201.06	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2RMIN|3ZMB|48VULN|5LWND|6RCR|7DMG|9CDMG|aAART
