0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55334 11223	6	 * 	317.30	橙5易伤3时间2伤害	167时间2雷电37伤害4567a易伤67序列升级8核9掉矿
27	33335 11133	10	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a策反
28	33335 11134	9	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a矿等
29	33335 11134	10	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a敌人爆炸
30	33335 11136	9	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a基地爆炸
31	33335 11137	9	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a敌人爆炸
32	33335 11138	10	   	295.44	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a基地爆炸
33	33335 17253	9	   	295.44	橙5易伤3伤害2雷电	1加一27雷电367伤害4567a易伤67序列升级8策反9核
34	64335 11131	9	   	295.44	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a低血量敌人
35	64335 11131	10	   	295.44	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a金币生成
36	64335 11133	10	   	295.44	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a策反
37	64335 11134	10	   	295.44	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a敌人爆炸
38	64335 11134	9	   	295.44	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a矿等
39	33335 11133	9	   	295.34	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a赏金邻近
40	33335 11136	10	   	295.34	橙5易伤3伤害2雷电	1加一29雷电369伤害45679易伤69序列升级8核a掉矿
41	33335 61131	9	   	295.34	橙5易伤3伤害2雷电	1加一29雷电369伤害4579a易伤8核9序列升级
42	33335 61136	10	   	295.34	橙5易伤3伤害2雷电	1加一29雷电369伤害4579a易伤8核9序列升级
43	64335 11133	9	   	295.34	橙5易伤3伤害2雷电	19雷电25679易伤369伤害4加一69序列升级8核a赏金邻近
44	33335 11137	10	   	295.20	橙5易伤3伤害2雷电1卖塔	1加一29雷电369伤害45679易伤69序列升级8核a卖塔
45	33337 14235	6	   	295.16	橙4易伤3伤害1时间	1加一2雷电356伤害4567易伤56序列升级8全技能9核a时间
46	33337 32267	6	   	294.35	橙3易伤2伤害2时间1等级2雷电	1加一29雷电35伤害459易伤59序列升级69时间7核8全技能a等级
47	33235 11138	9	 * 	292.93	橙5易伤3攻速1伤害2雷电	1加一29雷电369攻速45679易伤69序列升级8核a伤害
48	33335 17346	10	   	292.05	橙4易伤3伤害1等级2雷电	1加一27雷电367伤害4567易伤67序列升级8挖尘9等级a核
49	33335 61133	10	   	292.05	橙4易伤3伤害1时间2雷电	1加一29雷电369伤害4579易伤8核9序列升级a时间
50	64326 13323	7	   	291.73	橙4易伤3时间3雷电1伤害	156雷电278a易伤3伤害456时间56序列升级9核
51	33337 32261	6	   	291.33	橙3易伤3时间2伤害2雷电	1加一29雷电35伤害459易伤59序列升级69a时间7核8全技能
52	55234 11221	6	   	290.98	橙4易伤3时间2攻速	167时间2雷电37攻速4567易伤67序列升级8核9掉矿a全技能
53	33337 14231	6	   	289.91	橙4易伤3伤害1攻速	1加一2雷电356伤害4567易伤56序列升级8全技能9核a攻速
54	64337 14231	6	   	289.91	橙4易伤3伤害1攻速	1雷电2567易伤356伤害4加一56序列升级8全技能9核a攻速
55	33335 17282	9	   	289.55	橙4易伤3伤害2雷电1暴击	1加一27雷电367伤害4567易伤67序列升级8策反9暴击a核
56	33335 17722	9	   	289.55	橙4易伤3伤害2雷电1暴击	1加一27雷电367伤害4567易伤67序列升级8暴击9随机矿a核
57	33335 17742	9	   	289.55	橙4易伤3伤害2雷电1暴击	1加一27雷电367伤害4567易伤67序列升级8暴击9矿等a核
58	53613 26312	7	   	289.45	橙4易伤3时间2伤害	149时间2平台349a易伤49序列升级5基地爆炸6挖尘7核89伤害
59	33335 11156	8	   	289.29	橙5易伤2伤害1等级	1加一2雷电36伤害4567a易伤6序列升级8核9等级
60	33335 11162	8	   	289.29	橙5易伤2伤害1时间	1加一2雷电36伤害4567a易伤6序列升级8核9时间
61	33335 11762	7	   	289.29	橙5易伤2伤害1时间	1加一2雷电36伤害4567a易伤6序列升级8核9时间
62	33335 11152	9	   	289.29	橙5易伤2伤害1时间	1加一2雷电36伤害45679易伤6序列升级8核a时间
63	33235 11135	9	   	289.12	橙5易伤3攻速1等级2雷电	1加一29雷电369攻速45679易伤69序列升级8核a等级
64	33335 11814	9	   	288.69	橙5易伤3伤害	1加一2雷电369伤害45678易伤6序列升级a核
65	66234 11122	6	   	288.52	橙5易伤2攻速3雷电1伤害	167雷电2基地爆炸37攻速45678易伤67序列升级9核a伤害
66	55234 11233	6	   	287.87	橙4易伤3时间2攻速2雷电	167时间2a雷电37攻速4567易伤67序列升级8核9双倍物品
