0	Index      	 *	Score 	Summary	Detail	
1	41522 11623	 * 	302.80	DCR|4VULN|2TLV|3DUR	139aVULN|2CGEN|4RPLT|56aDUR|7RCR|8aTLV|aBPWR
32	23623 11165	   	282.50	ACR|DCR|2TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4CGEN|5AART|68TLV|9LEGI|aVULN
33	51114 31213	 * 	282.35	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1MSLTOX|2VULN|3TLV|4LWND|5ASPD|6aRCR|7DUR|8CDMG|9CGEN
34	51112 31253	   	282.25	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1MSLTOX|2VULN|3TLV|4LWND|5ERES|6aRCR|7DUR|8CDMG|9ASPD
35	51114 31263	   	282.25	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1MSLTOX|2VULN|3TLV|4LWND|5ASPD|6aRCR|7DUR|8CDMG|9ERES
36	23432 12134	   	282.05	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4ZMB|569VULN|7RAT|8DMG|aTLV
37	23442 12136	   	282.05	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4TLV|569VULN|7RAT|8DMG|aZMB
38	23442 33134	   	281.73	ACR|3VULN|1TLV|1DMG|1AEFBLL|1ASPD	1AEWIND|2RCR|3AEFBLL|4TLV|59aVULN|6DMG|7ASPD|8AEFRZ
39	23442 11513	   	281.66	ACR|2VULN|1TLV|2DMG|1AEFBLL|1CDMG	1AEWIND|2RCR|3AEFBLL|4TLV|56VULN|7FRZICY|8aDMG|9CDMG
40	23426 32334	   	281.66	ACR|2VULN|1TLV|2DMG|1AEFBLL|1ASPD	1AEWIND|2RCR|3AEFBLL|49VULN|56DMG|7RAT|8ASPD|aTLV
41	11632 14335	 * 	281.16	DCR|3TLV|2VULN|2DMG	1BELT|28DMG|36VULN|458TLV|78BEXP|8BPWR|9RMIN|aRCR
42	11632 52241	   	280.92	DCR|3TLV|2VULN|2DMG|1SELL	1BELT|27DMG|37VULN|457TLV|6SELL|7BPWR|8aLHND|9RCR
43	11632 52242	   	280.92	DCR|3TLV|2VULN|2DMG|1SELL	1BELT|27DMG|37VULN|457TLV|6SELL|7BPWR|8LHND|9RCR|aMLV
44	11632 52243	   	280.82	DCR|3TLV|2VULN|2DMG|1SELL	1BELT|27DMG|37VULN|457TLV|6SELL|7BPWR|8LHND|9RCR|aAIRHEA
45	66413 44227	   	280.69	ACR|2TLV|2VULN|1AEBURN|3RAT|1AART	159RAT|2MBVNT|3RCR|49TLV|69VULN|7AART|8RMIN|9BPWR|aAEBURN
46	23633 21314	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8DUR|9CDMG|aVULN
47	23633 21335	   	279.70	ACR|DCR|1TLV|1VULN|1ASPD|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8DUR|9ASPD|aVULN
48	11632 11353	   	279.45	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BELT|2DMG|36VULN|45TLV|7CGEN|8RCR|9AEFBLL|aNUKE
49	53336 36312	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MSLTOX|2LWND|3AAC|4TLV|5FEWX|68RCR|7DMG|9VULN|aASPD
50	66412 14226	   	279.01	ACR|3VULN|2TLV|2RAT|1AART	19RAT|2MBVNT|3RCR|49TLV|59aVULN|6RCVC|7AART|8RMIN|9BPWR
51	11632 11365	   	276.97	DCR|2TLV|2VULN|2DMG	1BELT|2aDMG|36VULN|45TLV|7CGEN|8RCR|9DUR
52	66412 54312	   	276.82	ACR|2VULN|1TLV|2ASPD|1AEPOI|2RAT|1CDMG	17RAT|2MBVNT|3RCR|4TLV|57VULN|67ASPD|7BPWR|8MDPS|9CDMG|aAEPOI
53	23426 35232	   	276.73	ACR|2VULN|1TLV|3DMG|1AEFBLL	1AEWIND|2RCR|3AEFBLL|4aVULN|567DMG|8TLV|9LIT
54	23633 21145	   	276.46	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8AEBURN|9FEWX|aVULN
55	23633 21165	   	276.46	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8AEBURN|9LHND|aVULN
56	23633 21155	   	276.36	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8AEBURN|9DUST|aVULN
57	23442 12411	 * 	276.10	ACR|4VULN|1TLV|1AEFBLL	1AEWIND|2RCR|3AEFBLL|4TLV|5689VULN|7RAT|aCGEN
58	23442 12412	   	276.10	ACR|4VULN|1TLV|1AEFBLL	1AEWIND|2RCR|3AEFBLL|4TLV|5689VULN|7RAT|aLWND
59	23442 12413	   	276.10	ACR|4VULN|1TLV|1AEFBLL	1AEWIND|2RCR|3AEFBLL|4TLV|5689VULN|7RAT|aLHND
60	66414 18414	   	275.37	ACR|2TLV|2VULN|1AEFBLL|2DUR	1RAT|2MBVNT|3RCR|4aTLV|5ERES|6AEFBLL|7aDUR|8CGEN|9aVULN|aBPWR
61	11632 52143	   	275.28	DCR|3TLV|2VULN|2DMG|1SELL|1MSE	1BELT|27DMG|37VULN|457TLV|6SELL|7BPWR|8MSE|9RCR|aDUR
62	23623 11136	 * 	275.12	ACR|DCR|2TLV|2AART|1DMG	1AEWIND|27RCR|3RPLT|4CGEN|5aAART|68TLV|9DMG
63	23633 61136	   	275.12	ACR|DCR|2TLV|2AART|1DMG	1AEWIND|27RCR|3RPLT|48TLV|5aAART|6CGEN|9DMG
64	23422 12134	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|469VULN|5CGEN|7RAT|8DMG|aTLV
65	23425 12134	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|469VULN|5AAC|7RAT|8DMG|aTLV
66	23442 12131	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4TLV|569VULN|7RAT|8DMG|aFEWX
67	23442 12133	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4TLV|569VULN|7RAT|8DMG|aCGEN
68	23442 12135	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4TLV|569VULN|7RAT|8DMG|aBELT
69	53336 36311	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1MSLTOX|2LWND|3AAC|4TLV|5FEWX|68RCR|7DMG|9VULN|aDUR
70	23421 12134	   	275.02	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|469VULN|5ERES|7RAT|8DMG|aTLV
71	23442 12132	   	275.02	ACR|3VULN|1TLV|1AEFBLL|1DMG|1MSE	1AEWIND|2RCR|3AEFBLL|4TLV|569VULN|7RAT|8DMG|aMSE
72	23442 12161	   	275.02	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2RCR|3AEFBLL|4TLV|56aVULN|7RAT|8DMG|9SPLARM
73	23442 13513	   	274.62	ACR|2VULN|1TLV|2DMG|1AEFBLL|1CDMG	1AEWIND|2RCR|3AEFBLL|4TLV|56VULN|7CANARM|8aDMG|9CDMG
74	23442 33124	   	274.62	ACR|2VULN|1TLV|2DMG|1AEFBLL|1ASPD	1AEWIND|2RCR|3AEFBLL|4TLV|5aVULN|69DMG|7ASPD|8AEFRZ
75	66412 54243	   	274.62	ACR|2VULN|1TLV|3ASPD|3RAT|1CDMG	178RAT|2MBVNT|3RCR|4TLV|57VULN|679ASPD|7BPWR|aCDMG
76	45331 11333	   	274.42	DCR|3VULN|2TLV|1DMG	169VULN|2BELT|34TLV|5MLV|7CGEN|8RCR|aDMG
77	45331 12333	   	274.42	DCR|3VULN|2TLV|1DMG	169VULN|2BELT|34TLV|5MLV|7AME|8RCR|aDMG
78	11632 12355	   	274.42	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|369VULN|45TLV|7AME|8RCR|aBEXP
79	11632 12356	   	274.42	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|369VULN|45TLV|7AME|8RCR|aLIT
80	11632 22351	   	274.42	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|379VULN|45TLV|6RMIN|8RCR|aLHND
81	11632 22352	   	274.42	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|379VULN|45TLV|6RMIN|8RCR|aLIT
82	11632 22353	   	274.42	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|379VULN|45TLV|6RMIN|8RCR|aRPLT
83	11632 22355	   	274.42	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|379VULN|45TLV|6RMIN|8RCR|aBEXP
84	45322 32353	   	274.42	DCR|3VULN|2TLV|1DMG	179VULN|2BELT|36TLV|45LWND|8RCR|aDMG
85	45331 22333	   	274.42	DCR|3VULN|2TLV|1DMG	179VULN|2BELT|34TLV|5MLV|6RMIN|8RCR|aDMG
86	61136 44221	   	274.38	ACR|2TLV|2VULN|1DMG|2RAT|1AART	19RAT|29TLV|3RCVC|49VULN|5RCR|6MBVNT|7AART|8RMIN|9BPWR|aDMG
87	66412 14221	   	274.38	ACR|2TLV|2VULN|1DMG|2RAT|1AART	19RAT|2MBVNT|3RCR|49TLV|59VULN|6RCVC|7AART|8RMIN|9BPWR|aDMG
88	45321 32353	   	274.32	DCR|3VULN|2TLV|1DMG	179VULN|2BELT|36TLV|4LWND|5AEWIND|8RCR|aDMG
89	45331 52333	   	274.32	DCR|3VULN|2TLV|1DMG	179VULN|2BELT|34TLV|5MLV|6NUKE|8RCR|aDMG
90	11632 12351	   	274.32	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|369VULN|45TLV|7AME|8RCR|aLEGI
91	11632 12352	   	274.32	DCR|3VULN|2TLV|1DMG	1BELT|2DMG|369VULN|45TLV|7AME|8RCR|aAEFRZ
92	11632 12354	   	274.32	DCR|3VULN|2TLV|1DMG|1MSE	1BELT|2DMG|369VULN|45TLV|7AME|8RCR|aMSE
93	11632 22354	   	274.32	DCR|3VULN|2TLV|1DMG|1MSE	1BELT|2DMG|379VULN|45TLV|6RMIN|8RCR|aMSE
94	45331 16331	   	274.32	DCR|3VULN|2TLV|1DMG	169VULN|2BELT|34TLV|5MLV|7DMG|8RCR|aLEGI
95	45331 16332	   	274.32	DCR|3VULN|2TLV|1DMG	169VULN|2BELT|34TLV|5MLV|7DMG|8RCR|aAEFRZ
96	23633 41314	   	274.28	ACR|2TLV|2VULN|1DMG|1CDMG|1AART	1AEWIND|2RCR|3RPLT|4aTLV|5AART|67VULN|8CDMG|9DMG
97	45361 33111	   	274.25	DCR|2TLV|2VULN|2DMG	17VULN|2BELT|37TLV|4VENICY|5FLTFST|67DMG|7BPWR|8DUST|9RAT|aRCR
98	66413 42341	   	274.12	ACR|3VULN|2TLV|3RAT	159RAT|2MBVNT|3RCR|49TLV|69aVULN|7NUKE|8MDPS|9BPWR
99	23633 21342	   	272.99	ACR|DCR|1TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8DUR|9RAT|aVULN
100	23633 21355	   	272.99	ACR|DCR|1TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8DUR|9ZMB|aVULN
101	23633 21532	   	272.99	ACR|DCR|1TLV|1VULN|1AART	1AEWIND|27RCR|3RPLT|4TLV|5AART|6RMIN|8RAT|9DUR|aVULN
