0	Index      	 *	Score 	Summary	Detail	
1	33124 16316	 * 	270.09	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1LWND|2TLV|3VULN|4ZMB|5BOSS|6CDMG|7DUR|8AART|9aRCR
47	26613 33116	   	243.69	DCR|DCR|1VULN|1CDMG|1AAC|1DUR|1AART	1LIT|2DUST|3VULN|4AAC|5DUR|6CDMG|7ERES|8AART|9aRCR
48	41124 12324	   	243.40	DCR|4VULN|2DMG|1DUR|1SELL	15DMG|2345VULN|5BPWR|6RCVC|7RCR|8SELL|9ASPD|aDUR
49	33246 52222	   	242.79	DCR|DCR|1VULN|1TLV|1DUR	13LWND|2TLV|45BELT|6RMIN|78RCR|9DUR|aVULN
50	11236 63221	   	242.59	DCR|DCR|2VULN|1AAC|1CDMG	1CGEN|24VULN|34ERES|4BPWR|5VENICY|6CDMG|79RCR|8AAC|aLHND
51	11236 63223	   	242.59	DCR|DCR|2VULN|1AAC|1CDMG	1CGEN|24VULN|34ERES|4BPWR|5VENICY|6CDMG|79RCR|8AAC|aBEXP
52	11143 22222	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2aVULN|3AEFBLL|4BELT|5RMIN|6AEBURN|78RCR|9DUR
53	11143 22245	   	242.59	DCR|DCR|2VULN|1CDMG	1CGEN|29VULN|3AEFBLL|4BELT|5RMIN|6AEBURN|78RCR|aCDMG
54	11143 32222	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2aVULN|3AEFBLL|4BELT|5RMIN|6AEPOI|78RCR|9DUR
55	11143 32245	   	242.59	DCR|DCR|2VULN|1CDMG	1CGEN|29VULN|3AEFBLL|4BELT|5RMIN|6AEPOI|78RCR|aCDMG
56	11316 22222	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2aVULN|3RMIN|4BELT|5AEPOI|6AEBURN|78RCR|9DUR
57	11316 22245	   	242.59	DCR|DCR|2VULN|1CDMG	1CGEN|29VULN|3RMIN|4BELT|5AEPOI|6AEBURN|78RCR|aCDMG
58	11316 32222	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2aVULN|3RMIN|4BELT|56AEPOI|78RCR|9DUR
59	11316 32245	   	242.59	DCR|DCR|2VULN|1CDMG	1CGEN|29VULN|3RMIN|4BELT|56AEPOI|78RCR|aCDMG
60	11141 22212	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9LIT|aAART
61	11141 22216	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9LIT|aCDMG
62	11141 22223	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DUR|aLIT
63	11141 22224	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DUR|aZMB
64	11141 22225	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DUR|aDMSP
65	11141 22231	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9FEWX|aAAC
66	11141 32212	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9LIT|aAART
67	11141 32216	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9LIT|aCDMG
68	11141 32223	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DUR|aLIT
69	11141 32224	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DUR|aZMB
70	11141 32225	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DUR|aDMSP
71	11141 32231	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9FEWX|aAAC
72	11236 63222	   	242.49	DCR|DCR|2VULN|1AAC|1CDMG|1MSE	1CGEN|24VULN|34ERES|4BPWR|5VENICY|6CDMG|79RCR|8AAC|aMSE
73	11236 63224	   	242.49	DCR|DCR|2VULN|1AAC|1CDMG	1CGEN|24VULN|34ERES|4BPWR|5VENICY|6CDMG|79RCR|8AAC|aMDPS
74	11141 22226	   	242.49	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DUR|aSELL
75	11141 22251	   	242.49	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9AETHUN|aAAC
76	11141 22255	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9AETHUN|aAART
77	11141 22261	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEBURN|78RCR|9DLOT|aDUR
78	11141 32226	   	242.49	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DUR|aSELL
79	11141 32251	   	242.49	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9AETHUN|aAAC
80	11141 32255	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9AETHUN|aAART
81	11141 32261	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3AEFBLL|4BELT|5TLV|6AEPOI|78RCR|9DLOT|aDUR
82	11236 23226	   	242.35	DCR|DCR|2VULN|1DUR|1AAC|1SELL	1CGEN|24VULN|34ERES|4BPWR|5VENICY|6SELL|79RCR|8AAC|aDUR
83	43313 21452	 * 	240.59	DCR|DCR|2DMG|1VULN|1NUKE	19DMG|29LIT|3NUKE|4BOSS|59RAT|67RCR|8BBNT|9BPWR|aVULN
