0	Index      	 *	Score 	Summary	Detail	
1	56613 11213	 * 	211.20	DCR|4VULN|3DMG|1CDMG|2DUR	137aVULN|234DMG|3aBPWR|5CDMG|6RCR|8aDUR|9aMLV
14	52326 33243	   	195.13	ACR|3VULN|3DMG|3ZMB	149VULN|2RMIN|379ZMB|5RCR|689DMG|9BPWR|aLHND
15	52326 31225	   	191.64	ACR|4VULN|3DMG|1ZMB	147aVULN|2RMIN|3ZMB|5RCR|68aDMG|9aERES|aBPWR
16	56613 11212	   	191.61	DCR|3VULN|3DMG|1CDMG|1DUR	137VULN|234DMG|3BPWR|5CDMG|6RCR|8DUR|9aMLV
17	56613 11222	   	191.61	DCR|3VULN|3DMG|1CDMG|1DUR	137VULN|234DMG|3BPWR|5CDMG|6RCR|8DUR|9aBELT
18	56613 11223	   	191.51	DCR|3VULN|3DMG|1CDMG|1DUR	137VULN|234DMG|3BPWR|5CDMG|6RCR|8DUR|9BELT|aTLV
19	56613 11232	   	191.51	DCR|3VULN|3DMG|1CDMG|1DUR	137VULN|234DMG|3BPWR|5CDMG|6RCR|8DUR|9ERES|aMLV
20	56613 11233	   	191.51	DCR|3VULN|3DMG|1CDMG|1DUR	137VULN|234DMG|3BPWR|5CDMG|6RCR|8DUR|9ERES|aLWND
21	56613 11331	   	191.41	DCR|3VULN|3DMG|1CDMG|1DUR	137VULN|234DMG|3BPWR|5CDMG|6RCR|89TLV|aDUR
22	56613 13112	   	191.18	DCR|3VULN|3DMG|2CDMG	138VULN|234DMG|38BPWR|58CDMG|6RCR|78LHND|9aMLV
23	56613 13122	   	191.18	DCR|3VULN|3DMG|2CDMG	138VULN|234DMG|38BPWR|58CDMG|6RCR|78LHND|9aBELT
24	26513 11113	   	191.18	DCR|3VULN|3DMG|2CDMG	138BEXP|234DMG|38BPWR|58CDMG|6RCR|789VULN|aRCVC
25	26513 11114	   	191.18	DCR|3VULN|3DMG|2CDMG	138BEXP|234DMG|38BPWR|58CDMG|6RCR|789VULN|aLIT
26	26513 11115	   	191.18	DCR|3VULN|3DMG|2CDMG	138BEXP|234DMG|38BPWR|58CDMG|6RCR|789VULN|aCGEN
27	56613 13123	   	191.08	DCR|3VULN|3DMG|2CDMG	138VULN|234DMG|38BPWR|58CDMG|6RCR|78LHND|9BELT|aTLV
28	56613 13132	   	191.08	DCR|3VULN|3DMG|2CDMG	138VULN|234DMG|38BPWR|58CDMG|6RCR|78LHND|9ERES|aMLV
29	56613 13133	   	191.08	DCR|3VULN|3DMG|2CDMG	138VULN|234DMG|38BPWR|58CDMG|6RCR|78LHND|9ERES|aLWND
30	26513 11112	   	191.08	DCR|3VULN|3DMG|2CDMG	138BEXP|234DMG|38BPWR|58CDMG|6RCR|789VULN|aERES
31	26513 11116	   	191.08	DCR|3VULN|3DMG|2CDMG	138BEXP|234DMG|38BPWR|58CDMG|6RCR|789VULN|aDUST
32	56613 11121	   	190.98	DCR|3VULN|3DMG|2CDMG	137VULN|234DMG|3BPWR|59CDMG|6RCR|8RCVC|aBEXP
33	56613 11122	   	190.98	DCR|3VULN|3DMG|2CDMG	137VULN|234DMG|3BPWR|59CDMG|6RCR|8RCVC|aRMIN
34	56613 11123	   	190.88	DCR|3VULN|3DMG|2CDMG	137VULN|234DMG|3BPWR|59CDMG|6RCR|8RCVC|aDUST
35	56533 21211	 * 	190.62	DCR|3VULN|3DMG|1AART	157VULN|278DMG|3LEGI|4AART|67LWND|7BPWR|9RCR|aBEXP
36	56533 21213	   	190.62	DCR|3VULN|3DMG|1AART	157VULN|278DMG|3LEGI|4AART|67LWND|7BPWR|9RCR|aLHND
37	56533 31211	   	190.62	DCR|3VULN|3DMG|1AART	157VULN|278DMG|3LEGI|4AART|67BEXP|7BPWR|9RCR|aFEWX
38	56533 31213	   	190.62	DCR|3VULN|3DMG|1AART	157VULN|278DMG|3LEGI|4AART|67BEXP|7BPWR|9RCR|aLHND
39	56533 21212	   	190.38	DCR|3VULN|3DMG|1AART|1SELL	157VULN|278DMG|3LEGI|4AART|67LWND|7BPWR|9RCR|aSELL
40	56533 31212	   	190.38	DCR|3VULN|3DMG|1AART|1SELL	157VULN|278DMG|3LEGI|4AART|67BEXP|7BPWR|9RCR|aSELL
41	56321 61221	   	189.37	DCR|3VULN|2DMG|1AART|1ZMB	147VULN|28DMG|3ZMB|5CGEN|6RCR|9ERES|aAART
42	56621 11331	   	189.12	DCR|3VULN|2DMG|1AART|1CDMG	13aVULN|23DMG|3BPWR|4ERES|56CGEN|7AART|8RCR|9CDMG
43	26513 12162	   	188.78	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	13BEXP|234DMG|3BPWR|5CDMG|6RCR|7DUST|8FLTHEA|9AART|aVULN
44	52316 31243	   	188.53	ACR|3VULN|3DMG|2ZMB|1DUR	179VULN|2RMIN|39ZMB|4RCVC|5RCR|689DMG|9BPWR|aDUR
45	36325 24312	   	188.48	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1FEWX|26DMG|3ZMB|4aVULN|56CDMG|6BPWR|7AART|8LHND|9RCR
46	43226 12333	   	188.12	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	18CDMG|28VULN|3DMSP|48DMG|56BELT|7RCR|8BPWR|9AART|aASPD
47	54226 12333	   	188.12	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	18VULN|28CDMG|3DMSP|48DMG|56BELT|7RCR|8BPWR|9AART|aASPD
48	26321 64211	   	187.31	DCR|4VULN|2DMG|1ZMB|1DUR	1BEXP|27DMG|3ZMB|459aVULN|6RCR|8DUR
49	36321 64211	   	187.31	DCR|4VULN|2DMG|1ZMB|1DUR	1FEWX|27DMG|3ZMB|459aVULN|6RCR|8DUR
50	56613 13331	   	186.96	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	13VULN|234DMG|3BPWR|5CDMG|6RCR|7LHND|8ZMB|9MLV|aASPD
51	26513 11132	   	186.53	DCR|3DMG|2VULN|2CDMG|1ZMB	138BEXP|234DMG|38BPWR|58CDMG|6RCR|78VULN|9ZMB|aMLV
52	26513 11133	   	186.53	DCR|3DMG|2VULN|2CDMG|1ZMB	138BEXP|234DMG|38BPWR|58CDMG|6RCR|78VULN|9ZMB|aFEWX
53	26513 11135	   	186.53	DCR|3DMG|2VULN|2CDMG|1ZMB	138BEXP|234DMG|38BPWR|58CDMG|6RCR|78VULN|9ZMB|aLHND
54	26513 11131	   	186.43	DCR|3DMG|2VULN|2CDMG|1ZMB	138BEXP|234DMG|38BPWR|58CDMG|6RCR|78VULN|9ZMB|aDUST
55	56321 61111	   	186.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2DMG|3ZMB|5CGEN|6RCR|8LIT|9AART|aCDMG
56	52326 31221	 * 	184.99	ACR|3VULN|2DMG|1AART|1ZMB	147VULN|2RMIN|3ZMB|5RCR|68DMG|9ERES|aAART
57	52326 36213	 * 	184.99	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|2RMIN|3ZMB|5RCR|678DMG|9ERES|aAART
58	56326 31223	   	184.99	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|268DMG|3ZMB|5RCR|7ERES|9LHND|aAART
59	56326 32213	   	184.89	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|268DMG|3ZMB|5RCR|7TLV|9ERES|aAART
60	56613 12223	   	184.87	DCR|3VULN|3DMG|1CDMG	13aVULN|234DMG|3aBPWR|5CDMG|6RCR|7aCGEN|8RCVC|9aMLV
61	56613 13213	   	184.87	DCR|3VULN|3DMG|1CDMG	13aVULN|234DMG|3aBPWR|5CDMG|6RCR|7aLHND|8RCVC|9aMLV
62	56613 11131	   	184.67	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8RCVC|9LWND|aCGEN
63	56613 12212	   	184.67	DCR|3VULN|3DMG|1CDMG	13aVULN|234DMG|3BPWR|5CDMG|6RCR|7CGEN|8RCVC|9RMIN
64	56613 12222	   	184.67	DCR|3VULN|3DMG|1CDMG	13aVULN|234DMG|3BPWR|5CDMG|6RCR|7CGEN|8RCVC|9MLV
65	56613 12233	   	184.67	DCR|3VULN|3DMG|1CDMG	13aVULN|234DMG|3aBPWR|5CDMG|6RCR|7aCGEN|8RCVC|9aTLV
66	56613 11111	   	184.57	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8RCVC|9DUST|aCGEN
67	56613 11112	   	184.57	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8RCVC|9DUST|aLHND
68	56613 11132	   	184.57	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8RCVC|9LWND|aLEGI
69	56613 11311	   	184.57	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8TLV|9RMIN|aCGEN
70	56613 11321	   	184.57	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8TLV|9MLV|aCGEN
71	56613 12232	   	184.57	DCR|3VULN|3DMG|1CDMG	13aVULN|234DMG|3BPWR|5CDMG|6RCR|7CGEN|8RCVC|9TLV
72	56613 11113	   	184.47	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8RCVC|9DUST|aERES
73	56613 11312	   	184.47	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8TLV|9RMIN|aLEGI
74	56613 11322	   	184.47	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|8TLV|9MLV|aLEGI
75	56613 11333	   	184.47	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|89TLV|aLIT
76	56613 11332	   	184.37	DCR|3VULN|3DMG|1CDMG	137VULN|234DMG|3BPWR|5CDMG|6RCR|89TLV|aERES
77	52326 36111	   	183.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|2RMIN|3ZMB|5RCR|67DMG|8LIT|9AART|aCDMG
78	56326 31111	   	183.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|26DMG|3ZMB|5RCR|7ERES|8LIT|9AART|aCDMG
79	56326 32111	   	183.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|26DMG|3ZMB|5RCR|7TLV|8LIT|9AART|aCDMG
80	26321 61211	 * 	182.55	DCR|5VULN|1DMG|1ZMB|1DUR	1BEXP|2DMG|3ZMB|4579aVULN|6RCR|8DUR
81	36321 61211	   	182.55	DCR|5VULN|1DMG|1ZMB|1DUR	1FEWX|2DMG|3ZMB|4579aVULN|6RCR|8DUR
82	56331 61211	   	182.55	DCR|5VULN|1DMG|1ZMB|1DUR	1579aVULN|2DMG|3ZMB|4LHND|6RCR|8DUR
83	56322 61211	   	182.45	DCR|5VULN|1DMG|1ZMB|1DUR	1479aVULN|2DMG|3ZMB|5DUST|6RCR|8DUR
84	52326 31111	   	181.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	147VULN|2RMIN|3ZMB|5RCR|6DMG|8LIT|9AART|aCDMG
85	52316 31241	   	181.59	ACR|3VULN|3DMG|2ZMB	179VULN|2RMIN|39ZMB|4RCVC|5RCR|689DMG|9BPWR|aCGEN
86	52316 31242	   	181.59	ACR|3VULN|3DMG|2ZMB	179VULN|2RMIN|39ZMB|4RCVC|5RCR|689DMG|9BPWR|aLIT
87	52326 33225	   	181.39	ACR|3VULN|3DMG|2ZMB	14aVULN|2RMIN|37ZMB|5RCR|68aDMG|9aERES|aBPWR
