0	Index      	 *	Score 	Summary	Detail	
1	33332 15452	 * 	200.27	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	17LHND|25DMG|3AART|457VULN|57BPWR|67CDMG|8MLV|9ASPD|aRCR
17	26215 12541	   	190.59	ACR|4VULN|2DMG|1AART	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9RMIN|aAART
18	26234 24311	   	189.93	DCR|4VULN|2AART|1DMG	1238VULN|2BPWR|49AART|5MLV|6RCR|7ERES|aDMG
19	26433 33251	   	189.47	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|2BPWR|3ZMB|4RPLT|5FEWX|6RCR|89DMG|aAART
20	26527 31343	   	188.41	DCR|4VULN|1AART|1DMG|2DUR	1259VULN|25BPWR|35DUR|4MBVNT|6RCR|7LIT|8AART|aDMG
21	26233 13351	   	187.63	DCR|4VULN|2AART|1DMG	1238VULN|2BPWR|46AART|5FEWX|7RCR|9BEXP|aDMG
22	26233 13361	   	187.63	DCR|4VULN|2AART|1DMG	1238VULN|2BPWR|46AART|5FEWX|7RCR|9LIT|aDMG
23	26235 33311	   	187.63	DCR|4VULN|2AART|1DMG	1238VULN|2BPWR|49AART|5DMSP|6FEWX|7RCR|aDMG
24	26212 32631	 * 	187.40	ACR|5VULN|3ZMB|3DUR	12389VULN|289BPWR|4RCR|5LHND|689ZMB|789DUR|aFEWX
25	26212 32632	   	187.40	ACR|5VULN|3ZMB|3DUR	12389VULN|289BPWR|4RCR|5aLHND|689ZMB|789DUR
26	26212 32636	   	187.40	ACR|5VULN|3ZMB|3DUR	12389VULN|289BPWR|4RCR|5LHND|689ZMB|789DUR|aRCVC
27	26212 32633	   	187.30	ACR|5VULN|3ZMB|3DUR	12389VULN|289BPWR|4RCR|5LHND|689ZMB|789DUR|aMBVNT
28	26212 32634	   	187.30	ACR|5VULN|3ZMB|3DUR	12389VULN|289BPWR|4RCR|5LHND|689ZMB|789DUR|aLEGI
29	26212 32635	   	187.30	ACR|5VULN|3ZMB|3DUR	12389VULN|289BPWR|4RCR|5LHND|689ZMB|789DUR|aDUST
30	26212 31236	 * 	187.28	ACR|5VULN|1DMG|1CDMG|1ZMB	1239aVULN|2BPWR|4RCR|5LHND|6ZMB|7CDMG|8DMG
31	26212 31532	   	186.88	ACR|4VULN|1DMG|1CDMG|2DUR|1ZMB	1239VULN|29BPWR|4RCR|59LHND|6ZMB|7CDMG|89DUR|aDMG
32	31216 36234	 * 	186.53	DCR|3VULN|2DMG|3ASPD|1ZMB	129aLHND|39aVULN|4ZMB|58DMG|6RCR|79aASPD|9aBPWR
33	26231 64212	   	186.51	DCR|3VULN|2DMG|1AART|1ASPD	123VULN|2BPWR|4AART|5LIT|6ASPD|7RCR|8TLV|9aDMG
34	26211 33642	 * 	186.25	ACR|4VULN|2AART|1DMG	1239VULN|2BPWR|4RCR|5MLV|6LIT|78AART|aDMG
35	26433 33211	   	185.98	DCR|4VULN|1AART|1DMG|1ZMB	1279VULN|2BPWR|3ZMB|4RPLT|5FEWX|6RCR|8DMG|aAART
36	26516 31323	 * 	185.81	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	12VULN|2BPWR|3DUR|49ZMB|5aDMG|6RCR|7LIT|8AART
37	26211 33533	   	185.23	ACR|3VULN|2DMG|1AART|1DUR	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|8aDMG|9DUR
38	26214 33533	   	185.13	ACR|3VULN|2DMG|1AART|1DUR	123VULN|2BPWR|4RCR|5ERES|6LIT|7AART|8aDMG|9DUR
39	26231 56113	 * 	185.02	DCR|4VULN|2AART|1FLTHEA|1ZMB	1238VULN|2BPWR|47AART|5LIT|6FLTHEA|9ZMB|aRCR
40	33332 62352	   	184.91	DCR|3VULN|2DMG|1AART|1DUR	1LHND|25DMG|3AART|45aVULN|5BPWR|6LIT|7DUR|8RCR|9RPLT
41	33332 63552	   	184.17	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|25DMG|3AART|459VULN|5BPWR|6LIT|7ZMB|8FEWX|aRCR
42	33332 64633	   	184.17	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|25DMG|3AART|459VULN|5BPWR|6LIT|7MLV|8ZMB|aRCR
43	33332 65633	   	184.17	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|25DMG|3AART|459VULN|5BPWR|6LIT|7CGEN|8ZMB|aRCR
44	33332 63333	   	184.07	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|25DMG|3AART|459VULN|5BPWR|6LIT|7ZMB|8ERES|aRCR
45	33332 66633	   	184.07	DCR|3VULN|2DMG|1AART|1ZMB	1LHND|25DMG|3AART|459VULN|5BPWR|6LIT|7ERES|8ZMB|aRCR
46	26211 36343	   	184.03	ACR|3VULN|2DMG|1AART|1DUR	123VULN|2BPWR|4RCR|5MLV|6LIT|7aDMG|8DUR|9AART
47	26516 31313	   	183.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	12VULN|2BPWR|3aDUR|4ZMB|5DMG|6RCR|7LIT|8AART|9CDMG
48	26231 64132	   	183.02	DCR|4VULN|1AART|1DMG|1ASPD	1239VULN|2BPWR|4AART|5LIT|6ASPD|7RCR|8LEGI|aDMG
49	33332 62315	   	182.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9RMIN|aCDMG
50	33332 62351	   	182.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9RPLT|aCDMG
51	23336 21241	   	182.77	DCR|3VULN|2DMG|1AART	148VULN|25RMIN|3AART|6RCR|78LHND|8BPWR|9aDMG
52	23336 22241	   	182.77	DCR|3VULN|2DMG|1AART	148VULN|25RMIN|3AART|6RCR|78FEWX|8BPWR|9aDMG
53	23336 23241	   	182.77	DCR|3VULN|2DMG|1AART	148VULN|25RMIN|3AART|6RCR|78BEXP|8BPWR|9aDMG
54	23336 26241	   	182.77	DCR|3VULN|2DMG|1AART	148VULN|25RMIN|3AART|6RCR|78LWND|8BPWR|9aDMG
55	31216 36633	 * 	182.59	DCR|3VULN|3ASPD|1DMG|1CDMG|1ZMB	1289LHND|389VULN|4ZMB|5DMG|6RCR|789ASPD|89BPWR|aCDMG
56	26231 64223	   	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	123VULN|2BPWR|4AART|5LIT|6ASPD|7RCR|8TLV|9CDMG|aDMG
57	33316 24225	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	17LHND|27DMG|3AART|4ERES|5BASHEA|678VULN|7BPWR|9RCR|aDUR
58	33316 24226	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	17LHND|27DMG|3AART|4ERES|5BASHEA|678VULN|7BPWR|9RCR|aASPD
59	33332 11252	   	182.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19LHND|25DMG|3AART|45VULN|5BPWR|6CDMG|7RMIN|8ZMB|aRCR
60	33332 12252	   	182.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19LHND|25DMG|3AART|45VULN|5BPWR|6CDMG|7CGEN|8ZMB|aRCR
61	33332 34252	   	182.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19LHND|25DMG|3AART|45VULN|5BPWR|6MLV|7CDMG|8ZMB|aRCR
62	33332 34262	   	182.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LHND|25DMG|3AART|45VULN|5BPWR|69MLV|7CDMG|8ZMB|aRCR
63	33332 54252	   	182.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19LHND|25DMG|3AART|45VULN|5BPWR|6TLV|7CDMG|8ZMB|aRCR
64	26633 63111	 * 	182.03	ACR|3VULN|1AART|2CDMG|2DUR|1ZMB	127VULN|27BPWR|3ERES|4RCR|57CDMG|67DUR|8ZMB|9MBVNT|aAART
65	26234 21632	   	181.97	DCR|3VULN|2DMG|1AART	123VULN|2BPWR|4AART|5MLV|6RCR|7LHND|8VENICY|9aDMG
66	26215 33223	 * 	181.72	ACR|5VULN|1AART|1FLTHEA	1238aVULN|2BPWR|4RCR|5RPLT|6AART|7MBVNT|9FLTHEA
67	26215 34223	   	181.72	ACR|5VULN|1AART|1FLTHEA	1238aVULN|2BPWR|4RCR|5RPLT|6AART|7LEGI|9FLTHEA
68	26212 35631	 * 	181.43	ACR|4VULN|3ZMB|1AART	1239VULN|29BPWR|4RCR|59LHND|679ZMB|8LEGI|aAART
69	26233 13355	 * 	181.22	DCR|4VULN|2AART|1CDMG	1238VULN|2BPWR|46AART|5FEWX|7RCR|9BEXP|aCDMG
70	26215 12514	 * 	181.04	ACR|4VULN|2DMG|1CDMG	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9LHND|aCDMG
71	26215 13111	 * 	181.04	ACR|4VULN|2DMG|1FLTHEA	1239VULN|2BPWR|4RCR|5RPLT|6aDMG|7FLTHEA|8LWND
72	26215 13611	   	181.04	ACR|4VULN|2DMG|1FLTHEA	1239VULN|2BPWR|4RCR|5RPLT|6aDMG|7FLTHEA|8FEWX
73	23312 13561	   	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2RMIN|3AART|4ERES|5DUR|6RCR|7CDMG|8aDMG|9ZMB
74	33332 63162	   	180.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7ZMB|89DUR|aRCR
75	33332 62361	   	180.70	DCR|2AART|2DMG|2VULN|1DUR	1LHND|25DMG|39AART|45VULN|5BPWR|6LIT|7DUR|8RCR|aFEWX
76	33332 62362	   	180.70	DCR|2AART|2DMG|2VULN|1DUR	1aLHND|25DMG|39AART|45VULN|5BPWR|6LIT|7DUR|8RCR
77	33332 62363	   	180.70	DCR|2AART|2DMG|2VULN|1DUR	1LHND|25DMG|39AART|45VULN|5BPWR|6aLIT|7DUR|8RCR
78	33332 62365	   	180.70	DCR|2AART|2VULN|2DMG|1DUR	1LHND|25DMG|39AART|45VULN|5BPWR|6LIT|7DUR|8RCR|aMGNLIT
79	26212 32243	 * 	180.69	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	123VULN|2BPWR|4RCR|5LHND|69ZMB|7DUR|8DMG|aAART
80	33332 62364	   	180.60	DCR|2AART|2VULN|2DMG|1DUR	1LHND|25DMG|39AART|45VULN|5BPWR|6LIT|7DUR|8RCR|aLEGI
81	26233 13145	   	180.47	DCR|3VULN|2AART|1DMG|1DUR	123VULN|2BPWR|46AART|5FEWX|7RCR|8BEXP|9DUR|aDMG
82	23311 13535	   	180.46	DCR|2DMG|2VULN|1AART|1CDMG	1aVULN|2RMIN|3AART|4aERES|5DUST|6RCR|7CDMG|8aDMG|9LEGI|aBPWR
83	26233 13365	 * 	180.39	DCR|5VULN|2AART	1238aVULN|2BPWR|46AART|5FEWX|7RCR|9LIT
84	26233 32614	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|2BPWR|4AART|5FEWX|6LIT|7DUR|8RCR|9CDMG|aDMG
85	33332 62341	   	180.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6aLIT|7DUR|8RCR|9ZMB
86	33332 62343	   	180.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9ZMB|aRCVC
87	33332 62342	   	180.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9ZMB|aDUST
88	33332 62344	   	180.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9ZMB|aVENICY
89	33332 62533	   	180.11	DCR|3VULN|2DMG|1AART|1DUR	1LHND|25DMG|3AART|459VULN|5BPWR|68LIT|7DUR|aRCR
90	26211 22263	   	179.94	ACR|4VULN|1AART|1DMG|1DUR	1239VULN|2BPWR|4RCR|5MLV|6LWND|7DUR|8DMG|aAART
91	26211 62263	   	179.94	ACR|4VULN|1AART|1DMG|1DUR	1239VULN|2BPWR|4RCR|5MLV|6LHND|7DUR|8DMG|aAART
92	26212 12263	   	179.94	ACR|4VULN|1AART|1DMG|1DUR	1239VULN|2BPWR|4RCR|5LHND|6MLV|7DUR|8DMG|aAART
93	33332 63122	   	179.31	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|79ZMB|8DUR|aRCR
94	33332 63632	   	179.31	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|78ZMB|9DUR|aRCR
95	26214 11621	 * 	179.14	ACR|4VULN|2AART|1CDMG	123aVULN|2BPWR|4RCR|5ERES|6CGEN|7CDMG|89AART
96	26633 63122	 * 	178.99	ACR|3VULN|1DMG|2CDMG|2DUR|1ZMB	127VULN|27BPWR|3ERES|4RCR|57CDMG|67DUR|8ZMB|9MLV|aDMG
97	26426 31223	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	12VULN|2BPWR|39ZMB|4LWND|5aDMG|6RCR|7LIT|8AART
98	23336 21245	   	178.83	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|25RMIN|3AART|6RCR|78LHND|8BPWR|9DMG|aCDMG
99	23336 22245	   	178.83	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|25RMIN|3AART|6RCR|78FEWX|8BPWR|9DMG|aCDMG
100	23336 23245	   	178.83	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|25RMIN|3AART|6RCR|78BEXP|8BPWR|9DMG|aCDMG
101	26233 13332	   	178.57	DCR|4VULN|2AART|1ZMB	1238VULN|2BPWR|46AART|5FEWX|7RCR|9ZMB|aRMIN
102	26233 13333	   	178.57	DCR|4VULN|2AART|1ZMB	1238VULN|2BPWR|46AART|5aFEWX|7RCR|9ZMB
103	26233 13335	   	178.57	DCR|4VULN|2AART|1ZMB	1238VULN|2BPWR|46AART|5FEWX|7RCR|9ZMB|aLWND
104	26236 13421	   	178.52	DCR|4VULN|3AART|1DUR|1ASPD	1238VULN|2BPWR|469AART|5DUR|7ASPD|aRCR
105	26234 21633	   	178.48	DCR|4VULN|1AART|1DMG	123aVULN|2BPWR|4AART|5MLV|6RCR|7LHND|8VENICY|9DMG
106	26233 13334	   	178.47	DCR|4VULN|2AART|1ZMB	1238VULN|2BPWR|46AART|5FEWX|7RCR|9ZMB|aERES
107	26233 13336	   	178.47	DCR|4VULN|2AART|1ZMB	1238VULN|2BPWR|46AART|5FEWX|7RCR|9ZMB|aTLV
108	26215 12524	   	178.39	ACR|4VULN|2DMG|1ZMB	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9MLV|aZMB
109	26215 12534	   	178.39	ACR|4VULN|2DMG|1ZMB	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9CGEN|aZMB
110	26215 12544	   	178.39	ACR|4VULN|2DMG|1ZMB	1238VULN|28BPWR|4RCR|5RPLT|68DMG|7MBVNT|9RMIN|aZMB
111	26233 16332	   	178.31	DCR|4VULN|2AART|1ZMB|1DUR	1238VULN|2BPWR|46AART|5FEWX|7DUR|9ZMB|aRCR
112	26236 12332	   	178.31	DCR|4VULN|2AART|1ZMB|1DUR	1238VULN|2BPWR|46AART|5DUR|7FEWX|9ZMB|aRCR
113	26236 16332	   	178.31	DCR|4VULN|2AART|1ZMB|1DUR	1238VULN|2BPWR|46AART|5DUR|7LHND|9ZMB|aRCR
114	26212 31146	 * 	178.30	ACR|4VULN|1DMG|2ZMB|1CDMG	123aVULN|2BPWR|4RCR|5LHND|68ZMB|7CDMG|9DMG
115	26211 33516	   	178.29	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|89DMG|aRMIN
116	26211 33563	   	178.29	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|8aDMG|9BEXP
117	13331 43345	 * 	178.22	DCR|4VULN|3DMG	178BEXP|2RMIN|3DMSP|4RPLT|578DMG|678aVULN|78BPWR|9RCR
118	26211 33512	   	178.19	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|89DMG|aCANSTR
119	26211 33513	   	178.19	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|89DMG|aLSRREG
120	26211 33523	   	178.19	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|8aDMG|9LEGI
121	26211 33553	   	178.19	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LIT|7AART|8aDMG|9DUST
122	26212 35233	 * 	178.19	ACR|4VULN|3ZMB|1DMG	1239VULN|29BPWR|4RCR|5LHND|679ZMB|89DUST|aDMG
123	26214 33512	   	178.09	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5ERES|6LIT|7AART|89DMG|aCANSTR
124	26214 33513	   	178.09	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5ERES|6LIT|7AART|89DMG|aLSRREG
125	26214 33523	   	178.09	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5ERES|6LIT|7AART|8aDMG|9LEGI
126	26426 31213	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3ZMB|4LWND|5DMG|6RCR|7LIT|8AART|9CDMG|aDUR
127	26516 31312	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DUR|4ZMB|5DMG|6RCR|7LIT|8AART|9CDMG|aBEXP
128	26516 31311	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3DUR|4ZMB|5DMG|6RCR|7LIT|8AART|9CDMG|aDUST
129	26233 13424	   	177.70	DCR|3VULN|3AART|1DMG	123VULN|2BPWR|46aAART|5FEWX|7RCR|8LEGI|9DMG
130	26233 32625	   	177.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	123VULN|2BPWR|4AART|5FEWX|6LIT|7DUR|8RCR|9ZMB|aDMG
131	26216 21363	   	177.59	ACR|4VULN|1AART|1CDMG|1ZMB	1239VULN|2BPWR|4RCR|5RCVC|6FEWX|7CDMG|8ZMB|aAART
132	26527 33431	 * 	177.53	DCR|3VULN|1AART|1DMG|3DUR	125VULN|25BPWR|357DUR|4MBVNT|6RCR|8FEWX|9AART|aDMG
133	33331 16353	   	176.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2DMG|3AART|4aVULN|5LWND|6RCR|7DUR|8CDMG|9ASPD
134	26212 32332	   	176.84	ACR|4VULN|1DMG|2ZMB|2DUR|1SELL	1239VULN|29BPWR|4RCR|5LHND|69ZMB|79DUR|8SELL|aDMG
135	26527 31323	   	176.70	DCR|3VULN|2AART|2DUR|1ZMB	125VULN|25BPWR|35DUR|4MBVNT|6RCR|7LIT|8aAART|9ZMB
136	33321 37456	 * 	176.63	DCR|3DMG|2AART|1VULN	17LHND|279DMG|38AART|47LIT|5MBVNT|6RCR|7BPWR|aVULN
137	33331 13621	   	176.53	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	19LHND|29DMG|3AART|4VULN|5LWND|6RCR|7RPLT|89CDMG|9BPWR|aASPD
138	26216 51131	   	176.49	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|58RCVC|69DMG|7LWND|aAART
139	26211 24263	   	176.49	ACR|3VULN|2DMG|1AART	123VULN|2BPWR|4RCR|5MLV|6LWND|7LHND|89DMG|aAART
140	23336 24311	   	176.43	DCR|3VULN|2AART|1DMG	148VULN|25RMIN|39AART|6RCR|7ERES|aDMG
141	26215 13112	 * 	176.28	ACR|5VULN|1DMG|1FLTHEA	1239aVULN|2BPWR|4RCR|5RPLT|6DMG|7FLTHEA|8LWND
142	26215 13612	   	176.28	ACR|5VULN|1DMG|1FLTHEA	1239aVULN|2BPWR|4RCR|5RPLT|6DMG|7FLTHEA|8FEWX
143	33332 62354	   	176.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7DUR|8RCR|9RPLT|aASPD
144	26235 33351	   	176.18	DCR|4VULN|1AART|1DMG	1238VULN|2BPWR|4AART|5DMSP|6FEWX|7RCR|9BEXP|aDMG
145	26235 33361	   	176.18	DCR|4VULN|1AART|1DMG	1238VULN|2BPWR|4AART|5DMSP|6FEWX|7RCR|9LIT|aDMG
146	26231 55113	 * 	175.97	DCR|4VULN|1AART|1CDMG|1FLTHEA|1SELL	1239VULN|2BPWR|4AART|5LIT|6FLTHEA|7CDMG|8SELL|aRCR
147	26234 21342	   	175.93	DCR|3VULN|2AART|1DMG	123VULN|2BPWR|48AART|5MLV|6RCR|7LHND|9DMG|aLWND
148	26234 22124	   	175.93	DCR|3VULN|2AART|1DMG	123VULN|2BPWR|4aAART|5MLV|6RCR|7FEWX|8CGEN|9DMG
149	26234 22342	   	175.93	DCR|3VULN|2AART|1DMG	123VULN|2BPWR|48AART|5MLV|6RCR|7FEWX|9DMG|aLWND
150	26234 23342	   	175.93	DCR|3VULN|2AART|1DMG	123VULN|2BPWR|48AART|5MLV|6RCR|7BEXP|9DMG|aLWND
151	26252 12544	 * 	175.92	DCR|4VULN|2DMG|1CDMG	1238VULN|28BPWR|4RPLT|58BEXP|68DMG|7MBVNT|9RCR|aCDMG
152	33332 62563	   	175.90	DCR|2AART|2DMG|2VULN|1DUR	1LHND|25DMG|39AART|45VULN|5BPWR|68LIT|7DUR|aRCR
153	26215 33224	   	175.83	ACR|4VULN|1AART|1FLTHEA|1DUR	1238VULN|2BPWR|4RCR|5RPLT|6AART|7MBVNT|9FLTHEA|aDUR
154	26433 33231	 * 	175.74	DCR|3VULN|1AART|1DMG|2ZMB	127VULN|2BPWR|39ZMB|4RPLT|5FEWX|6RCR|8DMG|aAART
155	26231 34223	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	123VULN|2BPWR|4AART|5LIT|6RMIN|7RCR|8TLV|9CDMG|aDMG
156	26527 22242	   	175.62	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	125VULN|25BPWR|35DUR|4MBVNT|67CDMG|8AART|9ZMB|aRCR
157	26231 64211	 * 	175.53	DCR|3VULN|1AART|1DMG|2ASPD	123VULN|2BPWR|4AART|5LIT|6aASPD|7RCR|8TLV|9DMG
158	33316 24221	   	175.47	DCR|3VULN|2DMG|1AART	17LHND|27DMG|3AART|4ERES|5BASHEA|678VULN|7BPWR|9RCR|aDMSP
159	33316 24224	   	175.47	DCR|3VULN|2DMG|1AART	17LHND|27DMG|3AART|4ERES|5BASHEA|678VULN|7BPWR|9RCR|aRMIN
160	33332 63142	   	175.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|25DMG|3AART|45VULN|5BPWR|6LIT|7ZMB|8DUR|9RCVC|aRCR
161	33316 24223	   	175.37	DCR|3VULN|2DMG|1AART	17LHND|27DMG|3AART|4ERES|5BASHEA|678VULN|7BPWR|9RCR|aTLV
162	33335 54222	   	175.37	DCR|3DMG|2VULN|1AART	17LHND|27aDMG|3AART|48VULN|5ERES|67LSRREG|7BPWR|9RCR
163	26215 33211	   	175.30	ACR|4VULN|1AART|1DMG	1238VULN|2BPWR|4RCR|5RPLT|6AART|7MBVNT|9FEWX|aDMG
164	26215 34211	   	175.30	ACR|4VULN|1AART|1DMG	1238VULN|2BPWR|4RCR|5RPLT|6AART|7LEGI|9FEWX|aDMG
165	33316 23222	   	175.27	DCR|3VULN|2DMG|1AART	1LHND|2aDMG|3AART|4ERES|5BASHEA|678VULN|9RCR
166	33335 53222	   	175.27	DCR|3VULN|2DMG|1AART	1LHND|2aDMG|3AART|478VULN|5ERES|6LSRREG|9RCR
167	23312 13515	   	175.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aVULN|2RMIN|3AART|4ERES|5aDUR|6RCR|7CDMG|8DMG|9aDUST|aBPWR
168	26215 31335	   	175.10	ACR|5VULN|1AART|1DUR	1238aVULN|2BPWR|4RCR|5RPLT|6AART|7MLV|9DUR
169	21416 31253	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	19VULN|23LHND|4ZMB|5aDMG|6RCR|7LIT|8AART
170	31216 31253	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	12LHND|39VULN|4ZMB|5aDMG|6RCR|7LIT|8AART
171	26211 33142	   	174.80	ACR|4VULN|1AART|1DMG	1239VULN|2BPWR|4RCR|5MLV|6LIT|7AART|8DMSP|aDMG
172	26516 22212	   	174.73	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	12VULN|2BPWR|3DUR|4ZMB|5DMG|67CDMG|8AART|9MLV|aRCR
