0	Index      	 *	Score 	Summary	Detail	
1	63213 53252	 * 	223.57	ACR|5VULN|2DMG|1AART|1CDMG	1268aVULN|3AART|4RCR|56DMG|6BPWR|7RCVC|9CDMG
156	63213 51163	   	194.69	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|9BASHEA|aDUST
157	63213 55212	   	194.69	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9aERES
158	63213 55213	   	194.69	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|56DMG|6BPWR|7MLV|9ERES|aMBVNT
159	63213 61117	   	194.69	ACR|4VULN|2DMG|1AART	1268VULN|3AART|4RCR|5aDMG|7FEWX|9MBVNT
160	63213 56221	   	194.66	ACR|3VULN|2DMG|1AART	126VULN|3AART|4RCR|56DMG|6BPWR|7RPLT|8DUR|9BEXP|aASPD
161	63213 56231	   	194.66	ACR|3VULN|2DMG|1AART	126VULN|3AART|4RCR|56DMG|6BPWR|7RPLT|8DUR|9FEWX|aASPD
162	63212 61611	   	194.62	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|5FEWX|68DMG|78DUR|8BPWR|9RCVC|aTLV
163	63212 61613	   	194.62	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|5FEWX|68DMG|78DUR|8BPWR|9RCVC|aERES
164	63213 31612	   	194.62	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9RCVC|aLIT
165	63213 31614	   	194.62	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9RCVC|aLWND
166	63213 31615	   	194.62	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9RCVC|aBEXP
167	63213 64221	   	194.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	126VULN|3AART|4RCR|5DMG|7ZMB|8CDMG|9DUR|aDUST
168	63213 21636	   	194.56	ACR|3VULN|2DMG|1AART	129VULN|3AART|4RCR|5aDMG|6CGEN|7DUR|8ASPD
169	63213 51413	   	194.56	ACR|3VULN|2DMG|1AART	126VULN|3AART|4RCR|56DMG|6BPWR|7FEWX|8DUST|9DUR|aASPD
170	63213 52314	   	194.56	ACR|3VULN|2DMG|1AART	126VULN|3AART|4RCR|56DMG|6BPWR|7NUKE|8ASPD|9RPLT|aDUR
171	63213 11616	   	194.52	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|5aDMG|68DUST|78DUR|8BPWR|9RCVC
172	63213 31611	   	194.52	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9RCVC|aTLV
173	63213 31613	   	194.52	ACR|3VULN|2DMG|1AART|2DUR	128VULN|3AART|4RCR|58DMG|6LEGI|78DUR|8BPWR|9RCVC|aERES
174	63213 33663	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	128VULN|3AART|4RCR|58DMG|6LEGI|78FEWX|8BPWR|9CDMG|aRPLT
