0	Index      	 *	Score 	Summary	Detail	
1	23336 46111	 * 	204.55	ACR|3VULN|2DMG|2CDMG|3DUR|2ZMB	17aVULN|2aZMB|3RCVC|4RCR|57CDMG|67DMG|7aBPWR|89aDUR
38	23663 12233	   	182.27	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	16VULN|2ZMB|38DUR|4aDMG|5RCR|7RCVC|9AART
39	23155 32343	   	182.19	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	146VULN|2ZMB|3DUST|5SELL|7AART|8RCR|9CDMG|aDMG
40	23336 53231	 * 	181.99	ACR|3DMG|2VULN|2ZMB|1CDMG	1aVULN|2aZMB|3RCVC|4RCR|5CDMG|69LWND|78aDMG|aBPWR
41	23336 53241	   	181.99	ACR|3DMG|2VULN|2ZMB|1CDMG	1aVULN|2aZMB|3RCVC|4RCR|5CDMG|6LWND|78aDMG|9DMSP|aBPWR
42	23336 53531	   	181.99	ACR|3VULN|2DMG|2ZMB|1CDMG	18aVULN|2aZMB|3RCVC|4RCR|5CDMG|69LWND|7aDMG|aBPWR
43	21563 32363	 * 	181.95	ACR|3VULN|3ZMB|3ASPD|1DMG	19aVULN|28LWND|39aZMB|4DMG|5RCR|6LSRICY|79aASPD|9aBPWR
44	23336 46122	 * 	181.77	ACR|2VULN|2DMG|3CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57aCDMG|67DMG|7BPWR|8DUR|9LIT
45	12232 53322	   	181.70	DCR|4VULN|2DMG|2DUR	1DLOT|2RMIN|378aVULN|47DUR|57DMG|6RCR|7BPWR|9LWND
46	12232 53332	   	181.70	DCR|4VULN|2DMG|2DUR	1DLOT|2RMIN|378aVULN|47DUR|57DMG|6RCR|7BPWR|9BEXP
47	22563 31611	   	181.63	ACR|3VULN|2DMG|1AART|1DUR	16aVULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7BEXP|8TLV|9AART
48	12232 53352	   	181.60	DCR|4VULN|2DMG|2DUR	1DLOT|2RMIN|378aVULN|47DUR|57DMG|6RCR|7BPWR|9MBVNT
49	22563 32362	   	181.13	ACR|3VULN|2DMG|1AART|1DUR	168VULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7RCVC|9LIT|aAART
50	23336 46112	   	181.03	ACR|2VULN|2DMG|2CDMG|2DUR|1ZMB	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|89DUR|aRPLT
51	23336 46113	   	180.93	ACR|2VULN|2DMG|2CDMG|2DUR|1ZMB	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|89DUR|aLEGI
52	23336 33111	   	180.45	ACR|3VULN|1DMG|3DUR|2ZMB|1CDMG	16aVULN|2aZMB|3RCVC|4RCR|5CDMG|7DMG|89aDUR|aBPWR
53	26222 44131	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15VULN|2CDMG|39DMG|4LIT|6ASPD|7AART|8RCR|aRCVC
54	26222 44132	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15VULN|2CDMG|39DMG|4LIT|6ASPD|7AART|8RCR|aLWND
55	26251 42321	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2CDMG|36DMG|5BEXP|7AART|8RCR|9ASPD|aMLV
56	26251 42323	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2CDMG|36DMG|5BEXP|7AART|8RCR|9ASPD|aDMSP
57	26253 42321	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2CDMG|36DMG|5LHND|7AART|8RCR|9ASPD|aMLV
58	26222 44133	   	180.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15VULN|2CDMG|39DMG|4LIT|6ASPD|7AART|8RCR|aERES
59	36562 11233	 * 	179.78	DCR|3VULN|3CDMG|1AART|1DMG	1LHND|246CDMG|356VULN|6BPWR|7DMG|8RPLT|9RCR|aAART
60	26231 42351	 * 	179.78	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|2aCDMG|36DMG|4DMSP|5BEXP|7AART|8RCR
61	26233 42351	   	179.78	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|2aCDMG|36DMG|4DMSP|5LHND|7AART|8RCR
62	26253 42331	   	179.78	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|2aCDMG|36DMG|59LHND|7AART|8RCR
63	26231 34214	   	179.63	DCR|4VULN|1AART|1DMG|1CDMG	1678VULN|2CDMG|3DMG|4DMSP|5BEXP|9AART|aRCR
64	22563 31116	   	179.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	16VULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7BEXP|8BELT|9CDMG|aAART
65	22563 31226	   	179.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	16VULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7BEXP|8CDMG|9BELT|aAART
66	26222 11115	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2CDMG|39DMG|4LIT|6DUR|7LWND|8RCR|aAART
67	26222 13115	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2CDMG|39DMG|4LIT|6DUR|7LHND|8RCR|aAART
68	26222 36115	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2CDMG|39DMG|4LIT|6LHND|7DUR|8RCR|aAART
69	36222 42115	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2CDMG|39DMG|4LIT|57VULN|6DUR|8RCR|aAART
70	12232 53323	   	178.60	DCR|3VULN|2DMG|2DUR|1ZMB	1DLOT|2RMIN|378VULN|47DUR|57DMG|6RCR|7BPWR|9LWND|aZMB
71	12232 53333	   	178.60	DCR|3VULN|2DMG|2DUR|1ZMB	1DLOT|2RMIN|378VULN|47DUR|57DMG|6RCR|7BPWR|9BEXP|aZMB
72	22563 32623	 * 	178.51	ACR|3VULN|2DMG|1FLTHEA|1DUR|1ASPD	169VULN|2CGEN|3DUR|46DMG|5RCR|6BPWR|7RCVC|8FLTHEA|aASPD
73	12232 53353	   	178.50	DCR|3VULN|2DMG|2DUR|1ZMB	1DLOT|2RMIN|378VULN|47DUR|57DMG|6RCR|7BPWR|9MBVNT|aZMB
74	23663 11162	 * 	178.49	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	169VULN|29ZMB|3DUR|4DMG|5RCR|79FEWX|8BELT|9BPWR|aAART
75	26251 32321	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9ASPD|aMLV
76	26251 32323	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9ASPD|aDMSP
77	26251 32324	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9ASPD|aLHND
78	26251 32326	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	146VULN|2CDMG|3DMG|5aBEXP|7AART|8RCR|9ASPD
79	26251 32335	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	146VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9LHND|aDUR
80	26251 32362	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	146VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9FEWX|aDUR
81	26231 32355	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	169VULN|2CDMG|3DMG|4DMSP|5BEXP|7AART|8RCR|aDUR
82	26251 32342	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	146VULN|2CDMG|3DMG|5BEXP|7AART|8RCR|9MBVNT|aDUR
83	23336 34211	   	178.19	ACR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9AART|aBEXP
84	23336 34212	   	178.19	ACR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9AART|aLIT
85	23336 34214	   	178.19	ACR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9AART|aRMIN
86	23336 34216	   	178.09	ACR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9AART|aTLV
87	23663 53121	   	177.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2ZMB|3DUR|48DMG|5RCR|6DUST|7AART|9ERES
88	26223 36236	   	177.84	DCR|3VULN|1AART|1DMG|2CDMG	19aVULN|2aCDMG|3DMG|4LIT|5RPLT|6aDUST|7AART|8RCR|aBPWR
89	26231 32351	   	177.84	DCR|3VULN|1AART|1DMG|2CDMG	169VULN|2aCDMG|3DMG|4DMSP|5BEXP|7AART|8RCR
90	26253 22351	   	177.84	DCR|3VULN|1AART|1DMG|2CDMG	149VULN|2aCDMG|3DMG|56LHND|7AART|8RCR
91	22163 32341	   	177.81	ACR|5VULN|2DMG	1689aVULN|2CGEN|3DUST|46DMG|5RCR|6BPWR|7RCVC
92	22163 36341	   	177.81	ACR|5VULN|2DMG	1689aVULN|27CGEN|3DUST|46DMG|5RCR|6BPWR
93	13155 41321	   	177.76	DCR|3VULN|3DMG|1DUR	1DLOT|2ERES|358VULN|459DMG|5BPWR|6RCR|7DUR|aBELT
94	13155 41333	   	177.76	DCR|3VULN|3DMG|1DUR	1DLOT|2ERES|358VULN|45aDMG|5BPWR|6RCR|7DUR|9RCVC
95	26262 22351	   	177.74	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|2aCDMG|3DMG|4TLV|6CGEN|7AART|8RCR
96	26263 22351	   	177.74	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|2aCDMG|3DMG|45TLV|5BPWR|6CGEN|7AART|8RCR
97	13155 41323	   	177.66	DCR|3VULN|3DMG|1DUR	1DLOT|2aERES|358VULN|459DMG|5BPWR|6RCR|7DUR
98	23336 34221	   	177.59	ACR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9LHND|aAART
99	23223 35534	 * 	177.52	DCR|3VULN|2AART|1CDMG|1ZMB	18aVULN|2ZMB|3LHND|4LWND|56AART|7RCR|9CDMG
100	33233 35534	   	177.52	DCR|3VULN|2AART|1CDMG|1ZMB	1LHND|2ZMB|3LWND|48aVULN|56AART|7RCR|9CDMG
101	13155 41322	   	177.51	DCR|3VULN|3DMG|1DUR|1SELL	1DLOT|2ERES|358VULN|459DMG|5BPWR|6RCR|7DUR|aSELL
102	23336 34261	   	177.49	ACR|4VULN|1AART|1CDMG|1ZMB	1678VULN|2ZMB|3RCVC|4RCR|5CDMG|9DUST|aAART
103	22563 32241	   	177.32	ACR|4VULN|2DMG|2DUR	169aVULN|2CGEN|38DUR|46DMG|5RCR|6BPWR|7RCVC
104	22563 32321	   	177.32	ACR|4VULN|2DMG|2DUR	168aVULN|2CGEN|39DUR|46DMG|5RCR|6BPWR|7RCVC
105	22563 36321	   	177.32	ACR|4VULN|2DMG|2DUR	168aVULN|27CGEN|39DUR|46DMG|5RCR|6BPWR
106	11323 62352	 * 	177.30	4VULN|3DMG|3ZMB|1AART	1DLOT|258aVULN|35LWND|4AART|58aBPWR|68aZMB|78aDMG|9DMSP
107	12143 36162	   	177.06	DCR|2VULN|2DMG|1AART|2ASPD	1DLOT|2RMIN|3aDMG|4LIT|5AART|6aVULN|7RCR|8RPLT|9aASPD|aBPWR
108	22563 32622	   	176.87	ACR|3VULN|2DMG|1FLTHEA|2DUR	169VULN|2CGEN|3aDUR|46DMG|5RCR|6BPWR|7RCVC|8FLTHEA
109	23336 33141	   	176.63	ACR|3VULN|1DMG|2ZMB|1CDMG|2DUR	16aVULN|2aZMB|3RCVC|4RCR|5CDMG|7DMG|8aDUR|9DMSP|aBPWR
110	13155 41311	   	176.20	DCR|4VULN|2DMG|1DUR	1DLOT|2ERES|3589VULN|45DMG|5BPWR|6RCR|7DUR|aLHND
111	13155 41312	   	176.20	DCR|4VULN|2DMG|1DUR	1DLOT|2ERES|3589VULN|45DMG|5BPWR|6RCR|7DUR|aLIT
112	21533 53131	   	176.14	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	19aVULN|2LWND|3ZMB|4ASPD|5RCR|6DUST|7AART|8DMG
113	23436 32326	   	176.12	DCR|3VULN|1AART|1CDMG|2ASPD|1ZMB	16aVULN|2ZMB|3aCGEN|4TLV|5CDMG|7AART|8RCR|9aASPD|aBPWR
114	22163 32342	   	175.99	ACR|4VULN|2DMG|1ZMB	1689VULN|2CGEN|3DUST|46DMG|5RCR|6BPWR|7RCVC|aZMB
115	22163 36342	   	175.99	ACR|4VULN|2DMG|1ZMB	1689VULN|27CGEN|3DUST|46DMG|5RCR|6BPWR|aZMB
116	23333 41162	 * 	175.89	ACR|2VULN|2DMG|1AART|2ZMB	19VULN|29ZMB|3RCVC|4RCR|5LHND|6FEWX|79DMG|8BELT|9BPWR|aAART
117	23336 46123	   	175.73	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8DUR|9aLIT
118	23336 46131	   	175.73	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8DUR|9LHND|aFEWX
119	23336 46133	   	175.73	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8DUR|9LHND|aCGEN
120	12232 53511	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	1DLOT|2RMIN|37VULN|47DUR|57DMG|6RCR|7BPWR|8ERES|9AART|aBEXP
121	12232 53513	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	1DLOT|2RMIN|37VULN|47DUR|57DMG|6RCR|7BPWR|8ERES|9AART|aLWND
122	23263 64331	   	175.64	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	19aVULN|2ZMB|3LHND|4DMG|5RCR|6ASPD|7BEXP|8AART
123	22263 31253	   	175.64	ACR|3DMG|2VULN|1CDMG|1ZMB	16VULN|2CGEN|3LHND|46aDMG|5RCR|6BPWR|7BEXP|8CDMG|9ZMB
124	23336 46121	   	175.63	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8DUR|9LIT|aERES
125	23336 46312	   	175.63	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8NUKE|9FEWX|aDUR
126	23336 13532	 * 	175.61	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1aVULN|2ZMB|3RCVC|4RCR|5aCDMG|6MLV|7DMG|8AART|9aLHND|aBPWR
127	33336 33552	   	175.61	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1aLHND|2ZMB|3RCVC|4RCR|5aCDMG|6CGEN|7DMG|8AART|9aVULN|aBPWR
128	12232 53512	   	175.55	DCR|2VULN|2DMG|1AART|2DUR	1DLOT|2RMIN|37VULN|47DUR|57DMG|6RCR|7BPWR|8ERES|9AART|aDUST
129	23663 11521	   	175.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	16aVULN|2ZMB|3DUR|4DMG|5RCR|7FEWX|8AART|9ERES
130	23263 55331	   	175.54	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	19aVULN|2ZMB|3LHND|4DMG|5RCR|6DUST|7ASPD|8AART
131	23263 65331	   	175.54	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	19aVULN|2ZMB|3LHND|4DMG|5RCR|6ASPD|7DUST|8AART
132	23336 46322	   	175.53	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4RCR|57CDMG|67DMG|7BPWR|8NUKE|9DUST|aDUR
133	23336 43532	   	175.51	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1aVULN|2ZMB|3RCVC|4RCR|5aCDMG|6DMG|7TLV|8AART|9aLHND|aBPWR
134	33336 13552	   	175.51	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1aLHND|2ZMB|3RCVC|4RCR|5aCDMG|6TLV|7DMG|8AART|9aVULN|aBPWR
135	22263 35521	   	175.49	ACR|3VULN|2DMG|1AART	169VULN|29CGEN|3LHND|46DMG|5RCR|69BPWR|79FEWX|8AART|aDLOT
136	22263 35522	   	175.49	ACR|3VULN|2DMG|1AART	169VULN|29CGEN|3LHND|46DMG|5RCR|69BPWR|79FEWX|8AART|aERES
137	23336 13551	   	175.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	19VULN|2ZMB|3RCVC|4RCR|5aCDMG|6MLV|7DMG|8AART
138	26254 11323	   	175.36	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	14VULN|2CDMG|3DMG|5aAART|6CGEN|7ERES|8RCR|9ASPD
139	22263 35523	   	175.34	ACR|3VULN|2DMG|1AART|1SELL	169VULN|29CGEN|3LHND|46DMG|5RCR|69BPWR|79FEWX|8AART|aSELL
140	21263 35531	   	175.29	ACR|3VULN|2DMG|1AART	16aVULN|2LWND|3ERES|46DMG|5RCR|6BPWR|7FEWX|8AART|9RMIN
141	22163 31512	 * 	175.29	ACR|3DMG|2VULN|1AART	16VULN|2CGEN|3DUST|46aDMG|5RCR|6BPWR|7FEWX|8AART|9LHND
142	22163 31532	   	175.29	ACR|3DMG|2VULN|1AART	16VULN|2CGEN|3DUST|46aDMG|5RCR|6BPWR|7FEWX|8AART|9LWND
143	22163 31521	   	175.19	ACR|3VULN|2DMG|1AART	16aVULN|2CGEN|3DUST|46DMG|5RCR|6BPWR|7FEWX|8AART|9ERES
144	12232 53653	   	175.15	DCR|2VULN|2DMG|1AART|2DUR	1DLOT|2RMIN|37VULN|47DUR|57DMG|6RCR|7BPWR|8LHND|9RPLT|aAART
145	26116 13332	 * 	175.13	DCR|3VULN|1AART|2CDMG|1FLTHEA	19aVULN|29CDMG|3ERES|4FLTHEA|5AART|69BEXP|7RCR|8RMIN|9BPWR
146	22522 61311	   	175.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	16aVULN|2CGEN|3DUR|4LWND|5RCR|7DMG|8ZMB|9AART
147	23663 12331	   	175.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	168VULN|2ZMB|3DUR|4DMG|5RCR|7RCVC|9AART|aLHND
148	23663 12332	   	175.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	168VULN|2ZMB|3DUR|4DMG|5RCR|7RCVC|9AART|aLIT
149	23663 12334	   	175.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	168VULN|2ZMB|3DUR|4DMG|5RCR|7aRCVC|9AART
150	23663 12336	   	175.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	168VULN|2ZMB|3DUR|4DMG|5RCR|7RCVC|9AART|aCGEN
151	23663 12335	   	174.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	168VULN|2ZMB|3DUR|4DMG|5RCR|7RCVC|9AART|aDUST
152	23663 16311	   	174.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	16aVULN|2ZMB|3DUR|4DMG|5RCR|7CGEN|8LEGI|9AART
153	23336 33416	   	174.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCVC|4RCR|5CDMG|7DMG|8ASPD|9FEWX|aAART
154	22263 35611	   	174.79	ACR|3VULN|2DMG|1AART	16aVULN|2CGEN|3LHND|46DMG|5RCR|6BPWR|7FEWX|8RMIN|9AART
155	23336 33346	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2ZMB|3RCVC|4RCR|5CDMG|7DMG|8NUKE|9DUR|aAART
156	23336 33426	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2ZMB|3RCVC|4RCR|5CDMG|7DMG|8ASPD|9DUST|aAART
157	23336 46332	   	174.74	ACR|2VULN|2DMG|3CDMG|1ZMB	17VULN|2ZMB|3RCVC|4RCR|57aCDMG|67DMG|7BPWR|8NUKE|9RPLT
158	21263 35611	   	174.69	ACR|3VULN|2DMG|1AART	16aVULN|2LWND|3ERES|46DMG|5RCR|6BPWR|7FEWX|8RMIN|9AART
159	21263 36211	   	174.69	ACR|3VULN|2DMG|1AART	16aVULN|2LWND|3ERES|46DMG|5RCR|6BPWR|7CGEN|8BEXP|9AART
160	21263 36511	   	174.69	ACR|3VULN|2DMG|1AART	16aVULN|2LWND|3ERES|46DMG|5RCR|6BPWR|7CGEN|8FEWX|9AART
161	22263 31611	   	174.69	ACR|3VULN|2DMG|1AART	16aVULN|2CGEN|3LHND|46DMG|5RCR|6BPWR|7BEXP|8TLV|9AART
162	22663 31611	   	174.69	ACR|3VULN|2DMG|1AART	16aVULN|2CGEN|3FEWX|46DMG|5RCR|6BPWR|7BEXP|8TLV|9AART
