0	Index      	 *	Score 	Summary	Detail	
1	47324 44462	 * 	210.76	DCR|3VULN|3DMG|3ZMB|1CDMG	1MBVNT|289VULN|3RCVC|4SNIHEL|589ZMB|689DMG|7RCR|89BPWR|aCDMG
85	21312 42436	   	181.63	DCR|4VULN|2AART|1DMG	1RMIN|27AART|3468VULN|5DMG|9BEXP|aRCR
86	21523 45112	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3RCR|4BEXP|56DMG|7aVULN|8CDMG|9ERES
87	21343 13136	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1aRMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9RCVC
88	21343 13151	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9aLWND
89	21343 13154	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9LWND|aRPLT
90	21343 13156	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47aLHND|57DMG|6RCR|7BPWR|8CDMG|9LWND
91	21343 13161	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9FEWX|aLWND
92	21343 13163	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9FEWX|aDMSP
93	21343 13164	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9FEWX|aRPLT
94	21343 13313	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CGEN|9FEWX|aCDMG
95	21343 13443	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8BEXP|9CGEN|aCDMG
96	21343 13643	   	181.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8FEWX|9CGEN|aCDMG
97	21413 11145	   	181.44	DCR|2AART|2DMG|1VULN|2CDMG	1RMIN|27AART|3BEXP|4VULN|5aDMG|6RCR|89CDMG
98	21343 13111	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9ERES|aBEXP
99	21343 13112	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9ERES|aMLV
100	21343 13113	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9ERES|aLWND
101	21343 13114	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9ERES|aRPLT
102	21343 13132	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9RCVC|aDUST
103	21343 13133	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9RCVC|aERES
104	21343 13134	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9RCVC|aDLOT
105	21343 13152	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9LWND|aDUST
106	21343 13153	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9LWND|aERES
107	21343 13323	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CGEN|9DUST|aCDMG
108	21343 12135	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|4LHND|5aDMG|6RCR|8CDMG|9RCVC
109	21343 13115	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|37VULN|47LHND|57DMG|6RCR|7BPWR|8CDMG|9ERES|aDUST
110	21413 13163	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3BEXP|4aVULN|57DMG|6RCR|8CDMG|9BELT
111	21312 42224	   	181.18	DCR|3VULN|2AART|1DMG|1CDMG	1RMIN|27AART|346VULN|5DMG|8FEWX|9CDMG|aRCR
112	21413 13112	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2AART|3BEXP|4aVULN|57DMG|6RCR|8CDMG|9ERES
