0	Index      	 *	Score 	Summary	Detail	
1	21512 11343	 * 	192.00	DCR|2VULN|2DMG|3ZMB|1AART	147ZMB|2DMSP|37FEWX|57DMG|6RCR|7BPWR|8aVULN|9AART
23	63251 35211	   	182.84	ACR|2DMG|3ZMB|1AART|1VULN	1RCVC|2RCR|37aZMB|47DMG|5LEGI|6AART|7BPWR|8LHND|9VULN
24	63251 35111	   	182.74	ACR|2DMG|3ZMB|1AART|1VULN	1RCVC|2RCR|37aZMB|47DMG|5LEGI|6AART|7BPWR|8DUST|9VULN
25	63252 11312	   	182.44	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2RCR|3ZMB|48DMG|5MLV|6LHND|7AART|9aVULN
26	63254 11312	   	182.44	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2RCR|3ZMB|48DMG|5RMIN|6LHND|7AART|9aVULN
27	63553 11312	   	182.44	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2RCR|3MLV|48DMG|5ZMB|6LHND|7AART|9aVULN
28	24632 43113	 * 	182.14	ACR|2VULN|3ZMB|3ASPD|1DMG|1CDMG	189ZMB|2DMG|38aASPD|4RCR|5CDMG|6FEWX|78VULN|8BPWR
29	31311 71811	 * 	182.07	DCR|3VULN|3DMG|1CDMG	1RPLT|28TLV|3CDMG|489DMG|5MBVNT|68aVULN|7RCR|8BPWR
30	21232 64212	   	181.65	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB	1ZMB|2DMSP|3MBVNT|4RCR|5CDMG|68AART|7VULN|9aDMG
31	32311 23611	 * 	181.43	DCR|3DMG|2VULN|2CDMG|1ZMB	1RPLT|2ZMB|36CDMG|469DMG|5MBVNT|6BPWR|7aVULN|8RCR
32	24116 31422	   	181.36	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|24DMG|3LWND|5DUR|6AART|7CDMG|8RCR|9ASPD|aVULN
33	32112 64644	 * 	181.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|37aVULN|4DMG|5MBVNT|6CDMG|8RCR|9AART
34	32311 74644	   	181.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|4DMG|5MBVNT|67aVULN|8RCR|9AART
35	33211 74644	   	181.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3ZMB|4DMG|5MBVNT|67aVULN|8RCR|9AART
36	42256 23212	 * 	180.66	ACR|3VULN|3ZMB|1DMG|1DUR|1ASPD	178LSRICY|2ASPD|3RCR|478ZMB|5LEGI|678VULN|78BPWR|9DMG|aDUR
37	42252 22161	 * 	180.24	ACR|3VULN|2DMG|2ASPD|1ZMB	1LSRICY|2aASPD|3RCR|4ZMB|5DUST|69aVULN|7TLV|8aDMG|aBPWR
38	63616 31231	   	179.90	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3CGEN|4ZMB|5DUR|6aAART|7CDMG|8VULN|9DMG
39	63316 32253	   	179.78	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|3aLHND|4aDMG|5AART|68VULN|7ASPD|9aCGEN|aBPWR
40	63316 21235	   	179.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2RCR|3LHND|4aDMG|5AART|6ERES|7CDMG|8VULN|9ZMB
41	63316 14312	   	179.58	ACR|2VULN|2DMG|1AART|1DUR	1RCVC|2RCR|36LHND|48DMG|5AART|7DUR|9aVULN
42	43314 22212	 * 	179.38	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1LSRICY|2CDMG|3RCR|4DUR|5LSRREG|6aVULN|79AART|8DMG
43	53314 22212	   	179.38	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1MGNSTR|2CDMG|3RCR|4DUR|5LSRREG|6aVULN|79AART|8DMG
44	24112 11543	 * 	179.34	DCR|3DMG|1AART|1VULN|2ZMB	17ZMB|247DMG|37LWND|5RCVC|6RCR|7BPWR|8FEWX|9AART|aVULN
45	24112 11643	   	179.24	DCR|3DMG|1AART|1VULN|2ZMB	17ZMB|247DMG|37LWND|5RCVC|6RCR|7BPWR|8DUST|9AART|aVULN
46	63613 31235	   	179.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2RCR|3CGEN|4ZMB|5FEWX|6AART|7CDMG|8VULN|9aDMG
47	63611 31235	   	179.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2RCR|3CGEN|4ZMB|5LEGI|6AART|7CDMG|8VULN|9aDMG
48	33211 23611	 * 	178.97	DCR|3DMG|2VULN|2ZMB|1CDMG	1RPLT|2CDMG|36ZMB|469DMG|5MBVNT|6BPWR|7aVULN|8RCR
49	32311 23648	   	178.93	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1RPLT|2ZMB|36CDMG|46DMG|5MBVNT|6BPWR|7VULN|8RCR|9AART|aDUR
50	23255 13143	 * 	178.76	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	1aZMB|2LEGI|3RPLT|4RCR|5aVULN|6CGEN|7DMG|8aCDMG|9AART|aBPWR
51	32152 13143	   	178.76	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	1RPLT|2aZMB|3aVULN|4RCR|5LEGI|6CGEN|7DMG|8aCDMG|9AART|aBPWR
52	32152 23143	   	178.66	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	1RPLT|2aZMB|3aVULN|4RCR|5LEGI|6TLV|7DMG|8aCDMG|9AART|aBPWR
53	23255 23143	   	178.66	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	1aZMB|2LEGI|3RPLT|4RCR|5aVULN|6TLV|7DMG|8aCDMG|9AART|aBPWR
54	33631 23644	   	178.58	DCR|2VULN|2DMG|1AART|2CDMG	1RPLT|26CDMG|36DMG|4RMIN|5MBVNT|6BPWR|7aVULN|8RCR|9AART
55	43313 31415	 * 	178.33	ACR|4VULN|1AART|1CDMG|1DUR	1LSRICY|2CDMG|3RCR|4DUR|5LHND|6AART|789aVULN
56	53313 31415	   	178.33	ACR|4VULN|1AART|1CDMG|1DUR	1MGNSTR|2CDMG|3RCR|4DUR|5LHND|6AART|789aVULN
57	63315 21312	   	178.28	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|3LHND|48DMG|5TLV|6ASPD|7AART|9aVULN
58	63212 22521	   	177.72	ACR|2VULN|1AART|1DMG|2ZMB|1DUR|2RCVC	15RCVC|2RCR|34ZMB|67VULN|8AART|9DMG|aDUR
59	63262 22521	   	177.72	ACR|2VULN|1AART|1DMG|2ZMB|1DUR|2RCVC	15RCVC|2RCR|34ZMB|4BPWR|67VULN|8AART|9DMG|aDUR
60	23123 36265	 * 	177.64	DCR|2VULN|1AART|3ASPD|1DMG|2ZMB	1aZMB|2LEGI|3aVULN|4LIT|5DMG|6AART|79aASPD|8RCR|aBPWR
61	63316 32263	   	177.64	ACR|3VULN|1AART|1DMG|1ASPD	1RCVC|2RCR|39LHND|4DMG|5AART|68aVULN|7ASPD
62	63316 33362	   	177.64	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|37LHND|4DMG|5AART|68aVULN|9DUR
63	63316 32212	   	177.54	ACR|3VULN|1AART|1DMG|1ASPD	1RCVC|2RCR|3LHND|4DMG|5AART|68aVULN|7ASPD|9TLV
64	63316 32242	   	177.54	ACR|3VULN|1AART|1DMG|1ASPD	1RCVC|2RCR|3LHND|4DMG|5AART|68aVULN|7ASPD|9ERES
65	21264 41741	 * 	177.51	DCR|3DMG|3ZMB|1VULN|3DUR	17aZMB|2DMSP|3MBVNT|467DMG|567DUR|67BPWR|8RCR|9VULN
66	31311 71871	   	177.42	DCR|3DMG|2VULN|1CDMG|1ZMB	1RPLT|28TLV|3CDMG|48aDMG|5MBVNT|68VULN|7RCR|8BPWR|9ZMB
67	21363 11435	   	177.34	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17ZMB|2DMSP|3RCVC|47DMG|57LHND|6RCR|7BPWR|8CDMG|9VULN|aAART
68	33611 41423	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2CDMG|34DMG|5LEGI|6aVULN|7DUR|8AART|9RCR
69	21232 63482	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2DMSP|3MBVNT|4RCR|5CDMG|6AART|7ASPD|89VULN|aDMG
70	24632 53113	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ZMB|27DMG|3ASPD|4RCR|5CDMG|6AART|8BEXP|9NUKE|aVULN
71	24116 31423	 * 	176.95	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|24aDMG|3LWND|5DUR|6AART|7CDMG|8RCR|9ASPD
72	24132 11435	   	176.74	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17ZMB|27DMG|37LWND|4DMSP|5RCVC|6RCR|7BPWR|8CDMG|9VULN|aAART
73	24111 11543	   	176.54	DCR|3DMG|1AART|1VULN|2ZMB	17ZMB|247DMG|37LWND|5DMSP|6RCR|7BPWR|8FEWX|9AART|aVULN
74	33211 23648	   	176.47	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1RPLT|2CDMG|36ZMB|46DMG|5MBVNT|6BPWR|7VULN|8RCR|9AART|aDUR
75	63312 21362	   	176.44	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|35LHND|4DMG|68aVULN|7AART|9DUR
76	24111 11643	   	176.44	DCR|3DMG|1AART|1VULN|2ZMB	17ZMB|247DMG|37LWND|5DMSP|6RCR|7BPWR|8DUST|9AART|aVULN
77	32153 15343	 * 	176.24	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|2aZMB|3aVULN|4RCR|5BEXP|6CGEN|7aDMG|8SELL|9AART|aBPWR
78	63251 35322	   	176.24	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	1RCVC|2RCR|37ZMB|47DMG|5LEGI|6AART|7BPWR|8RPLT|9ASPD|aVULN
79	32153 25343	 * 	176.14	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|2aZMB|3aVULN|4RCR|5BEXP|6TLV|7aDMG|8SELL|9AART|aBPWR
80	24632 43112	   	175.83	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG	189ZMB|2DMG|38ASPD|4RCR|5CDMG|6FEWX|78VULN|8BPWR|aBEXP
81	24632 43111	   	175.73	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG	189ZMB|2DMG|38ASPD|4RCR|5CDMG|6FEWX|78VULN|8BPWR|aERES
82	63316 21225	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2RCR|3LHND|4aDMG|5AART|6ERES|7CDMG|8VULN|9ASPD
83	63316 21242	   	175.54	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|2RCR|3LHND|4aDMG|5AART|6ERES|7CDMG|8VULN|9DUR
84	36232 63243	   	175.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2RMIN|3ZMB|4RCR|5CDMG|6aVULN|7DMG|8DUR|9AART
85	42256 23232	   	175.33	ACR|3VULN|3ZMB|1DMG|1ASPD	178LSRICY|2ASPD|3RCR|478ZMB|5LEGI|678VULN|78BPWR|9RCVC|aDMG
86	42224 61133	 * 	175.25	ACR|2DMG|1AART|1VULN|2ASPD|1FLTHEA	1LSRICY|2aASPD|3RCR|4FLTHEA|5FEWX|6AART|78DMG|9VULN
87	32112 67611	   	175.02	DCR|3DMG|2VULN|1CDMG|1ZMB	1RPLT|2ZMB|3aVULN|479DMG|5MBVNT|6CDMG|8RCR
88	32311 77611	   	175.02	DCR|3DMG|2VULN|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|479DMG|5MBVNT|6aVULN|8RCR
89	33211 77611	   	175.02	DCR|3DMG|2VULN|1CDMG|1ZMB	1RPLT|2CDMG|3ZMB|479DMG|5MBVNT|6aVULN|8RCR
90	63316 52312	   	175.01	ACR|2VULN|2DMG|1AART|2RCVC	16RCVC|2RCR|3LHND|48DMG|5AART|7BEXP|9aVULN
91	63213 52213	 * 	174.92	ACR|2VULN|2DMG|3ZMB	1RCVC|2RCR|34aZMB|5LEGI|6LIT|7RPLT|8aDMG|9aVULN|aBPWR
92	63263 52213	   	174.92	ACR|2VULN|2DMG|3ZMB	1RCVC|2RCR|34aZMB|4aBPWR|5LEGI|6LIT|7RPLT|8aDMG|9aVULN
93	35362 32631	   	174.72	DCR|2VULN|2DMG|1AART|1ZMB	1RPLT|2RCVC|3AART|4aDMG|5aVULN|6LWND|7ZMB|8aCGEN|9RCR|aBPWR
94	33212 61643	   	174.59	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2aCDMG|3ZMB|4aDMG|5LHND|6VULN|7RCR|8aMLV|9AART|aBPWR
95	33213 61643	   	174.59	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2aCDMG|3ZMB|4aDMG|5FEWX|6VULN|7RCR|8aMLV|9AART|aBPWR
96	31311 71841	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28TLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART|aFEWX
97	31311 71847	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28TLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART|aLHND
98	31311 71848	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1aRPLT|28TLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART
99	31311 71842	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28TLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART|aDUST
100	31311 71843	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28TLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART|aLEGI
101	31311 71844	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28aTLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART
102	31311 71846	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|28TLV|3CDMG|48DMG|5MBVNT|68VULN|7RCR|8BPWR|9AART|aBASICY
103	63312 21356	   	174.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|35LHND|4DMG|68VULN|7AART|9CDMG|aDUR
104	24116 31412	   	174.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|24DMG|3LWND|5DUR|6AART|7CDMG|8RCR|9CGEN|aVULN
105	21512 11342	   	174.41	DCR|2DMG|3ZMB|1AART|1VULN	147ZMB|2DMSP|37FEWX|57DMG|6RCR|7BPWR|8VULN|9AART|aMLV
106	21512 11346	   	174.41	DCR|2DMG|3ZMB|1AART|1VULN	147ZMB|2DMSP|37FEWX|57DMG|6RCR|7BPWR|8VULN|9AART|aCGEN
107	21512 11341	   	174.31	DCR|2DMG|3ZMB|1AART|1VULN	147ZMB|2DMSP|37FEWX|57DMG|6RCR|7BPWR|8VULN|9AART|aERES
108	21512 11345	   	174.31	DCR|2DMG|3ZMB|1AART|1VULN	147ZMB|2DMSP|37FEWX|57DMG|6RCR|7BPWR|8VULN|9AART|aMBVNT
109	24131 11435	   	173.93	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17ZMB|27DMG|37LWND|45DMSP|6RCR|7BPWR|8CDMG|9VULN|aAART
110	24116 31432	 * 	173.86	DCR|3DMG|1AART|2ZMB|1CDMG|1DUR	19ZMB|24aDMG|3LWND|5DUR|6AART|7CDMG|8RCR
111	63314 11312	   	173.81	ACR|2VULN|2DMG|1AART|2RCVC	16RCVC|2RCR|3LHND|48DMG|5FEWX|7AART|9aVULN
112	42256 23213	   	173.72	ACR|3VULN|3ZMB|1DMG|1ASPD	178LSRICY|2ASPD|3RCR|478ZMB|5LEGI|678VULN|78BPWR|9DMG|aFEWX
113	63311 11312	   	173.71	ACR|2VULN|2DMG|1AART|2RCVC	16RCVC|2RCR|3LHND|48DMG|5MBVNT|7AART|9aVULN
114	42256 23211	   	173.62	ACR|3VULN|3ZMB|1DMG|1ASPD	178LSRICY|2ASPD|3RCR|478ZMB|5LEGI|678VULN|78BPWR|9DMG|aDUST
115	31311 71812	   	173.35	DCR|3DMG|2VULN|1CDMG|1DUR	1RPLT|28TLV|3CDMG|489DMG|5MBVNT|68VULN|7RCR|8BPWR|aDUR
116	21512 11332	   	173.20	DCR|3DMG|3ZMB|1VULN|1DUR	147ZMB|2DMSP|37FEWX|579DMG|6RCR|7BPWR|8VULN|aDUR
117	63211 63421	   	173.09	ACR|3VULN|3ZMB|1DMG	1RCVC|2RCR|349ZMB|5FEWX|689VULN|79CGEN|9BPWR|aDMG
118	63316 32221	   	172.99	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3LHND|4DMG|5AART|68VULN|7ASPD|9LWND|aZMB
119	63213 63421	   	172.99	ACR|3VULN|3ZMB|1DMG	1RCVC|2RCR|349ZMB|5LEGI|689VULN|79CGEN|9BPWR|aDMG
120	63613 31231	   	172.96	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3CGEN|4ZMB|5FEWX|6aAART|7CDMG|8VULN|9DMG
121	43364 13833	 * 	172.95	ACR|2DMG|3CDMG|1AART|1VULN	1aLSRICY|25aCDMG|3RCR|4MBVNT|6VULN|7LIT|8AART|9aDMG|aBPWR
122	53364 13833	   	172.95	ACR|2DMG|3CDMG|1AART|1VULN	1aMGNSTR|25aCDMG|3RCR|4MBVNT|6VULN|7LIT|8AART|9aDMG|aBPWR
123	23123 36215	   	172.94	DCR|2VULN|1AART|1DMG|2ZMB|2ASPD	1aZMB|2LEGI|3aVULN|4LIT|5DMG|6AART|7aASPD|8RCR|9RCVC|aBPWR
124	23315 35223	   	172.77	DCR|2VULN|2DMG|1AART|2ZMB	1aZMB|2LEGI|3NUKE|4aDMG|5TLV|6AART|7LHND|8aVULN|9RCR|aBPWR
125	24632 21125	   	172.74	ACR|3VULN|1DMG|2ZMB|1CDMG|1ASPD	17ZMB|2DMG|3ASPD|4RCR|5CDMG|68aVULN|9RCVC
126	24116 31421	 * 	172.74	DCR|2DMG|2AART|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|24DMG|3LWND|5DUR|6aAART|7CDMG|8RCR|9ASPD
127	21232 63484	   	172.73	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2DMSP|3MBVNT|4RCR|5CDMG|6AART|7ASPD|89aVULN
128	31112 61811	   	172.73	DCR|3DMG|2VULN|2CDMG	1RPLT|28TLV|3aVULN|489DMG|5MBVNT|68CDMG|7RCR|8BPWR
129	63212 22333	   	172.71	ACR|3VULN|1AART|2ZMB|1ASPD|2RCVC	15RCVC|2RCR|34ZMB|678VULN|9AART|aASPD
130	63212 22336	   	172.71	ACR|3VULN|1AART|2ZMB|1DUR|2RCVC	15RCVC|2RCR|34ZMB|678VULN|9AART|aDUR
131	63262 22333	   	172.71	ACR|3VULN|1AART|2ZMB|1ASPD|2RCVC	15RCVC|2RCR|34ZMB|4BPWR|678VULN|9AART|aASPD
132	63262 22336	   	172.71	ACR|3VULN|1AART|2ZMB|1DUR|2RCVC	15RCVC|2RCR|34ZMB|4BPWR|678VULN|9AART|aDUR
133	63316 35132	   	172.64	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|38LHND|47DMG|5AART|6aVULN|9FEWX
134	63316 35331	   	172.64	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3LHND|47DMG|5AART|68VULN|9FEWX|aCGEN
135	63316 12312	   	172.64	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|36LHND|48DMG|5AART|7BEXP|9aVULN
136	63316 35113	   	172.54	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|38LHND|47DMG|5AART|6aVULN|9TLV
137	63316 35232	   	172.54	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|39LHND|47DMG|5AART|6aVULN|8LEGI
138	63316 35311	   	172.54	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3aLHND|47DMG|5AART|68VULN|9TLV
139	63316 35312	   	172.54	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3LHND|47DMG|5AART|68VULN|9TLV|aMLV
140	63316 35333	   	172.54	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3LHND|47DMG|5AART|68VULN|9FEWX|aTLV
141	32112 64648	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|37VULN|4DMG|5MBVNT|6CDMG|8RCR|9AART|aDUR
142	32311 74648	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|3CDMG|4DMG|5MBVNT|67VULN|8RCR|9AART|aDUR
143	33211 74648	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3ZMB|4DMG|5MBVNT|67VULN|8RCR|9AART|aDUR
144	63251 32226	   	172.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4DMG|5LEGI|6AART|7RPLT|8aVULN|9DUR
145	24634 22221	   	172.26	ACR|2DMG|1AART|2ZMB|1CDMG|2DUR|1ASPD	1aZMB|2aDMG|3ASPD|4RCR|5BELT|6CDMG|7RPLT|8AART|9aDUR|aBPWR
146	63251 31312	   	172.19	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4aDMG|5LEGI|6AART|78CDMG|9DUR
147	24631 31136	 * 	172.16	ACR|2DMG|3ZMB|1AART|1CDMG|1ASPD	167ZMB|29DMG|3ASPD|4RCR|5RPLT|8CDMG|aAART
148	63364 33446	   	172.14	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3aLHND|4MBVNT|5DMSP|6AART|7LIT|8aDMG|9aVULN|aBPWR
149	32111 51643	   	172.13	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RPLT|2aZMB|3VULN|4aDMG|5BEXP|6CDMG|7RCR|8aMLV|9AART|aBPWR
150	32312 61643	   	172.13	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RPLT|2aZMB|3CDMG|4aDMG|5LHND|6VULN|7RCR|8aMLV|9AART|aBPWR
151	32313 61643	   	172.13	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RPLT|2aZMB|3CDMG|4aDMG|5FEWX|6VULN|7RCR|8aMLV|9AART|aBPWR
152	32113 51643	   	172.03	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RPLT|2aZMB|3VULN|4aDMG|5DUST|6CDMG|7RCR|8aMLV|9AART|aBPWR
153	32311 22644	   	171.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2ZMB|36CDMG|46DMG|5MBVNT|6BPWR|7BEXP|8RCR|9AART|aVULN
154	32311 23641	   	171.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2ZMB|36CDMG|46DMG|5MBVNT|6BPWR|7VULN|8RCR|9AART|aBELT
155	32311 23646	   	171.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2ZMB|36CDMG|46DMG|5MBVNT|6BPWR|7VULN|8RCR|9AART|aMLV
156	32311 23647	   	171.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2ZMB|36CDMG|46DMG|5MBVNT|6BPWR|7VULN|8RCR|9AART|aLWND
