0	Index      	 *	Score 	Summary	Detail	
1	31526 43323	 * 	208.82	DCR|4VULN|3DMG|3CDMG	168DMG|289aVULN|389CDMG|4MBVNT|5RPLT|7RCR|89BPWR
21	31163 23331	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	1DMG|24aVULN|3CGEN|57AART|6RCR|8LIT|9ZMB
22	31335 34353	   	186.31	DCR|3VULN|2AART|2DMG	18DMG|26aVULN|3LWND|45AART|7MLV|9RCR
23	31522 25342	   	185.77	DCR|4VULN|2DMG|3CDMG	19DMG|2679VULN|358CDMG|4MBVNT|9BPWR|aRCR
24	31163 41353	   	185.71	DCR|3VULN|2AART|2DMG	18DMG|24aVULN|3CGEN|56AART|7LWND|9RCR
25	31543 21143	   	185.25	DCR|4VULN|2DMG|1CDMG|1DUR	1aDMG|246aVULN|3CDMG|5DUR|7aMLV|8RCR|9LEGI|aBPWR
26	31163 26421	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|24VULN|3CGEN|5AART|6RCR|7ZMB|8LHND|aDUR
27	31163 26621	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|24VULN|3CGEN|5AART|6RCR|7ZMB|8BEXP|aDUR
28	31133 21213	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2aVULN|3CGEN|5AART|6RCR|7ERES|8ZMB|9DUR
29	31163 22421	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|24VULN|3CGEN|5AART|6RCR|7DUST|8ZMB|aDUR
30	31334 32236	   	183.47	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|256VULN|3LWND|4AART|7FEWX|8ZMB|aRCR
31	31334 35236	   	183.47	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|256VULN|3LWND|4AART|7LHND|8ZMB|aRCR
32	31543 21126	 * 	182.98	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DMG|246VULN|39CDMG|5DUR|7MLV|8RCR|aAART
33	31523 34177	   	182.92	DCR|4VULN|2DMG|1CDMG	18DMG|289aVULN|3CDMG|4MBVNT|5CGEN|6RCR|78ERES|8BPWR
34	31533 64123	   	182.86	DCR|3VULN|2DMG|2CDMG|2DUR	1aDMG|267VULN|3aCDMG|4LWND|5CGEN|8RCR|9aDUR|aBPWR
35	31544 21133	   	182.76	DCR|3VULN|2DMG|2CDMG|2DUR	1aDMG|246VULN|3aCDMG|5DUST|7MLV|8RCR|9aDUR|aBPWR
36	31543 21136	   	181.96	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1DMG|246VULN|3CDMG|59DUR|7MLV|8RCR|aAART
37	31543 24321	   	181.91	DCR|5VULN|1DMG|2CDMG|1DUR	1DMG|24679VULN|38CDMG|5DUR|aRCR
38	31133 26622	   	181.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	149DMG|2VULN|3CGEN|5AART|6RCR|7ZMB|8BEXP|aDUR
39	31133 22422	   	181.72	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	149DMG|2VULN|3CGEN|5AART|6RCR|7DUST|8ZMB|aDUR
40	31163 21213	   	181.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|24aVULN|3CGEN|5AART|6RCR|7ERES|8ZMB|9DUR
41	31133 23411	 * 	181.53	DCR|3AART|2VULN|2DMG	14DMG|2aVULN|3CGEN|579AART|6RCR|8BEXP
42	31133 23365	   	181.53	DCR|3AART|2VULN|2DMG	14DMG|29VULN|3CGEN|57aAART|6RCR|8LIT
43	31133 24232	   	181.47	DCR|3DMG|2VULN|1AART	149DMG|2aVULN|37CGEN|5AART|6RCR|8LHND
44	31133 24223	   	181.47	DCR|3VULN|2DMG|1AART	14DMG|29aVULN|37CGEN|5AART|6RCR|8LHND
45	31133 24364	   	181.47	DCR|3VULN|2DMG|1AART	14DMG|29aVULN|37CGEN|5AART|6RCR|8LIT
46	31163 24233	   	181.47	DCR|3VULN|2DMG|1AART	19DMG|24aVULN|37CGEN|5AART|6RCR|8LHND
47	31133 23111	   	181.43	DCR|3AART|2VULN|2DMG	14DMG|2aVULN|3CGEN|579AART|6RCR|8DUST
48	31133 23531	   	181.43	DCR|3AART|2VULN|2DMG	14DMG|2aVULN|3CGEN|578AART|6RCR|9ERES
49	31133 23541	   	181.43	DCR|3AART|2VULN|2DMG	14DMG|2aVULN|3CGEN|578AART|6RCR|9DUST
50	31133 23553	   	181.43	DCR|3AART|2VULN|2DMG	14DMG|2aVULN|3CGEN|578AART|6RCR|9DLOT
51	31133 21132	   	181.37	DCR|3DMG|2VULN|1AART	149DMG|2aVULN|3CGEN|5AART|6RCR|7ERES|8MLV
52	31133 21123	   	181.37	DCR|3VULN|2DMG|1AART	14DMG|29aVULN|3CGEN|5AART|6RCR|7ERES|8MLV
53	31163 21133	   	181.37	DCR|3VULN|2DMG|1AART	19DMG|24aVULN|3CGEN|5AART|6RCR|7ERES|8MLV
54	31163 26423	 * 	180.67	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|24VULN|3CGEN|5AART|6RCR|7aZMB|8LHND
55	31163 26623	   	180.67	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|24VULN|3CGEN|5AART|6RCR|7aZMB|8BEXP
56	31163 22423	   	180.57	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|24VULN|3CGEN|5AART|6RCR|7DUST|8aZMB
57	31331 63265	   	180.00	DCR|2AART|2VULN|2DMG|1DUR	16DMG|29VULN|3LWND|4aAART|5MLV|7DUR|8RCR
58	31332 63265	   	180.00	DCR|2AART|2VULN|2DMG|1DUR	16DMG|29VULN|3LWND|4aAART|5RMIN|7DUR|8RCR
59	31334 32226	   	179.98	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2569VULN|3LWND|4AART|7FEWX|8ZMB|aRCR
60	31334 35226	   	179.98	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2569VULN|3LWND|4AART|7LHND|8ZMB|aRCR
61	31526 43353	   	179.87	DCR|3DMG|2VULN|2CDMG|1DUR	168DMG|28VULN|38CDMG|4MBVNT|5RPLT|7RCR|8BPWR|9LHND|aDUR
62	31526 43361	   	179.87	DCR|3DMG|2VULN|2CDMG|1DUR	168DMG|28VULN|38CDMG|4MBVNT|5RPLT|7RCR|8BPWR|9LIT|aDUR
63	31163 23365	 * 	179.60	DCR|3VULN|3AART|1DMG	1DMG|249VULN|3CGEN|57aAART|6RCR|8LIT
64	31163 23411	   	179.60	DCR|3VULN|3AART|1DMG	1DMG|24aVULN|3CGEN|579AART|6RCR|8BEXP
65	31136 45144	   	179.57	DCR|3DMG|2VULN|1AART	14aDMG|29VULN|35CGEN|6RCR|7MBVNT|8AART
66	31336 54223	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DMG|26VULN|3LWND|4AART|5ASPD|7CGEN|8RCR|aZMB
67	31163 23111	   	179.50	DCR|3VULN|3AART|1DMG	1DMG|24aVULN|3CGEN|579AART|6RCR|8DUST
68	31163 23531	   	179.50	DCR|3VULN|3AART|1DMG	1DMG|24aVULN|3CGEN|578AART|6RCR|9ERES
69	31163 23541	   	179.50	DCR|3VULN|3AART|1DMG	1DMG|24aVULN|3CGEN|578AART|6RCR|9DUST
70	31163 23553	   	179.50	DCR|3VULN|3AART|1DMG	1DMG|24aVULN|3CGEN|578AART|6RCR|9DLOT
71	31336 51223	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DMG|26VULN|3LWND|4AART|5ASPD|7ERES|8RCR|aZMB
72	31335 32236	   	179.26	DCR|2AART|2VULN|2DMG|1ZMB	19DMG|26VULN|3LWND|45AART|7FEWX|8ZMB|aRCR
73	31335 35236	   	179.26	DCR|2AART|2DMG|2VULN|1ZMB	19DMG|26VULN|3LWND|45AART|7LHND|8ZMB|aRCR
74	31526 43364	   	178.97	DCR|3DMG|2VULN|3CDMG	168DMG|28VULN|38aCDMG|4MBVNT|5RPLT|7RCR|8BPWR|9LIT
75	31133 23324	   	178.87	DCR|2VULN|2AART|2DMG	14DMG|2aVULN|3CGEN|57AART|6RCR|8LIT|9RCVC
