0	Index      	 *	Score 	Summary	Detail	
1	13363 25512	 * 	193.03	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	18VULN|2RPLT|38ZMB|4aDMG|5BEXP|6AART|78CDMG|8BPWR|9RCR
43	12336 14212	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4FEWX|6RCR|79DMG|9BPWR|aBEXP
44	12336 14214	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4FEWX|6RCR|79DMG|9BPWR|aDMSP
45	12346 14211	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4BEXP|6RCR|79DMG|9BPWR|aLWND
46	12346 14212	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4BEXP|6RCR|79DMG|9BPWR|aFEWX
47	12436 14211	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3BEXP|4FEWX|6RCR|79DMG|9BPWR|aLWND
48	12436 14212	   	171.51	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3BEXP|4aFEWX|6RCR|79DMG|9BPWR
49	12536 14211	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3DUST|4FEWX|6RCR|79DMG|9BPWR|aLWND
50	12536 14212	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3DUST|4aFEWX|6RCR|79DMG|9BPWR
51	12536 14222	   	171.41	DCR|3VULN|2DMG|3DUR	15aVULN|28aDUR|3DUST|4FEWX|6RCR|7aDMG|9RCVC|aBPWR
52	12536 14232	   	171.41	DCR|3VULN|2DMG|3DUR	15aVULN|28aDUR|3DUST|49FEWX|6RCR|7aDMG|aBPWR
53	12336 14213	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4FEWX|6RCR|79DMG|9BPWR|aDUST
54	12336 14215	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4FEWX|6RCR|79DMG|9BPWR|aLEGI
55	12336 14216	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4FEWX|6RCR|79DMG|9BPWR|aERES
56	12346 14213	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3LHND|4BEXP|6RCR|79DMG|9BPWR|aDUST
57	12436 14213	   	171.41	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3BEXP|4FEWX|6RCR|79DMG|9BPWR|aDUST
58	12531 14215	   	171.31	DCR|3VULN|2DMG|3DUR	19aVULN|289DUR|35DUST|4FEWX|6RCR|79DMG|9BPWR
59	12536 14213	   	171.31	DCR|3VULN|2DMG|3DUR	159VULN|289DUR|3aDUST|4FEWX|6RCR|79DMG|9BPWR
60	15433 63213	 * 	171.28	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1VULN|2ZMB|3MLV|4DMG|5DUR|6RCR|7FEWX|8FLTHEA|9aAART
61	42333 53151	   	171.24	ACR|3VULN|3DMG	1BELT|2RPLT|3RCR|4TLV|569VULN|78aDMG
62	13361 52315	   	170.54	DCR|3VULN|2DMG|1ZMB|1ASPD|1DUR	189VULN|2RPLT|3ZMB|47DMG|5DUR|6ASPD|aRCR
63	13363 63222	 * 	170.32	DCR|3VULN|2DMG|2ZMB	179VULN|2RPLT|39ZMB|4aDMG|5BEXP|6RCR|89FEWX|9BPWR
64	15233 31122	   	170.04	DCR|4VULN|3ZMB|2DUR	138aVULN|26aZMB|4FEWX|5DUST|7RCR|9aDUR|aBPWR
65	13336 62234	 * 	169.92	DCR|3VULN|1AART|2ZMB|1CDMG	19aVULN|2RPLT|39ZMB|4LWND|5AART|6CDMG|7RCR|89ERES|9BPWR
66	15225 12216	   	169.66	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	139VULN|2ZMB|4ERES|5CDMG|67DUR|8RCR|aDMG
67	12361 32615	   	169.30	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18VULN|25DUR|3LHND|4CDMG|67DMG|9RCR|aZMB
68	15136 13423	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	159VULN|2ZMB|3CDMG|4RPLT|6RCR|7DUR|8RCVC|aDMG
69	16336 14313	 * 	169.11	DCR|3VULN|2DMG|1FLTHEA	159VULN|289LWND|3LHND|4FEWX|6RCR|79DMG|9BPWR|aFLTHEA
70	22335 33112	   	169.04	ACR|3VULN|3DMG	13RCVC|29aDUST|4RCR|59aDMG|6FEWX|7LHND|89aVULN|9aBPWR
71	12356 11322	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3LHND|4RCVC|6ZMB|7RCR|8CDMG|9aDMG
72	12356 11512	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3LHND|4RCVC|6ZMB|7RCR|8aDMG|9CDMG
73	12446 11322	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|34BEXP|6ZMB|7RCR|8CDMG|9aDMG
74	13363 63322	 * 	168.78	DCR|3VULN|1DMG|3DUR|2ZMB	179VULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89aDUR|9BPWR
75	14242 11512	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	13VULN|2ERES|4DUR|5MLV|6ZMB|7RCR|8aDMG|9CDMG
76	14253 11512	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	13VULN|2ERES|4RMIN|5DUR|6ZMB|7RCR|8aDMG|9CDMG
77	12326 21513	   	168.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	16VULN|25DUR|3LHND|4ERES|7RCR|8DMG|9CDMG|aAART
78	55331 62243	   	168.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2ZMB|34DMG|5DLOT|6MBVNT|7RCR|8AART|9VULN|aCDMG
79	12336 14136	   	168.42	DCR|3VULN|1AART|1DMG|1DUR	15aVULN|2DUR|3LHND|4FEWX|6RCR|7DMG|8RMIN|9AART
80	12362 16211	   	168.10	DCR|3VULN|1AART|1CDMG|2DUR	19aVULN|29DUR|37LHND|4CDMG|59LWND|6RCR|8AART|9BPWR
81	16361 16211	   	168.10	DCR|3VULN|1AART|1CDMG|2DUR	19aVULN|29LWND|37LHND|4CDMG|59DUR|6RCR|8AART|9BPWR
82	55331 62443	   	167.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2ZMB|34DMG|5DLOT|6MBVNT|7RCR|8VULN|9AART|aCDMG
83	12336 14512	   	167.70	DCR|3VULN|2DMG|2DUR	159VULN|29DUR|3LHND|48FEWX|6RCR|79DMG|9BPWR|aLIT
84	35611 26311	 * 	167.68	DCR|2VULN|2AART|1DMG|1ZMB	1BEXP|2ZMB|3BELT|4DMG|5DMSP|6aAART|7RCR|89VULN
85	31432 41111	   	167.65	DCR|2VULN|2DMG|1AART|1DUR	139BEXP|259FEWX|45DMG|59BPWR|6DUR|7RCR|89VULN|aAART
86	51632 41111	   	167.65	DCR|2VULN|2DMG|1AART|1DUR	139FEWX|259BEXP|45DMG|59BPWR|6DUR|7RCR|89VULN|aAART
87	12336 14511	   	167.60	DCR|3VULN|2DMG|2DUR	159VULN|29DUR|3LHND|48FEWX|6RCR|79DMG|9BPWR|aDUST
88	16356 11323	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2LWND|3LHND|4RCVC|6ZMB|7RCR|8CDMG|9DMG|aAART
89	15252 31513	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2ZMB|4RMIN|5ERES|6LWND|7RCR|8DMG|9CDMG|aAART
90	14232 11513	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2ERES|4LWND|5MLV|6ZMB|7RCR|8DMG|9CDMG|aAART
91	14262 11513	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2ERES|4LHND|5MLV|6ZMB|7RCR|8DMG|9CDMG|aAART
92	43113 61241	   	167.35	DCR|2VULN|2DMG|1AART|2DUR	1BELT|29VULN|3ERES|49DMG|5LWND|6CGEN|7AART|89DUR|9BPWR|aRCR
93	16563 13312	   	167.24	DCR|4VULN|3ZMB|1DUR	149aVULN|29aLWND|37DUST|5DUR|6RCR|89aZMB|9aBPWR
94	32432 51112	 * 	167.21	DCR|2VULN|2DMG|3DUR|1CDMG	139BEXP|259DUR|45DMG|59BPWR|6LHND|7RCR|89VULN|aCDMG
95	32432 61112	   	167.21	DCR|2VULN|2DMG|3DUR|1CDMG	139BEXP|259DUR|45DMG|59BPWR|6LWND|7RCR|89VULN|aCDMG
96	35335 33612	   	167.08	DCR|3DMG|1AART|1VULN|1ZMB	1BEXP|2ZMB|345DMG|6FEWX|7VULN|8RCR|9LIT|aAART
97	35335 13612	   	166.98	DCR|3DMG|1AART|1VULN|1ZMB	1BEXP|2ZMB|345DMG|6DUST|7VULN|8RCR|9LIT|aAART
98	24542 11121	 * 	166.87	DCR|4VULN|3CDMG|3DUR	1RCVC|2458VULN|358CDMG|58BPWR|678DUR|9RCR|aLWND
99	24542 11122	   	166.87	DCR|4VULN|3CDMG|3DUR	1RCVC|2458VULN|358CDMG|58BPWR|678DUR|9RCR|aFEWX
100	24522 11125	   	166.87	DCR|4VULN|3CDMG|3DUR	14RCVC|258aVULN|358CDMG|58BPWR|678DUR|9RCR
101	13363 63225	   	166.83	DCR|4VULN|1DMG|2ZMB	179aVULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89FEWX|9BPWR
102	24542 11123	   	166.77	DCR|4VULN|3CDMG|3DUR	1RCVC|2458VULN|358CDMG|58BPWR|678DUR|9RCR|aDUST
103	13361 61362	   	166.70	DCR|2VULN|2DMG|2ZMB|2DUR	19VULN|2RPLT|37ZMB|4aDMG|58DUR|6RCR
104	13361 63322	   	166.70	DCR|2VULN|2DMG|2ZMB|2DUR	17VULN|2RPLT|39ZMB|4aDMG|58DUR|6RCR
105	13635 26321	   	166.52	DCR|3DMG|1AART|1VULN|1ASPD	1VULN|2RPLT|3AIRHEL|456DMG|7RCR|8AART|9CGEN|aASPD
106	13313 65141	   	166.47	DCR|3VULN|2DMG|1ZMB	19aVULN|2RPLT|3ZMB|49CGEN|5BEXP|6RCR|7LIT|89DMG|9BPWR
107	42333 53623	   	166.44	ACR|3VULN|2DMG|1ZMB|1SELL	1BELT|2RPLT|3RCR|49TLV|569VULN|79DMG|8SELL|9BPWR|aZMB
108	14231 21512	   	166.41	DCR|3VULN|2DMG|1CDMG	136VULN|2ERES|4LWND|5BEXP|7RCR|8aDMG|9CDMG
109	14236 21512	   	166.41	DCR|3VULN|2DMG|1CDMG	136VULN|2ERES|4LWND|5FEWX|7RCR|8aDMG|9CDMG
110	14261 21512	   	166.41	DCR|3VULN|2DMG|1CDMG	136VULN|2ERES|4LHND|5BEXP|7RCR|8aDMG|9CDMG
111	13363 63226	   	166.38	DCR|3VULN|1DMG|2ZMB|1FLTHEA	179VULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89FEWX|9BPWR|aFLTHEA
112	13331 65141	   	166.37	DCR|3VULN|2DMG|1ZMB	19aVULN|2RPLT|3ZMB|49LWND|5ERES|6RCR|7LIT|89DMG|9BPWR
113	43154 23231	 * 	166.34	ACR|3VULN|1AART|1DMG|1DUR	1BELT|25aVULN|3ERES|4RCR|6LWND|7DMG|8DUR|9AART
114	14233 21512	   	166.31	DCR|3VULN|2DMG|1CDMG	136VULN|2ERES|4LWND|5DUST|7RCR|8aDMG|9CDMG
115	14263 21512	   	166.31	DCR|3VULN|2DMG|1CDMG	136VULN|2ERES|4LHND|5DUST|7RCR|8aDMG|9CDMG
116	13363 63162	   	166.27	DCR|3VULN|2DMG|1ZMB	179VULN|2RPLT|3ZMB|4aDMG|5BEXP|6RCR|8RCVC
117	13631 33562	   	166.25	DCR|3VULN|2DMG|1CDMG|1ASPD	167VULN|2RPLT|37AIRHEL|47DMG|5RCVC|7BPWR|8ASPD|9CDMG|aRCR
118	15432 12153	   	166.11	DCR|3VULN|2DMG|1ZMB|1DUR	16aVULN|2ZMB|35MLV|46DMG|6BPWR|7DUR|8CGEN|9RCR
119	15231 31512	   	165.72	DCR|2VULN|2DMG|2ZMB|1CDMG	13VULN|26ZMB|4FEWX|5BEXP|7RCR|8aDMG|9CDMG
120	15231 31322	   	165.72	DCR|2VULN|2DMG|2ZMB|1CDMG	13VULN|26ZMB|4FEWX|5BEXP|7RCR|8CDMG|9aDMG
121	12362 13156	   	165.69	DCR|2VULN|2DMG|1CDMG|2DUR	18VULN|2aDUR|3LHND|4CDMG|5aLWND|6RCR|7CGEN|9aDMG|aBPWR
122	13336 61512	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2RPLT|3ZMB|4LWND|5AART|6CDMG|8RMIN|9RCR|aDMG
123	15233 31322	   	165.62	DCR|2VULN|2DMG|2ZMB|1CDMG	13VULN|26ZMB|4FEWX|5DUST|7RCR|8CDMG|9aDMG
124	15233 31512	   	165.62	DCR|2VULN|2DMG|2ZMB|1CDMG	13VULN|26ZMB|4FEWX|5DUST|7RCR|8aDMG|9CDMG
125	13336 61312	   	165.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2RPLT|3ZMB|4LWND|5AART|6CDMG|8ERES|9RCR|aDMG
126	43323 35532	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	1BELT|25VULN|35DMG|4RMIN|5BPWR|6LIT|7DUR|8RCR|9AART|aDUST
127	43323 35533	   	165.55	DCR|2VULN|2DMG|1AART|1DUR	1BELT|25VULN|35DMG|4RMIN|5BPWR|6LIT|7DUR|8RCR|9AART|aLEGI
128	35346 13323	   	165.22	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1BEXP|26ZMB|3aDMG|4LWND|5AART|7ASPD|8RCR|9VULN
129	31432 41243	   	165.20	DCR|3DMG|1AART|1CDMG|2DUR	138BEXP|25FEWX|458DMG|58BPWR|68DUR|7RCR|9AART|aCDMG
130	32432 31243	   	165.20	DCR|3DMG|1AART|1CDMG|2DUR	138BEXP|25DUR|458DMG|58BPWR|68FEWX|7RCR|9AART|aCDMG
131	32432 51243	   	165.20	DCR|3DMG|1AART|1CDMG|2DUR	138BEXP|25DUR|458DMG|58BPWR|68LHND|7RCR|9AART|aCDMG
132	32432 61243	   	165.20	DCR|3DMG|1AART|1CDMG|2DUR	138BEXP|25DUR|458DMG|58BPWR|68LWND|7RCR|9AART|aCDMG
133	15236 11141	   	165.18	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|4FEWX|5AART|6TLV|7CGEN|8DMG|aRCR
134	15236 15121	   	165.18	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|4FEWX|5AART|6TLV|7RMIN|8DMG|aRCR
135	15236 21141	   	165.18	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|4FEWX|5AART|6ERES|7CGEN|8DMG|aRCR
136	15236 41121	   	165.18	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|47FEWX|5AART|6DUST|8DMG|aRCR
137	15236 42121	   	165.18	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|4FEWX|5AART|6DUST|7RCVC|8DMG|aRCR
138	24532 21324	   	165.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|29VULN|3CDMG|4CGEN|5DMG|6LIT|7ZMB|8RCR|aAART
139	43323 32642	   	165.05	DCR|2VULN|2DMG|1AART|1DUR	1BELT|25VULN|35DMG|4RMIN|5BPWR|6LIT|7CGEN|8RCR|9DUR|aAART
140	43323 35522	   	165.05	DCR|2VULN|2DMG|1AART|1DUR	1BELT|25VULN|35DMG|4RMIN|5BPWR|6LIT|7DUR|8RCR|9CGEN|aAART
141	15225 62112	   	164.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2ZMB|4ERES|5CDMG|6AART|7FEWX|8RPLT|9RCR|aDMG
142	15255 21223	   	164.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2ZMB|4RMIN|5DMG|6CDMG|7ERES|8RCR|9LWND|aAART
143	24512 21324	   	164.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|29VULN|3CDMG|4TLV|5DMG|6LIT|7ZMB|8RCR|aAART
144	13363 63321	   	164.96	DCR|3VULN|1DMG|2ZMB|2DUR	179VULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89DUR|9BPWR|aFEWX
145	13363 63323	   	164.86	DCR|3VULN|1DMG|2ZMB|2DUR	179VULN|2RPLT|39ZMB|4DMG|5BEXP|6RCR|89DUR|9BPWR|aTLV
146	16563 12313	   	164.86	DCR|3VULN|1DMG|2ZMB|2DUR	149VULN|29LWND|3DUST|57DUR|6RCR|89ZMB|9BPWR|aDMG
147	15136 13313	   	164.83	DCR|3VULN|2CDMG|3DUR|1ZMB	159VULN|2ZMB|39CDMG|4RPLT|6RCR|79aDUR|8RMIN|9BPWR
148	12546 13313	   	164.76	DCR|3VULN|1DMG|2ZMB|2DUR	159VULN|29DUR|37DUST|4BEXP|6RCR|89ZMB|9BPWR|aDMG
149	15241 31316	 * 	164.76	DCR|4VULN|2ZMB|1CDMG|1DUR	139aVULN|26ZMB|4DUR|5BEXP|7RCR|8CDMG
150	15243 31112	   	164.74	DCR|4VULN|3ZMB|1DUR	138aVULN|26aZMB|4DUR|5DUST|7RCR|9aLWND|aBPWR
151	13311 65142	   	164.69	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	19VULN|2RPLT|3ZMB|49CGEN|5DUR|6RCR|7LIT|89DMG|9BPWR|aASPD
152	15243 31316	   	164.66	DCR|4VULN|2ZMB|1CDMG|1DUR	139aVULN|26ZMB|4DUR|5DUST|7RCR|8CDMG
153	35231 35141	   	164.58	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|379VULN|4ERES|5CGEN|6AART|8DMG|aRCR
154	32432 31112	   	164.56	DCR|2VULN|2DMG|3DUR|1ZMB	139BEXP|259DUR|45DMG|59BPWR|6FEWX|7RCR|89VULN|aZMB
155	15255 23213	   	164.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	139VULN|2ZMB|4RMIN|5DMG|6CDMG|7CGEN|8RCR|aDUR
156	15255 21213	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	139VULN|2ZMB|4RMIN|5DMG|6CDMG|7ERES|8RCR|aDUR
157	15431 63213	   	164.34	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB	1VULN|2ZMB|3MLV|4DMG|5BEXP|6RCR|7FEWX|8FLTHEA|9aAART
158	43323 32631	   	164.21	DCR|3VULN|2DMG|1CDMG	1BELT|25aVULN|35DMG|4RMIN|5BPWR|6LIT|7CGEN|8RCR|9CDMG
159	15241 31315	 * 	164.19	DCR|3VULN|3ZMB|1CDMG|1DUR	139VULN|26aZMB|4DUR|5BEXP|7RCR|8CDMG
160	15432 12152	   	164.10	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	16VULN|2ZMB|35MLV|46DMG|6BPWR|7DUR|8CGEN|9RCR|aCDMG
161	15243 31315	   	164.09	DCR|3VULN|3ZMB|1CDMG|1DUR	139VULN|26aZMB|4DUR|5DUST|7RCR|8CDMG
162	15234 63121	   	164.08	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|45FEWX|6LWND|7AART|8DMG|aRCR
163	16356 13121	   	164.08	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2LWND|3LHND|4RCVC|6ZMB|7AART|8DMG|aRCR
164	12124 51521	   	164.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2DUR|3CGEN|4FEWX|5AART|6RMIN|8RCR|9DMG|aCDMG
165	12363 32615	   	164.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18VULN|2DUR|3LHND|4CDMG|5RCVC|67DMG|9RCR|aZMB
166	14232 13141	   	163.98	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ERES|4LWND|5MLV|6ZMB|7AART|8DMG|aRCR
167	15252 33141	   	163.98	DCR|3VULN|1AART|1DMG|1ZMB	139VULN|2ZMB|4RMIN|5ERES|6LWND|7AART|8DMG|aRCR
168	16562 13121	   	163.98	DCR|3VULN|1AART|1DMG|1ZMB	149VULN|2LWND|3DUST|5RCVC|6ZMB|7AART|8DMG|aRCR
