0	Index      	 *	Score 	Summary	Detail	
1	14611 15233	 * 	194.54	ACR|3VULN|3DMG|1AART	1BEXP|245VULN|3RCR|678DMG|9MGNLIT|aAART
19	14611 33315	   	176.00	ACR|4VULN|1AART|1DMG	1BEXP|2456VULN|3RCR|7FEWX|8CGEN|9AART|aDMG
20	14611 12521	   	175.90	ACR|4VULN|1AART|1DMG	1BEXP|245aVULN|3RCR|6DMG|7BELT|8TLV|9AART
21	14611 16312	   	175.90	ACR|4VULN|1AART|1DMG	1BEXP|2457VULN|3RCR|6DMG|8LHND|9AART|aDUST
22	14611 12623	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|245VULN|3RCR|6DMG|7BELT|8ZMB|9AART|aTLV
23	14611 11114	 * 	171.96	ACR|5VULN|1DMG|1ASPD	1BEXP|2458aVULN|3RCR|6DMG|7CGEN|9ASPD
24	14611 15212	   	171.34	ACR|3VULN|3DMG	1BEXP|245VULN|3RCR|678DMG|9DMSP|aMLV
25	14611 15222	   	171.34	ACR|3VULN|3DMG	1BEXP|245VULN|3RCR|678DMG|9RMIN|aRCVC
26	14611 15232	   	171.34	ACR|3VULN|3DMG	1BEXP|245VULN|3RCR|678DMG|9MGNLIT|aCGEN
27	14611 15221	   	171.24	ACR|3VULN|3DMG	1BEXP|245VULN|3RCR|678DMG|9RMIN|aERES
28	14611 15231	   	171.24	ACR|3VULN|3DMG	1BEXP|245VULN|3RCR|678DMG|9MGNLIT|aERES
29	14611 15132	   	171.09	ACR|3VULN|3DMG|1SELL	1BEXP|245VULN|3RCR|67aDMG|8CGEN|9SELL
30	24611 15233	   	170.99	ACR|3VULN|3DMG|1AART|1MSE	1MSE|245VULN|3RCR|678DMG|9MGNLIT|aAART
31	14611 36233	   	170.14	ACR|4VULN|1DMG|1ZMB|1ASPD	1BEXP|2456VULN|3RCR|7ASPD|8DMG|9FEWX|aZMB
32	31515 11311	 * 	170.11	DCR|4VULN|1AART|1CDMG|1ASPD	1ASPD|2LIT|3AART|4LHND|5789VULN|6CDMG|aRCR
33	14612 36211	   	169.98	ACR|4VULN|2DMG	19BEXP|2479VULN|3RCR|5CGEN|6LWND|89DMG|9BPWR|aLHND
34	12531 34315	 * 	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|356VULN|4TLV|7RCR|8CGEN|9AART|aDMG
35	14613 36211	   	169.88	ACR|4VULN|2DMG	19BEXP|2479VULN|3RCR|5ERES|6LWND|89DMG|9BPWR|aLHND
36	14613 22216	   	169.88	ACR|4VULN|2DMG	169BEXP|249aVULN|3RCR|5ERES|7FEWX|89DMG|9BPWR
37	14613 32216	   	169.88	ACR|4VULN|2DMG	179BEXP|249aVULN|3RCR|5ERES|6LWND|89DMG|9BPWR
38	14611 16212	   	169.78	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9RMIN|aMGNLIT
39	14611 16213	   	169.78	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9RMIN|aLIT
40	14611 16211	   	169.68	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9RMIN|aERES
41	14611 16231	   	169.68	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9FEWX|aERES
42	14611 16232	   	169.68	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9FEWX|aTLV
43	14611 16233	   	169.68	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9FEWX|aBASICY
44	14613 42213	   	169.66	ACR|3VULN|2DMG|1DUR|1ASPD	179BEXP|249VULN|3RCR|5ERES|6DUR|89DMG|9BPWR|aASPD
45	14641 11132	   	169.64	ACR|4VULN|2DMG|1SELL	14BEXP|2458VULN|3RCR|4BPWR|6aDMG|7CGEN|9SELL
46	14611 16221	   	169.58	ACR|4VULN|2DMG	1BEXP|2457VULN|3RCR|68DMG|9aERES
47	14611 11132	   	169.54	ACR|4VULN|2DMG|1SELL	1BEXP|2458VULN|3RCR|6aDMG|7CGEN|9SELL
48	14611 16132	   	169.54	ACR|4VULN|2DMG|1SELL	1BEXP|2457VULN|3RCR|6aDMG|8CGEN|9SELL
49	14411 33243	 * 	169.48	DCR|4VULN|1AART|1DMG	1BEXP|2456VULN|3LHND|7AART|8AIRHEA|9RCR|aDMG
50	14611 14132	   	169.44	ACR|4VULN|2DMG|1SELL	1BEXP|2458VULN|3RCR|6aDMG|7ERES|9SELL
51	14613 22214	   	169.43	ACR|3VULN|2DMG|1CDMG	169BEXP|249VULN|3RCR|5ERES|7FEWX|89DMG|9BPWR|aCDMG
52	14613 32214	   	169.43	ACR|3VULN|2DMG|1CDMG	179BEXP|249VULN|3RCR|5ERES|6LWND|89DMG|9BPWR|aCDMG
53	14611 12334	   	169.33	ACR|3VULN|2DMG|1CDMG	1BEXP|245VULN|3RCR|6aDMG|7BELT|8CDMG|9LIT
54	14611 12422	   	168.84	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|245VULN|3RCR|6DMG|7BELT|8CGEN|9AART|aASPD
55	14611 13161	   	168.84	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|245VULN|3RCR|6DMG|7LHND|8FEWX|9AART|aDUR
56	14611 11511	   	168.84	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|245VULN|3RCR|6DMG|7CGEN|8ASPD|9AART|aLIT
57	14611 11513	   	168.84	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|245VULN|3RCR|6DMG|7aCGEN|8ASPD|9AART
58	14611 13361	   	168.84	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|245VULN|3RCR|6DMG|7LHND|8DUR|9AART|aRCVC
59	14611 13363	   	168.84	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|245VULN|3RCR|6DMG|7LHND|8DUR|9AART|aCGEN
60	44231 31161	   	168.83	ACR|3VULN|2DMG|1ZMB|1DUR	1DUR|278VULN|3LIT|4ZMB|5RCR|6LHND|9aDMG
61	14611 12522	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|245VULN|3RCR|6DMG|7BELT|8TLV|9AART|aASPD
62	14611 13362	   	168.74	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|245VULN|3RCR|6DMG|7LHND|8DUR|9AART|aDUST
63	14611 11412	 * 	168.45	ACR|4VULN|1DMG|3DUR	19BEXP|2459VULN|3RCR|6DMG|7CGEN|89aDUR|9BPWR
64	14641 13333	   	168.34	ACR|3VULN|1AART|1DMG|1DUR	14BEXP|245VULN|3RCR|4BPWR|6DMG|7LHND|8DUR|9MGNLIT|aAART
65	14611 13333	   	168.24	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|245VULN|3RCR|6DMG|7LHND|8DUR|9MGNLIT|aAART
66	14612 42212	   	168.12	ACR|3VULN|2DMG|2DUR	19BEXP|249VULN|3RCR|57CGEN|6aDUR|89DMG|9BPWR
67	44261 22223	 * 	167.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|29VULN|3LIT|4DMG|5RCR|6CGEN|8AART|aCDMG
68	14613 41212	   	167.92	ACR|3VULN|2DMG|2DUR	19BEXP|249VULN|3RCR|57ERES|6aDUR|89DMG|9BPWR
69	34231 23516	 * 	167.29	ACR|3VULN|2DMG|1AART|2ASPD|1MSE	1aASPD|2RMIN|3MSE|4RCR|56aVULN|7RCVC|8aDMG|9AART|aBPWR
70	14612 32213	   	166.89	ACR|3VULN|2DMG|1ZMB	19BEXP|249VULN|3RCR|57CGEN|6LWND|89DMG|9BPWR|aZMB
71	14611 15123	   	166.69	ACR|3VULN|2DMG|1ZMB	1BEXP|245VULN|3RCR|67DMG|8CGEN|9LWND|aZMB
72	14613 31213	   	166.69	ACR|3VULN|2DMG|1ZMB	19BEXP|249VULN|3RCR|57ERES|6LWND|89DMG|9BPWR|aZMB
73	14611 12236	   	166.59	ACR|3VULN|2DMG|1ZMB	1BEXP|245VULN|3RCR|6aDMG|7BELT|8DUST|9ZMB
74	14635 11141	   	166.54	ACR|3DMG|2VULN|1ZMB|1SELL	1aBEXP|2aVULN|3RCR|4ZMB|5SELL|6LHND|7MBVNT|89aDMG|aBPWR
75	14611 36232	   	166.07	ACR|4VULN|1DMG|1ASPD|1DUR	1BEXP|2456VULN|3RCR|7ASPD|8DMG|9FEWX|aDUR
76	45261 31131	   	165.97	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|3LIT|4aDMG|5RCR|6LHND|78VULN|9AART
77	14641 12331	   	165.95	ACR|4VULN|1DMG|1CDMG	14BEXP|245aVULN|3RCR|4BPWR|6DMG|7BELT|8CDMG|9LIT
78	14611 12326	   	165.85	ACR|4VULN|1DMG|1CDMG	1BEXP|245aVULN|3RCR|6DMG|7BELT|8CDMG|9RPLT
79	14611 12331	   	165.85	ACR|4VULN|1DMG|1CDMG	1BEXP|245aVULN|3RCR|6DMG|7BELT|8CDMG|9LIT
80	14611 14332	   	165.75	ACR|4VULN|1DMG|1FLTHEA	1BEXP|2459VULN|3RCR|6DMG|7ERES|8CGEN|aFLTHEA
81	14611 36212	   	165.75	ACR|4VULN|1DMG|2ASPD	1BEXP|2456VULN|3RCR|79ASPD|8DMG|aMGNLIT
82	14611 36213	   	165.75	ACR|4VULN|1DMG|2ASPD	1BEXP|2456VULN|3RCR|79ASPD|8DMG|aLIT
83	33564 62112	 * 	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|27MLV|3CDMG|4MBVNT|59DMG|6RCR|8VULN|aAART
84	14611 36211	   	165.65	ACR|4VULN|1DMG|2ASPD	1BEXP|2456VULN|3RCR|79ASPD|8DMG|aERES
85	14611 32134	 * 	165.55	ACR|5VULN|1CDMG|1DUR	1BEXP|24568VULN|3RCR|7LHND|9DUR|aCDMG
86	14611 33134	   	165.55	ACR|5VULN|1CDMG|1DUR	1BEXP|24568VULN|3RCR|7FEWX|9DUR|aCDMG
87	44261 22222	   	165.28	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	17DUR|29VULN|3LIT|4DMG|5RCR|6CGEN|8AART|aZMB
88	14622 13151	 * 	165.20	ACR|3DMG|1VULN|2CDMG|1DUR	1aBEXP|2VULN|3RCR|4aCDMG|5LHND|6DUR|7RMIN|89aDMG|aBPWR
89	14321 16216	   	165.18	ACR|4VULN|2DMG	169BEXP|279aVULN|3CGEN|4LHND|5RCR|89DMG|9BPWR
90	31533 53116	 * 	165.17	DCR|2VULN|1AART|2ASPD|1FLTHEA|1ZMB	14ASPD|2LIT|3AART|5LWND|6FLTHEA|7RCR|89VULN|aZMB
91	14611 13213	   	165.13	ACR|5VULN|1DMG	19aBEXP|2459aVULN|3RCR|6DMG|7LHND|89aTLV|9aBPWR
92	41151 25434	 * 	165.10	DCR|3VULN|2DMG|2DUR	19DUR|29MLV|3TLV|4MBVNT|56aVULN|7RCR|89DMG|9BPWR
93	14121 16216	   	165.08	ACR|4VULN|2DMG	169BEXP|279aVULN|3ERES|4LHND|5RCR|89DMG|9BPWR
94	31521 23116	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3AART|4CGEN|5DMG|6CANSTR|7RCR|89VULN|aZMB
95	31551 23116	   	164.87	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3AART|4MLV|5DMG|6CANSTR|7RCR|89VULN|aZMB
96	14631 13241	   	164.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|27VULN|3RCR|4ZMB|5RMIN|6FEWX|8AART|9DMG|aDUR
97	14631 23241	   	164.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|26VULN|3RCR|4ZMB|5RMIN|7FEWX|8AART|9DMG|aDUR
98	14321 16214	   	164.73	ACR|3VULN|2DMG|1CDMG	169BEXP|279VULN|3CGEN|4LHND|5RCR|89DMG|9BPWR|aCDMG
99	14632 13214	   	164.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2aVULN|3RCR|4ZMB|5DUST|6FEWX|7DUR|8AART|9DMG
100	41222 53513	 * 	164.66	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR|1SELL	19DUR|24MLV|3SELL|59VULN|69ZMB|7RCR|8AART|9BPWR|aCDMG
101	14121 16214	   	164.63	ACR|3VULN|2DMG|1CDMG	169BEXP|279VULN|3ERES|4LHND|5RCR|89DMG|9BPWR|aCDMG
102	14611 11411	   	164.63	ACR|4VULN|1DMG|2DUR	19BEXP|2459VULN|3RCR|6DMG|7CGEN|89DUR|9BPWR|aLHND
103	31163 53116	   	164.57	DCR|2VULN|1AART|2ASPD|1FLTHEA|1ZMB	13ASPD|2LIT|4AART|5LWND|6FLTHEA|7RCR|89VULN|aZMB
