0	Index      	 *	Score 	Summary	Detail	
1	23524 13313	 * 	204.07	ACR|3VULN|2AART|2DMG|1ASPD	19FEWX|2RCR|3aAART|4RPLT|5ASPD|69DMG|789VULN|9BPWR
35	23563 12631	 * 	179.17	ACR|2AART|2VULN|2ZMB|1CDMG|1DUR	1FEWX|2RCR|38AART|46VULN|56ZMB|6BPWR|7DUR|9CDMG|aCGEN
36	23563 12632	   	179.17	ACR|2AART|2VULN|2ZMB|1CDMG|1DUR	1FEWX|2RCR|38AART|46VULN|56ZMB|6BPWR|7DUR|9CDMG|aLWND
37	23563 12633	   	179.17	ACR|2AART|2VULN|2ZMB|1CDMG|1DUR	1FEWX|2RCR|38AART|46VULN|56ZMB|6BPWR|7DUR|9CDMG|aRPLT
38	23532 35326	   	178.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2RCR|3AART|4BEXP|58VULN|67DUR|9DMG|aCDMG
39	22563 14113	   	177.77	DCR|3VULN|2DMG|1AART	1FEWX|2LEGI|3AART|46aVULN|56DMG|6BPWR|7AIRHEA|8RCR|9CGEN
40	26223 32828	 * 	177.36	DCR|2AART|2DMG|2VULN	1aFEWX|2BELT|3MBVNT|4LHND|57AART|6RCR|8aVULN|9aDMG|aBPWR
41	23324 24326	 * 	177.25	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|7VULN|9aCDMG
42	23563 35133	   	176.99	ACR|4VULN|1AART|2ZMB	18FEWX|2RCR|3AART|479aVULN|58ZMB|68LIT|8BPWR
43	23563 13322	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|467aVULN|56ZMB|6BPWR|8LHND|9LWND
44	23563 13611	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9RPLT|aCGEN
45	23563 13612	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9RPLT|aLWND
46	23563 13621	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9LWND|aBELT
47	23563 13622	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9LWND|aRCVC
48	23563 13631	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9BEXP|aBELT
49	23563 13633	   	176.89	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9BEXP|aMLV
50	16533 21622	 * 	176.88	DCR|4VULN|1AART|1DMG	18MLV|29RPLT|3458VULN|6RCR|7AART|8BPWR|aDMG
51	23563 13251	   	176.79	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|467aVULN|56ZMB|6BPWR|8VENICY|9BELT
52	23563 13521	   	176.79	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|467aVULN|56ZMB|6BPWR|8TLV|9LHND
53	23563 13623	   	176.79	ACR|4VULN|1AART|2ZMB	1FEWX|2RCR|3AART|4678VULN|56ZMB|6BPWR|9LWND|aTLV
54	16533 21122	   	176.78	DCR|4VULN|1AART|1DMG	1MLV|29RPLT|3458VULN|6RCR|7AART|aDMG
55	16533 21324	   	176.78	DCR|4VULN|1AART|1DMG	19MLV|2RPLT|3459VULN|6RCR|7AART|89TLV|9BPWR|aDMG
56	23524 13322	   	176.77	ACR|2VULN|2DMG|1AART|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|6aDMG|78VULN|9LWND
57	23524 13342	   	176.77	ACR|2VULN|2DMG|1AART|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|78VULN|aLHND
58	23524 13341	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|69DMG|78VULN|aERES
59	23524 13352	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|6aDMG|78VULN|9DUST
60	23333 22326	   	176.65	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1FEWX|2RCR|3BASHEA|4VULN|58DMG|6DUR|7AART|9aCDMG
61	23563 11131	   	176.52	ACR|3VULN|3ZMB|1AART	18aFEWX|2RCR|3AART|469VULN|568ZMB|68BPWR|78LIT
62	23563 11132	   	176.52	ACR|3VULN|3ZMB|1AART	18FEWX|2RCR|3AART|469VULN|568ZMB|68BPWR|78LIT|aRCVC
63	23563 11135	   	176.52	ACR|3VULN|3ZMB|1AART	18FEWX|2RCR|3AART|469VULN|568ZMB|68BPWR|78LIT|aMLV
64	23563 11136	   	176.52	ACR|3VULN|3ZMB|1AART	18FEWX|2RCR|3AART|469VULN|568ZMB|68BPWR|78LIT|aBEXP
65	23563 11334	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|469VULN|56ZMB|6BPWR|7LIT|8CGEN|aCDMG
66	23563 13151	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	18FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|9CDMG|aBEXP
67	23563 13153	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	18FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|9CDMG|aCGEN
68	23563 13314	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9RPLT|aCDMG
69	23563 13326	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9LWND|aCDMG
70	23563 13331	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9CDMG|aCGEN
71	23563 13332	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9CDMG|aLWND
72	23563 13333	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9CDMG|aRPLT
73	23563 13335	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9CDMG|aBEXP
74	23563 13431	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8BEXP|9CDMG|aCGEN
75	23563 13432	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8BEXP|9CDMG|aLWND
76	23563 13433	   	176.44	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8BEXP|9CDMG|aRPLT
77	23563 11134	   	176.42	ACR|3VULN|3ZMB|1AART	18FEWX|2RCR|3AART|469VULN|568ZMB|68BPWR|78LIT|aERES
78	23333 46343	 * 	176.37	ACR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1FEWX|2RCR|3BASHEA|4aVULN|5aDMG|6ASPD|7aCDMG|8LSRICY|9DUR|aBPWR
79	23563 13241	   	176.34	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8VENICY|9CDMG|aMLV
80	23563 13336	   	176.34	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|467VULN|56ZMB|6BPWR|8LHND|9CDMG|aDUST
81	23563 14221	   	176.34	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|46aVULN|56ZMB|6BPWR|7AIRHEA|8BEXP|9CDMG
82	23563 13113	   	176.32	ACR|3VULN|3ZMB|1AART	18FEWX|2RCR|3AART|467VULN|56aZMB|6BPWR|9RPLT
83	23563 14321	   	176.24	ACR|3VULN|1AART|2ZMB|1CDMG	1FEWX|2RCR|3AART|46aVULN|56ZMB|6BPWR|7AIRHEA|8DUST|9CDMG
84	23324 24121	   	176.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2RCR|3BASHEA|4DMG|58DUR|6AART|7aVULN|9CDMG
85	23324 24322	   	176.23	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1FEWX|2RCR|3BASHEA|48DMG|5aDUR|6AART|7VULN|9CDMG
86	23563 13221	   	176.22	ACR|3VULN|3ZMB|1AART	1FEWX|2RCR|3AART|467VULN|569ZMB|6BPWR|8VENICY|aCGEN
87	23563 13222	   	176.22	ACR|3VULN|3ZMB|1AART	1FEWX|2RCR|3AART|467VULN|569ZMB|6BPWR|8VENICY|aLWND
88	23563 13224	   	176.22	ACR|3VULN|3ZMB|1AART	1FEWX|2RCR|3AART|467VULN|569ZMB|6BPWR|8VENICY|aRMIN
89	23563 13226	   	176.22	ACR|3VULN|3ZMB|1AART	1FEWX|2RCR|3AART|467VULN|569ZMB|6BPWR|8VENICY|aBEXP
90	23563 63223	   	176.12	ACR|3VULN|3ZMB|1AART	1FEWX|2RCR|3AART|47aVULN|569ZMB|8VENICY
91	23563 13225	   	176.12	ACR|3VULN|3ZMB|1AART	1FEWX|2RCR|3AART|467VULN|569ZMB|6BPWR|8VENICY|aERES
92	23532 35321	   	175.93	ACR|2AART|2VULN|1DMG|2DUR	1FEWX|2RCR|3aAART|4BEXP|58VULN|67DUR|9DMG
93	23562 35321	   	175.83	ACR|2AART|2VULN|1DMG|2DUR	1FEWX|2RCR|3aAART|48VULN|5DUST|67DUR|9DMG
94	22563 14123	   	175.76	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|2LEGI|3AART|46VULN|56DMG|6BPWR|7AIRHEA|8RCR|9CDMG|aLWND
95	23333 22121	   	175.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2RCR|3BASHEA|4aVULN|5DMG|68DUR|7AART|9CDMG
96	23333 22322	   	175.63	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1FEWX|2RCR|3BASHEA|4VULN|58DMG|6aDUR|7AART|9CDMG
97	23324 24316	   	174.87	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|7aVULN|9CGEN
98	23324 24353	   	174.87	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|7aVULN|9LHND
99	23324 24362	   	174.87	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|79VULN|aRPLT
100	23324 24363	   	174.87	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|79VULN|aLHND
101	23524 13362	   	174.84	ACR|3VULN|1AART|1DMG|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|6DMG|789VULN|aLHND
102	31131 24424	   	174.80	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	167VULN|2RMIN|3DUR|4ZMB|5RCR|8SELL|9AART|aDMG
103	23324 24343	   	174.77	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|7aVULN|9LEGI
104	23324 24361	   	174.77	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|48DMG|5DUR|6AART|79VULN|aERES
105	23565 11332	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2RCR|3AART|458VULN|6DUR|7LHND|9ERES|aDMG
106	23565 12332	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2RCR|3AART|458VULN|6DUR|7LWND|9ERES|aDMG
107	23524 13262	 * 	174.74	ACR|3DMG|1AART|1VULN|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|69aDMG|7VULN|8DUST
108	23524 13361	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	1FEWX|2RCR|3AART|4RPLT|5ASPD|6DMG|789VULN|aERES
109	23563 11221	   	174.67	ACR|2VULN|1AART|2ZMB|1CDMG|1DUR|1ASPD	1FEWX|2RCR|3AART|46VULN|56ZMB|6BPWR|7LIT|8DUR|9CDMG|aASPD
110	33523 61321	 * 	174.52	DCR|2AART|2VULN|1DMG|1CDMG	18VULN|2BEXP|3aAART|4RPLT|5CDMG|6RCR|7MLV|9DMG
111	36523 61321	   	174.52	DCR|2AART|2VULN|1DMG|1CDMG	18VULN|2FEWX|3aAART|4RPLT|5CDMG|6RCR|7MLV|9DMG
112	23563 11151	   	174.52	ACR|2VULN|3ZMB|1AART|1CDMG	18FEWX|2RCR|3AART|46VULN|568ZMB|68BPWR|78LIT|9CDMG|aLWND
113	23563 11153	   	174.52	ACR|2VULN|3ZMB|1AART|1CDMG	18FEWX|2RCR|3AART|46VULN|568ZMB|68BPWR|78LIT|9CDMG|aLHND
114	23333 22316	   	174.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|4aVULN|58DMG|6DUR|7AART|9CGEN
115	23333 22353	   	174.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|4aVULN|58DMG|6DUR|7AART|9LHND
116	23333 22362	   	174.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|49VULN|58DMG|6DUR|7AART|aRPLT
117	23333 22363	   	174.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|49VULN|58DMG|6DUR|7AART|aLHND
118	23333 22364	   	174.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|49VULN|58DMG|6DUR|7AART|aLIT
119	23333 22366	   	174.27	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|49VULN|58DMG|6DUR|7AART|aBEXP
120	23563 13323	 * 	174.24	ACR|3VULN|2AART|2ZMB	1FEWX|2RCR|3aAART|467VULN|56ZMB|6BPWR|8LHND|9LWND
121	23563 13421	   	174.24	ACR|3VULN|2AART|2ZMB	1FEWX|2RCR|3aAART|467VULN|56ZMB|6BPWR|8BEXP|9LWND
122	23333 22343	   	174.17	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|4aVULN|58DMG|6DUR|7AART|9LEGI
123	23333 22361	   	174.17	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2RCR|3BASHEA|49VULN|58DMG|6DUR|7AART|aERES
124	23563 11212	   	174.14	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1FEWX|2RCR|3AART|46VULN|56ZMB|6BPWR|7LIT|8DUR|9DMG|aMGNLIT
125	23563 11213	   	174.14	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1FEWX|2RCR|3AART|46VULN|56ZMB|6BPWR|7LIT|8DUR|9DMG|aRPLT
126	23563 11216	   	174.14	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1FEWX|2RCR|3AART|46VULN|56ZMB|6BPWR|7LIT|8DUR|9DMG|aBEXP
127	23563 13232	   	174.14	ACR|3VULN|2AART|2ZMB	1FEWX|2RCR|3aAART|467VULN|56ZMB|6BPWR|8VENICY|9CGEN
