0	Index      	 *	Score 	Summary	Detail	
1	51223 15412	 * 	226.49	ACR|2VULN|1BASARM|2ASPD|2BEXP	18ASPD|25ERES|35VULN|4RCR|5BPWR|6BELT|79BEXP|aBASARM
50	31222 42333	   	200.90	ACR|1BASARM|1VULN|2AART|1DMG	1RCVC|2DUST|3VULN|4RCR|5FEWX|6aAART|7LWND|8BASARM|9DMG
51	31323 41333	   	200.90	ACR|1BASARM|1VULN|2AART|1DMG	1RCVC|2DUST|3FEWX|4RCR|5VULN|6aAART|7LHND|8BASARM|9DMG
52	31323 42333	   	200.90	ACR|1BASARM|1VULN|2AART|1DMG	1RCVC|2DUST|3FEWX|4RCR|5VULN|6aAART|7LWND|8BASARM|9DMG
53	51323 63151	 * 	200.59	ACR|2VULN|2ASPD|2BEXP|1DMG	16ASPD|2ERES|3FEWX|4RCR|56VULN|6BPWR|7DMSP|8DMG|9aBEXP
54	51323 61151	   	200.49	ACR|2VULN|2ASPD|2BEXP|1DMG	16ASPD|27ERES|3FEWX|4RCR|56VULN|6BPWR|8DMG|9aBEXP
55	51223 22611	 * 	200.28	ACR|4VULN|2ASPD|2BEXP	1aASPD|25ERES|358aVULN|4RCR|5aBPWR|6MLV|7CGEN|9aBEXP
56	51226 22611	   	200.28	ACR|4VULN|2ASPD|2BEXP	1aASPD|2ERES|358aVULN|4RCR|6MLV|7CGEN|9aBEXP|aBPWR
57	21443 12213	   	200.02	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	1AAC|2AART|39VULN|4RCR|5CDMG|6DMG|7LWND|8BEXP|aASPD
58	21443 11261	   	199.92	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1AAC|2AART|39VULN|4RCR|5CDMG|6DMG|7ASPD|8SPLREG|aBEXP
59	21336 11266	 * 	199.75	ACR|2ASPD|2DMG|2AART|1BEXP	1AAC|2aAART|39DMG|4RCR|5BEXP|6LEGI|79LHND|89ASPD|9BPWR
60	21336 12266	   	199.75	ACR|2ASPD|2DMG|2AART|1BEXP	1AAC|2aAART|39DMG|4RCR|5BEXP|6LEGI|79LWND|89ASPD|9BPWR
61	21643 11162	   	199.40	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG	1AAC|2AART|3aDUR|4RCR|5CDMG|6aDMG|7ASPD|8AEMAG|9aBEXP|aBPWR
62	55223 32313	 * 	198.37	ACR|4VULN|1BASARM|1ASPD	1ASPD|25MLV|357aVULN|4RCR|5BPWR|6LWND|8SNIHEL|9BASARM
63	55226 32313	   	198.27	ACR|4VULN|1BASARM|1ASPD	1ASPD|2MLV|357aVULN|4RCR|6LWND|8SNIHEL|9BASARM
64	55222 62311	   	198.10	ACR|2VULN|1BASARM|2ASPD	16ASPD|2MLV|37VULN|4RCR|56aFEWX|6BPWR|8SNIHEL|9BASARM
65	55222 62313	   	198.10	ACR|2VULN|1BASARM|2ASPD	16ASPD|2MLV|37VULN|4RCR|56FEWX|6BPWR|8SNIHEL|9BASARM|aLHND
66	51323 63311	   	198.00	ACR|2VULN|1BASARM|2ASPD	16ASPD|2ERES|3aFEWX|4RCR|56VULN|6BPWR|7DMSP|8SNIHEL|9BASARM
67	51323 63313	   	198.00	ACR|2VULN|1BASARM|2ASPD	16ASPD|2ERES|3FEWX|4RCR|56VULN|6BPWR|7DMSP|8SNIHEL|9BASARM|aLHND
68	51323 63315	   	198.00	ACR|2VULN|1BASARM|2ASPD	16ASPD|2ERES|3FEWX|4RCR|56VULN|6BPWR|7DMSP|8SNIHEL|9BASARM|aDUR
69	55222 62312	   	198.00	ACR|2VULN|1BASARM|2ASPD	16ASPD|2MLV|37VULN|4RCR|56FEWX|6BPWR|8SNIHEL|9BASARM|aDUST
70	51226 32431	   	197.96	ACR|3VULN|2ASPD|1AART|1CDMG	18ASPD|268ERES|358VULN|4RCR|7AART|8BPWR|9RMIN|aCDMG
71	51323 61311	   	197.90	ACR|2VULN|1BASARM|2ASPD	16ASPD|27ERES|3aFEWX|4RCR|56VULN|6BPWR|8SNIHEL|9BASARM
72	51323 61313	   	197.90	ACR|2VULN|1BASARM|2ASPD	16ASPD|27ERES|3FEWX|4RCR|56VULN|6BPWR|8SNIHEL|9BASARM|aLHND
73	51323 61315	   	197.90	ACR|2VULN|1BASARM|2ASPD	16ASPD|27ERES|3FEWX|4RCR|56VULN|6BPWR|8SNIHEL|9BASARM|aDUR
74	51323 63312	   	197.90	ACR|2VULN|1BASARM|2ASPD	16ASPD|2ERES|3FEWX|4RCR|56VULN|6BPWR|7DMSP|8SNIHEL|9BASARM|aDUST
75	51323 61312	   	197.80	ACR|2VULN|1BASARM|2ASPD	16ASPD|27ERES|3FEWX|4RCR|56VULN|6BPWR|8SNIHEL|9BASARM|aDUST
76	21442 17331	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AAC|2AART|3VULN|4RCR|5MBVNT|6CDMG|7RPLT|8BASARM|9DMG|aRMIN
77	21442 17332	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AAC|2AART|3VULN|4RCR|5MBVNT|6CDMG|7RPLT|8BASARM|9DMG|aFEWX
78	21442 17333	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AAC|2AART|3VULN|4RCR|5MBVNT|6CDMG|7RPLT|8BASARM|9DMG|aLWND
79	21442 17334	   	197.66	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AAC|2AART|3VULN|4RCR|5MBVNT|6CDMG|7RPLT|8BASARM|9DMG|aDUST
80	21336 53134	   	197.41	ACR|2VULN|2DMG|2AART|1BEXP	1AAC|27AART|36DMG|4RCR|5BEXP|8LHND|9aVULN
81	21333 33624	 * 	197.29	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	1AAC|2AART|37DMG|4RCR|5RPLT|67CDMG|7BPWR|8ASPD|9DUR|aVULN
82	21333 33664	   	197.29	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	1AAC|2AART|37DMG|4RCR|5RPLT|67CDMG|7BPWR|8ASPD|9LWND|aVULN
83	53226 22335	 * 	197.19	ACR|3VULN|1ASPD|1DMG|1BASICY|1BEXP	1ASPD|2DUR|3AAC|4RCR|567VULN|8BASICY|9DMG|aBEXP
84	21333 33614	   	197.19	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	1AAC|2AART|37DMG|4RCR|5RPLT|67CDMG|7BPWR|8ASPD|9DUST|aVULN
85	21336 53343	   	196.89	ACR|2DMG|2AART|1ASPD|1BEXP|1CDMG	1AAC|27AART|36DMG|4RCR|5BEXP|8RCVC|9CDMG|aASPD
86	51223 13425	   	196.55	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|25ERES|35VULN|4RCR|5BPWR|6BELT|7CDMG|89BEXP|aDMG
87	21333 53261	   	196.52	ACR|2VULN|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|5RPLT|6LEGI|79VULN|89BEXP|9BPWR|aLHND
88	21333 53264	   	196.52	ACR|2VULN|2DMG|2BEXP|1AART	1AAC|2AART|39DMG|4RCR|5RPLT|6LEGI|79VULN|89BEXP|9BPWR|aFEWX
